,Close
2024-05-13,186.28
2024-05-10,183.05
2024-05-09,184.57
2024-05-08,182.74
2024-05-07,182.4
2024-05-06,181.71
2024-05-03,183.38
2024-05-02,173.03
2024-05-01,169.3
2024-04-30,170.33
2024-04-29,173.5
2024-04-26,169.3
2024-04-25,169.89
2024-04-24,169.02
2024-04-23,166.9
2024-04-22,165.84
2024-04-19,164.93
2024-04-18,167.04
2024-04-17,168.0
2024-04-16,169.38
2024-04-15,172.69
2024-04-12,176.55
2024-04-11,175.04
2024-04-10,167.78
2024-04-09,169.67
2024-04-08,168.45
2024-04-05,169.58
2024-04-04,168.82
2024-04-03,169.65
2024-04-02,168.84
2024-04-01,170.03
2024-03-28,171.48
2024-03-27,173.31
2024-03-26,169.71
2024-03-25,170.85
2024-03-22,172.28
2024-03-21,171.37
2024-03-20,178.67
2024-03-19,176.08
2024-03-18,173.72
2024-03-15,172.62
2024-03-14,173.0
2024-03-13,171.13
2024-03-12,173.23
2024-03-11,172.75
2024-03-08,170.73
2024-03-07,169.0
2024-03-06,169.12
2024-03-05,170.12
2024-03-04,175.1
2024-03-01,179.66
2024-02-29,180.75
2024-02-28,181.42
2024-02-27,182.63
2024-02-26,181.16
2024-02-23,182.52
2024-02-22,184.37
2024-02-21,182.32
2024-02-20,181.56
2024-02-16,182.31
2024-02-15,183.86
2024-02-14,184.15
2024-02-13,185.04
2024-02-12,187.15
2024-02-09,188.85
2024-02-08,188.32
2024-02-07,189.41
2024-02-06,189.3
2024-02-05,187.68
2024-02-02,185.85
2024-02-01,186.86
2024-01-31,184.4
2024-01-30,188.04
2024-01-29,191.73
2024-01-26,192.42
2024-01-25,194.17
2024-01-24,194.5
2024-01-23,195.18
2024-01-22,193.89
2024-01-19,191.56
2024-01-18,188.63
2024-01-17,182.68
2024-01-16,183.63
2024-01-12,185.92
2024-01-11,185.59
2024-01-10,186.19
2024-01-09,185.14
2024-01-08,185.56
2024-01-05,181.18
2024-01-04,181.91
2024-01-03,184.25
2024-01-02,185.64
2023-12-29,192.53
2023-12-28,193.58
2023-12-27,193.15
2023-12-26,193.05
2023-12-22,193.6
2023-12-21,194.68
2023-12-20,194.83
2023-12-19,196.94
2023-12-18,195.89
2023-12-15,197.57
2023-12-14,198.11
2023-12-13,197.96
2023-12-12,194.71
2023-12-11,193.18
2023-12-08,195.71
2023-12-07,194.27
2023-12-06,192.32
2023-12-05,193.42
2023-12-04,189.43
2023-12-01,191.24
2023-11-30,189.95
2023-11-29,189.37
2023-11-28,190.4
2023-11-27,189.79
2023-11-24,189.97
2023-11-22,191.31
2023-11-21,190.64
2023-11-20,191.45
2023-11-17,189.69
2023-11-16,189.71
2023-11-15,188.01
2023-11-14,187.44
2023-11-13,184.8
2023-11-10,186.4
2023-11-09,182.41
2023-11-08,182.89
2023-11-07,181.82
2023-11-06,179.23
2023-11-03,176.65
2023-11-02,177.57
2023-11-01,173.97
2023-10-31,170.77
2023-10-30,170.29
2023-10-27,168.22
2023-10-26,166.89
2023-10-25,171.1
2023-10-24,173.44
2023-10-23,173.0
2023-10-20,172.88
2023-10-19,175.46
2023-10-18,175.84
2023-10-17,177.15
2023-10-16,178.72
2023-10-13,178.85
2023-10-12,180.71
2023-10-11,179.8
2023-10-10,178.39
2023-10-09,178.99
2023-10-06,177.49
2023-10-05,174.91
2023-10-04,173.66
2023-10-03,172.4
2023-10-02,173.75
2023-09-29,171.21
2023-09-28,170.69
2023-09-27,170.43
2023-09-26,171.96
2023-09-25,176.08
2023-09-22,174.79
2023-09-21,173.93
2023-09-20,175.49
2023-09-19,179.07
2023-09-18,177.97
2023-09-15,175.01
2023-09-14,175.74
2023-09-13,174.21
2023-09-12,176.3
2023-09-11,179.36
2023-09-08,178.18
2023-09-07,177.56
