,Close
2024-05-13,149.13
2024-05-10,146.32
2024-05-09,147.05
2024-05-08,157.9
2024-05-07,159.81
2024-05-06,162.0
2024-05-03,159.71
2024-05-02,158.33
2024-05-01,156.16
2024-04-30,158.57
2024-04-29,162.25
2024-04-26,164.23
2024-04-25,163.01
2024-04-24,162.84
2024-04-23,160.95
2024-04-22,156.61
2024-04-19,155.0
2024-04-18,160.1
2024-04-17,158.37
2024-04-16,156.66
2024-04-15,155.6
2024-04-12,159.37
2024-04-11,165.42
2024-04-10,160.28
2024-04-09,162.66
2024-04-08,160.27
2024-04-05,161.77
2024-04-04,158.84
2024-04-03,159.34
2024-04-02,160.11
2024-04-01,163.37
2024-03-28,164.96
2024-03-27,166.41
2024-03-26,167.39
2024-03-25,167.99
2024-03-22,167.86
2024-03-21,168.18
2024-03-20,164.71
2024-03-19,161.79
2024-03-18,161.86
2024-03-15,160.64
2024-03-14,166.44
2024-03-13,164.76
2024-03-12,166.67
2024-03-11,162.99
2024-03-08,164.91
2024-03-07,163.54
2024-03-06,163.87
2024-03-05,159.33
2024-03-04,158.09
2024-03-01,159.72
2024-02-29,157.47
2024-02-28,153.43
2024-02-27,152.06
2024-02-26,149.27
2024-02-23,152.66
2024-02-22,155.26
2024-02-21,149.24
2024-02-20,148.15
2024-02-16,152.51
2024-02-15,157.69
2024-02-14,148.2
2024-02-13,150.82
2024-02-12,153.8
2024-02-09,147.595
2024-02-08,150.54
2024-02-07,147.55
2024-02-06,144.53
2024-02-05,144.78
2024-02-02,146.55
2024-02-01,146.49
2024-01-31,144.14
2024-01-30,149.44
2024-01-29,152.7
2024-01-26,149.62
2024-01-25,142.11
2024-01-24,141.19
2024-01-23,142.3
2024-01-22,142.01
2024-01-19,139.93
2024-01-18,137.04
2024-01-17,134.98
2024-01-16,135.02
2024-01-12,137.14
2024-01-11,139.45
2024-01-10,139.76
2024-01-09,139.53
2024-01-08,140.08
2024-01-05,135.98
2024-01-04,133.72
2024-01-03,133.42
2024-01-02,134.48
2023-12-29,136.14
2023-12-28,137.0
2023-12-27,136.55
2023-12-26,138.72
2023-12-22,140.8
2023-12-21,142.09
2023-12-20,141.07
2023-12-19,146.91
2023-12-18,147.5
2023-12-15,146.6
2023-12-14,147.26
2023-12-13,144.51
2023-12-12,140.55
2023-12-11,142.91
2023-12-08,140.68
2023-12-07,139.84
2023-12-06,135.31
2023-12-05,133.71
2023-12-04,133.7
2023-12-01,135.02
2023-11-30,126.34
2023-11-29,126.48
2023-11-28,127.56
2023-11-27,129.0
2023-11-24,128.37
2023-11-22,129.04
2023-11-21,126.82
2023-11-20,129.7
2023-11-17,127.15
2023-11-16,126.28
2023-11-15,128.35
2023-11-14,126.68
2023-11-13,119.15
2023-11-10,118.15
2023-11-09,115.52
2023-11-08,117.66
2023-11-07,121.08
2023-11-06,118.17
2023-11-03,122.64
2023-11-02,115.5
2023-11-01,119.47
2023-10-31,118.29
2023-10-30,116.95
2023-10-27,114.09
2023-10-26,115.47
2023-10-25,118.5
2023-10-24,122.01
2023-10-23,120.39
2023-10-20,116.49
2023-10-19,119.97
2023-10-18,122.17
2023-10-17,125.71
2023-10-16,125.19
2023-10-13,124.08
2023-10-12,125.97
2023-10-11,130.0
2023-10-10,131.59
2023-10-09,127.77
2023-10-06,126.36
2023-10-05,124.99
2023-10-04,127.41
2023-10-03,127.73
2023-10-02,136.56
2023-09-29,137.21
2023-09-28,136.47
2023-09-27,134.03
2023-09-26,132.28
2023-09-25,134.14
2023-09-22,132.2
2023-09-21,132.75
2023-09-20,138.01
2023-09-19,141.85
2023-09-18,142.55
2023-09-15,142.75
2023-09-14,144.12
2023-09-13,144.715
2023-09-12,147.5
2023-09-11,147.33
2023-09-08,145.82
2023-09-07,143.27
2023-09-06,141.77
2023-09-05,142.29
2023-09-01,132.69
2023-08-31,131.55
2023-08-30,130.61
2023-08-29,132.25
2023-08-28,126.155
2023-08-25,125.79
2023-08-24,124.72
2023-08-23,128.13
2023-08-22,127.08
2023-08-21,124.0
2023-08-18,125.06
2023-08-17,127.99
2023-08-16,128.83
2023-08-15,129.85
2023-08-14,133.24
2023-08-11,133.68
2023-08-10,135.97
2023-08-09,137.87
2023-08-08,139.55
2023-08-07,143.2
2023-08-04,140.17
2023-08-03,140.88
2023-08-02,144.56
2023-08-01,148.91
2023-07-31,152.19
2023-07-28,153.33
2023-07-27,148.5
2023-07-26,150.17
2023-07-25,148.65
2023-07-24,147.62
2023-07-21,148.77
2023-07-20,145.28
2023-07-19,145.535
2023-07-18,146.53
2023-07-17,145.36
2023-07-14,143.34
2023-07-13,140.09
2023-07-12,137.02
2023-07-11,137.54
2023-07-10,131.71
2023-07-07,130.32
2023-07-06,128.16
2023-07-05,131.69
2023-07-03,132.35
2023-06-30,128.16
2023-06-29,125.1
2023-06-28,127.63
2023-06-27,127.89
2023-06-26,123.13
2023-06-23,124.73
2023-06-22,127.96
2023-06-21,127.46
2023-06-20,126.45
2023-06-16,128.68
2023-06-15,127.85
2023-06-14,125.14
2023-06-13,124.9
2023-06-12,124.59
2023-06-09,117.86
2023-06-08,115.5
2023-06-07,116.55
2023-06-06,117.3
2023-06-05,115.69
2023-06-02,118.06
2023-06-01,112.16
2023-05-31,109.77
2023-05-30,107.19
2023-05-26,106.81
2023-05-25,104.42
2023-05-24,105.71
2023-05-23,106.25
2023-05-22,109.93
2023-05-19,107.38
2023-05-18,111.87
2023-05-17,108.33
2023-05-16,105.41
2023-05-15,105.78
2023-05-12,105.275
2023-05-11,111.2
2023-05-10,113.19
2023-05-09,127.07
2023-05-08,125.65
2023-05-05,119.9
2023-05-04,117.63
2023-05-03,118.86
2023-05-02,120.58
2023-05-01,121.42
2023-04-28,119.67
2023-04-27,115.25
2023-04-26,113.68
2023-04-25,112.505
2023-04-24,116.12
2023-04-21,115.5
2023-04-20,118.4
2023-04-19,120.1
2023-04-18,119.19
2023-04-17,116.17
2023-04-14,114.65
2023-04-13,113.95
2023-04-12,112.42
2023-04-11,114.25
2023-04-10,112.6
2023-04-06,109.69
2023-04-05,115.34
2023-04-04,118.46
2023-04-03,121.46
2023-03-31,124.4
2023-03-30,122.28
2023-03-29,118.8
2023-03-28,116.61
2023-03-27,117.91
2023-03-24,116.92
2023-03-23,120.3
2023-03-22,121.17
2023-03-21,123.69
2023-03-20,118.4
2023-03-17,118.15
2023-03-16,119.99
2023-03-15,113.58
2023-03-14,116.36
2023-03-13,115.96
2023-03-10,118.3
2023-03-09,119.84
2023-03-08,125.0
2023-03-07,126.94
2023-03-06,126.33
2023-03-03,125.73
2023-03-02,122.38
2023-03-01,120.83
2023-02-28,123.28
2023-02-27,123.53
2023-02-24,122.78
2023-02-23,125.52
2023-02-22,127.21
2023-02-21,128.78
2023-02-17,131.6
2023-02-16,139.42
2023-02-15,137.01
2023-02-14,120.87
2023-02-13,116.42
2023-02-10,108.87
2023-02-09,114.94
2023-02-08,116.36
2023-02-07,119.69
2023-02-06,118.35
2023-02-03,118.7
2023-02-02,118.52
2023-02-01,113.99
2023-01-31,111.11
2023-01-30,109.48
2023-01-27,115.94
2023-01-26,109.42
2023-01-25,104.44
2023-01-24,104.13
2023-01-23,105.22
2023-01-20,101.28
2023-01-19,99.1
2023-01-18,101.11
2023-01-17,101.27
2023-01-13,100.37
2023-01-12,98.49
2023-01-11,94.44
2023-01-10,88.54
2023-01-09,89.24
2023-01-06,88.52
2023-01-05,87.71
2023-01-04,88.72
2023-01-03,84.9
2022-12-30,85.5
2022-12-29,85.23
2022-12-28,82.49
2022-12-27,83.49
2022-12-23,85.25
2022-12-22,84.87
2022-12-21,87.07
2022-12-20,87.62
2022-12-19,85.93
2022-12-16,89.57
2022-12-15,90.61
2022-12-14,93.93
2022-12-13,93.34
2022-12-12,95.58
2022-12-09,94.7
2022-12-08,94.83
2022-12-07,91.5
2022-12-06,93.12
2022-12-05,98.51
2022-12-02,101.0
2022-12-01,101.27
2022-11-30,102.14
2022-11-29,95.38
2022-11-28,95.3
2022-11-25,97.67
2022-11-23,96.63
2022-11-22,95.28
2022-11-21,95.71
2022-11-18,97.77
2022-11-17,99.3
2022-11-16,104.43
2022-11-15,107.01
2022-11-14,105.16
2022-11-11,109.57
2022-11-10,102.4
2022-11-09,95.79
2022-11-08,98.9
2022-11-07,95.46
2022-11-04,96.09
2022-11-03,92.02
2022-11-02,94.41
2022-11-01,109.05
2022-10-31,106.91
2022-10-28,115.21
2022-10-27,112.06
2022-10-26,115.31
2022-10-25,118.45
2022-10-24,116.39
2022-10-21,119.95
2022-10-20,117.0
2022-10-19,116.87
2022-10-18,117.94
2022-10-17,116.5
2022-10-14,109.16
2022-10-13,112.65
2022-10-12,112.35
2022-10-11,106.82
2022-10-10,110.99
2022-10-07,108.54
2022-10-06,111.58
2022-10-05,111.76
2022-10-04,110.81
2022-10-03,105.0
2022-09-30,105.04
2022-09-29,106.66
2022-09-28,110.69
2022-09-27,106.37
2022-09-26,103.23
2022-09-23,101.75
2022-09-22,103.72
2022-09-21,114.01
2022-09-20,116.71
2022-09-19,118.78
2022-09-16,118.75
2022-09-15,125.04
2022-09-14,126.8
2022-09-13,121.54
2022-09-12,124.79
2022-09-09,123.48
2022-09-08,118.58
2022-09-07,116.07
2022-09-06,113.7
2022-09-02,113.64
2022-09-01,113.4
2022-08-31,113.12
2022-08-30,112.56
2022-08-29,113.54
2022-08-26,112.82
2022-08-25,117.03
2022-08-24,114.51
2022-08-23,111.6
2022-08-22,111.39
2022-08-19,114.76
2022-08-18,121.27
2022-08-17,121.87
2022-08-16,124.18
2022-08-15,126.04
2022-08-12,124.51
2022-08-11,121.5
2022-08-10,118.73
2022-08-09,114.44
2022-08-08,115.82
2022-08-05,117.11
2022-08-04,119.22
2022-08-03,115.02
2022-08-02,116.34
2022-08-01,111.2
2022-07-29,110.98
2022-07-28,108.84
2022-07-27,107.36
2022-07-26,101.91
2022-07-25,104.95
2022-07-22,103.97
2022-07-21,108.14
2022-07-20,107.73
2022-07-19,102.2
2022-07-18,97.67
2022-07-15,94.66
2022-07-14,91.05
2022-07-13,95.64
2022-07-12,96.55
2022-07-11,95.1
2022-07-08,97.35
2022-07-07,97.5
2022-07-06,92.88
2022-07-05,95.94
2022-07-01,91.41
2022-06-30,89.08
2022-06-29,93.93
2022-06-28,97.53
2022-06-27,101.5
2022-06-24,103.51
2022-06-23,95.72
2022-06-22,99.53
2022-06-21,102.27
2022-06-17,99.49
2022-06-16,93.26
2022-06-15,101.47
2022-06-14,98.87
2022-06-13,98.93
2022-06-10,108.91
2022-06-09,115.72
2022-06-08,123.77
2022-06-07,122.9
2022-06-06,122.02
2022-06-03,119.83
2022-06-02,121.26
2022-06-01,116.72
2022-05-31,120.87
2022-05-27,120.5
2022-05-26,114.3
2022-05-25,110.4
2022-05-24,106.24
2022-05-23,113.28
2022-05-20,112.55
2022-05-19,114.17
2022-05-18,108.03
2022-05-17,117.5
2022-05-16,114.44
2022-05-13,121.45
2022-05-12,115.94
