,Close
2024-05-13,208.38
2024-05-10,207.19
2024-05-09,204.79
2024-05-08,204.86
2024-05-07,203.57
2024-05-06,203.32
2024-05-03,199.63
2024-05-02,196.49
2024-05-01,193.89
2024-04-30,200.61
2024-04-29,203.9
2024-04-26,201.97
2024-04-25,197.94
2024-04-24,196.5
2024-04-23,189.93
2024-04-22,186.31
2024-04-19,183.31
2024-04-18,187.58
2024-04-17,189.43
2024-04-16,191.23
2024-04-15,190.29
2024-04-12,192.27
2024-04-11,198.64
2024-04-10,196.33
2024-04-09,204.12
2024-04-08,196.69
2024-04-05,194.76
2024-04-04,191.95
2024-04-03,195.36
2024-04-02,194.88
2024-04-01,196.62
2024-03-28,197.79
2024-03-27,193.33
2024-03-26,188.96
2024-03-25,190.63
2024-03-22,193.51
2024-03-21,195.15
2024-03-20,194.32
2024-03-19,190.54
2024-03-18,191.22
2024-03-15,195.2
2024-03-14,194.43
2024-03-13,198.6
2024-03-12,199.2
2024-03-11,198.21
2024-03-08,195.94
2024-03-07,198.24
2024-03-06,191.7
2024-03-05,189.8
2024-03-04,194.66
2024-03-01,196.16
2024-02-29,191.82
2024-02-28,187.76
2024-02-27,189.07
2024-02-26,189.01
2024-02-23,190.11
2024-02-22,191.91
2024-02-21,193.72
2024-02-20,189.4
2024-02-16,188.24
2024-02-15,187.54
2024-02-14,186.32
2024-02-13,184.69
2024-02-12,194.05
2024-02-09,195.02
2024-02-08,194.06
2024-02-07,191.97
2024-02-06,189.71
2024-02-05,192.56
2024-02-02,192.1
2024-02-01,192.01
2024-01-31,192.36
2024-01-30,194.74
2024-01-29,197.2
2024-01-26,193.93
2024-01-25,197.3
2024-01-24,198.3
2024-01-23,201.37
2024-01-22,197.31
2024-01-19,194.77
2024-01-18,189.97
2024-01-17,185.43
2024-01-16,187.79
2024-01-12,188.36
2024-01-11,188.96
2024-01-10,188.37
2024-01-09,189.76
2024-01-08,188.98
2024-01-05,186.55
2024-01-04,186.07
2024-01-03,188.96
2024-01-02,193.58
2023-12-29,198.56
2023-12-28,200.24
2023-12-27,199.35
2023-12-26,198.87
2023-12-22,197.1
2023-12-21,196.28
2023-12-20,192.19
2023-12-19,197.83
2023-12-18,196.59
2023-12-15,200.88
2023-12-14,200.17
2023-12-13,192.27
2023-12-12,190.97
2023-12-11,190.13
2023-12-08,184.88
2023-12-07,184.38
2023-12-06,180.57
2023-12-05,180.63
2023-12-04,183.26
2023-12-01,183.07
2023-11-30,183.38
2023-11-29,182.71
2023-11-28,183.2
2023-11-27,183.77
2023-11-24,183.05
2023-11-22,182.67
2023-11-21,181.25
2023-11-20,183.82
2023-11-17,183.05
2023-11-16,179.84
2023-11-15,180.78
2023-11-14,177.58
2023-11-13,170.66
2023-11-10,172.32
2023-11-09,167.13
2023-11-08,168.91
2023-11-07,168.11
2023-11-06,167.57
2023-11-03,167.92
2023-11-02,164.34
2023-11-01,159.24
2023-10-31,157.33
2023-10-30,155.88
2023-10-27,160.57
2023-10-26,160.86
2023-10-25,159.79
2023-10-24,164.93
2023-10-23,163.87
2023-10-20,166.52
2023-10-19,168.72
2023-10-18,171.27
2023-10-17,172.61
2023-10-16,172.75
2023-10-13,171.07
2023-10-12,173.6
2023-10-11,174.92
2023-10-10,175.97
2023-10-09,173.32
2023-10-06,173.97
2023-10-05,172.1
2023-10-04,173.79
2023-10-03,171.51
