,Close
2024-05-13,247.8
2024-05-10,246.86
2024-05-09,245.145
2024-05-08,242.94
2024-05-07,245.12
2024-05-06,242.74
2024-05-03,241.89
2024-05-02,242.03
2024-05-01,247.33
2024-04-30,241.89
2024-04-29,243.95
2024-04-26,243.07
2024-04-25,246.34
2024-04-24,246.61
2024-04-23,246.84
2024-04-22,246.31
2024-04-19,243.31
2024-04-18,241.99
2024-04-17,242.9
2024-04-16,244.21
2024-04-15,244.08
2024-04-12,243.85
2024-04-11,244.42
2024-04-10,245.79
2024-04-09,250.01
2024-04-08,246.64
2024-04-05,244.85
2024-04-04,241.49
2024-04-03,245.13
2024-04-02,247.66
2024-04-01,245.31
2024-03-28,249.74
2024-03-27,248.33
2024-03-26,245.07
2024-03-25,244.2
2024-03-22,247.61
2024-03-21,248.95
2024-03-20,247.72
2024-03-19,244.13
2024-03-18,241.85
2024-03-15,242.09
2024-03-14,243.25
2024-03-13,244.21
2024-03-12,244.67
2024-03-11,244.09
2024-03-08,242.4
2024-03-07,244.25
2024-03-06,243.76
2024-03-05,244.0
2024-03-04,246.2
2024-03-01,249.69
2024-02-29,251.13
2024-02-28,251.56
2024-02-27,251.31
2024-02-26,253.55
2024-02-23,255.87
2024-02-22,254.76
2024-02-21,253.92
2024-02-20,252.94
2024-02-16,252.97
2024-02-15,252.05
2024-02-14,250.9
2024-02-13,249.59
2024-02-12,250.07
2024-02-09,249.99
2024-02-08,251.08
2024-02-07,250.27
2024-02-06,250.81
2024-02-05,248.28
2024-02-02,248.81
2024-02-01,247.08
2024-01-31,245.78
2024-01-30,238.59
2024-01-29,237.71
2024-01-26,236.1
2024-01-25,236.72
2024-01-24,238.44
2024-01-23,240.36
2024-01-22,239.4
2024-01-19,238.24
2024-01-18,236.08
2024-01-17,235.39
2024-01-16,235.28
2024-01-12,235.95
2024-01-11,235.34
2024-01-10,235.29
2024-01-09,235.22
2024-01-08,236.76
2024-01-05,235.21
2024-01-04,233.66
2024-01-03,232.51
2024-01-02,233.42
2023-12-29,232.97
2023-12-28,232.49
2023-12-27,231.61
2023-12-26,232.54
2023-12-22,230.97
2023-12-21,228.99
2023-12-20,232.23
2023-12-19,233.7
2023-12-18,234.85
2023-12-15,234.14
2023-12-14,235.97
2023-12-13,239.22
2023-12-12,236.68
2023-12-11,233.29
2023-12-08,229.27
2023-12-07,229.99
2023-12-06,232.35
2023-12-05,231.56
2023-12-04,232.58
2023-12-01,232.94
2023-11-30,229.92
2023-11-29,229.16
2023-11-28,228.99
2023-11-27,229.16
2023-11-24,230.66
2023-11-22,231.15
2023-11-21,231.21
2023-11-20,231.71
2023-11-17,229.39
2023-11-16,229.91
2023-11-15,230.46
2023-11-14,230.42
2023-11-13,226.35
2023-11-10,228.49
2023-11-09,226.52
2023-11-08,225.48
2023-11-07,222.25
2023-11-06,220.54
2023-11-03,219.31
2023-11-02,218.56
2023-11-01,210.37
2023-10-31,218.22
2023-10-30,216.08
2023-10-27,214.84
2023-10-26,218.84
2023-10-25,218.33
2023-10-24,240.45
2023-10-23,241.16
2023-10-20,241.68
2023-10-19,246.08
2023-10-18,248.26
2023-10-17,249.33
2023-10-16,249.26
