,Close
2024-05-13,91.52
2024-05-10,91.61
2024-05-09,90.95
2024-05-08,90.58
2024-05-07,89.87
2024-05-06,88.81
2024-05-03,88.6
2024-05-02,88.25
2024-05-01,88.15
2024-04-30,86.03
2024-04-29,86.67
2024-04-26,85.26
2024-04-25,86.86
2024-04-24,86.37
2024-04-23,85.56
2024-04-22,84.9
2024-04-19,84.2
2024-04-18,82.56
2024-04-17,81.24
2024-04-16,79.51
2024-04-15,80.91
2024-04-12,82.1
2024-04-11,82.91
2024-04-10,83.29
2024-04-09,85.08
2024-04-08,84.27
2024-04-05,83.95
2024-04-04,83.96
2024-04-03,84.33
2024-04-02,85.21
2024-04-01,84.56
2024-03-28,86.1
2024-03-27,84.8
2024-03-26,82.48
2024-03-25,82.87
2024-03-22,82.95
2024-03-21,83.1
2024-03-20,82.85
2024-03-19,83.32
2024-03-18,82.16
2024-03-15,82.11
2024-03-14,81.86
2024-03-13,83.0
2024-03-12,83.39
2024-03-11,83.73
2024-03-08,83.84
2024-03-07,84.1
2024-03-06,83.92
2024-03-05,84.05
2024-03-04,84.95
2024-03-01,84.99
2024-02-29,85.19
2024-02-28,83.32
2024-02-27,84.07
2024-02-26,80.77
2024-02-23,82.45
2024-02-22,82.0
2024-02-21,82.56
2024-02-20,80.88
2024-02-16,81.35
2024-02-15,81.36
2024-02-14,78.8
2024-02-13,78.78
2024-02-12,77.59
2024-02-09,76.66
2024-02-08,75.94
2024-02-07,77.33
2024-02-06,77.23
2024-02-05,76.8
2024-02-02,78.63
2024-02-01,79.69
2024-01-31,78.14
2024-01-30,78.44
2024-01-29,78.38
2024-01-26,77.84
2024-01-25,78.09
2024-01-24,76.99
2024-01-23,78.11
2024-01-22,77.26
2024-01-19,77.7
2024-01-18,78.2
2024-01-17,79.73
2024-01-16,80.98
2024-01-12,81.49
2024-01-11,80.4
2024-01-10,82.54
2024-01-09,84.13
2024-01-08,84.51
2024-01-05,84.07
2024-01-04,83.39
2024-01-03,83.38
2024-01-02,83.18
2023-12-29,81.22
2023-12-28,81.33
2023-12-27,80.81
2023-12-26,80.73
2023-12-22,80.38
2023-12-21,80.04
2023-12-20,80.32
2023-12-19,82.13
2023-12-18,81.73
2023-12-15,82.23
2023-12-14,83.33
2023-12-13,83.57
2023-12-12,80.0
2023-12-11,80.49
2023-12-08,79.64
2023-12-07,80.2
2023-12-06,80.36
2023-12-05,79.31
2023-12-04,80.13
2023-12-01,80.51
2023-11-30,79.55
2023-11-29,79.215
2023-11-28,79.73
2023-11-27,78.54
2023-11-24,78.5
2023-11-22,78.25
2023-11-21,78.04
2023-11-20,77.19
2023-11-17,77.39
2023-11-16,77.38
2023-11-15,76.53
2023-11-14,77.41
2023-11-13,75.02
2023-11-10,77.7
2023-11-09,77.26
2023-11-08,78.15
2023-11-07,78.85
2023-11-06,79.25
2023-11-03,79.72
2023-11-02,79.24
2023-11-01,76.48
2023-10-31,75.54
2023-10-30,75.41
2023-10-27,74.93
2023-10-26,75.77
2023-10-25,75.36
2023-10-24,74.74
2023-10-23,73.35
2023-10-20,73.35
2023-10-19,74.42
2023-10-18,75.17
2023-10-17,75.67
2023-10-16,76.06
2023-10-13,74.47
2023-10-12,73.48
2023-10-11,75.28
2023-10-10,74.23
2023-10-09,73.66
2023-10-06,72.19
2023-10-05,71.33
2023-10-04,73.29
2023-10-03,72.81
2023-10-02,71.84
2023-09-29,75.22
2023-09-28,74.67
2023-09-27,75.86
2023-09-26,76.34
2023-09-25,78.68
2023-09-22,79.17
2023-09-21,79.88
2023-09-20,80.45
2023-09-19,80.06
2023-09-18,80.23
2023-09-15,80.04
2023-09-14,80.6
2023-09-13,79.33
2023-09-12,77.82
2023-09-11,77.8
2023-09-08,77.74
2023-09-07,77.34
2023-09-06,76.38
2023-09-05,76.0
2023-09-01,77.52
2023-08-31,78.4
2023-08-30,79.44
2023-08-29,79.63
2023-08-28,79.2
2023-08-25,79.33
2023-08-24,78.83
2023-08-23,79.43
2023-08-22,78.62
2023-08-21,78.56
2023-08-18,79.02
2023-08-17,78.78
2023-08-16,79.19
2023-08-15,79.1
2023-08-14,80.0
2023-08-11,81.11
2023-08-10,81.08
2023-08-09,80.71
2023-08-08,80.82
2023-08-07,80.88
2023-08-04,81.24
2023-08-03,81.99
2023-08-02,84.5
2023-08-01,84.03
2023-07-31,84.74
2023-07-28,85.42
2023-07-27,85.26
2023-07-26,87.61
2023-07-25,87.54
2023-07-24,87.6
2023-07-21,87.93
2023-07-20,86.82
2023-07-19,85.37
2023-07-18,84.67
2023-07-17,85.48
2023-07-14,87.22
2023-07-13,87.28
2023-07-12,87.24
2023-07-11,86.02
2023-07-10,84.34
2023-07-07,84.29
2023-07-06,85.33
2023-07-05,85.8
2023-07-03,85.32
2023-06-30,84.2
2023-06-29,83.26
2023-06-28,81.62
2023-06-27,83.44
2023-06-26,83.78
2023-06-23,83.49
2023-06-22,85.1
2023-06-21,85.45
2023-06-20,84.54
2023-06-16,84.93
2023-06-15,84.88
2023-06-14,83.61
2023-06-13,83.13
2023-06-12,83.69
2023-06-09,83.68
2023-06-08,84.68
2023-06-07,84.58
2023-06-06,83.44
2023-06-05,84.0
2023-06-02,83.45
2023-06-01,82.02
2023-05-31,83.12
2023-05-30,81.79
2023-05-26,82.25
2023-05-25,82.5
2023-05-24,85.17
2023-05-23,86.0
2023-05-22,86.41
2023-05-19,86.56
2023-05-18,86.64
2023-05-17,87.07
2023-05-16,88.09
2023-05-15,90.09
2023-05-12,91.66
2023-05-11,90.68
2023-05-10,91.72
2023-05-09,91.1
2023-05-08,92.14
2023-05-05,92.11
2023-05-04,91.44
2023-05-03,90.87
2023-05-02,91.28
2023-05-01,92.65
2023-04-28,92.42
2023-04-27,92.81
2023-04-26,92.25
2023-04-25,94.38
2023-04-24,94.24
2023-04-21,93.92
2023-04-20,93.51
2023-04-19,93.54
2023-04-18,92.47
2023-04-17,93.29
2023-04-14,92.5
2023-04-13,93.97
2023-04-12,94.26
2023-04-11,94.34
2023-04-10,94.44
2023-04-06,94.89
2023-04-05,94.54
2023-04-04,91.17
2023-04-03,90.9
2023-03-31,90.99
2023-03-30,90.43
2023-03-29,90.1
2023-03-28,88.93
2023-03-27,88.55
2023-03-24,89.09
2023-03-23,85.41
2023-03-22,86.85
2023-03-21,88.9
2023-03-20,91.76
2023-03-17,90.7
2023-03-16,92.01
2023-03-15,92.59
2023-03-14,90.25
2023-03-13,89.38
2023-03-10,87.53
2023-03-09,88.76
2023-03-08,89.3
2023-03-07,88.63
2023-03-06,89.37
2023-03-03,89.09
2023-03-02,87.99
2023-03-01,86.36
2023-02-28,87.97
2023-02-27,90.07
2023-02-24,90.43
2023-02-23,90.71
2023-02-22,90.82
2023-02-21,90.85
2023-02-17,92.41
2023-02-16,90.7
2023-02-15,90.92
2023-02-14,90.48
2023-02-13,91.09
2023-02-10,90.55
2023-02-09,88.48
2023-02-08,90.38
2023-02-07,92.28
2023-02-06,92.5
2023-02-03,92.11
2023-02-02,94.55
2023-02-01,94.65
2023-01-31,93.96
2023-01-30,92.87
2023-01-27,93.07
2023-01-26,92.99
2023-01-25,92.35
2023-01-24,92.7
2023-01-23,92.66
2023-01-20,92.17
2023-01-19,91.63
2023-01-18,92.45
2023-01-17,94.86
2023-01-13,94.84
2023-01-12,96.41
2023-01-11,97.63
2023-01-10,97.28
2023-01-09,97.95
2023-01-06,96.53
2023-01-05,93.78
2023-01-04,95.52
2023-01-03,94.87
2022-12-30,94.95
2022-12-29,96.01
2022-12-28,95.36
2022-12-27,96.29
2022-12-23,95.69
2022-12-22,94.47
2022-12-21,95.34
2022-12-20,93.67
2022-12-19,94.0
2022-12-16,94.57
2022-12-15,95.57
2022-12-14,98.49
2022-12-13,98.62
2022-12-12,98.55
2022-12-09,96.58
2022-12-08,97.72
2022-12-07,96.67
2022-12-06,96.37
2022-12-05,94.52
2022-12-02,95.12
2022-12-01,96.48
2022-11-30,96.8
2022-11-29,94.65
2022-11-28,95.22
2022-11-25,95.47
2022-11-23,95.13
2022-11-22,93.71
2022-11-21,93.15
2022-11-18,91.28
2022-11-17,89.07
2022-11-16,89.74
2022-11-15,89.22
2022-11-14,88.66
2022-11-11,89.98
2022-11-10,91.8
2022-11-09,87.82
2022-11-08,88.42
2022-11-07,87.1816
2022-11-04,88.737
2022-11-03,87.8553
2022-11-02,87.3897
2022-11-01,87.7067
2022-10-31,87.1024
2022-10-28,88.5686
2022-10-27,86.3693
2022-10-26,86.6367
2022-10-25,86.607
2022-10-24,85.2002
2022-10-21,84.8337
2022-10-20,83.1495
2022-10-19,85.1012
2022-10-18,85.7748
2022-10-17,84.2591
2022-10-14,82.7433
2022-10-13,83.9916
2022-10-12,80.9798
2022-10-11,84.0807
2022-10-10,83.6646
2022-10-07,82.2182
2022-10-06,83.7241
2022-10-05,86.8844
2022-10-04,89.8169
2022-10-03,87.4095
2022-09-30,85.646
2022-09-29,88.2417
2022-09-28,92.6899
2022-09-27,91.9964
2022-09-26,94.7407
2022-09-23,96.831
2022-09-22,97.9604
2022-09-21,97.6533
2022-09-20,98.8323
2022-09-19,100.17
2022-09-16,99.4267
2022-09-15,99.2583
2022-09-14,102.359
2022-09-13,101.25
2022-09-12,104.202
2022-09-09,103.736
2022-09-08,103.013
2022-09-07,103.766
2022-09-06,100.616
2022-09-02,100.15
2022-09-01,101.428
2022-08-31,99.2682
2022-08-30,100.398
2022-08-29,101.973
2022-08-26,100.873
2022-08-25,102.419
2022-08-24,101.705
2022-08-23,101.745
2022-08-22,102.448
2022-08-19,103.964
2022-08-18,103.399
2022-08-17,103.36
2022-08-16,103.489
2022-08-15,103.588
2022-08-12,102.815
2022-08-11,100.259
2022-08-10,100.398
2022-08-09,99.6347
2022-08-08,98.3765
2022-08-05,97.7671
2022-08-04,98.2487
2022-08-03,97.8949
2022-08-02,96.7841
2022-08-01,97.4132
2022-07-29,96.8824
2022-07-28,95.9584
2022-07-27,94.651
2022-07-26,94.7788
2022-07-25,94.1694
2022-07-22,92.7441
2022-07-21,91.2106
2022-07-20,91.1319
2022-07-19,91.997
2022-07-18,91.7808
2022-07-15,93.5993
2022-07-14,92.6654
2022-07-13,92.3018
2022-07-12,92.7637
2022-07-11,93.3928
2022-07-08,92.7342
2022-07-07,92.9111
2022-07-06,93.1865
2022-07-05,91.9872
2022-07-01,96.2828
2022-06-30,94.307
2022-06-29,93.7467
2022-06-28,93.4617
2022-06-27,93.3633
2022-06-24,92.0068
2022-06-23,90.8371
2022-06-22,88.7728
2022-06-21,88.419
2022-06-17,86.9052
2022-06-16,87.6719
2022-06-15,89.1071
2022-06-14,88.9006
2022-06-13,91.4269
2022-06-10,96.5875
2022-06-09,96.5875
2022-06-08,98.8189
2022-06-07,100.687
2022-06-06,100.323
2022-06-03,100.214
2022-06-02,100.51
2022-06-01,100.303
2022-05-31,100.294
2022-05-27,101.807
2022-05-26,100.834
2022-05-25,100.735
2022-05-24,100.48
2022-05-23,98.5633
2022-05-20,98.003
2022-05-19,97.3542
2022-05-18,98.18
2022-05-17,98.6911
2022-05-16,97.6983
2022-05-13,97.9931
2022-05-12,96.8529
2022-05-11,98.0816
2022-05-10,97.3936
2022-05-09,97.9931
2022-05-06,97.1871
2022-05-05,97.197
2022-05-04,98.2291
2022-05-03,96.1432
2022-05-02,95.7048
2022-04-29,96.6602
2022-04-28,99.9002
2022-04-27,97.0702
2022-04-26,96.7871
2022-04-25,98.0129
2022-04-22,97.772
2022-04-21,99.5951
2022-04-20,100.294
2022-04-19,99.9002
2022-04-18,99.1433
2022-04-14,99.5168
2022-04-13,99.7229
2022-04-12,99.7823
2022-04-11,98.8975
2022-04-08,100.441
2022-04-07,100.815
2022-04-06,101.905
2022-04-05,98.8091
2022-04-04,98.1603
2022-04-01,99.0056
2022-03-31,97.3041
2022-03-30,96.963
2022-03-29,96.2514
2022-03-28,95.1976
2022-03-25,94.4466
2022-03-24,94.0564
2022-03-23,93.6366
2022-03-22,92.8955
2022-03-21,92.3499
2022-03-18,91.7454
2022-03-17,92.5937
2022-03-16,92.7204
2022-03-15,93.7349
2022-03-14,92.3981
2022-03-11,93.1785
2022-03-10,93.6179
2022-03-09,92.6615
2022-03-08,92.8955
2022-03-07,94.8565
2022-03-04,93.9492
2022-03-03,91.6569
2022-03-02,88.9852
2022-03-01,87.9805
2022-02-28,88.4091
2022-02-25,87.2492
2022-02-24,84.4202
2022-02-23,82.5476
2022-02-22,83.8649
2022-02-18,83.5915
2022-02-17,83.3772
2022-02-16,83.2986
2022-02-15,83.3281
2022-02-14,84.0496
2022-02-11,85.4838
2022-02-10,85.2301
2022-02-09,87.1705
