,Close
2024-05-13,206.63
2024-05-10,209.73
2024-05-09,206.33
2024-05-08,207.36
2024-05-07,207.32
2024-05-06,208.86
2024-05-03,204.09
2024-05-02,197.91
2024-05-01,193.99
2024-04-30,198.65
2024-04-29,205.26
2024-04-26,203.38
2024-04-25,197.5
2024-04-24,196.06
2024-04-23,193.24
2024-04-22,189.46
2024-04-19,189.76
2024-04-18,194.32
2024-04-17,199.89
2024-04-16,209.48
2024-04-15,205.68
2024-04-12,207.86
2024-04-11,212.98
2024-04-10,209.25
2024-04-09,210.41
2024-04-08,209.04
2024-04-05,207.85
2024-04-04,203.39
2024-04-03,207.38
2024-04-02,206.11
2024-04-01,208.69
2024-03-28,206.23
2024-03-27,208.0
2024-03-26,206.67
2024-03-25,208.46
2024-03-22,210.25
2024-03-21,210.8
2024-03-20,205.06
2024-03-19,201.34
2024-03-18,200.73
2024-03-15,198.65
2024-03-14,200.75
2024-03-13,200.56
2024-03-12,204.94
2024-03-11,201.37
2024-03-08,205.56
2024-03-07,212.61
2024-03-06,212.17
2024-03-05,207.39
2024-03-04,209.49
2024-03-01,210.25
2024-02-29,201.62
2024-02-28,197.54
2024-02-27,202.86
2024-02-26,203.55
2024-02-23,197.16
2024-02-22,199.73
2024-02-21,190.33
2024-02-20,189.14
2024-02-16,199.57
2024-02-15,187.66
2024-02-14,186.19
2024-02-13,180.31
2024-02-12,185.54
2024-02-09,185.84
2024-02-08,173.89
2024-02-07,170.9
2024-02-06,168.7
2024-02-05,171.09
2024-02-02,168.18
2024-02-01,166.97
2024-01-31,164.3
2024-01-30,166.24
2024-01-29,168.48
2024-01-26,166.9
2024-01-25,172.63
2024-01-24,174.14
2024-01-23,167.05
2024-01-22,168.3
2024-01-19,167.94
2024-01-18,160.34
2024-01-17,153.37
2024-01-16,153.76
2024-01-12,151.25
2024-01-11,151.95
2024-01-10,149.81
2024-01-09,151.03
2024-01-08,151.56
2024-01-05,149.0
2024-01-04,149.31
2024-01-03,151.45
2024-01-02,154.37
2023-12-29,162.07
2023-12-28,163.12
2023-12-27,164.21
2023-12-26,164.28
2023-12-22,162.05
2023-12-21,161.39
2023-12-20,156.92
2023-12-19,162.33
2023-12-18,160.36
2023-12-15,161.95
2023-12-14,161.74
2023-12-13,156.99
2023-12-12,157.22
2023-12-11,155.14
2023-12-08,147.72
2023-12-07,148.39
2023-12-06,144.7
2023-12-05,146.15
2023-12-04,148.27
2023-12-01,151.59
2023-11-30,149.78
2023-11-29,149.36
2023-11-28,148.06
2023-11-27,150.81
2023-11-24,150.34
2023-11-22,149.48
2023-11-21,149.25
2023-11-20,152.57
2023-11-17,148.59
2023-11-16,154.81
2023-11-15,155.37
2023-11-14,154.08
2023-11-13,149.74
2023-11-10,150.68
2023-11-09,143.17
2023-11-08,144.23
2023-11-07,141.74
2023-11-06,140.36
2023-11-03,139.75
2023-11-02,138.51
2023-11-01,135.29
2023-10-31,132.35
2023-10-30,131.03
2023-10-27,131.3
2023-10-26,130.84
2023-10-25,130.11
2023-10-24,134.9
2023-10-23,134.23
2023-10-20,134.12
2023-10-19,134.43
2023-10-18,141.45
2023-10-17,142.72
2023-10-16,141.0
2023-10-13,141.14
2023-10-12,145.0
2023-10-11,142.18
2023-10-10,141.4
2023-10-09,140.15
2023-10-06,140.29
2023-10-05,139.28
2023-10-04,139.3
2023-10-03,136.72
2023-10-02,139.51
2023-09-29,138.45
2023-09-28,138.22
2023-09-27,135.06
2023-09-26,134.08
2023-09-25,136.59
2023-09-22,136.17
2023-09-21,135.19
2023-09-20,136.97
2023-09-19,137.71
2023-09-18,140.27
2023-09-15,138.25
2023-09-14,144.57
2023-09-13,144.58
2023-09-12,143.97
2023-09-11,146.71
2023-09-08,147.53
2023-09-07,148.23
2023-09-06,153.18
2023-09-05,153.61
2023-09-01,153.99
2023-08-31,152.76
2023-08-30,150.95
2023-08-29,149.98
2023-08-28,145.42
2023-08-25,144.36
2023-08-24,142.52
2023-08-23,148.0
2023-08-22,147.85
2023-08-21,148.77
2023-08-18,142.66
2023-08-17,137.59
2023-08-16,138.25
2023-08-15,140.08
2023-08-14,141.89
2023-08-11,138.83
2023-08-10,144.61
2023-08-09,145.16
2023-08-08,148.01
2023-08-07,150.38
2023-08-04,145.66
2023-08-03,147.81
2023-08-02,147.33
2023-08-01,152.63
2023-07-31,151.59
2023-07-28,151.93
2023-07-27,146.14
2023-07-26,139.02
2023-07-25,140.06
2023-07-24,138.35
2023-07-21,136.4
2023-07-20,134.04
2023-07-19,141.78
2023-07-18,144.51
2023-07-17,145.5
2023-07-14,142.74
2023-07-13,142.65
2023-07-12,138.89
2023-07-11,137.56
2023-07-10,140.56
2023-07-07,139.57
2023-07-06,140.38
2023-07-05,142.26
2023-07-03,145.47
2023-06-30,144.54
2023-06-29,144.23
2023-06-28,144.03
2023-06-27,146.55
2023-06-26,139.8
2023-06-23,136.07
2023-06-22,138.92
2023-06-21,136.67
2023-06-20,138.52
2023-06-16,138.93
2023-06-15,140.11
2023-06-14,141.17
2023-06-13,141.79
2023-06-12,140.01
2023-06-09,136.12
2023-06-08,136.2
2023-06-07,135.01
2023-06-06,133.94
2023-06-05,133.73
2023-06-02,134.63
2023-06-01,134.83
2023-05-31,133.3
2023-05-30,136.57
2023-05-26,136.06
2023-05-25,130.47
2023-05-24,121.73
2023-05-23,124.49
2023-05-22,126.55
2023-05-19,126.95
2023-05-18,129.92
2023-05-17,125.7
2023-05-16,120.92
2023-05-15,121.11
2023-05-12,116.09
2023-05-11,115.46
2023-05-10,115.41
2023-05-09,113.84
2023-05-08,115.75
2023-05-05,116.06
2023-05-04,112.45
2023-05-03,113.29
2023-05-02,112.16
2023-05-01,112.95
2023-04-28,113.03
2023-04-27,111.68
2023-04-26,110.31
2023-04-25,110.61
2023-04-24,113.61
2023-04-21,113.46
2023-04-20,114.39
2023-04-19,110.34
2023-04-18,111.27
2023-04-17,111.79
2023-04-14,112.9
2023-04-13,113.47
2023-04-12,113.16
2023-04-11,116.38
2023-04-10,116.5
2023-04-06,114.45
2023-04-05,117.32
2023-04-04,120.12
2023-04-03,122.32
2023-03-31,122.83
2023-03-30,122.11
2023-03-29,119.85
2023-03-28,116.4
2023-03-27,118.87
2023-03-24,119.53
2023-03-23,122.78
2023-03-22,118.86
2023-03-21,120.4
2023-03-20,124.04
2023-03-17,122.6
2023-03-16,122.83
2023-03-15,118.48
2023-03-14,120.34
2023-03-13,115.84
2023-03-10,114.39
2023-03-09,117.04
2023-03-08,118.65
2023-03-07,116.37
2023-03-06,118.54
2023-03-03,118.96
2023-03-02,118.45
2023-03-01,117.26
2023-02-28,116.15
2023-02-27,112.07
2023-02-24,111.31
2023-02-23,112.91
2023-02-22,110.41
2023-02-21,111.28
2023-02-17,115.44
2023-02-16,115.39
2023-02-15,119.46
2023-02-14,118.44
2023-02-13,116.53
2023-02-10,114.77
2023-02-09,116.08
2023-02-08,115.95
2023-02-07,120.52
2023-02-06,117.69
2023-02-03,119.98
2023-02-02,124.26
2023-02-01,119.01
2023-01-31,111.49
2023-01-30,108.2
2023-01-27,112.5
2023-01-26,115.58
2023-01-25,113.95
2023-01-24,112.99
2023-01-23,114.155
2023-01-20,109.65
2023-01-19,106.16
2023-01-18,109.7
2023-01-17,109.41
2023-01-13,109.97
2023-01-12,110.2
2023-01-11,110.06
2023-01-10,108.04
2023-01-09,106.49
2023-01-06,104.27
2023-01-05,97.92
2023-01-04,99.31
2023-01-03,96.73
2022-12-30,97.38
2022-12-29,97.14
2022-12-28,94.225
2022-12-27,95.34
2022-12-23,97.22
2022-12-22,97.6
2022-12-21,105.9
2022-12-20,103.5
2022-12-19,103.99
2022-12-16,104.73
2022-12-15,104.56
2022-12-14,109.64
2022-12-13,111.87
2022-12-12,109.37
2022-12-09,107.34
2022-12-08,108.61
2022-12-07,106.11
2022-12-06,104.71
2022-12-05,106.43
2022-12-02,106.71
2022-12-01,107.01
2022-11-30,109.6
2022-11-29,103.25
2022-11-28,103.47
2022-11-25,105.82
2022-11-23,107.67
2022-11-22,106.78
2022-11-21,104.885
2022-11-18,104.446
2022-11-17,104.196
2022-11-16,103.967
