,Close
2024-05-13,150.56
2024-05-10,151.92
2024-05-09,152.39
2024-05-08,153.62
2024-05-07,154.43
2024-05-06,155.78
2024-05-03,150.6
2024-05-02,146.16
2024-05-01,144.27
2024-04-30,158.38
2024-04-29,160.2
2024-04-26,157.4
2024-04-25,153.76
2024-04-24,151.74
2024-04-23,152.27
2024-04-22,148.64
2024-04-19,146.64
2024-04-18,155.08
2024-04-17,154.02
2024-04-16,163.46
2024-04-15,160.32
2024-04-12,163.28
2024-04-11,170.5
2024-04-10,167.14
2024-04-09,170.78
2024-04-08,169.9
2024-04-05,170.42
2024-04-04,165.83
2024-04-03,180.77
2024-04-02,178.7
2024-04-01,183.34
2024-03-28,180.49
2024-03-27,179.59
2024-03-26,177.87
2024-03-25,178.63
2024-03-22,179.65
2024-03-21,178.68
2024-03-20,179.73
2024-03-19,181.42
2024-03-18,190.65
2024-03-15,191.06
2024-03-14,187.06
2024-03-13,194.79
2024-03-12,202.76
2024-03-11,198.39
2024-03-08,207.39
2024-03-07,211.38
2024-03-06,210.63
2024-03-05,205.13
2024-03-04,205.36
2024-03-01,202.64
2024-02-29,192.53
2024-02-28,176.54
2024-02-27,178.0
2024-02-26,176.01
2024-02-23,176.52
2024-02-22,181.86
2024-02-21,164.29
2024-02-20,165.69
2024-02-16,173.87
2024-02-15,176.76
2024-02-14,178.7
2024-02-13,171.54
2024-02-12,171.91
2024-02-09,172.48
2024-02-08,169.35
2024-02-07,170.94
2024-02-06,167.88
2024-02-05,174.23
2024-02-02,177.66
2024-02-01,170.48
2024-01-31,167.69
2024-01-30,172.06
2024-01-29,177.83
2024-01-26,177.25
2024-01-25,180.33
2024-01-24,178.29
2024-01-23,168.42
2024-01-22,168.18
2024-01-19,174.23
2024-01-18,162.67
2024-01-17,160.17
2024-01-16,158.74
2024-01-12,146.56
2024-01-11,148.02
2024-01-10,148.54
2024-01-09,149.26
2024-01-08,146.18
2024-01-05,138.58
2024-01-04,136.01
2024-01-03,135.32
2024-01-02,138.58
2023-12-29,147.41
2023-12-28,148.76
2023-12-27,146.07
2023-12-26,143.41
2023-12-22,139.6
2023-12-21,139.91
2023-12-20,135.47
2023-12-19,140.15
2023-12-18,138.9
2023-12-15,139.15
2023-12-14,138.0
2023-12-13,138.19
2023-12-12,137.61
2023-12-11,134.41
2023-12-08,128.92
2023-12-07,128.37
2023-12-06,116.82
2023-12-05,118.38
2023-12-04,118.57
2023-12-01,121.39
2023-11-30,121.16
2023-11-29,123.85
2023-11-28,122.01
2023-11-27,122.65
2023-11-24,122.31
2023-11-22,122.51
2023-11-21,119.16
2023-11-20,121.53
2023-11-17,120.62
2023-11-16,119.83
2023-11-15,118.0
2023-11-14,119.88
2023-11-13,116.79
2023-11-10,118.59
2023-11-09,113.49
2023-11-08,113.59
2023-11-07,113.45
2023-11-06,111.75
2023-11-03,112.25
2023-11-02,107.83
2023-11-01,108.04
2023-10-31,98.5
2023-10-30,96.18
2023-10-27,96.43
2023-10-26,93.67
2023-10-25,96.055
2023-10-24,101.67
2023-10-23,100.01
2023-10-20,101.81
