,Close
2024-05-13,308.45
2024-05-10,310.15
2024-05-09,312.86
2024-05-08,307.31
2024-05-07,300.3
2024-05-06,299.48
2024-05-03,311.29
2024-05-02,278.39
2024-05-01,277.37
2024-04-30,273.94
2024-04-29,276.38
2024-04-26,269.98
2024-04-25,269.38
2024-04-24,273.01
2024-04-23,273.54
2024-04-22,271.91
2024-04-19,268.94
2024-04-18,262.75
2024-04-17,264.07
2024-04-16,265.64
2024-04-15,265.51
2024-04-12,267.28
2024-04-11,270.0
2024-04-10,266.45
2024-04-09,270.36
2024-04-08,269.16
2024-04-05,269.95
2024-04-04,268.09
2024-04-03,274.42
2024-04-02,276.21
2024-04-01,283.04
2024-03-28,284.32
2024-03-27,286.3
2024-03-26,281.77
2024-03-25,280.82
2024-03-22,276.17
2024-03-21,276.95
2024-03-20,273.05
2024-03-19,271.73
2024-03-18,270.9
2024-03-15,268.87
2024-03-14,271.54
2024-03-13,275.99
2024-03-12,276.54
2024-03-11,275.36
2024-03-08,273.75
2024-03-07,272.86
2024-03-06,276.59
2024-03-05,276.65
2024-03-04,279.39
2024-03-01,280.33
2024-02-29,273.83
2024-02-28,277.46
2024-02-27,278.49
2024-02-26,286.37
2024-02-23,289.18
2024-02-22,285.18
2024-02-21,283.46
2024-02-20,283.51
2024-02-16,283.7
2024-02-15,289.07
2024-02-14,290.07
2024-02-13,290.48
2024-02-12,294.43
2024-02-09,291.12
2024-02-08,294.85
2024-02-07,295.87
2024-02-06,316.07
2024-02-05,321.97
2024-02-02,323.19
2024-02-01,324.56
2024-01-31,314.26
2024-01-30,314.62
2024-01-29,313.45
2024-01-26,311.77
2024-01-25,310.26
2024-01-24,305.5
2024-01-23,309.91
2024-01-22,310.16
2024-01-19,307.81
2024-01-18,304.49
2024-01-17,304.08
2024-01-16,303.48
2024-01-12,306.51
2024-01-11,303.1
2024-01-10,304.57
2024-01-09,307.26
2024-01-08,310.88
2024-01-05,303.0
2024-01-04,303.17
2024-01-03,300.69
2024-01-02,297.39
2023-12-29,288.02
2023-12-28,288.46
2023-12-27,286.53
2023-12-26,283.9
2023-12-22,284.16
2023-12-21,279.33
2023-12-20,275.18
2023-12-19,278.44
2023-12-18,275.48
2023-12-15,275.45
2023-12-14,276.32
2023-12-13,281.62
2023-12-12,273.99
2023-12-11,272.14
2023-12-08,269.12
2023-12-07,271.31
2023-12-06,269.35
2023-12-05,270.87
2023-12-04,272.54
2023-12-01,272.45
2023-11-30,269.64
2023-11-29,266.6
2023-11-28,265.52
2023-11-27,264.27
2023-11-24,265.46
2023-11-22,264.59
2023-11-21,262.82
2023-11-20,265.35
2023-11-17,265.39
2023-11-16,269.0
2023-11-15,273.03
2023-11-14,270.02
2023-11-13,266.69
2023-11-10,267.31
2023-11-09,264.06
2023-11-08,273.26
2023-11-07,271.11
2023-11-06,272.83
2023-11-03,269.86
2023-11-02,266.59
2023-11-01,260.84
2023-10-31,255.7
2023-10-30,263.19
2023-10-27,261.57
2023-10-26,269.71
2023-10-25,272.16
2023-10-24,276.12
