,Close
2024-05-13,328.2
2024-05-10,328.25
2024-05-09,327.25
2024-05-08,326.96
2024-05-07,325.04
2024-05-06,321.59
2024-05-03,319.52
2024-05-02,314.53
2024-05-01,321.48
2024-04-30,324.88
2024-04-29,329.87
2024-04-26,333.75
2024-04-25,327.04
2024-04-24,328.57
2024-04-23,325.97
2024-04-22,324.81
2024-04-19,322.11
2024-04-18,324.5
2024-04-17,325.62
2024-04-16,326.81
2024-04-15,328.16
2024-04-12,334.2
2024-04-11,340.1
2024-04-10,339.49
2024-04-09,344.5
2024-04-08,344.1
2024-04-05,341.87
2024-04-04,341.18
2024-04-03,346.74
2024-04-02,345.78
2024-04-01,347.48
2024-03-28,347.16
2024-03-27,347.93
2024-03-26,349.84
2024-03-25,347.52
2024-03-22,349.24
2024-03-21,348.2
2024-03-20,343.32
2024-03-19,342.37
2024-03-18,335.27
2024-03-15,327.88
2024-03-14,330.29
2024-03-13,329.37
2024-03-12,337.73
2024-03-11,333.57
2024-03-08,335.11
2024-03-07,339.37
2024-03-06,335.86
2024-03-05,328.79
2024-03-04,340.48
2024-03-01,339.62
2024-02-29,334.17
2024-02-28,333.09
2024-02-27,335.77
2024-02-26,336.32
2024-02-23,340.89
2024-02-22,340.34
2024-02-21,328.63
2024-02-20,332.14
2024-02-16,329.85
2024-02-15,330.98
2024-02-14,330.0
2024-02-13,327.52
2024-02-12,337.88
2024-02-09,342.28
2024-02-08,345.33
2024-02-07,336.93
2024-02-06,336.66
2024-02-05,337.5
2024-02-02,335.25
2024-02-01,332.66
2024-01-31,327.83
2024-01-30,330.96
2024-01-29,333.19
2024-01-26,332.24
2024-01-25,339.42
2024-01-24,339.57
2024-01-23,341.86
2024-01-22,341.02
2024-01-19,337.0
2024-01-18,328.27
2024-01-17,330.24
2024-01-16,327.42
2024-01-12,346.48
2024-01-11,357.79
2024-01-10,354.86
2024-01-09,353.95
2024-01-08,348.63
2024-01-05,344.08
2024-01-04,344.16
2024-01-03,343.22
2024-01-02,353.0
2023-12-29,362.88
