,Close
2024-05-13,917.24
2024-05-10,930.29
2024-05-09,913.54
2024-05-08,911.47
2024-05-07,908.22
2024-05-06,916.92
2024-05-03,901.63
2024-05-02,870.28
2024-05-01,852.84
2024-04-30,872.47
2024-04-29,909.77
2024-04-26,918.97
2024-04-25,902.51
2024-04-24,892.32
2024-04-23,901.57
2024-04-22,872.05
2024-04-19,859.54
2024-04-18,889.03
2024-04-17,907.61
2024-04-16,976.92
2024-04-15,954.82
2024-04-12,961.84
2024-04-11,992.18
2024-04-10,974.61
2024-04-09,989.83
2024-04-08,982.71
2024-04-05,979.55
2024-04-04,953.41
2024-04-03,980.27
2024-04-02,966.71
2024-04-01,992.95
2024-03-28,970.47
2024-03-27,974.01
2024-03-26,971.3
2024-03-25,978.93
2024-03-22,979.96
2024-03-21,990.79
2024-03-20,970.92
2024-03-19,951.91
2024-03-18,941.34
2024-03-15,940.21
2024-03-14,959.78
2024-03-13,968.78
2024-03-12,984.29
2024-03-11,962.67
2024-03-08,994.33
2024-03-07,1047.39
2024-03-06,1003.93
2024-03-05,968.84
2024-03-04,998.04
2024-03-01,990.94
2024-02-29,951.68
2024-02-28,939.5
2024-02-27,941.37
2024-02-26,947.59
2024-02-23,933.25
2024-02-22,951.85
2024-02-21,908.21
2024-02-20,909.57
2024-02-16,928.94
2024-02-15,929.84
2024-02-14,924.44
2024-02-13,903.32
2024-02-12,929.21
2024-02-09,949.6
2024-02-08,922.94
2024-02-07,922.23
2024-02-06,904.89
2024-02-05,898.54
2024-02-02,890.66
2024-02-01,890.54
2024-01-31,869.82
2024-01-30,868.03
2024-01-29,882.62
2024-01-26,867.75
2024-01-25,869.08
2024-01-24,847.31
2024-01-23,778.39
2024-01-22,766.68
2024-01-19,757.83
2024-01-18,744.53
2024-01-17,712.27
2024-01-16,706.5
2024-01-12,713.22
2024-01-11,718.53
2024-01-10,717.79
2024-01-09,715.95
2024-01-08,720.84
2024-01-05,703.34
2024-01-04,700.29
2024-01-03,703.37
2024-01-02,716.92
2023-12-29,756.92
2023-12-28,757.85
2023-12-27,764.03
2023-12-26,762.68
2023-12-22,752.53
2023-12-21,755.27
2023-12-20,729.61
2023-12-19,744.72
2023-12-18,742.06
2023-12-15,752.96
2023-12-14,753.71
2023-12-13,735.29
2023-12-12,720.56
2023-12-11,710.24
2023-12-08,696.43
2023-12-07,699.65
2023-12-06,692.08
2023-12-05,694.53
2023-12-04,690.32
2023-12-01,692.2
2023-11-30,683.76
2023-11-29,687.61
2023-11-28,675.99
2023-11-27,688.38
2023-11-24,691.18
2023-11-22,684.8
2023-11-21,684.42
2023-11-20,694.31
2023-11-17,686.09
2023-11-16,680.87
2023-11-15,678.0
2023-11-14,675.41
2023-11-13,654.6
2023-11-10,661.28
2023-11-09,634.26
2023-11-08,639.29
