,Close
2024-05-13,1337.51
2024-05-10,1332.8
2024-05-09,1305.67
2024-05-08,1325.37
2024-05-07,1303.11
2024-05-06,1310.31
2024-05-03,1278.11
2024-05-02,1238.57
2024-05-01,1242.86
2024-04-30,1300.27
2024-04-29,1338.62
2024-04-26,1344.07
2024-04-25,1294.42
2024-04-24,1256.82
2024-04-23,1249.19
2024-04-22,1224.46
2024-04-19,1204.0
2024-04-18,1258.99
2024-04-17,1282.63
2024-04-16,1329.06
2024-04-15,1310.69
2024-04-12,1344.07
2024-04-11,1382.46
2024-04-10,1322.37
2024-04-09,1334.08
2024-04-08,1336.1
2024-04-05,1339.43
2024-04-04,1317.5
2024-04-03,1363.21
2024-04-02,1338.76
2024-04-01,1350.26
2024-03-28,1325.41
2024-03-27,1318.73
2024-03-26,1331.49
2024-03-25,1351.58
2024-03-22,1353.47
2024-03-21,1348.0
2024-03-20,1276.0
2024-03-19,1238.01
2024-03-18,1237.24
2024-03-15,1235.5
2024-03-14,1262.27
2024-03-13,1257.87
2024-03-12,1291.88
2024-03-11,1293.12
2024-03-08,1308.72
2024-03-07,1407.01
2024-03-06,1350.0
2024-03-05,1342.75
2024-03-04,1402.26
2024-03-01,1399.17
2024-02-29,1300.49
2024-02-28,1289.42
2024-02-27,1296.23
2024-02-26,1309.13
2024-02-23,1296.37
2024-02-22,1304.9
2024-02-21,1227.45
2024-02-20,1226.55
2024-02-16,1245.48
2024-02-15,1265.07
2024-02-14,1262.22
2024-02-13,1251.65
2024-02-12,1265.0
2024-02-09,1283.44
2024-02-08,1274.76
2024-02-07,1257.06
2024-02-06,1222.65
2024-02-05,1243.1
2024-02-02,1224.34
2024-02-01,1200.01
2024-01-31,1180.0
2024-01-30,1208.16
2024-01-29,1217.77
2024-01-26,1204.88
2024-01-25,1230.0
2024-01-24,1253.87
2024-01-23,1226.31
2024-01-22,1220.5
2024-01-19,1211.2
2024-01-18,1143.91
2024-01-17,1103.67
2024-01-16,1114.96
2024-01-12,1107.68
2024-01-11,1099.98
2024-01-10,1080.57
2024-01-09,1082.49
2024-01-08,1074.85
2024-01-05,1049.28
2024-01-04,1049.01
2024-01-03,1058.58
2024-01-02,1085.38
2023-12-29,1116.25
2023-12-28,1122.41
2023-12-27,1126.17
2023-12-26,1131.89
2023-12-22,1121.98
2023-12-21,1127.29
2023-12-20,1110.38
2023-12-19,1139.58
2023-12-18,1147.0
2023-12-15,1129.74
2023-12-14,1106.49
2023-12-13,1089.69
2023-12-12,1072.28
2023-12-11,1029.24
2023-12-08,944.3
2023-12-07,922.26
2023-12-06,903.64
2023-12-05,913.12
2023-12-04,923.97
2023-12-01,930.0
2023-11-30,925.73
2023-11-29,940.83
2023-11-28,946.35
2023-11-27,950.24
2023-11-24,978.87
2023-11-22,972.0
2023-11-21,981.2
2023-11-20,995.71
2023-11-17,977.73
2023-11-16,959.55
2023-11-15,975.4
2023-11-14,972.96
2023-11-13,946.93
2023-11-10,957.52
2023-11-09,911.38
2023-11-08,911.13
2023-11-07,897.82
2023-11-06,880.83
2023-11-03,882.68
2023-11-02,871.3
2023-11-01,852.94
2023-10-31,841.37
2023-10-30,841.25
2023-10-27,838.36
2023-10-26,826.75
2023-10-25,849.63
2023-10-24,881.11
2023-10-23,862.22
2023-10-20,853.63
2023-10-19,867.83
2023-10-18,887.03
2023-10-17,884.4
2023-10-16,902.57
2023-10-13,883.18
2023-10-12,905.6
2023-10-11,874.56
2023-10-10,858.41
2023-10-09,855.88
2023-10-06,845.26
2023-10-05,823.86
2023-10-04,823.81
2023-10-03,814.83
2023-10-02,834.95
2023-09-29,830.58
2023-09-28,832.0
2023-09-27,816.81
2023-09-26,816.19
2023-09-25,833.89
2023-09-22,829.08
2023-09-21,808.36
2023-09-20,830.57
2023-09-19,849.2
2023-09-18,850.0
2023-09-15,851.68
2023-09-14,871.64
2023-09-13,852.93
2023-09-12,844.52
2023-09-11,859.14
2023-09-08,857.55
2023-09-07,857.03
2023-09-06,872.27
2023-09-05,872.17
2023-09-01,872.52
2023-08-31,922.89
2023-08-30,892.28
2023-08-29,889.93
2023-08-28,861.08
2023-08-25,851.82
2023-08-24,854.46
2023-08-23,876.58
2023-08-22,855.79
2023-08-21,865.14
2023-08-18,825.84
2023-08-17,827.1
2023-08-16,832.99
2023-08-15,842.52
2023-08-14,854.1
2023-08-11,829.76
2023-08-10,842.9
2023-08-09,850.73
2023-08-08,883.16
2023-08-07,897.06
2023-08-04,881.65
2023-08-03,884.98
2023-08-02,892.3
2023-08-01,920.0
2023-07-31,898.65
2023-07-28,899.79
2023-07-27,893.53
2023-07-26,893.09
2023-07-25,917.99
2023-07-24,901.59
2023-07-21,896.75
2023-07-20,888.34
2023-07-19,901.37
2023-07-18,903.43
2023-07-17,910.35
2023-07-14,888.58
2023-07-13,890.36
2023-07-12,889.95
2023-07-11,882.05
2023-07-10,877.73
2023-07-07,846.75
2023-07-06,848.0
2023-07-05,861.86
2023-07-03,876.44
2023-06-30,867.43
2023-06-29,862.57
2023-06-28,847.94
2023-06-27,848.4
2023-06-26,821.63
2023-06-23,822.15
2023-06-22,842.43
2023-06-21,847.66
2023-06-20,868.03
2023-06-16,868.11
2023-06-15,883.43
2023-06-14,886.18
2023-06-13,851.12
2023-06-12,855.36
2023-06-09,804.62
2023-06-08,804.2
2023-06-07,792.63
2023-06-06,790.0
2023-06-05,802.3
2023-06-02,812.0
2023-06-01,789.95
2023-05-31,807.96
2023-05-30,803.34
2023-05-26,812.73
2023-05-25,728.8
2023-05-24,679.53
2023-05-23,686.5
2023-05-22,678.37
2023-05-19,682.25
2023-05-18,677.9
2023-05-17,657.47
2023-05-16,641.44
2023-05-15,639.8
2023-05-12,631.15
2023-05-11,627.67
2023-05-10,626.27
2023-05-09,618.51
2023-05-08,629.06
2023-05-05,630.12
2023-05-04,610.16
2023-05-03,613.2
2023-05-02,612.34
2023-05-01,637.95
2023-04-28,626.5
2023-04-27,618.41
2023-04-26,616.19
2023-04-25,622.02
2023-04-24,634.54
2023-04-21,632.9
2023-04-20,633.02
2023-04-19,634.5
2023-04-18,632.32
2023-04-17,627.36
2023-04-14,619.54
2023-04-13,624.24
2023-04-12,616.7
2023-04-11,621.57
2023-04-10,627.39
2023-04-06,622.64
2023-04-05,629.01
2023-04-04,634.41
2023-04-03,642.47
2023-03-31,641.54
2023-03-30,633.75
2023-03-29,625.5
2023-03-28,624.7
2023-03-27,626.84
2023-03-24,636.17
2023-03-23,639.23
2023-03-22,630.92
2023-03-21,636.75
2023-03-20,643.71
2023-03-17,630.97
2023-03-16,636.5
2023-03-15,626.04
2023-03-14,632.46
2023-03-13,616.47
2023-03-10,614.83
2023-03-09,622.52
2023-03-08,632.26
2023-03-07,625.15
2023-03-06,632.92
2023-03-03,632.76
2023-03-02,598.65
2023-03-01,593.57
2023-02-28,594.29
2023-02-27,585.45
2023-02-24,577.75
2023-02-23,583.8
2023-02-22,576.17
2023-02-21,581.54
2023-02-17,595.59
2023-02-16,600.54
2023-02-15,607.69
2023-02-14,602.31
2023-02-13,601.12
2023-02-10,593.25
2023-02-09,599.41
2023-02-08,601.71
2023-02-07,614.45
2023-02-06,601.3
2023-02-03,597.62
2023-02-02,605.77
2023-02-01,602.75
