,Close
2024-05-13,77.43
2024-05-10,77.18
2024-05-09,77.61
2024-05-08,76.97
2024-05-07,76.32
2024-05-06,75.76
2024-05-03,76.35
2024-05-02,75.8
2024-05-01,76.41
2024-04-30,75.88
2024-04-29,75.48
2024-04-26,75.17
2024-04-25,75.03
2024-04-24,71.2
2024-04-23,70.85
2024-04-22,70.13
2024-04-19,68.56
2024-04-18,68.36
2024-04-17,68.53
2024-04-16,68.265
2024-04-15,68.73
2024-04-12,68.93
2024-04-11,69.45
2024-04-10,68.11
2024-04-09,68.41
2024-04-08,67.7
2024-04-05,67.45
2024-04-04,67.34
2024-04-03,66.81
2024-04-02,67.0
2024-04-01,67.25
2024-03-28,67.75
2024-03-27,68.26
2024-03-26,66.33
2024-03-25,65.86
2024-03-22,66.26
2024-03-21,66.19
2024-03-20,65.73
2024-03-19,65.86
2024-03-18,65.85
2024-03-15,66.31
2024-03-14,67.04
2024-03-13,67.58
2024-03-12,67.4
2024-03-11,67.67
2024-03-08,66.5
2024-03-07,66.19
2024-03-06,65.27
2024-03-05,64.81
2024-03-04,64.79
2024-03-01,64.6
2024-02-29,64.16
2024-02-28,65.35
2024-02-27,66.33
2024-02-26,65.93
2024-02-23,65.83
2024-02-22,64.13
2024-02-21,65.09
2024-02-20,65.04
2024-02-16,64.27
2024-02-15,62.84
2024-02-14,61.66
2024-02-13,61.03
2024-02-12,61.41
2024-02-09,62.26
2024-02-08,63.52
2024-02-07,66.55
2024-02-06,67.04
2024-02-05,65.14
2024-02-02,65.64
2024-02-01,66.85
2024-01-31,66.64
2024-01-30,67.2
2024-01-29,67.19
2024-01-26,67.1
2024-01-25,67.02
2024-01-24,66.6
2024-01-23,66.75
2024-01-22,67.14
2024-01-19,66.54
2024-01-18,66.52
2024-01-17,66.25
2024-01-16,67.27
2024-01-12,69.42
2024-01-11,69.18
2024-01-10,69.57
2024-01-09,68.91
2024-01-08,69.21
2024-01-05,68.38
2024-01-04,68.78
2024-01-03,68.32
2024-01-02,68.4
2023-12-29,67.35
2023-12-28,67.3
2023-12-27,67.35
2023-12-26,66.5
2023-12-22,66.29
2023-12-21,66.3
2023-12-20,65.78
2023-12-19,65.9
2023-12-18,65.95
2023-12-15,64.8
2023-12-14,66.35
2023-12-13,65.9
2023-12-12,63.98
2023-12-11,63.5
2023-12-08,63.25
2023-12-07,63.51
2023-12-06,63.59
2023-12-05,64.01
2023-12-04,65.02
2023-12-01,64.79
2023-11-30,64.59
2023-11-29,64.12
2023-11-28,63.3
2023-11-27,63.66
2023-11-24,64.5
2023-11-22,63.61
2023-11-21,64.28
2023-11-20,63.79
2023-11-17,64.13
2023-11-16,63.8
2023-11-15,63.13
2023-11-14,64.23
2023-11-13,63.7
2023-11-10,63.17
2023-11-09,64.09
2023-11-08,63.53
2023-11-07,63.61
2023-11-06,64.05
2023-11-03,63.96
2023-11-02,64.18
2023-11-01,63.78
2023-10-31,63.23
2023-10-30,62.94
2023-10-27,61.89
2023-10-26,63.41
2023-10-25,64.21
2023-10-24,64.57
2023-10-23,63.05
2023-10-20,63.83
2023-10-19,64.42
2023-10-18,65.24
2023-10-17,69.275
2023-10-16,67.82
2023-10-13,67.33
2023-10-12,68.11
2023-10-11,68.01
2023-10-10,68.01
2023-10-09,67.04
2023-10-06,67.42
2023-10-05,66.88
2023-10-04,66.62
2023-10-03,66.26
2023-10-02,66.73
2023-09-29,67.72
2023-09-28,67.42
2023-09-27,67.94
2023-09-26,68.22
2023-09-25,68.94
2023-09-22,67.83
2023-09-21,67.02
2023-09-20,67.96
2023-09-19,66.67
2023-09-18,66.63
2023-09-15,68.27
2023-09-14,67.78
2023-09-13,66.45
2023-09-12,67.34
2023-09-11,66.6
2023-09-08,68.22
2023-09-07,68.0
2023-09-06,67.0
2023-09-05,67.64
2023-09-01,68.14
2023-08-31,67.82
2023-08-30,68.86
2023-08-29,69.14
2023-08-28,68.64
2023-08-25,68.25
2023-08-24,67.89
2023-08-23,69.1
2023-08-22,68.77
2023-08-21,68.88
2023-08-18,68.46
2023-08-17,69.12
2023-08-16,69.71
2023-08-15,69.51
2023-08-14,70.84
2023-08-11,70.37
2023-08-10,70.34
2023-08-09,71.28
2023-08-08,70.48
2023-08-07,69.93
2023-08-04,69.4
2023-08-03,69.67
2023-08-02,70.47
2023-08-01,71.45
2023-07-31,71.7
