,Close
2024-05-13,225.34
2024-05-10,221.5
2024-05-09,222.75
2024-05-08,219.72
2024-05-07,218.92
2024-05-06,221.42
2024-05-03,217.51
2024-05-02,213.51
2024-05-01,216.13
2024-04-30,214.82
2024-04-29,215.5
2024-04-26,208.9
2024-04-25,202.46
2024-04-24,201.99
2024-04-23,193.18
2024-04-22,194.11
2024-04-19,194.435
2024-04-18,190.52
2024-04-17,192.16
2024-04-16,195.15
2024-04-15,196.8
2024-04-12,198.18
2024-04-11,203.68
2024-04-10,201.55
2024-04-09,206.52
2024-04-08,204.95
2024-04-05,203.87
2024-04-04,205.3
2024-04-03,206.38
2024-04-02,207.64
2024-04-01,214.83
2024-03-28,215.63
2024-03-27,216.34
2024-03-26,212.02
2024-03-25,216.69
2024-03-22,218.1
2024-03-21,220.75
2024-03-20,218.15
2024-03-19,218.63
2024-03-18,219.4
2024-03-15,219.31
2024-03-14,219.62
2024-03-13,226.56
2024-03-12,227.36
2024-03-11,230.07
2024-03-08,223.24
2024-03-07,219.36
2024-03-06,217.56
2024-03-05,217.23
2024-03-04,221.02
2024-03-01,220.95
2024-02-29,216.99
2024-02-28,221.74
2024-02-27,223.94
2024-02-26,223.71
2024-02-23,223.32
2024-02-22,222.48
2024-02-21,221.11
2024-02-20,219.21
2024-02-16,219.08
2024-02-15,223.35
2024-02-14,220.74
2024-02-13,226.65
2024-02-12,244.74
2024-02-09,240.98
2024-02-08,240.3
2024-02-07,240.54
2024-02-06,245.55
2024-02-05,241.84
2024-02-02,243.72
2024-02-01,247.83
2024-01-31,246.66
2024-01-30,247.08
2024-01-29,247.52
2024-01-26,244.82
2024-01-25,246.21
2024-01-24,247.16
2024-01-23,251.68
2024-01-22,248.3
2024-01-19,249.96
2024-01-18,246.97
2024-01-17,245.27
2024-01-16,246.19
2024-01-12,248.12
2024-01-11,247.21
2024-01-10,254.23
2024-01-09,255.84
2024-01-08,257.98
2024-01-05,257.88
2024-01-04,260.28
2024-01-03,263.43
2024-01-02,267.71
2023-12-29,258.77
2023-12-28,260.58
2023-12-27,261.93
2023-12-26,260.7
2023-12-22,257.97
2023-12-21,253.86
2023-12-20,248.16
2023-12-19,251.69
2023-12-18,250.33
2023-12-15,248.13
2023-12-14,256.54
2023-12-13,255.56
2023-12-12,249.04
2023-12-11,246.11
2023-12-08,239.29
2023-12-07,239.12
2023-12-06,233.87
2023-12-05,229.57
2023-12-04,232.85
2023-12-01,234.64
2023-11-30,234.08
2023-11-29,232.06
2023-11-28,227.41
2023-11-27,228.79
2023-11-24,231.95
2023-11-22,231.25
2023-11-21,229.57
2023-11-20,230.11
2023-11-17,228.0
2023-11-16,229.46
2023-11-15,229.63
2023-11-14,225.26
2023-11-13,222.59
2023-11-10,224.79
2023-11-09,224.65
2023-11-08,231.69
2023-11-07,245.61
2023-11-06,248.63
2023-11-03,249.5
2023-11-02,241.86
2023-11-01,239.62
2023-10-31,237.54
2023-10-30,237.21
2023-10-27,234.52
2023-10-26,241.08
2023-10-25,246.72
2023-10-24,252.11
2023-10-23,253.39
2023-10-20,257.45
2023-10-19,257.3
2023-10-18,263.5
2023-10-17,267.43
2023-10-16,267.94
2023-10-13,262.26
2023-10-12,260.99
2023-10-11,266.52
2023-10-10,264.14
2023-10-09,264.21
2023-10-06,263.25
2023-10-05,259.77
2023-10-04,257.16
2023-10-03,251.31
2023-10-02,252.86
2023-09-29,257.01
2023-09-28,257.83
2023-09-27,257.52
2023-09-26,258.05
2023-09-25,255.02
2023-09-22,257.68
2023-09-21,258.93
2023-09-20,260.53
2023-09-19,256.67
2023-09-18,253.3
2023-09-15,254.79
2023-09-14,256.32
2023-09-13,255.91
2023-09-12,258.44
2023-09-11,258.92
2023-09-08,258.99
2023-09-07,261.34
2023-09-06,263.72
2023-09-05,266.29
2023-09-01,267.17
2023-08-31,267.36
2023-08-30,267.18
2023-08-29,268.0
2023-08-28,265.05
2023-08-25,264.43
2023-08-24,262.43
2023-08-23,264.8
2023-08-22,262.98
2023-08-21,265.07
2023-08-18,261.15
2023-08-17,261.5
2023-08-16,265.26
2023-08-15,270.22
2023-08-14,272.74
2023-08-11,273.68
2023-08-10,269.06
2023-08-09,271.29
2023-08-08,274.14
2023-08-07,271.23
2023-08-04,268.92
2023-08-03,267.75
2023-08-02,271.56
2023-08-01,269.3
2023-07-31,270.19
2023-07-28,265.23
2023-07-27,262.79
2023-07-26,265.25
2023-07-25,270.31
2023-07-24,277.0
2023-07-21,276.74
2023-07-20,274.7
2023-07-19,276.89
2023-07-18,276.17
2023-07-17,278.4
2023-07-14,278.93
2023-07-13,277.97
2023-07-12,277.62
2023-07-11,279.84
2023-07-10,281.58
2023-07-07,275.07
2023-07-06,284.99
2023-07-05,285.89
2023-07-03,285.44
2023-06-30,284.85
2023-06-29,282.13
2023-06-28,284.02
2023-06-27,282.95
2023-06-26,281.58
2023-06-23,284.52
2023-06-22,293.95
2023-06-21,294.36
2023-06-20,293.79
2023-06-16,297.48
2023-06-15,297.83
2023-06-14,299.99
2023-06-13,304.6
2023-06-12,313.41
2023-06-08,308.88
2023-06-07,304.9
2023-06-06,299.79
2023-06-05,302.13
2023-06-02,300.2
2023-06-01,302.41
2023-05-31,296.41
2023-05-30,298.69
2023-05-26,298.66
2023-05-25,297.13
2023-05-24,301.56
2023-05-23,303.15
2023-05-22,306.87
2023-05-19,308.48
2023-05-18,305.45
2023-05-17,306.25
2023-05-16,307.61
2023-05-15,311.87
2023-05-12,309.6
2023-05-11,310.56
2023-05-10,313.26
2023-05-09,314.0
2023-05-08,314.37
2023-05-05,318.06
2023-05-04,313.57
2023-05-03,311.0
2023-05-02,309.28
2023-05-01,311.11
2023-04-28,304.23
2023-04-27,293.72
2023-04-26,288.04
2023-04-25,282.41
2023-04-24,293.03
2023-04-21,293.99
2023-04-20,290.27
2023-04-19,292.27
2023-04-18,293.83
2023-04-17,292.2
2023-04-14,288.13
2023-04-13,289.7
2023-04-12,285.79
2023-04-11,283.69
2023-04-10,282.86
2023-04-06,286.8
2023-04-05,283.99
2023-04-04,275.25
2023-04-03,277.34
2023-03-31,278.03
2023-03-30,275.13
2023-03-29,274.01
2023-03-28,270.25
2023-03-27,269.98
2023-03-24,270.03
2023-03-23,265.17
2023-03-22,261.22
2023-03-21,266.15
2023-03-20,267.91
2023-03-17,263.16
2023-03-16,265.25
2023-03-15,262.37
2023-03-14,262.35
2023-03-13,258.55
2023-03-10,256.56
2023-03-09,258.99
2023-03-08,263.02
2023-03-07,264.88
2023-03-06,270.25
2023-03-03,270.27
2023-03-02,268.75
2023-03-01,272.21
2023-02-28,269.86
2023-02-27,269.2
2023-02-24,270.02
2023-02-23,271.95
2023-02-22,272.55
2023-02-21,271.93
