,Close
2024-05-13,32.41
2024-05-10,32.34
2024-05-09,32.78
2024-05-08,31.9
2024-05-07,32.14
2024-05-06,32.0
2024-05-03,31.92
2024-05-02,31.93
2024-05-01,31.89
2024-04-30,32.62
2024-04-29,33.22
2024-04-26,32.84
2024-04-25,33.3
2024-04-24,32.67
2024-04-23,33.0
2024-04-22,32.46
2024-04-19,32.595
2024-04-18,32.2
2024-04-17,32.02
2024-04-16,32.1
2024-04-15,32.45
2024-04-12,33.05
2024-04-11,33.99
2024-04-10,34.15
2024-04-09,34.19
2024-04-08,34.25
2024-04-05,34.31
2024-04-04,33.92
2024-04-03,33.88
2024-04-02,33.59
2024-04-01,33.44
2024-03-28,33.5
2024-03-27,33.09
2024-03-26,32.83
2024-03-25,33.29
2024-03-22,33.44
2024-03-21,33.76
2024-03-20,33.39
2024-03-19,33.22
2024-03-18,32.39
2024-03-15,32.32
2024-03-14,31.94
2024-03-13,31.75
2024-03-12,31.49
2024-03-11,31.3
2024-03-08,30.6
2024-03-07,30.83
2024-03-06,30.56
2024-03-05,30.17
2024-03-04,29.43
2024-03-01,29.96
2024-02-29,29.59
2024-02-28,29.48
2024-02-27,29.72
2024-02-26,29.84
2024-02-23,29.89
2024-02-22,29.2
2024-02-21,29.34
2024-02-20,29.05
2024-02-16,29.15
2024-02-15,29.2
2024-02-14,28.85
2024-02-13,29.01
2024-02-12,29.5
2024-02-09,29.06
2024-02-08,29.32
2024-02-07,29.12
2024-02-06,29.39
2024-02-05,28.8
2024-02-02,28.99
2024-02-01,28.63
2024-01-31,28.5
2024-01-30,29.34
2024-01-29,30.0
2024-01-26,30.48
2024-01-25,30.3
2024-01-24,30.04
2024-01-23,31.53
2024-01-22,30.98
2024-01-19,30.7
2024-01-18,30.87
2024-01-17,30.79
2024-01-16,30.67
2024-01-12,31.52
2024-01-11,31.17
2024-01-10,31.23
2024-01-09,31.62
2024-01-08,32.44
2024-01-05,33.42
2024-01-04,33.25
2024-01-03,33.92
2024-01-02,33.93
2023-12-29,34.18
2023-12-28,34.2
2023-12-27,34.49
2023-12-26,34.78
2023-12-22,34.12
2023-12-21,34.04
2023-12-20,34.03
2023-12-19,34.07
2023-12-18,34.07
2023-12-15,33.58
2023-12-14,33.54
2023-12-13,32.6
2023-12-12,32.3
2023-12-11,32.51
2023-12-08,32.24
2023-12-07,31.73
2023-12-06,31.86
2023-12-05,32.8
2023-12-04,33.75
2023-12-01,33.79
2023-11-30,33.75
2023-11-29,33.34
2023-11-28,33.82
2023-11-27,33.97
2023-11-24,33.89
2023-11-22,33.58
2023-11-21,33.91
2023-11-20,33.87
2023-11-17,33.71
2023-11-16,33.24
2023-11-15,34.66
2023-11-14,34.7
2023-11-13,34.47
2023-11-10,34.34
2023-11-09,33.92
2023-11-08,33.74
2023-11-07,33.86
2023-11-06,34.94
2023-11-03,35.19
2023-11-02,35.51
2023-11-01,34.84
2023-10-31,34.42
2023-10-30,34.96
2023-10-27,34.81
2023-10-26,35.02
2023-10-25,34.02
2023-10-24,34.48
2023-10-23,34.67
2023-10-20,34.84
2023-10-19,35.58
2023-10-18,35.72
2023-10-17,35.61
2023-10-16,35.17
2023-10-13,34.85
2023-10-12,34.77
2023-10-11,34.9
2023-10-10,34.9
2023-10-09,34.8
2023-10-06,33.73
2023-10-05,33.35
2023-10-04,33.14
2023-10-03,34.53
2023-10-02,34.56
2023-09-29,35.32
2023-09-28,36.59
2023-09-27,36.25
2023-09-26,35.71
2023-09-25,35.9
2023-09-22,35.4
2023-09-21,35.06
2023-09-20,35.8
2023-09-19,36.18
2023-09-18,36.46
2023-09-15,36.16
2023-09-14,36.68
2023-09-13,36.24
2023-09-12,37.1
2023-09-11,36.74
2023-09-08,36.95
2023-09-07,37.2
2023-09-06,37.22
2023-09-05,37.07
2023-09-01,36.81
2023-08-31,36.19
2023-08-30,36.05
2023-08-29,36.1
2023-08-28,36.0
2023-08-25,35.39
2023-08-24,35.23
2023-08-23,35.46
2023-08-22,35.18
2023-08-21,35.05
2023-08-18,35.26
2023-08-17,34.87
2023-08-16,34.97
2023-08-15,35.11
2023-08-14,35.33
2023-08-11,35.48
2023-08-10,35.33
2023-08-09,36.11
2023-08-08,35.65
2023-08-07,35.59
2023-08-04,35.52
2023-08-03,35.65
2023-08-02,35.56
2023-08-01,35.77
2023-07-31,35.79
2023-07-28,35.42
2023-07-27,34.66
2023-07-26,35.53
2023-07-25,35.74
2023-07-24,35.84
2023-07-21,35.43
2023-07-20,34.66
2023-07-19,35.2
2023-07-18,35.04
2023-07-17,34.65
2023-07-14,34.35
2023-07-13,34.68
2023-07-12,34.44
2023-07-11,34.03
2023-07-10,33.23
2023-07-07,33.11
2023-07-06,31.6
2023-07-05,31.54
2023-07-03,31.6
2023-06-30,31.61
2023-06-29,31.36
2023-06-28,31.13
2023-06-27,30.97
2023-06-26,30.53
2023-06-23,29.77
2023-06-22,30.15
2023-06-21,30.49
2023-06-20,29.8
2023-06-16,30.57
2023-06-15,30.24
2023-06-14,29.94
2023-06-13,30.17
2023-06-12,29.79
2023-06-09,30.01
2023-06-08,30.29
2023-06-07,30.64
2023-06-06,30.59
2023-06-05,29.67
2023-06-02,29.58
2023-06-01,28.61
2023-05-31,27.25
2023-05-30,27.8
2023-05-26,27.89
2023-05-25,28.0
2023-05-24,28.72
2023-05-23,28.4
2023-05-22,28.37
2023-05-19,28.17
2023-05-18,28.18
2023-05-17,27.48
2023-05-16,27.44
2023-05-15,27.89
2023-05-12,27.66
2023-05-11,27.36
2023-05-10,27.89
2023-05-09,28.19
2023-05-08,28.11
2023-05-05,28.22
2023-05-04,27.22
2023-05-03,27.46
2023-05-02,27.35
2023-05-01,28.88
2023-04-28,29.24
2023-04-27,28.84
2023-04-26,28.76
2023-04-25,29.29
2023-04-24,30.19
2023-04-21,29.66
2023-04-20,30.09
2023-04-19,30.56
2023-04-18,29.5
2023-04-17,29.15
2023-04-14,29.15
2023-04-13,29.45
2023-04-12,29.25
2023-04-11,29.15
2023-04-10,28.83
2023-04-06,28.51
2023-04-05,29.04
2023-04-04,29.25
2023-04-03,29.91
2023-03-31,28.86
2023-03-30,28.75
2023-03-29,28.17
2023-03-28,27.58
2023-03-27,27.26
2023-03-24,27.02
2023-03-23,26.73
2023-03-22,27.04
2023-03-21,28.04
2023-03-20,26.95
2023-03-17,26.92
2023-03-16,27.3
2023-03-15,26.85
2023-03-14,28.36
