,Close
2024-05-13,74.46
2024-05-10,73.83
2024-05-09,73.64
2024-05-08,73.52
2024-05-07,73.3
2024-05-06,71.36
2024-05-03,71.81
2024-05-02,71.53
2024-05-01,71.59
2024-04-30,72.02
2024-04-29,72.015
2024-04-26,71.5
2024-04-25,70.94
2024-04-24,69.66
2024-04-23,69.13
2024-04-22,69.1
2024-04-19,67.62
2024-04-18,66.6
2024-04-17,66.35
2024-04-16,66.45
2024-04-15,67.08
2024-04-12,67.74
2024-04-11,67.89
2024-04-10,67.42
2024-04-09,68.5
2024-04-08,68.81
2024-04-05,69.29
2024-04-04,68.75
2024-04-03,68.95
2024-04-02,68.97
2024-04-01,69.29
2024-03-28,69.95
2024-03-27,71.5
2024-03-26,71.46
2024-03-25,71.54
2024-03-22,71.32
2024-03-21,71.38
2024-03-20,71.79
2024-03-19,70.95
2024-03-18,71.31
2024-03-15,70.92
2024-03-14,71.97
2024-03-13,72.07
2024-03-12,71.48
2024-03-11,71.52
2024-03-08,70.59
2024-03-07,70.56
2024-03-06,69.6
2024-03-05,69.49
2024-03-04,69.54
2024-03-01,69.4
2024-02-29,68.63
2024-02-28,69.6
2024-02-27,70.76
2024-02-26,71.69
2024-02-23,68.56
2024-02-22,68.62
2024-02-21,68.65
2024-02-20,68.34
2024-02-16,67.6
2024-02-15,67.22
2024-02-14,66.17
2024-02-13,66.27
2024-02-12,67.18
2024-02-09,67.15
2024-02-08,66.91
2024-02-07,67.0
2024-02-06,67.79
2024-02-05,68.48
2024-02-02,69.54
2024-02-01,70.01
2024-01-31,68.9
2024-01-30,69.14
2024-01-29,68.75
2024-01-26,68.84
2024-01-25,68.22
2024-01-24,67.55
2024-01-23,67.56
2024-01-22,67.11
2024-01-19,67.55
2024-01-18,66.65
2024-01-17,66.57
2024-01-16,67.26
2024-01-12,67.23
2024-01-11,65.55
2024-01-10,64.96
2024-01-09,65.11
2024-01-08,65.92
2024-01-05,64.61
2024-01-04,65.45
2024-01-03,65.76
2024-01-02,66.49
2023-12-29,66.74
2023-12-28,66.82
2023-12-27,66.74
2023-12-26,66.17
2023-12-22,65.94
2023-12-21,65.23
2023-12-20,64.47
2023-12-19,65.17
2023-12-18,65.15
2023-12-15,64.69
2023-12-14,64.93
2023-12-13,65.31
2023-12-12,64.2
2023-12-11,63.39
2023-12-08,63.41
2023-12-07,64.02
2023-12-06,63.63
2023-12-05,62.28
2023-12-04,62.0
2023-12-01,60.33
2023-11-30,60.64
2023-11-29,59.7
2023-11-28,60.04
2023-11-27,60.44
2023-11-24,61.24
2023-11-22,61.01
2023-11-21,60.81
2023-11-20,61.01
2023-11-17,60.08
2023-11-16,60.16
2023-11-15,61.53
2023-11-14,61.46
2023-11-13,61.07
2023-11-10,60.78
2023-11-09,60.63
2023-11-08,60.77
2023-11-07,61.4
2023-11-06,60.67
2023-11-03,60.47
2023-11-02,60.19
2023-11-01,59.44
2023-10-31,58.51
2023-10-30,58.45
2023-10-27,57.92
2023-10-26,58.64
2023-10-25,58.78
2023-10-24,58.66
2023-10-23,57.58
2023-10-20,57.12
2023-10-19,57.83
