,Close
2024-05-13,222.05
2024-05-10,222.46
2024-05-09,222.97
2024-05-08,220.32
2024-05-07,220.68
2024-05-06,221.82
2024-05-03,219.56
2024-05-02,218.41
2024-05-01,214.61
2024-04-30,241.86
2024-04-29,245.94
2024-04-26,242.26
2024-04-25,243.42
2024-04-24,240.69
2024-04-23,240.47
2024-04-22,237.64
2024-04-19,235.78
2024-04-18,235.7
2024-04-17,236.78
2024-04-16,240.01
2024-04-15,241.38
2024-04-12,242.91
2024-04-11,248.0
2024-04-10,247.28
2024-04-09,254.25
2024-04-08,254.26
2024-04-05,255.19
2024-04-04,252.54
2024-04-03,255.76
2024-04-02,251.63
2024-04-01,253.06
2024-03-28,255.78
2024-03-27,257.87
2024-03-26,254.12
2024-03-25,253.85
2024-03-22,255.67
2024-03-21,254.81
2024-03-20,250.8
2024-03-19,248.0
2024-03-18,245.02
2024-03-15,245.51
2024-03-14,246.48
2024-03-13,248.63
2024-03-12,249.87
2024-03-11,247.94
2024-03-08,247.95
2024-03-07,248.34
2024-03-06,247.19
2024-03-05,244.97
2024-03-04,246.67
2024-03-01,247.32
2024-02-29,246.21
2024-02-28,244.91
2024-02-27,244.27
2024-02-26,246.23
2024-02-23,247.11
2024-02-22,247.56
2024-02-21,241.34
2024-02-20,241.79
2024-02-16,241.37
2024-02-15,242.75
2024-02-14,239.48
2024-02-13,237.47
2024-02-12,242.0
2024-02-09,245.23
2024-02-08,243.96
2024-02-07,237.6
2024-02-06,230.5
2024-02-05,230.73
2024-02-02,232.66
2024-02-01,230.08
2024-01-31,226.72
2024-01-30,230.22
2024-01-29,229.11
2024-01-26,229.69
2024-01-25,228.99
2024-01-24,226.33
2024-01-23,224.81
2024-01-22,226.91
2024-01-19,226.46
2024-01-18,225.03
2024-01-17,219.07
2024-01-16,220.72
2024-01-12,219.14
2024-01-11,221.17
2024-01-10,220.27
2024-01-09,218.18
2024-01-08,218.21
2024-01-05,214.04
2024-01-04,215.08
2024-01-03,217.3
2024-01-02,220.67
2023-12-29,227.32
2023-12-28,228.7
2023-12-27,228.55
2023-12-26,228.73
2023-12-22,226.63
2023-12-21,225.1
2023-12-20,222.41
2023-12-19,223.95
2023-12-18,223.69
2023-12-15,223.23
2023-12-14,220.44
2023-12-13,218.02
2023-12-12,217.62
2023-12-11,215.72
2023-12-08,213.19
2023-12-07,212.58
2023-12-06,209.59
2023-12-05,210.41
2023-12-04,212.6
2023-12-01,212.56
2023-11-30,210.88
2023-11-29,212.09
2023-11-28,212.68
2023-11-27,214.9
2023-11-24,216.69
2023-11-22,217.02
2023-11-21,216.84
2023-11-20,217.24
2023-11-17,215.29
2023-11-16,215.51
2023-11-15,218.92
2023-11-14,218.46
2023-11-13,211.97
2023-11-10,211.67
2023-11-09,208.5
2023-11-08,209.28
2023-11-07,208.0
2023-11-06,211.04
2023-11-03,209.46
2023-11-02,206.67
2023-11-01,199.16
2023-10-31,200.4
2023-10-30,197.05
2023-10-27,198.9
2023-10-26,198.42
2023-10-25,198.7
2023-10-24,199.89
2023-10-23,199.55
2023-10-20,200.42
2023-10-19,202.85
2023-10-18,206.16
2023-10-17,208.9
2023-10-16,208.82
2023-10-13,207.26
2023-10-12,211.58
2023-10-11,213.82
2023-10-10,210.15
2023-10-09,208.12
2023-10-06,205.63
2023-10-05,203.04
2023-10-04,205.42
2023-10-03,201.77
2023-10-02,200.98
2023-09-29,201.76
2023-09-28,202.88
2023-09-27,198.69
2023-09-26,200.24
2023-09-25,205.0
2023-09-22,205.76
2023-09-21,205.04
2023-09-20,209.0
2023-09-19,208.67
2023-09-18,208.69
