,Close
2024-05-13,213.59
2024-05-10,214.93
2024-05-09,215.91
2024-05-08,208.0
2024-05-07,200.56
2024-05-06,197.7
2024-05-03,194.86
2024-05-02,186.18
2024-05-01,184.56
2024-04-30,185.94
2024-04-29,188.61
2024-04-26,188.37
2024-04-25,188.01
2024-04-24,186.16
2024-04-23,188.25
2024-04-22,183.22
2024-04-19,180.97
2024-04-18,183.86
2024-04-17,185.4
2024-04-16,186.65
2024-04-15,185.4
2024-04-12,191.67
2024-04-11,192.88
2024-04-10,191.08
2024-04-09,188.1
2024-04-08,191.98
2024-04-05,193.08
2024-04-04,183.11
2024-04-03,190.26
2024-04-02,188.13
2024-04-01,185.98
2024-03-28,184.85
2024-03-27,184.89
2024-03-26,185.41
2024-03-25,187.26
2024-03-22,178.24
2024-03-21,174.13
2024-03-20,175.71
2024-03-19,172.41
2024-03-18,168.84
2024-03-15,165.52
2024-03-14,164.64
2024-03-13,167.86
2024-03-12,168.37
2024-03-11,167.91
2024-03-08,170.57
2024-03-07,179.58
2024-03-06,179.98
2024-03-05,176.77
2024-03-04,175.99
2024-03-01,169.99
2024-02-29,168.45
2024-02-28,170.83
2024-02-27,155.76
2024-02-26,133.22
2024-02-23,133.99
2024-02-22,133.39
2024-02-21,131.4
2024-02-20,131.8
2024-02-16,131.16
2024-02-15,131.5
2024-02-14,128.67
2024-02-13,127.91
2024-02-12,128.51
2024-02-09,132.17
2024-02-08,130.72
2024-02-07,132.5
2024-02-06,131.01
2024-02-05,127.03
2024-02-02,129.71
2024-02-01,127.63
2024-01-31,122.0
2024-01-30,121.88
2024-01-29,121.01
2024-01-26,121.27
2024-01-25,120.55
2024-01-24,115.67
2024-01-23,118.69
2024-01-22,117.21
2024-01-19,114.45
2024-01-18,111.41
2024-01-17,111.92
2024-01-16,111.81
2024-01-12,112.91
2024-01-11,112.91
2024-01-10,115.85
2024-01-09,116.49
2024-01-08,117.03
2024-01-05,116.24
2024-01-04,115.36
2024-01-03,115.85
2024-01-02,115.25
2023-12-29,116.89
2023-12-28,117.11
2023-12-27,117.42
2023-12-26,117.57
2023-12-22,115.33
2023-12-21,118.31
2023-12-20,117.01
2023-12-19,120.81
2023-12-18,119.36
2023-12-15,118.75
2023-12-14,115.6
2023-12-13,116.43
2023-12-12,114.49
2023-12-11,116.15
2023-12-08,111.21
2023-12-07,110.53
2023-12-06,112.63
2023-12-05,118.31
2023-12-04,118.92
2023-12-01,119.88
2023-11-30,121.04
2023-11-29,120.58
2023-11-28,124.45
2023-11-27,125.1
2023-11-24,123.86
2023-11-22,123.25
2023-11-21,122.51
2023-11-20,122.28
2023-11-17,121.69
2023-11-16,121.67
2023-11-15,121.99
2023-11-14,126.52
2023-11-13,121.72
2023-11-10,121.77
2023-11-09,120.63
2023-11-08,121.18
2023-11-07,119.87
2023-11-06,124.73
2023-11-03,117.07
2023-11-02,117.19
2023-11-01,114.85
2023-10-31,112.92
2023-10-30,113.03
2023-10-27,110.78
2023-10-26,112.72
2023-10-25,112.03
2023-10-24,114.27
2023-10-23,112.11
2023-10-20,112.1
2023-10-19,114.29
2023-10-18,116.07
2023-10-17,117.15
2023-10-16,116.83
2023-10-13,113.69
2023-10-12,115.72
2023-10-11,115.07
2023-10-10,113.0
2023-10-09,111.38
2023-10-06,110.17
2023-10-05,107.88
2023-10-04,106.16
2023-10-03,104.89
2023-10-02,104.73
2023-09-29,109.08
2023-09-28,109.32
2023-09-27,110.75
2023-09-26,108.49
2023-09-25,112.21
2023-09-22,110.36
2023-09-21,109.94
2023-09-20,110.13
2023-09-19,110.54
2023-09-18,110.74
2023-09-15,109.93
2023-09-14,112.46
2023-09-13,109.27
2023-09-12,108.5
2023-09-11,109.98
2023-09-08,108.64
2023-09-07,108.54
2023-09-06,106.64
2023-09-05,106.05
2023-09-01,107.29
2023-08-31,104.16
2023-08-30,105.74
2023-08-29,105.54
2023-08-28,105.37
2023-08-25,105.87
2023-08-24,106.92
2023-08-23,108.44
2023-08-22,106.26
2023-08-21,106.11
2023-08-18,104.77
2023-08-17,104.82
2023-08-16,105.1
2023-08-15,106.24
2023-08-14,107.0
2023-08-11,106.56
2023-08-10,105.72
2023-08-09,105.11
2023-08-08,104.81
2023-08-07,103.75
2023-08-04,103.94
2023-08-03,101.14
2023-08-02,95.55
2023-08-01,96.3
2023-07-31,96.65
2023-07-28,95.74
2023-07-27,95.42
2023-07-26,97.34
2023-07-25,97.52
2023-07-24,96.55
2023-07-21,96.6
2023-07-20,96.89
2023-07-19,94.73
2023-07-18,95.37
2023-07-17,96.18
2023-07-14,95.0
2023-07-13,95.27
2023-07-12,96.06
2023-07-11,94.36
2023-07-10,93.6
2023-07-07,91.33
2023-07-06,91.0
2023-07-05,92.14
2023-07-03,91.6
2023-06-30,91.55
2023-06-29,90.87
2023-06-28,90.55
2023-06-27,90.85
2023-06-26,90.63
2023-06-23,90.36
2023-06-22,89.25
2023-06-21,90.5
2023-06-20,91.99
2023-06-16,92.89
2023-06-15,93.46
2023-06-14,93.2
2023-06-13,94.25
2023-06-12,93.75
2023-06-09,93.29
2023-06-08,92.3
2023-06-07,90.81
2023-06-06,89.55
2023-06-05,87.51
2023-06-02,87.54
2023-06-01,88.88
2023-05-31,84.02
2023-05-30,83.7
2023-05-26,83.85
2023-05-25,82.75
2023-05-24,83.31
2023-05-23,84.04
2023-05-22,83.53
2023-05-19,82.3
2023-05-18,81.4
2023-05-17,80.39
2023-05-16,79.0
2023-05-15,80.27
2023-05-12,79.85
2023-05-11,79.12
2023-05-10,79.455
2023-05-09,78.95
2023-05-08,78.71
2023-05-05,79.49
2023-05-04,78.59
2023-05-03,76.51
2023-05-02,76.79
2023-05-01,77.05
2023-04-28,77.4
2023-04-27,76.75
2023-04-26,75.86
2023-04-25,76.93
2023-04-24,77.29
2023-04-21,76.55
2023-04-20,76.47
2023-04-19,74.75
2023-04-18,74.48
2023-04-17,75.04
2023-04-14,76.43
2023-04-13,77.14
2023-04-12,76.81
2023-04-11,77.42
2023-04-10,77.33
2023-04-06,76.96
2023-04-05,76.5
2023-04-04,76.02
2023-04-03,76.62
2023-03-31,78.5
2023-03-30,76.82
2023-03-29,75.88
2023-03-28,75.51
2023-03-27,75.27
2023-03-24,73.44
2023-03-23,73.4
2023-03-22,74.42
2023-03-21,76.52
2023-03-20,77.0
2023-03-17,76.77
2023-03-16,78.43
2023-03-15,77.33
