,Close
2024-05-13,775.15
2024-05-10,787.19
2024-05-09,779.04
2024-05-08,763.41
2024-05-07,771.31
2024-05-06,756.45
2024-05-03,743.9
2024-05-02,732.44
2024-05-01,722.22
2024-04-30,722.9
2024-04-29,726.33
2024-04-26,729.18
2024-04-25,721.86
2024-04-24,723.89
2024-04-23,722.68
2024-04-22,715.46
2024-04-19,709.51
2024-04-18,711.25
2024-04-17,715.19
2024-04-16,715.97
2024-04-15,718.28
2024-04-12,731.31
2024-04-11,732.35
2024-04-10,722.58
2024-04-09,718.59
2024-04-08,711.81
2024-04-05,713.72
2024-04-04,704.88
2024-04-03,705.69
2024-04-02,711.3
2024-04-01,721.24
2024-03-28,732.63
2024-03-27,732.08
2024-03-26,730.98
2024-03-25,730.96
2024-03-22,734.8
2024-03-21,742.56
2024-03-20,740.72
2024-03-19,732.17
2024-03-18,731.54
2024-03-15,725.63
2024-03-14,731.95
2024-03-13,734.2
2024-03-12,736.88
2024-03-11,714.08
2024-03-08,725.56
2024-03-07,785.59
2024-03-06,773.24
2024-03-05,759.95
2024-03-04,759.18
2024-03-01,749.44
2024-02-29,743.89
2024-02-28,747.96
2024-02-27,744.71
2024-02-26,745.35
2024-02-23,737.93
2024-02-22,734.4
2024-02-21,723.02
2024-02-20,725.69
2024-02-16,723.99
2024-02-15,724.51
2024-02-14,722.18
2024-02-13,714.25
2024-02-12,722.41
2024-02-09,723.4
2024-02-08,724.16
2024-02-07,719.78
2024-02-06,710.79
2024-02-05,711.16
2024-02-02,709.48
2024-02-01,704.48
2024-01-31,694.88
2024-01-30,700.74
2024-01-29,694.01
2024-01-26,686.88
2024-01-25,679.9
2024-01-24,686.51
2024-01-23,687.59
2024-01-22,692.51
2024-01-19,694.97
2024-01-18,687.31
2024-01-17,684.19
2024-01-16,681.49
2024-01-12,683.24
2024-01-11,673.58
2024-01-10,672.76
2024-01-09,667.18
2024-01-08,661.69
2024-01-05,656.01
2024-01-04,648.35
2024-01-03,644.69
2024-01-02,650.65
2023-12-29,660.08
2023-12-28,663.1
2023-12-27,666.8
2023-12-26,674.62
2023-12-22,671.6
2023-12-21,665.16
2023-12-20,661.0
2023-12-19,677.74
2023-12-18,681.24
2023-12-15,658.82
2023-12-14,630.78
2023-12-13,642.0
2023-12-12,629.5
2023-12-11,623.86
2023-12-08,610.78
2023-12-07,610.95
2023-12-06,607.43
2023-12-05,605.35
2023-12-04,599.08
2023-12-01,596.25
2023-11-30,592.74
2023-11-29,587.86
2023-11-28,594.0
2023-11-27,594.9
2023-11-24,591.36
2023-11-22,589.08
2023-11-21,584.3
2023-11-20,580.8
2023-11-17,577.15
2023-11-16,578.58
2023-11-15,596.78
2023-11-14,590.8
2023-11-13,578.23
2023-11-10,577.12
2023-11-09,563.27
2023-11-08,567.38
2023-11-07,571.27
2023-11-06,569.82
2023-11-03,560.9
2023-11-02,555.97
2023-11-01,556.8
2023-10-31,552.44
2023-10-30,554.88
2023-10-27,543.03
2023-10-26,547.6
2023-10-25,549.99
2023-10-24,551.84
2023-10-23,552.29
2023-10-20,552.93
2023-10-19,565.63
2023-10-18,574.64
2023-10-17,574.34
2023-10-16,572.24
2023-10-13,566.84
2023-10-12,563.78
2023-10-11,565.52
2023-10-10,562.09
2023-10-09,558.97
2023-10-06,557.53
2023-10-05,569.52
2023-10-04,571.8
2023-10-03,565.04
2023-10-02,571.31
2023-09-29,564.96
2023-09-28,568.63
2023-09-27,563.53
2023-09-26,552.96
2023-09-25,558.62
2023-09-22,558.59
2023-09-21,555.08
2023-09-20,563.83
2023-09-19,564.35
2023-09-18,562.72
2023-09-15,556.36
2023-09-14,564.77
2023-09-13,559.76
2023-09-12,558.79
2023-09-11,558.78
2023-09-08,551.19
2023-09-07,548.62
2023-09-06,546.69
2023-09-05,544.73
2023-09-01,544.25
2023-08-31,549.28
2023-08-30,542.26
2023-08-29,542.77
2023-08-28,536.19
2023-08-25,534.01
2023-08-24,531.71
2023-08-23,540.86
2023-08-22,538.37
2023-08-21,543.21
2023-08-18,544.94
2023-08-17,547.11
2023-08-16,559.05
2023-08-15,558.51
2023-08-14,561.47
2023-08-11,562.96
2023-08-10,561.49
2023-08-09,559.7
