,Close
2024-05-13,54.59
2024-05-10,54.74
2024-05-09,55.26
2024-05-08,55.16
2024-05-07,55.93
2024-05-06,55.74
2024-05-03,55.2
2024-05-02,54.4
2024-05-01,54.44
2024-04-30,54.31
2024-04-29,55.71
2024-04-26,55.73
2024-04-25,55.22
2024-04-24,54.93
2024-04-23,54.31
2024-04-22,53.3
2024-04-19,52.88
2024-04-18,53.2
2024-04-17,54.02
2024-04-16,54.38
2024-04-15,54.75
2024-04-12,55.38
2024-04-11,56.0
2024-04-10,56.03
2024-04-09,56.69
2024-04-08,56.28
2024-04-05,56.55
2024-04-04,55.74
2024-04-03,57.37
2024-04-02,57.25
2024-04-01,58.07
2024-03-28,57.92
2024-03-27,57.24
2024-03-26,57.22
2024-03-25,57.18
2024-03-22,57.41
2024-03-21,57.21
2024-03-20,56.9
2024-03-19,56.27
2024-03-18,56.09
2024-03-15,56.13
2024-03-14,56.42
2024-03-13,56.25
2024-03-12,55.19
2024-03-11,54.53
2024-03-08,54.96
2024-03-07,55.21
2024-03-06,54.62
2024-03-05,53.86
2024-03-04,54.1
2024-03-01,53.58
2024-02-29,53.15
2024-02-28,53.08
2024-02-27,52.92
2024-02-26,52.5
2024-02-23,51.38
2024-02-22,49.41
2024-02-21,48.89
2024-02-20,48.52
2024-02-16,48.96
2024-02-15,49.73
2024-02-14,49.22
2024-02-13,49.23
2024-02-12,50.48
2024-02-09,50.91
2024-02-08,50.96
2024-02-07,50.85
2024-02-06,50.48
2024-02-05,49.99
2024-02-02,50.03
2024-02-01,49.2
2024-01-31,48.04
2024-01-30,48.95
2024-01-29,48.66
2024-01-26,48.06
2024-01-25,48.99
2024-01-24,48.65
2024-01-23,49.53
2024-01-22,49.49
2024-01-19,48.7
2024-01-18,48.17
2024-01-17,47.75
2024-01-16,47.9
2024-01-12,47.57
2024-01-11,47.82
2024-01-10,47.93
2024-01-09,47.28
2024-01-08,47.34
2024-01-05,46.55
2024-01-04,46.64
2024-01-03,46.83
2024-01-02,47.51
2023-12-29,49.0
2023-12-28,48.91
2023-12-27,48.88
2023-12-26,49.0
2023-12-22,48.81
2023-12-21,48.41
2023-12-20,47.91
2023-12-19,48.56
2023-12-18,48.73
2023-12-15,48.91
2023-12-14,49.16
2023-12-13,49.87
2023-12-12,49.37
2023-12-11,49.01
2023-12-08,47.39
2023-12-07,47.68
2023-12-06,47.7
2023-12-05,48.79
2023-12-04,49.09
2023-12-01,50.13
2023-11-30,50.22
2023-11-29,50.22
2023-11-28,50.73
2023-11-27,51.2
2023-11-24,50.81
2023-11-22,50.89
2023-11-21,50.65
2023-11-20,50.85
2023-11-17,50.22
2023-11-16,49.31
2023-11-15,49.22
2023-11-14,49.69
2023-11-13,48.34
2023-11-10,48.73
2023-11-09,46.69
2023-11-08,46.62
2023-11-07,46.53
2023-11-06,45.91
2023-11-03,45.93
2023-11-02,45.25
2023-11-01,43.82
2023-10-31,43.52
2023-10-30,43.12
2023-10-27,42.73
2023-10-26,43.15
2023-10-25,43.63
2023-10-24,44.53
2023-10-23,44.15
2023-10-20,43.69
2023-10-19,44.33
2023-10-18,45.23
2023-10-17,46.66
2023-10-16,46.64
2023-10-13,45.75
2023-10-12,45.93
2023-10-11,46.15
2023-10-10,45.61
2023-10-09,45.21
2023-10-06,44.83
2023-10-05,44.04
2023-10-04,43.73
2023-10-03,42.62
2023-10-02,43.62
2023-09-29,43.09
2023-09-28,43.43
2023-09-27,43.05
2023-09-26,42.73
2023-09-25,43.37
2023-09-22,43.16
2023-09-21,43.14
2023-09-20,44.02
2023-09-19,44.57
2023-09-18,44.43
2023-09-15,43.88
2023-09-14,44.85
2023-09-13,44.31
2023-09-12,44.22
2023-09-11,45.0
2023-09-08,44.69
2023-09-07,44.6
2023-09-06,45.47
2023-09-05,45.2
2023-09-01,44.98
2023-08-31,44.83
2023-08-30,45.07
2023-08-29,44.5
2023-08-28,43.9
2023-08-25,43.8
2023-08-24,43.04
2023-08-23,45.08
2023-08-22,43.79
2023-08-21,43.49
2023-08-18,43.42
2023-08-17,42.995
2023-08-16,43.725
2023-08-15,44.04
2023-08-14,44.305
2023-08-11,43.925
2023-08-10,43.505
2023-08-09,43.685
2023-08-08,43.93
2023-08-07,44.74
2023-08-04,44.175
2023-08-03,44.655
2023-08-02,44.215
2023-08-01,44.42
2023-07-31,44.195
2023-07-28,44.305
2023-07-27,44.2
2023-07-26,44.79
2023-07-25,45.085
2023-07-24,44.825
2023-07-21,45.57
2023-07-20,45.605
2023-07-19,46.1
2023-07-18,46.755
2023-07-17,46.87
2023-07-14,46.82
2023-07-13,45.4
2023-07-12,45.33
2023-07-11,45.285
2023-07-10,45.145
2023-07-07,44.055
2023-07-06,44.47
2023-07-05,45.245
2023-07-03,45.125
2023-06-30,45.605
2023-06-29,45.13
2023-06-28,44.855
2023-06-27,44.49
2023-06-26,44.55
2023-06-23,44.595
2023-06-22,44.65
2023-06-21,44.505
2023-06-20,43.885
2023-06-16,43.64
2023-06-15,43.555
2023-06-14,43.17
2023-06-13,43.365
2023-06-12,43.47
2023-06-09,42.87
2023-06-08,43.365
2023-06-07,43.11
2023-06-06,44.045
2023-06-05,44.26
2023-06-02,44.015
2023-06-01,43.895
2023-05-31,43.795
2023-05-30,44.3
2023-05-26,43.94
2023-05-25,43.875
2023-05-24,43.23
2023-05-23,43.265
2023-05-22,44.58
2023-05-19,44.12
2023-05-18,44.185
2023-05-17,41.0
2023-05-16,40.6
2023-05-15,40.81
2023-05-12,40.905
2023-05-11,40.29
2023-05-10,40.0
2023-05-09,39.75
2023-05-08,39.71
2023-05-05,39.445
2023-05-04,39.115
2023-05-03,39.45
2023-05-02,39.36
2023-05-01,39.2
2023-04-28,39.525
2023-04-27,38.88
2023-04-26,38.555
2023-04-25,38.765
2023-04-24,39.275
2023-04-21,39.195
2023-04-20,39.04
2023-04-19,39.04
2023-04-18,38.855
2023-04-17,38.71
2023-04-14,38.56
2023-04-13,38.37
2023-04-12,38.07
2023-04-11,37.87
2023-04-10,37.485
2023-04-06,37.19
2023-04-05,37.34
2023-04-04,37.835
2023-04-03,37.74
2023-03-31,37.605
2023-03-30,36.74
2023-03-29,37.02
2023-03-28,36.555
2023-03-27,36.365
2023-03-24,35.715
2023-03-23,35.615
2023-03-22,35.245
2023-03-21,35.585
2023-03-20,35.265
2023-03-17,34.86
2023-03-16,35.005
2023-03-15,34.045
2023-03-14,34.655
2023-03-13,33.96
2023-03-10,34.2
2023-03-09,34.82
2023-03-08,35.61
2023-03-07,35.21
2023-03-06,35.285
2023-03-03,35.71
2023-03-02,35.525
2023-03-01,34.9
2023-02-28,35.23
2023-02-27,34.98
2023-02-24,34.615
2023-02-23,34.8
2023-02-22,34.675
2023-02-21,34.52
2023-02-17,34.2
2023-02-16,34.465
2023-02-15,34.855
2023-02-14,34.64
2023-02-13,34.415
2023-02-10,33.95
2023-02-09,34.61
2023-02-08,34.395
2023-02-07,34.445
2023-02-06,34.025
2023-02-03,34.32
2023-02-02,34.875
2023-02-01,34.755
2023-01-31,33.305
2023-01-30,33.145
2023-01-27,33.54
2023-01-26,33.375
2023-01-25,32.965
2023-01-24,32.55
2023-01-23,32.43
2023-01-20,31.74
2023-01-19,30.755
2023-01-18,31.265
2023-01-17,31.55
2023-01-13,31.41
2023-01-12,31.28
2023-01-11,31.18
2023-01-10,30.81
2023-01-09,31.22
2023-01-06,31.195
2023-01-05,30.275
2023-01-04,30.99
2023-01-03,30.73
2022-12-30,30.445
2022-12-29,30.615
2022-12-28,29.98
2022-12-27,30.045
2022-12-23,30.255
2022-12-22,29.99
2022-12-21,30.525
