,Close
2024-05-13,319.18
2024-05-10,320.76
2024-05-09,317.94
2024-05-08,313.76
2024-05-07,312.55
2024-05-06,317.81
2024-05-03,310.21
2024-05-02,303.54
2024-05-01,295.44
2024-04-30,292.54
2024-04-29,304.04
2024-04-26,304.07
2024-04-25,298.02
2024-04-24,297.62
2024-04-23,299.65
2024-04-22,289.15
2024-04-19,282.64
2024-04-18,294.1
2024-04-17,293.69
2024-04-16,299.15
2024-04-15,299.5
2024-04-12,309.05
2024-04-11,317.8
2024-04-10,312.53
2024-04-09,310.77
2024-04-08,313.73
2024-04-05,315.5
2024-04-04,309.19
2024-04-03,320.04
2024-04-02,319.55
2024-04-01,319.59
2024-03-28,320.59
2024-03-27,322.25
2024-03-26,330.01
2024-03-25,324.76
2024-03-22,327.58
2024-03-21,329.46
2024-03-20,326.87
2024-03-19,320.86
2024-03-18,321.06
2024-03-15,315.65
2024-03-14,328.59
2024-03-13,332.17
2024-03-12,329.27
2024-03-11,317.37
2024-03-08,322.85
2024-03-07,329.68
2024-03-06,329.57
2024-03-05,297.56
2024-03-04,313.81
2024-03-01,314.6
2024-02-29,324.15
2024-02-28,320.94
2024-02-27,321.21
2024-02-26,321.03
2024-02-23,311.49
2024-02-22,310.91
2024-02-21,292.36
2024-02-20,323.71
2024-02-16,329.24
2024-02-15,331.38
2024-02-14,334.55
2024-02-13,322.44
2024-02-12,321.29
2024-02-09,329.34
2024-02-08,323.04
2024-02-07,317.78
2024-02-06,302.11
2024-02-05,302.49
2024-02-02,303.57
2024-02-01,299.37
2024-01-31,292.5
2024-01-30,301.35
2024-01-29,300.67
2024-01-26,290.31
2024-01-25,293.46
2024-01-24,300.28
2024-01-23,297.27
2024-01-22,298.66
2024-01-19,290.54
2024-01-18,283.11
2024-01-17,276.27
2024-01-16,286.29
2024-01-12,283.35
2024-01-11,284.52
2024-01-10,282.04
2024-01-09,273.77
2024-01-08,261.28
2024-01-05,247.46
2024-01-04,245.65
2024-01-03,244.36
2024-01-02,246.89
2023-12-29,255.32
2023-12-28,256.13
2023-12-27,257.32
2023-12-26,257.87
2023-12-22,255.63
2023-12-21,257.32
2023-12-20,253.95
2023-12-19,258.33
2023-12-18,259.8
2023-12-15,260.08
2023-12-14,252.68
2023-12-13,252.04
2023-12-12,248.55
2023-12-11,246.97
2023-12-08,242.55
2023-12-07,240.17
2023-12-06,239.42
2023-12-05,238.97
2023-12-04,237.39
2023-12-01,235.03
2023-11-30,236.99
2023-11-29,234.44
2023-11-28,212.35
2023-11-27,210.07
2023-11-24,210.66
2023-11-22,209.61
2023-11-21,208.98
2023-11-20,207.73
2023-11-17,207.09
2023-11-16,204.27
2023-11-15,204.29
2023-11-14,207.97
2023-11-13,200.96
2023-11-10,196.31
2023-11-09,190.76
2023-11-08,193.83
2023-11-07,192.36
2023-11-06,186.78
2023-11-03,188.24
2023-11-02,182.8
2023-11-01,178.35
2023-10-31,176.77
2023-10-30,174.61
2023-10-27,172.82
2023-10-26,171.64
2023-10-25,175.38
2023-10-24,182.82
2023-10-23,179.08
2023-10-20,178.76
2023-10-19,184.52
2023-10-18,187.79
2023-10-17,187.14
2023-10-16,187.67
2023-10-13,185.72
2023-10-12,187.56
2023-10-11,188.22
2023-10-10,183.85
2023-10-09,181.82
2023-10-06,176.69
2023-10-05,165.29
2023-10-04,164.05
2023-10-03,162.03
2023-10-02,169.54
2023-09-29,167.38
2023-09-28,165.25
2023-09-27,163.04
2023-09-26,160.48
2023-09-25,159.92
2023-09-22,162.57
2023-09-21,162.53
2023-09-20,163.89
2023-09-19,165.5
