,Close
2024-05-13,88.58
2024-05-10,89.88
2024-05-09,91.34
2024-05-08,90.32
2024-05-07,92.46
2024-05-06,91.3
2024-05-03,91.23
2024-05-02,89.76
2024-05-01,90.36
2024-04-30,91.53
2024-04-29,92.5
2024-04-26,92.65
2024-04-25,90.34
2024-04-24,91.95
2024-04-23,84.62
2024-04-22,85.31
2024-04-19,84.23
2024-04-18,84.18
2024-04-17,85.46
2024-04-16,86.29
2024-04-15,87.53
2024-04-12,90.34
2024-04-11,92.79
2024-04-10,90.65
2024-04-09,95.69
2024-04-08,94.22
2024-04-05,94.75
2024-04-04,91.81
2024-04-03,93.37
2024-04-02,93.17
2024-04-01,94.52
2024-03-28,96.6
2024-03-27,96.22
2024-03-26,95.18
2024-03-25,95.82
2024-03-22,95.72
2024-03-21,97.73
2024-03-20,96.31
2024-03-19,94.1
2024-03-18,96.15
2024-03-15,95.18
2024-03-14,87.87
2024-03-13,87.81
2024-03-12,87.13
2024-03-11,86.81
2024-03-08,86.11
2024-03-07,85.35
2024-03-06,87.68
2024-03-05,87.35
2024-03-04,88.59
2024-03-01,88.27
2024-02-29,87.03
2024-02-28,86.35
2024-02-27,84.89
2024-02-26,83.98
2024-02-23,84.79
2024-02-22,82.47
2024-02-21,83.98
2024-02-20,81.24
2024-02-16,81.4
2024-02-15,82.96
2024-02-14,82.32
2024-02-13,81.64
2024-02-12,82.88
2024-02-09,83.13
2024-02-08,81.77
2024-02-07,85.13
2024-02-06,83.88
2024-02-05,81.76
2024-02-02,83.94
2024-02-01,84.6
2024-01-31,83.48
2024-01-30,85.24
2024-01-29,86.29
2024-01-26,85.09
2024-01-25,84.61
2024-01-24,83.76
2024-01-23,83.86
2024-01-22,83.29
2024-01-19,82.33
2024-01-18,81.83
2024-01-17,81.69
2024-01-16,81.76
2024-01-12,83.4
2024-01-11,82.11
2024-01-10,82.71
2024-01-09,83.72
2024-01-08,82.9
2024-01-05,81.34
2024-01-04,81.42
2024-01-03,82.77
2024-01-02,85.46
2023-12-29,87.39
2023-12-28,88.01
2023-12-27,87.58
2023-12-26,87.53
2023-12-22,87.47
2023-12-21,87.07
2023-12-20,86.5
2023-12-19,88.02
2023-12-18,88.245
2023-12-15,87.57
2023-12-14,88.25
2023-12-13,86.07
2023-12-12,84.88
2023-12-11,84.01
2023-12-08,82.39
2023-12-07,82.58
2023-12-06,83.79
2023-12-05,84.15
2023-12-04,85.23
2023-12-01,85.28
2023-11-30,83.04
2023-11-29,83.94
2023-11-28,83.6
2023-11-27,84.27
2023-11-24,84.78
2023-11-22,83.85
2023-11-21,83.29
2023-11-20,83.0
2023-11-17,82.73
2023-11-16,82.24
2023-11-15,82.26
2023-11-14,82.74
2023-11-13,78.53
2023-11-10,79.65
2023-11-09,77.61
2023-11-08,77.24
2023-11-07,77.94
2023-11-06,77.03
2023-11-03,77.38
2023-11-02,74.02
2023-11-01,73.67
2023-10-31,73.41
2023-10-30,70.79
2023-10-27,70.58
2023-10-26,70.86
2023-10-25,70.91
2023-10-24,74.17
2023-10-23,73.25
2023-10-20,73.84
2023-10-19,73.94
2023-10-18,77.66
2023-10-17,79.8
2023-10-16,81.62
2023-10-13,80.3
2023-10-12,80.18
2023-10-11,81.87
2023-10-10,82.0
2023-10-09,81.57
2023-10-06,80.64
2023-10-05,79.49
2023-10-04,76.43
2023-10-03,75.16
2023-10-02,75.97
2023-09-29,76.89
2023-09-28,76.81
2023-09-27,76.35
2023-09-26,76.3
2023-09-25,78.12
2023-09-22,78.06
2023-09-21,78.23
2023-09-20,81.13
2023-09-19,80.06
2023-09-18,79.72
2023-09-15,79.12
2023-09-14,80.66
2023-09-13,81.04
2023-09-12,81.76
2023-09-11,82.41
2023-09-08,82.57
2023-09-07,83.62
2023-09-06,82.99
2023-09-05,83.08
2023-09-01,82.57
2023-08-31,81.99
2023-08-30,82.6
2023-08-29,82.37
2023-08-28,81.77
2023-08-25,80.2
2023-08-24,79.56
2023-08-23,80.32
2023-08-22,79.08
2023-08-21,78.52
2023-08-18,78.29
2023-08-17,77.88
2023-08-16,79.37
2023-08-15,79.87
2023-08-14,81.31
2023-08-11,80.84
2023-08-10,80.73
2023-08-09,81.25
2023-08-08,81.88
2023-08-07,81.55
2023-08-04,81.41
2023-08-03,80.92
2023-08-02,82.18
2023-08-01,83.12
2023-07-31,83.97
2023-07-28,81.68
2023-07-27,80.16
2023-07-26,84.38
2023-07-25,91.8
2023-07-24,90.58
2023-07-21,90.68
2023-07-20,90.22
2023-07-19,91.61
2023-07-18,91.23
2023-07-17,90.61
2023-07-14,89.29
2023-07-13,88.69
2023-07-12,88.54
2023-07-11,88.33
2023-07-10,88.12
2023-07-07,86.78
2023-07-06,88.04
2023-07-05,88.62
2023-07-03,87.51
2023-06-30,89.0
2023-06-29,90.12
2023-06-28,89.33
2023-06-27,89.92
2023-06-26,87.81
2023-06-23,86.75
2023-06-22,86.4
2023-06-21,87.58
2023-06-20,85.31
2023-06-16,84.14
2023-06-15,84.07
2023-06-14,82.8
2023-06-13,81.96
2023-06-12,80.73
2023-06-09,80.14
2023-06-08,80.94
2023-06-07,79.65
2023-06-06,82.31
2023-06-05,82.0
2023-06-02,81.88
2023-06-01,79.73
2023-05-31,79.4
2023-05-30,78.65
2023-05-26,78.49
2023-05-25,77.52
2023-05-24,78.66
2023-05-23,78.5
2023-05-22,79.85
2023-05-19,78.5
2023-05-18,78.03
2023-05-17,76.0
2023-05-16,75.87
2023-05-15,75.98
2023-05-12,75.37
2023-05-11,74.97
2023-05-10,75.45
2023-05-09,74.0
2023-05-08,74.3
2023-05-05,74.6
2023-05-04,74.34
2023-05-03,73.7
2023-05-02,74.75
2023-05-01,76.11
2023-04-28,76.95
2023-04-27,77.17
2023-04-26,71.92
2023-04-25,68.5
2023-04-24,70.26
2023-04-21,70.0
2023-04-20,69.01
2023-04-19,69.69
2023-04-18,69.86
2023-04-17,69.69
2023-04-14,69.22
2023-04-13,69.77
2023-04-12,68.59
2023-04-11,68.8
2023-04-10,68.82
2023-04-06,68.36
2023-04-05,67.75
2023-04-04,68.02
2023-04-03,68.77
2023-03-31,68.85
2023-03-30,68.15
2023-03-29,68.21
2023-03-28,67.4
2023-03-27,67.88
2023-03-24,67.14
2023-03-23,65.85
2023-03-22,65.99
2023-03-21,67.86
2023-03-20,66.76
2023-03-17,66.93
2023-03-16,67.75
2023-03-15,67.35
2023-03-14,67.62
2023-03-13,66.84
2023-03-10,67.08
2023-03-09,68.87
2023-03-08,70.36
2023-03-07,70.64
2023-03-06,71.87
2023-03-03,72.41
2023-03-02,71.22
2023-03-01,70.03
2023-02-28,70.66
2023-02-27,70.89
2023-02-24,70.73
2023-02-23,70.74
2023-02-22,72.13
2023-02-21,76.02
2023-02-17,77.56
2023-02-16,78.18
2023-02-15,78.9
2023-02-14,76.78
2023-02-13,77.08
2023-02-10,75.96
2023-02-09,75.79
2023-02-08,76.51
2023-02-07,77.855
2023-02-06,75.73
2023-02-03,76.58
2023-02-02,80.01
2023-02-01,79.01
2023-01-31,77.9
2023-01-30,77.9
2023-01-27,77.78
2023-01-26,78.71
2023-01-25,77.37
2023-01-24,78.63
2023-01-23,78.75
2023-01-20,78.52
2023-01-19,76.62
2023-01-18,78.08
2023-01-17,79.62
2023-01-13,81.05
2023-01-12,80.32
2023-01-11,80.75
2023-01-10,77.83
2023-01-09,77.08
2023-01-06,77.12
2023-01-05,74.9
2023-01-04,78.0
2023-01-03,77.65
2022-12-30,77.28
2022-12-29,77.67
2022-12-28,76.05
2022-12-27,76.75
2022-12-23,76.89
2022-12-22,77.25
2022-12-21,77.94
2022-12-20,76.7
2022-12-19,77.16
2022-12-16,77.98
2022-12-15,77.88
2022-12-14,81.26
2022-12-13,82.0
2022-12-12,81.94
2022-12-09,80.7
2022-12-08,82.39
2022-12-07,80.16
2022-12-06,80.96
2022-12-05,81.78
2022-12-02,83.46
2022-12-01,82.95
2022-11-30,81.04
2022-11-29,78.25
2022-11-28,78.74
2022-11-25,79.98
2022-11-23,80.02
2022-11-22,79.43
2022-11-21,80.56
2022-11-18,80.8
2022-11-17,80.75
2022-11-16,82.47
2022-11-15,82.71
2022-11-14,82.21
2022-11-11,83.28
2022-11-10,84.16
2022-11-09,79.78
2022-11-08,80.17
2022-11-07,80.35
2022-11-04,79.97
2022-11-03,79.89
2022-11-02,79.18
2022-11-01,81.19
2022-10-31,82.72
2022-10-28,82.88
2022-10-27,81.62
2022-10-26,80.04
2022-10-25,74.5
2022-10-24,71.39
2022-10-21,71.8
2022-10-20,70.57
2022-10-19,72.29
2022-10-18,73.35
2022-10-17,72.08
2022-10-14,70.3
2022-10-13,71.67
2022-10-12,71.45
2022-10-11,72.37
2022-10-10,72.71
2022-10-07,73.47
2022-10-06,75.21
2022-10-05,74.4
2022-10-04,73.77
2022-10-03,71.99
2022-09-30,69.65
2022-09-29,70.69
2022-09-28,72.23
2022-09-27,70.01
2022-09-26,69.59
2022-09-23,69.57
2022-09-22,70.1
2022-09-21,69.65
2022-09-20,70.78
2022-09-19,72.07
2022-09-16,70.45
2022-09-15,72.49
2022-09-14,73.97
2022-09-13,76.64
2022-09-12,78.44
2022-09-09,78.42
2022-09-08,78.56
2022-09-07,78.07
2022-09-06,76.2
2022-09-02,70.89
2022-09-01,69.99
2022-08-31,69.64
2022-08-30,69.71
2022-08-29,69.89
2022-08-26,70.32
2022-08-25,72.5
2022-08-24,71.05
2022-08-23,71.44
2022-08-22,71.57
2022-08-19,71.74
2022-08-18,73.5
2022-08-17,73.5
2022-08-16,75.13
2022-08-15,75.39
2022-08-12,75.06
2022-08-11,73.86
2022-08-10,74.73
2022-08-09,72.89
2022-08-08,72.87
2022-08-05,72.87
2022-08-04,72.87
2022-08-03,72.52
2022-08-02,70.99
2022-08-01,71.16
2022-07-29,72.59
2022-07-28,70.92
2022-07-27,69.68
2022-07-26,60.7
2022-07-25,61.59
2022-07-22,61.81
2022-07-21,62.59
2022-07-20,62.3
2022-07-19,61.13
2022-07-18,59.08
2022-07-15,59.91
2022-07-14,57.94
2022-07-13,59.3
2022-07-12,59.7
2022-07-11,61.46
2022-07-08,61.8
2022-07-07,61.68
2022-07-06,62.07
2022-07-05,61.87
2022-07-01,61.32
2022-06-30,60.41
2022-06-29,60.21
2022-06-28,60.34
2022-06-27,61.68
2022-06-24,62.85
2022-06-23,59.38
2022-06-22,57.82
2022-06-21,56.07
2022-06-17,56.06
2022-06-16,55.16
2022-06-15,56.35
2022-06-14,55.17
2022-06-13,55.82
2022-06-10,58.59
2022-06-09,59.69
2022-06-08,61.25
2022-06-07,61.96
2022-06-06,61.13
2022-06-03,62.52
2022-06-02,63.99
2022-06-01,61.23
2022-05-31,60.94
2022-05-27,61.5
2022-05-26,59.37
2022-05-25,58.9
2022-05-24,57.45
2022-05-23,57.83
2022-05-20,57.16
2022-05-19,56.81
2022-05-18,55.39
2022-05-17,58.08
2022-05-16,56.98
2022-05-13,58.19
2022-05-12,55.58
2022-05-11,54.19
2022-05-10,56.97
2022-05-09,58.06
2022-05-06,59.11
2022-05-05,61.0
2022-05-04,64.6
2022-05-03,63.36
2022-05-02,64.42
2022-04-29,63.62
2022-04-28,65.46
2022-04-27,63.72
2022-04-26,59.99
2022-04-25,62.65
2022-04-22,61.2
2022-04-21,62.0
2022-04-20,63.33
2022-04-19,63.33
2022-04-18,61.07
2022-04-14,61.82
2022-04-13,63.5
2022-04-12,62.29
2022-04-11,63.63
2022-04-08,63.52
2022-04-07,64.57
2022-04-06,65.43
2022-04-05,66.98
2022-04-04,67.64
2022-04-01,66.0
2022-03-31,66.61
2022-03-30,67.99
2022-03-29,69.59
2022-03-28,68.39
2022-03-25,67.56
2022-03-24,67.44
2022-03-23,66.82
2022-03-22,66.99
2022-03-21,64.53
2022-03-18,65.21
2022-03-17,62.55
2022-03-16,59.53
2022-03-15,57.84
2022-03-14,55.95
2022-03-11,55.43
2022-03-10,56.08
2022-03-09,57.02
2022-03-08,54.31
2022-03-07,53.27
2022-03-04,57.92
2022-03-03,58.59
2022-03-02,59.72
2022-03-01,59.83
2022-02-28,61.01
2022-02-25,61.7
2022-02-24,60.6
2022-02-23,53.5
2022-02-22,62.94
2022-02-18,64.95
2022-02-17,65.65
2022-02-16,67.29
2022-02-15,67.69
2022-02-14,65.99
2022-02-11,65.99
2022-02-10,69.84
2022-02-09,71.04
2022-02-08,69.05
2022-02-07,69.4
2022-02-04,68.55
2022-02-03,68.22
2022-02-02,71.0
2022-02-01,70.51
2022-01-31,70.16
2022-01-28,67.37
2022-01-27,65.82
2022-01-26,65.98
2022-01-25,67.04
2022-01-24,69.65
2022-01-21,70.92
2022-01-20,72.3
2022-01-19,73.15
2022-01-18,73.15
2022-01-14,74.53
2022-01-13,74.02
2022-01-12,74.81
2022-01-11,75.29
2022-01-10,71.51
2022-01-07,71.88
2022-01-06,73.65
2022-01-05,74.75
2022-01-04,77.38
2022-01-03,78.84
2021-12-31,79.03
2021-12-30,80.17
2021-12-29,79.85
2021-12-28,79.75
2021-12-27,79.96
2021-12-23,79.94
2021-12-22,78.83
2021-12-21,78.35
2021-12-20,77.35
2021-12-17,78.7
2021-12-16,77.97
2021-12-15,78.07
2021-12-14,77.26
2021-12-13,78.04
2021-12-10,78.24
2021-12-09,78.8
2021-12-08,78.99
2021-12-07,78.82
2021-12-06,77.35
2021-12-03,78.77
2021-12-02,78.71
2021-12-01,75.23
2021-11-30,77.76
2021-11-29,79.99
2021-11-26,77.59
2021-11-24,79.7
2021-11-23,80.26
2021-11-22,80.08
2021-11-19,81.57
2021-11-18,81.38
2021-11-17,82.57
2021-11-16,84.06
2021-11-15,83.81
2021-11-12,82.86
2021-11-11,81.65
2021-11-10,82.21
2021-11-09,83.25
2021-11-08,83.07
2021-11-05,83.25
2021-11-04,84.21
2021-11-03,84.42
2021-11-02,85.11
2021-11-01,85.15
2021-10-29,86.05
2021-10-28,87.57
2021-10-27,89.82
2021-10-26,99.74
2021-10-25,99.19
2021-10-22,99.29
2021-10-21,98.54
2021-10-20,96.82
2021-10-19,96.52
2021-10-18,94.94
2021-10-15,93.8
2021-10-14,92.35
2021-10-13,89.38
2021-10-12,87.16
2021-10-11,86.53
2021-10-08,86.88
2021-10-07,87.19
2021-10-06,86.34
2021-10-05,86.51
2021-10-04,85.79
2021-10-01,87.77
2021-09-30,86.06
2021-09-29,85.38
2021-09-28,85.38
2021-09-27,87.63
2021-09-24,88.34
2021-09-23,88.52
2021-09-22,88.37
2021-09-21,88.15
2021-09-20,88.72
2021-09-17,89.38
2021-09-16,89.1
2021-09-15,88.95
2021-09-14,89.34
2021-09-13,89.37
2021-09-10,90.15
2021-09-09,89.69
2021-09-08,88.66
2021-09-07,87.71
2021-09-03,87.86
2021-09-02,87.18
2021-09-01,86.84
2021-08-31,84.74
2021-08-30,83.99
2021-08-27,83.19
2021-08-26,82.8
2021-08-25,84.06
2021-08-24,84.37
2021-08-23,83.56
2021-08-20,82.53
2021-08-19,82.16
2021-08-18,80.97
2021-08-17,83.19
2021-08-16,83.15
2021-08-13,84.45
2021-08-12,83.97
2021-08-11,84.91
2021-08-10,85.05
2021-08-09,85.63
2021-08-06,86.0
2021-08-05,87.92
2021-08-04,86.26
2021-08-03,87.33
2021-08-02,88.9
2021-07-30,88.85
2021-07-29,87.5
2021-07-28,86.95
2021-07-27,89.02
2021-07-26,89.27
2021-07-23,89.97
2021-07-22,89.16
2021-07-21,88.84
2021-07-20,88.1
2021-07-19,85.99
2021-07-16,87.35
2021-07-15,87.33
2021-07-14,85.87
2021-07-13,85.23
2021-07-12,86.04
2021-07-09,86.28
2021-07-08,85.08
2021-07-07,85.83
2021-07-06,83.58
2021-07-02,82.58
2021-07-01,83.25
2021-06-30,82.82
2021-06-29,83.29
2021-06-28,84.92
2021-06-25,88.265
2021-06-24,87.824
2021-06-23,89.045
2021-06-22,90.672
2021-06-21,90.098
2021-06-18,87.895
2021-06-17,89.359
2021-06-16,87.136
2021-06-15,86.844
2021-06-14,87.977
2021-06-11,86.975
2021-06-10,85.689
2021-06-09,84.831
2021-06-08,84.553
2021-06-07,82.794
2021-06-04,84.1
2021-06-03,83.615
2021-06-02,84.586
2021-06-01,85.435
2021-05-28,85.4
2021-05-27,84.483
2021-05-26,85.042
2021-05-25,84.989
2021-05-24,84.433
2021-05-21,83.869
2021-05-20,84.188
2021-05-19,82.906
2021-05-18,81.855
2021-05-17,81.796
2021-05-14,82.19
2021-05-13,81.081
2021-05-12,81.869
2021-05-11,84.749
2021-05-10,83.972
2021-05-07,85.067
2021-05-06,82.061
2021-05-05,83.399
2021-05-04,85.032
2021-05-03,85.891
2021-04-30,85.443
2021-04-29,87.884
2021-04-28,86.216
2021-04-27,93.68
2021-04-26,93.328
2021-04-23,93.373
2021-04-22,91.3
2021-04-21,90.925
2021-04-20,91.293
2021-04-19,89.9
2021-04-16,90.493
2021-04-15,91.336
2021-04-14,89.528
2021-04-13,90.575
2021-04-12,88.749
2021-04-09,88.749
2021-04-08,87.443
2021-04-07,85.988
2021-04-06,86.114
2021-04-05,84.824
2021-04-01,86.138
2021-03-31,82.189
2021-03-30,79.955
2021-03-29,80.96
2021-03-26,81.647
2021-03-25,80.324
2021-03-24,80.423
2021-03-23,83.076
2021-03-22,82.781
2021-03-19,81.866
2021-03-18,80.551
2021-03-17,82.3
2021-03-16,83.868
2021-03-15,83.786
2021-03-12,81.855
2021-03-11,81.729
2021-03-10,80.812
2021-03-09,81.497
2021-03-08,79.231
2021-03-05,79.869
2021-03-04,75.846
2021-03-03,76.28
2021-03-02,79.017
2021-03-01,81.5
2021-02-26,82.376
2021-02-25,82.0
2021-02-24,83.623
2021-02-23,86.698
2021-02-22,87.667
2021-02-19,91.325
2021-02-18,91.983
2021-02-17,91.075
2021-02-16,90.037
2021-02-12,93.976
2021-02-11,92.489
2021-02-10,92.499
2021-02-09,90.588
2021-02-08,90.034
2021-02-05,90.818
2021-02-04,91.941
2021-02-03,91.736
2021-02-02,92.041
2021-02-01,92.5
2021-01-29,89.971
2021-01-28,90.18
2021-01-27,88.971
2021-01-26,90.305
2021-01-25,90.926
2021-01-22,89.605
2021-01-21,91.196
2021-01-20,89.977
2021-01-19,87.197
2021-01-15,85.372
2021-01-14,86.828
2021-01-13,89.187
2021-01-12,88.229
2021-01-11,90.437
2021-01-08,91.952
2021-01-07,90.548
2021-01-06,89.67
2021-01-05,89.38
2021-01-04,89.526
2020-12-31,92.428
2020-12-30,92.496
2020-12-29,91.822
2020-12-28,93.95
2020-12-24,90.663
2020-12-23,90.775
2020-12-22,90.533
2020-12-21,91.586
2020-12-18,90.47
2020-12-17,89.397
2020-12-16,86.089
2020-12-15,86.638
2020-12-14,85.32
2020-12-11,84.864
2020-12-10,84.839
2020-12-09,85.329
2020-12-08,87.254
2020-12-07,88.361
2020-12-04,89.323
2020-12-03,87.07
2020-12-02,86.873
2020-12-01,88.888
2020-11-30,91.057
2020-11-27,88.438
2020-11-25,88.009
2020-11-24,86.991
2020-11-23,88.779
2020-11-20,89.206
2020-11-19,89.475
2020-11-18,88.552
2020-11-17,91.408
2020-11-16,91.556
2020-11-13,91.708
2020-11-12,90.136
2020-11-11,89.867
2020-11-10,88.613
2020-11-09,91.192
2020-11-06,90.265
2020-11-05,90.36
2020-11-04,90.25
2020-11-03,87.994
2020-11-02,85.088
2020-10-30,82.361
2020-10-29,82.826
2020-10-28,79.335
2020-10-27,82.888
2020-10-26,83.075
2020-10-23,81.981
2020-10-22,82.205
2020-10-21,82.549
2020-10-20,83.563
2020-10-19,83.601
2020-10-16,86.063
2020-10-15,86.739
2020-10-14,86.941
2020-10-13,88.322
2020-10-12,88.23
2020-10-09,87.437
2020-10-08,86.889
2020-10-07,87.572
2020-10-06,86.392
2020-10-05,86.6
2020-10-02,85.51
