,Close
2024-05-13,34.52
2024-05-10,34.38
2024-05-09,34.5
2024-05-08,34.2
2024-05-07,33.96
2024-05-06,33.68
2024-05-03,33.85
2024-05-02,33.57
2024-05-01,33.2
2024-04-30,33.22
2024-04-29,33.95
2024-04-26,33.99
2024-04-25,34.03
2024-04-24,33.67
2024-04-23,34.72
2024-04-22,34.62
2024-04-19,34.34
2024-04-18,34.39
2024-04-17,34.16
2024-04-16,34.84
2024-04-15,35.14
2024-04-12,35.34
2024-04-11,35.43
2024-04-10,35.41
2024-04-09,35.95
2024-04-08,36.05
2024-04-05,36.3
2024-04-04,36.12
2024-04-03,36.42
2024-04-02,36.51
2024-04-01,36.78
2024-03-28,37.07
2024-03-27,36.84
2024-03-26,36.13
2024-03-25,36.84
2024-03-22,37.35
2024-03-21,37.87
2024-03-20,37.61
2024-03-19,36.98
2024-03-18,37.31
2024-03-15,36.97
2024-03-14,37.03
2024-03-13,37.78
2024-03-12,37.82
2024-03-11,38.04
2024-03-08,38.19
2024-03-07,37.92
2024-03-06,38.09
2024-03-05,38.25
2024-03-04,38.38
2024-03-01,38.23
2024-02-29,37.94
2024-02-28,37.68
2024-02-27,37.96
2024-02-26,38.18
2024-02-23,38.33
2024-02-22,37.89
2024-02-21,37.1
2024-02-20,36.86
2024-02-16,36.72
2024-02-15,37.0
2024-02-14,37.0
2024-02-13,36.61
2024-02-12,36.87
2024-02-09,36.89
2024-02-08,37.07
2024-02-07,36.99
2024-02-06,37.02
2024-02-05,36.73
2024-02-02,36.53
2024-02-01,36.28
2024-01-31,35.7
2024-01-30,35.85
2024-01-29,35.59
2024-01-26,35.39
2024-01-25,35.0
2024-01-24,34.39
2024-01-23,34.89
2024-01-22,34.75
2024-01-19,34.55
2024-01-18,34.45
2024-01-17,34.39
2024-01-16,34.74
2024-01-12,34.86
2024-01-11,34.57
2024-01-10,34.7
2024-01-09,34.61
2024-01-08,34.69
2024-01-05,34.62
2024-01-04,34.72
2024-01-03,34.66
2024-01-02,34.62
2023-12-29,34.67
2023-12-28,34.74
2023-12-27,34.65
2023-12-26,34.95
2023-12-22,34.63
2023-12-21,34.46
2023-12-20,34.36
2023-12-19,34.58
2023-12-18,34.33
2023-12-15,34.0
2023-12-14,33.84
2023-12-13,33.24
2023-12-12,33.22
2023-12-11,33.2
2023-12-08,32.96
2023-12-07,33.5
2023-12-06,33.52
2023-12-05,33.29
2023-12-04,33.66
2023-12-01,33.4
2023-11-30,32.3
2023-11-29,31.73
2023-11-28,32.05
2023-11-27,31.94
2023-11-24,32.64
2023-11-22,32.55
2023-11-21,32.25
2023-11-20,32.06
2023-11-17,31.62
2023-11-16,31.33
2023-11-15,30.99
2023-11-14,31.11
2023-11-13,30.45
2023-11-10,30.7
2023-11-09,30.17
2023-11-08,30.37
2023-11-07,30.35
2023-11-06,30.38
2023-11-03,30.4
2023-11-02,30.39
2023-11-01,29.57
2023-10-31,29.85
2023-10-30,29.4
2023-10-27,29.24
2023-10-26,29.59
2023-10-25,29.6
2023-10-24,29.68
2023-10-23,30.16
2023-10-20,30.76
2023-10-19,30.54
2023-10-18,30.67
2023-10-17,31.37
2023-10-16,31.41
2023-10-13,31.14
2023-10-12,31.16
2023-10-11,31.61
2023-10-10,31.54
2023-10-09,31.08
2023-10-06,30.91
2023-10-05,30.41
2023-10-04,30.85
2023-10-03,30.77
2023-10-02,30.54
2023-09-29,30.75
2023-09-28,30.57
2023-09-27,30.28
2023-09-26,30.62
2023-09-25,31.15
2023-09-22,31.2
2023-09-21,31.02
2023-09-20,31.31
2023-09-19,30.91
2023-09-18,31.1
2023-09-15,30.85
2023-09-14,31.04
2023-09-13,30.5
2023-09-12,30.59
2023-09-11,30.18
