,Close
2024-05-13,690.11
2024-05-10,700.27
2024-05-09,696.25
2024-05-08,690.54
2024-05-07,692.78
2024-05-06,685.7
2024-05-03,674.04
2024-05-02,662.29
2024-05-01,663.59
2024-04-30,658.34
2024-04-29,665.83
2024-04-26,666.23
2024-04-25,665.25
2024-04-24,664.13
2024-04-23,666.33
2024-04-22,665.0
2024-04-19,660.92
2024-04-18,662.44
2024-04-17,668.51
2024-04-16,666.56
2024-04-15,664.72
2024-04-12,668.41
2024-04-11,671.13
2024-04-10,670.96
2024-04-09,677.72
2024-04-08,677.42
2024-04-05,673.69
2024-04-04,664.51
2024-04-03,678.85
2024-04-02,675.74
2024-04-01,680.54
2024-03-28,687.03
2024-03-27,685.64
2024-03-26,633.4
2024-03-25,635.66
2024-03-22,639.39
2024-03-21,642.16
2024-03-20,634.99
2024-03-19,627.67
2024-03-18,624.96
2024-03-15,627.38
2024-03-14,629.7
2024-03-13,623.28
2024-03-12,626.7
2024-03-11,624.45
2024-03-08,625.37
2024-03-07,628.38
2024-03-06,625.8
2024-03-05,625.39
2024-03-04,629.24
2024-03-01,628.36
2024-02-29,628.61
2024-02-28,630.72
2024-02-27,628.15
2024-02-26,633.94
2024-02-23,633.1
2024-02-22,627.1
2024-02-21,618.66
2024-02-20,614.64
2024-02-16,614.66
2024-02-15,621.02
2024-02-14,612.67
2024-02-13,605.96
2024-02-12,613.69
2024-02-09,618.22
2024-02-08,617.16
2024-02-07,621.62
2024-02-06,617.89
2024-02-05,615.62
2024-02-02,619.3
2024-02-01,617.54
2024-01-31,604.57
2024-01-30,608.81
2024-01-29,602.0
2024-01-26,597.81
2024-01-25,598.51
2024-01-24,597.95
2024-01-23,603.67
2024-01-22,601.53
2024-01-19,599.05
2024-01-18,592.62
2024-01-17,588.89
2024-01-16,588.57
2024-01-12,593.0
2024-01-11,588.25
2024-01-10,587.02
2024-01-09,584.51
2024-01-08,584.13
2024-01-05,577.26
2024-01-04,582.38
2024-01-03,580.28
2024-01-02,591.91
2023-12-29,602.66
2023-12-28,601.09
2023-12-27,606.21
2023-12-26,602.43
2023-12-22,595.24
2023-12-21,589.95
2023-12-20,553.66
2023-12-19,560.29
2023-12-18,560.66
2023-12-15,558.71
2023-12-14,563.42
2023-12-13,574.9
2023-12-12,564.52
2023-12-11,559.6
2023-12-08,553.33
2023-12-07,553.75
2023-12-06,550.93
2023-12-05,551.08
2023-12-04,555.05
2023-12-01,558.25
2023-11-30,553.25
2023-11-29,549.08
2023-11-28,554.35
2023-11-27,554.76
2023-11-24,554.9
2023-11-22,554.82
2023-11-21,553.24
2023-11-20,550.84
2023-11-17,547.97
2023-11-16,553.44
2023-11-15,547.24
2023-11-14,546.54
2023-11-13,536.27
2023-11-10,533.48
2023-11-09,526.33
2023-11-08,527.21
2023-11-07,526.26
2023-11-06,518.71
2023-11-03,518.45
2023-11-02,511.09
2023-11-01,509.0
2023-10-31,507.12
2023-10-30,502.81
2023-10-27,496.41
2023-10-26,498.62
2023-10-25,501.51
2023-10-24,505.82
2023-10-23,499.48
2023-10-20,498.19
2023-10-19,502.82
2023-10-18,508.19
2023-10-17,514.27
2023-10-16,516.68
2023-10-13,512.63
2023-10-12,514.99
2023-10-11,512.51
2023-10-10,506.64
2023-10-09,502.22
2023-10-06,493.26
2023-10-05,481.85
2023-10-04,483.94
2023-10-03,480.87
2023-10-02,484.87
2023-09-29,481.01
2023-09-28,483.89
2023-09-27,481.08
2023-09-26,478.87
2023-09-25,505.52
2023-09-22,504.75
2023-09-21,504.43
2023-09-20,514.53
2023-09-19,515.24
2023-09-18,514.73
2023-09-15,515.08
2023-09-14,523.38
2023-09-13,514.79
2023-09-12,511.79
2023-09-11,497.85
2023-09-08,495.13
2023-09-07,497.5
2023-09-06,495.73
2023-09-05,496.74
2023-09-01,505.26
2023-08-31,504.17
2023-08-30,505.99
2023-08-29,502.34
2023-08-28,499.09
2023-08-25,496.01
2023-08-24,487.9
2023-08-23,491.22
2023-08-22,485.61
2023-08-21,486.02
2023-08-18,485.44
2023-08-17,483.92
2023-08-16,490.27
2023-08-15,488.66
