,Close
2024-05-13,67.87
2024-05-10,66.98
2024-05-09,66.8
2024-05-08,67.72
2024-05-07,67.66
2024-05-06,66.42
2024-05-03,66.25
2024-05-02,66.27
2024-05-01,65.37
2024-04-30,65.68
2024-04-29,66.53
2024-04-26,66.94
2024-04-25,66.76
2024-04-24,67.52
2024-04-23,67.77
2024-04-22,68.2
2024-04-19,67.44
2024-04-18,67.13
2024-04-17,67.54
2024-04-16,67.93
2024-04-15,68.42
2024-04-12,69.26
2024-04-11,70.57
2024-04-10,69.97
2024-04-09,71.56
2024-04-08,71.03
2024-04-05,71.13
2024-04-04,71.61
2024-04-03,71.84
2024-04-02,71.68
2024-04-01,71.75
2024-03-28,73.29
2024-03-27,73.62
2024-03-26,72.4
2024-03-25,72.01
2024-03-22,71.9
2024-03-21,72.58
2024-03-20,75.15
2024-03-19,74.65
2024-03-18,75.09
2024-03-15,75.33
2024-03-14,76.35
2024-03-13,77.02
2024-03-12,77.09
2024-03-11,76.96
2024-03-08,76.77
2024-03-07,77.46
2024-03-06,76.69
2024-03-05,77.78
2024-03-04,79.08
2024-03-01,78.61
2024-02-29,79.02
2024-02-28,78.48
2024-02-27,79.14
2024-02-26,79.51
2024-02-23,79.82
2024-02-22,79.46
2024-02-21,77.47
2024-02-20,76.74
2024-02-16,77.0
2024-02-15,78.02
2024-02-14,76.74
2024-02-13,75.5
2024-02-12,76.53
2024-02-09,77.1
2024-02-08,78.3
2024-02-07,78.0
2024-02-06,78.73
2024-02-05,77.59
2024-02-02,77.89
2024-02-01,77.88
2024-01-31,77.12
2024-01-30,77.6
2024-01-29,77.87
2024-01-26,77.28
2024-01-25,78.3
2024-01-24,76.95
2024-01-23,77.11
2024-01-22,77.27
2024-01-19,76.88
2024-01-18,75.66
2024-01-17,75.7
2024-01-16,76.2
2024-01-12,77.97
2024-01-11,74.88
2024-01-10,73.35
2024-01-09,73.16
2024-01-08,73.69
2024-01-05,72.84
2024-01-04,73.59
2024-01-03,73.67
2024-01-02,74.4
2023-12-29,75.53
2023-12-28,75.84
2023-12-27,75.6
2023-12-26,75.47
2023-12-22,75.15
2023-12-21,74.16
2023-12-20,74.03
2023-12-19,75.43
2023-12-18,75.9
2023-12-15,76.17
2023-12-14,74.68
2023-12-13,73.18
2023-12-12,72.05
2023-12-11,71.68
2023-12-08,70.33
2023-12-07,70.42
2023-12-06,70.12
2023-12-05,70.13
2023-12-04,71.16
2023-12-01,70.82
2023-11-30,70.38
2023-11-29,70.12
2023-11-28,71.3
2023-11-27,70.77
2023-11-24,71.17
2023-11-22,70.88
2023-11-21,70.25
2023-11-20,69.8
2023-11-17,69.53
2023-11-16,68.48
2023-11-15,68.41
2023-11-14,67.38
2023-11-13,65.68
2023-11-10,65.95
2023-11-09,64.65
2023-11-08,65.52
2023-11-07,65.77
2023-11-06,66.28
2023-11-03,66.27
2023-11-02,63.65
2023-11-01,64.96
2023-10-31,64.47
2023-10-30,63.75
2023-10-27,63.3
2023-10-26,63.42
2023-10-25,64.09
2023-10-24,65.15
2023-10-23,65.02
2023-10-20,65.74
2023-10-19,65.44
2023-10-18,66.03
2023-10-17,67.17
2023-10-16,66.77
2023-10-13,65.78
2023-10-12,65.96
2023-10-11,68.34
2023-10-10,67.86
2023-10-09,68.18
2023-10-06,67.84
2023-10-05,67.7
2023-10-04,67.54
2023-10-03,67.3
2023-10-02,67.76
2023-09-29,67.74
2023-09-28,67.84
2023-09-27,68.2
2023-09-26,68.64
2023-09-25,69.73
2023-09-22,69.61
2023-09-21,69.21
2023-09-20,69.51
2023-09-19,70.09
2023-09-18,70.22
2023-09-15,70.17
2023-09-14,70.97
2023-09-13,70.7
2023-09-12,70.13
2023-09-11,71.33
2023-09-08,71.34
2023-09-07,71.25
2023-09-06,71.3
2023-09-05,70.97
2023-09-01,71.73
2023-08-31,71.61
2023-08-30,71.49
2023-08-29,71.4
2023-08-28,70.62
2023-08-25,70.06
2023-08-24,70.03
2023-08-23,70.46
2023-08-22,69.59
2023-08-21,68.76
2023-08-18,68.8
2023-08-17,69.08
2023-08-16,69.23
2023-08-15,69.38
2023-08-14,71.1
2023-08-11,70.08
2023-08-10,71.08
2023-08-09,69.94
2023-08-08,70.26
2023-08-07,71.33
2023-08-04,71.0
2023-08-03,70.47
2023-08-02,65.34
2023-08-01,65.85
2023-07-31,66.03
2023-07-28,65.76
2023-07-27,66.29
2023-07-26,67.76
2023-07-25,67.84
2023-07-24,67.45
2023-07-21,66.81
2023-07-20,66.76
2023-07-19,69.09
2023-07-18,69.17
2023-07-17,68.44
2023-07-14,68.6
2023-07-13,67.69
2023-07-12,67.17
2023-07-11,67.18
2023-07-10,66.64
2023-07-07,65.34
2023-07-06,64.71
2023-07-05,65.53
2023-07-03,65.56
2023-06-30,65.28
2023-06-29,64.54
2023-06-28,63.37
2023-06-27,63.13
2023-06-26,62.46
2023-06-23,62.04
2023-06-22,62.6
2023-06-21,63.18
2023-06-20,64.64
2023-06-16,65.08
2023-06-15,64.74
2023-06-14,63.71
2023-06-13,64.23
2023-06-12,63.32
2023-06-09,62.05
2023-06-08,62.3
2023-06-07,62.6
2023-06-06,62.17
2023-06-05,61.3
2023-06-02,63.76
2023-06-01,62.19
2023-05-31,62.49
2023-05-30,62.45
2023-05-26,62.88
2023-05-25,62.16
2023-05-24,62.61
2023-05-23,63.3
2023-05-22,64.01
2023-05-19,63.01
2023-05-18,63.62
2023-05-17,62.76
2023-05-16,61.98
2023-05-15,62.76
2023-05-12,61.66
2023-05-11,61.88
2023-05-10,62.56
2023-05-09,61.63
2023-05-08,61.64
2023-05-05,63.29
2023-05-04,62.86
2023-05-03,58.88
2023-05-02,59.38
2023-05-01,59.84
2023-04-28,59.71
2023-04-27,59.21
2023-04-26,58.4
2023-04-25,58.46
2023-04-24,59.5
2023-04-21,59.49
2023-04-20,59.97
2023-04-19,60.25
2023-04-18,61.12
2023-04-17,60.75
2023-04-14,60.04
2023-04-13,60.61
2023-04-12,60.28
2023-04-11,61.69
2023-04-10,61.11
2023-04-06,60.42
2023-04-05,60.66
2023-04-04,60.67
2023-04-03,61.37
2023-03-31,60.93
2023-03-30,59.81
2023-03-29,59.51
2023-03-28,58.95
2023-03-27,59.01
2023-03-24,58.65
2023-03-23,58.16
2023-03-22,57.44
2023-03-21,59.18
2023-03-20,58.7
2023-03-17,57.79
2023-03-16,58.4
2023-03-15,57.07
2023-03-14,58.44
2023-03-13,57.98
2023-03-10,60.38
2023-03-09,60.91
2023-03-08,61.53
2023-03-07,61.42
2023-03-06,62.61
2023-03-03,62.54
2023-03-02,62.53
2023-03-01,62.37
2023-02-28,62.63
2023-02-27,63.5
2023-02-24,63.83
2023-02-23,64.29
2023-02-22,64.44
2023-02-21,64.66
2023-02-17,65.48
2023-02-16,66.36
2023-02-15,67.13
2023-02-14,67.41
2023-02-13,67.83
2023-02-10,66.72
2023-02-09,66.63
2023-02-08,66.3
2023-02-07,67.52
2023-02-06,66.83
2023-02-03,68.22
2023-02-02,70.66
2023-02-01,68.84
2023-01-31,66.75
2023-01-30,65.27
2023-01-27,65.71
2023-01-26,64.66
2023-01-25,64.14
2023-01-24,63.92
2023-01-23,64.24
2023-01-20,62.74
2023-01-19,61.37
2023-01-18,60.99
2023-01-17,62.96
2023-01-13,64.06
2023-01-12,65.1
2023-01-11,61.5
2023-01-10,61.21
2023-01-09,60.86
2023-01-06,59.75
2023-01-05,57.57
2023-01-04,58.06
2023-01-03,57.59
2022-12-30,57.19
2022-12-29,57.13
2022-12-28,55.58
2022-12-27,56.48
2022-12-23,56.02
2022-12-22,55.46
2022-12-21,55.63
2022-12-20,55.04
2022-12-19,54.98
2022-12-16,55.56
2022-12-15,56.35
2022-12-14,58.23
2022-12-13,59.18
2022-12-12,59.04
2022-12-09,58.34
2022-12-08,59.3
2022-12-07,59.4
2022-12-06,59.64
2022-12-05,60.45
2022-12-02,62.39
2022-12-01,62.62
2022-11-30,62.21
2022-11-29,59.62
2022-11-28,60.1
2022-11-25,60.92
2022-11-23,60.03
2022-11-22,59.23
2022-11-21,58.2
2022-11-18,59.97
2022-11-17,59.47
2022-11-16,59.14
2022-11-15,59.6875
2022-11-14,57.816
2022-11-11,58.1545
2022-11-10,57.0296
2022-11-09,53.7745
2022-11-08,52.9781
2022-11-07,53.5057
2022-11-04,52.3908
2022-11-03,51.7239
2022-11-02,59.9861
2022-11-01,62.2458
2022-10-31,61.9671
2022-10-28,62.7336
2022-10-27,61.539
2022-10-26,61.3698
2022-10-25,61.2006
2022-10-24,60.4839
2022-10-21,60.006
2022-10-20,59.5083
2022-10-19,59.5382
2022-10-18,60.444
2022-10-17,59.6079
2022-10-14,58.3337
2022-10-13,58.6821
2022-10-12,56.4921
2022-10-11,56.96
2022-10-10,57.8857
2022-10-07,58.2242
2022-10-06,59.4386
2022-10-05,60.3545
2022-10-04,60.3843
2022-10-03,58.7617
2022-09-30,57.179
2022-09-29,58.1844
2022-09-28,58.9907
2022-09-27,57.7065
2022-09-26,58.4233
2022-09-23,58.5825
2022-09-22,59.5282
2022-09-21,59.807
2022-09-20,61.6784
2022-09-19,62.9227
2022-09-16,61.9173
2022-09-15,61.758
2022-09-14,61.7481
2022-09-13,62.5445
2022-09-12,66.0186
2022-09-09,65.2123
2022-09-08,64.0575
2022-09-07,63.3806
2022-09-06,61.9372
2022-09-02,62.0467
2022-09-01,63.1517
2022-08-31,62.8829
2022-08-30,63.9182
2022-08-29,63.968
2022-08-26,64.406
2022-08-25,66.7254
2022-08-24,65.6801
2022-08-23,65.72
2022-08-22,66.6059
2022-08-19,68.2882
2022-08-18,68.8158
2022-08-17,68.3181
