,Close
2024-05-13,116.51
2024-05-10,114.84
2024-05-09,116.17
2024-05-08,113.02
2024-05-07,115.56
2024-05-06,117.59
2024-05-03,113.81
2024-05-02,114.31
2024-05-01,127.46
2024-04-30,129.26
2024-04-29,132.12
2024-04-26,132.11
2024-04-25,128.11
2024-04-24,126.76
2024-04-23,129.36
2024-04-22,127.27
2024-04-19,127.18
2024-04-18,130.1
2024-04-17,130.9
2024-04-16,133.84
2024-04-15,132.9
2024-04-12,138.38
2024-04-11,140.95
2024-04-10,137.18
2024-04-09,136.77
2024-04-08,137.43
2024-04-05,139.56
2024-04-04,134.61
2024-04-03,138.78
2024-04-02,137.5
2024-04-01,138.25
2024-03-28,137.72
2024-03-27,138.88
2024-03-26,140.26
2024-03-25,137.82
2024-03-22,137.24
2024-03-21,136.76
2024-03-20,137.91
2024-03-19,130.83
2024-03-18,129.58
2024-03-15,130.55
2024-03-14,132.55
2024-03-13,132.42
2024-03-12,130.45
2024-03-11,128.77
2024-03-08,131.8
2024-03-07,133.2
2024-03-06,132.13
2024-03-05,130.9
2024-03-04,132.4
2024-03-01,127.43
2024-02-29,124.57
2024-02-28,122.44
2024-02-27,123.7
2024-02-26,119.89
2024-02-23,121.76
2024-02-22,121.41
2024-02-21,114.69
2024-02-20,115.48
2024-02-16,116.01
2024-02-15,126.27
2024-02-14,120.01
2024-02-13,116.39
2024-02-12,118.44
2024-02-09,119.31
2024-02-08,118.3
2024-02-07,114.33
2024-02-06,112.34
2024-02-05,108.12
2024-02-02,109.5
2024-02-01,107.3
2024-01-31,104.2
2024-01-30,105.47
2024-01-29,110.45
2024-01-26,108.24
2024-01-25,107.52
2024-01-24,107.12
2024-01-23,105.69
2024-01-22,104.66
2024-01-19,106.33
2024-01-18,104.96
2024-01-17,102.89
2024-01-16,104.02
2024-01-12,104.13
2024-01-11,103.98
2024-01-10,105.59
2024-01-09,103.05
2024-01-08,98.52
2024-01-05,94.81
2024-01-04,93.9
2024-01-03,93.77
2024-01-02,96.46
