,Close
2024-05-13,118.26
2024-05-10,118.97
2024-05-09,115.87
2024-05-08,117.28
2024-05-07,112.4
2024-05-06,126.97
2024-05-03,124.27
2024-05-02,125.46
2024-05-01,126.42
2024-04-30,125.5
2024-04-29,129.07
2024-04-26,131.45
2024-04-25,125.25
2024-04-24,127.07
2024-04-23,126.44
2024-04-22,122.07
2024-04-19,120.09
2024-04-18,125.02
2024-04-17,123.55
2024-04-16,126.95
2024-04-15,125.82
2024-04-12,127.51
2024-04-11,130.8
2024-04-10,125.82
2024-04-09,125.44
2024-04-08,125.83
2024-04-05,124.4
2024-04-04,120.72
2024-04-03,121.51
2024-04-02,124.39
2024-04-01,123.15
2024-03-28,123.6
2024-03-27,123.51
2024-03-26,123.45
2024-03-25,122.66
2024-03-22,123.02
2024-03-21,122.86
2024-03-20,123.44
2024-03-19,121.81
2024-03-18,120.87
2024-03-15,120.42
2024-03-14,122.65
2024-03-13,123.59
2024-03-12,122.99
2024-03-11,121.45
2024-03-08,121.31
2024-03-07,122.89
2024-03-06,124.59
2024-03-05,123.53
2024-03-04,130.67
2024-03-01,130.22
2024-02-29,131.46
2024-02-28,130.47
2024-02-27,130.95
2024-02-26,129.35
2024-02-23,129.51
2024-02-22,131.12
2024-02-21,125.84
2024-02-20,127.66
2024-02-16,129.74
2024-02-15,131.84
2024-02-14,136.15
2024-02-13,131.68
2024-02-12,134.85
2024-02-09,134.91
2024-02-08,131.45
2024-02-07,130.62
2024-02-06,129.18
2024-02-05,131.14
2024-02-02,134.31
2024-02-01,126.9
2024-01-31,124.44
2024-01-30,126.83
2024-01-29,128.87
2024-01-26,123.95
2024-01-25,122.19
2024-01-24,122.58
2024-01-23,129.01
2024-01-22,132.98
2024-01-19,130.31
2024-01-18,126.92
2024-01-17,126.03
2024-01-16,123.79
2024-01-12,123.0
2024-01-11,120.88
2024-01-10,120.19
2024-01-09,121.18
2024-01-08,119.25
2024-01-05,115.99
2024-01-04,113.02
2024-01-03,112.42
2024-01-02,115.08
2023-12-29,121.38
2023-12-28,123.28
2023-12-27,123.6
2023-12-26,123.56
2023-12-22,122.49
2023-12-21,122.48
2023-12-20,120.62
2023-12-19,122.41
2023-12-18,123.27
2023-12-15,122.6
2023-12-14,120.65
2023-12-13,117.23
2023-12-12,114.66
2023-12-11,114.73
2023-12-08,113.83
2023-12-07,115.0
2023-12-06,114.31
2023-12-05,118.07
2023-12-04,118.18
2023-12-01,118.62
2023-11-30,116.57
2023-11-29,116.65
2023-11-28,114.24
2023-11-27,111.92
2023-11-24,112.87
2023-11-22,112.13
2023-11-21,111.93
2023-11-20,111.77
2023-11-17,109.54
2023-11-16,109.12
2023-11-15,109.44
2023-11-14,109.02
2023-11-13,104.25
2023-11-10,103.65
2023-11-09,100.23
2023-11-08,99.99
2023-11-07,102.2
2023-11-06,79.55
2023-11-03,82.04
2023-11-02,79.24
2023-11-01,80.1
2023-10-31,81.47
2023-10-30,80.41
2023-10-27,81.68
2023-10-26,80.72
2023-10-25,81.59
2023-10-24,87.86
2023-10-23,85.68
2023-10-20,86.08
2023-10-19,87.75
2023-10-18,88.29
2023-10-17,90.41
2023-10-16,90.52
2023-10-13,88.06
2023-10-12,87.98
2023-10-11,89.44
2023-10-10,91.63
2023-10-09,90.73
2023-10-06,94.43
2023-10-05,89.54
2023-10-04,88.53
2023-10-03,86.97
2023-10-02,91.84
2023-09-29,91.09
2023-09-28,88.96
2023-09-27,87.83
2023-09-26,86.57
2023-09-25,88.84
2023-09-22,88.76
2023-09-21,88.42
2023-09-20,92.05
2023-09-19,92.89
2023-09-18,94.5
2023-09-15,94.55
2023-09-14,97.51
2023-09-13,97.48
2023-09-12,98.22
2023-09-11,101.88
2023-09-08,97.66
2023-09-07,96.68
2023-09-06,97.66
2023-09-05,98.0
2023-09-01,97.73
2023-08-31,96.48
2023-08-30,94.16
2023-08-29,93.81
2023-08-28,92.54
2023-08-25,92.6
2023-08-24,91.85
2023-08-23,95.44
2023-08-22,93.69
2023-08-21,94.69
2023-08-18,93.63
2023-08-17,90.29
2023-08-16,90.6
2023-08-15,88.52
2023-08-14,89.78
2023-08-11,89.44
2023-08-10,90.72
2023-08-09,86.76
2023-08-08,88.04
2023-08-07,106.3
2023-08-04,107.53
2023-08-03,107.1
2023-08-02,106.83
2023-08-01,114.95
2023-07-31,116.72
2023-07-28,112.19
2023-07-27,109.46
2023-07-26,110.64
2023-07-25,115.3
2023-07-24,111.49
2023-07-21,109.87
2023-07-20,109.9
2023-07-19,115.22
2023-07-18,113.82
2023-07-17,112.77
2023-07-14,108.53
2023-07-13,109.19
2023-07-12,105.445
2023-07-11,104.98
2023-07-10,101.45
2023-07-07,98.02
2023-07-06,97.08
2023-07-05,98.28
2023-07-03,98.29
2023-06-30,98.38
2023-06-29,96.45
2023-06-28,98.15
2023-06-27,95.69
2023-06-26,93.34
2023-06-23,93.67
2023-06-22,94.5
2023-06-21,91.94
2023-06-20,96.68
2023-06-16,95.75
2023-06-15,98.19
2023-06-14,96.28
2023-06-13,97.75
2023-06-12,97.7
2023-06-09,95.63
2023-06-08,96.02
2023-06-07,93.59
2023-06-06,101.85
2023-06-05,100.35
2023-06-02,98.77
2023-06-01,94.99
2023-05-31,94.91
2023-05-30,93.69
2023-05-26,93.16
2023-05-25,92.41
2023-05-24,93.44
2023-05-23,93.07
2023-05-22,93.87
2023-05-19,92.09
2023-05-18,94.54
2023-05-17,91.28
2023-05-16,88.07
2023-05-15,88.5
2023-05-12,87.25
2023-05-11,86.65
2023-05-10,86.0
2023-05-09,79.59
2023-05-08,78.54
2023-05-05,76.57
2023-05-04,75.4
2023-05-03,65.84
2023-05-02,64.04
2023-05-01,65.4
2023-04-28,67.38
2023-04-27,70.21
2023-04-26,69.27
2023-04-25,62.69
2023-04-24,65.71
2023-04-21,67.28
2023-04-20,67.48
2023-04-19,69.555
2023-04-18,70.0
2023-04-17,69.84
2023-04-14,67.32
2023-04-13,68.08
2023-04-12,66.84
2023-04-11,64.85
2023-04-10,66.14
2023-04-06,65.83
2023-04-05,66.11
2023-04-04,69.32
2023-04-03,70.67
2023-03-31,72.66
2023-03-30,67.91
2023-03-29,68.1
2023-03-28,67.73
2023-03-27,65.6
2023-03-24,65.24
2023-03-23,67.44
2023-03-22,66.19
2023-03-21,69.67
2023-03-20,66.21
2023-03-17,68.62
2023-03-16,69.21
2023-03-15,67.54
2023-03-14,65.96
2023-03-13,66.24
2023-03-10,65.14
2023-03-09,69.91
