,Close
2024-05-13,124.95
2024-05-10,127.05
2024-05-09,128.14
2024-05-08,127.42
2024-05-07,130.1
2024-05-06,129.65
2024-05-03,128.37
2024-05-02,126.65
2024-05-01,125.88
2024-04-30,127.39
2024-04-29,125.81
2024-04-26,124.34
2024-04-25,138.01
2024-04-24,137.87
2024-04-23,134.0
2024-04-22,131.52
2024-04-19,130.745
2024-04-18,134.3
2024-04-17,133.86
2024-04-16,136.52
2024-04-15,134.56
2024-04-12,136.14
2024-04-11,139.62
2024-04-10,140.32
2024-04-09,140.45
2024-04-08,139.96
2024-04-05,138.93
2024-04-04,133.34
2024-04-03,138.51
2024-04-02,136.65
2024-04-01,137.94
2024-03-28,138.7
2024-03-27,139.48
2024-03-26,139.93
2024-03-25,140.1
2024-03-22,133.18
2024-03-21,133.41
2024-03-20,132.53
2024-03-19,134.17
2024-03-18,134.72
2024-03-15,130.46
2024-03-14,129.5
2024-03-13,131.68
2024-03-12,135.38
2024-03-11,133.04
2024-03-08,135.25
2024-03-07,133.24
2024-03-06,133.72
2024-03-05,121.78
2024-03-04,122.3
2024-03-01,121.74
2024-02-29,115.07
2024-02-28,114.22
2024-02-27,115.32
2024-02-26,116.17
2024-02-23,116.26
2024-02-22,117.5
2024-02-21,116.39
2024-02-20,117.87
2024-02-16,117.05
2024-02-15,117.69
2024-02-14,116.75
2024-02-13,117.03
2024-02-12,118.42
2024-02-09,120.47
2024-02-08,127.05
2024-02-07,126.61
2024-02-06,124.92
2024-02-05,121.23
2024-02-02,120.96
2024-02-01,122.6
2024-01-31,121.35
2024-01-30,120.79
2024-01-29,124.25
2024-01-26,121.96
2024-01-25,126.505
2024-01-24,127.42
2024-01-23,127.12
2024-01-22,129.29
2024-01-19,127.29
2024-01-18,127.45
2024-01-17,125.45
2024-01-16,124.46
2024-01-12,125.0
2024-01-11,128.93
2024-01-10,128.0
2024-01-09,129.7
2024-01-08,129.63
2024-01-05,123.98
2024-01-04,121.83
2024-01-03,120.27
2024-01-02,123.09
2023-12-29,124.09
2023-12-28,124.16
2023-12-27,123.73
2023-12-26,123.55
2023-12-22,122.17
2023-12-21,122.8
2023-12-20,116.64
2023-12-19,123.29
2023-12-18,123.35
2023-12-15,122.59
2023-12-14,123.1
2023-12-13,122.29
2023-12-12,119.16
2023-12-11,117.9
2023-12-08,116.97
2023-12-07,118.89
2023-12-06,117.94
2023-12-05,117.2
2023-12-04,118.24
2023-12-01,116.62
2023-11-30,115.55
2023-11-29,116.18
2023-11-28,112.2
2023-11-27,113.98
2023-11-24,112.95
2023-11-22,110.8
2023-11-21,108.96
2023-11-20,108.96
2023-11-17,104.97
2023-11-16,104.77
2023-11-15,102.11
2023-11-14,101.38
2023-11-13,98.35
2023-11-10,94.05
2023-11-09,92.4
2023-11-08,92.76
2023-11-07,95.19
2023-11-06,94.84
2023-11-03,97.46
2023-11-02,93.67
2023-11-01,94.13
2023-10-31,88.83
2023-10-30,84.91
2023-10-27,89.29
2023-10-26,81.09
2023-10-25,84.35
2023-10-24,86.35
2023-10-23,86.02
2023-10-20,85.97
2023-10-19,86.04
2023-10-18,84.12
2023-10-17,80.49
2023-10-16,78.95
2023-10-13,76.19
2023-10-12,75.49
2023-10-11,78.97
2023-10-10,85.21
2023-10-09,83.09
2023-10-06,83.22
2023-10-05,84.0
2023-10-04,87.7
2023-10-03,90.94
2023-10-02,94.55
2023-09-29,93.3
2023-09-28,95.46
2023-09-27,92.09
2023-09-26,88.62
2023-09-25,86.06
2023-09-22,87.5
2023-09-21,89.08
2023-09-20,92.63
