,Close
2024-05-13,126.58
2024-05-10,127.14
2024-05-09,127.12
2024-05-08,125.24
2024-05-07,130.24
2024-05-06,130.56
2024-05-03,129.56
2024-05-02,128.5
2024-05-01,128.18
2024-04-30,126.82
2024-04-29,127.9
2024-04-26,127.9
2024-04-25,127.31
2024-04-24,128.14
2024-04-23,127.14
2024-04-22,127.12
2024-04-19,127.27
2024-04-18,125.63
2024-04-17,126.31
2024-04-16,126.55
2024-04-15,127.05
2024-04-12,127.89
2024-04-11,129.18
2024-04-10,129.3
2024-04-09,130.69
2024-04-08,130.005
2024-04-05,130.29
2024-04-04,129.56
2024-04-03,132.52
2024-04-02,132.15
2024-04-01,133.34
2024-03-28,132.67
2024-03-27,131.87
2024-03-26,130.9
2024-03-25,130.52
2024-03-22,131.7
2024-03-21,132.48
2024-03-20,132.32
2024-03-19,132.96
2024-03-18,132.48
2024-03-15,134.27
2024-03-14,135.03
2024-03-13,136.96
2024-03-12,136.02
2024-03-11,136.73
2024-03-08,135.15
2024-03-07,135.4
2024-03-06,135.52
2024-03-05,136.28
2024-03-04,138.81
2024-03-01,140.79
2024-02-29,139.48
2024-02-28,140.08
2024-02-27,139.5
2024-02-26,142.58
2024-02-23,142.59
2024-02-22,143.52
2024-02-21,141.17
2024-02-20,141.04
2024-02-16,142.28
2024-02-15,144.05
2024-02-14,143.08
2024-02-13,139.0
2024-02-12,137.55
2024-02-09,140.61
2024-02-08,138.85
2024-02-07,136.75
2024-02-06,135.26
2024-02-05,134.94
2024-02-02,136.64
2024-02-01,137.92
2024-01-31,137.58
2024-01-30,137.55
2024-01-29,138.58
2024-01-26,139.42
2024-01-25,138.94
2024-01-24,137.86
2024-01-23,139.17
2024-01-22,137.57
2024-01-19,137.72
2024-01-18,138.03
2024-01-17,136.62
2024-01-16,137.15
2024-01-12,137.92
2024-01-11,137.74
2024-01-10,137.63
2024-01-09,137.72
2024-01-08,136.46
2024-01-05,135.61
2024-01-04,135.97
2024-01-03,135.71
2024-01-02,135.78
2023-12-29,136.81
2023-12-28,136.76
2023-12-27,136.71
2023-12-26,137.29
2023-12-22,137.67
2023-12-21,137.88
2023-12-20,136.59
2023-12-19,138.55
2023-12-18,138.09
2023-12-15,138.83
2023-12-14,140.85
2023-12-13,142.35
2023-12-12,140.33
2023-12-11,138.56
2023-12-08,137.14
2023-12-07,135.55
2023-12-06,137.14
2023-12-05,137.42
2023-12-04,137.82
2023-12-01,137.76
2023-11-30,138.01
2023-11-29,137.31
2023-11-28,136.38
2023-11-27,137.12
2023-11-24,136.6
2023-11-22,136.12
2023-11-21,136.06
2023-11-20,135.45
2023-11-17,133.7
2023-11-16,133.4
2023-11-15,134.43
2023-11-14,134.44
2023-11-13,132.68
2023-11-10,132.78
2023-11-09,131.3
2023-11-08,130.74
2023-11-07,129.73
2023-11-06,129.27
2023-11-03,129.59
2023-11-02,128.28
2023-11-01,123.78
2023-10-31,123.79
2023-10-30,121.31
2023-10-27,122.63
2023-10-26,123.64
2023-10-25,125.72
2023-10-24,127.66
2023-10-23,126.34
2023-10-20,127.44
2023-10-19,128.23
2023-10-18,130.26
2023-10-17,131.03
2023-10-16,131.14
2023-10-13,131.29
2023-10-12,131.57
2023-10-11,129.69
2023-10-10,128.08
2023-10-09,124.59
2023-10-06,122.96
2023-10-05,120.79
2023-10-04,120.72
2023-10-03,119.55
2023-10-02,120.15
2023-09-29,120.4
2023-09-28,119.18
2023-09-27,117.97
2023-09-26,118.36
2023-09-25,119.71
2023-09-22,119.0
2023-09-21,118.8
2023-09-20,120.45
2023-09-19,121.0
2023-09-18,120.6
2023-09-15,120.46
2023-09-14,123.04
2023-09-13,121.68
2023-09-12,121.42
2023-09-11,122.53
2023-09-08,121.75
2023-09-07,120.94
2023-09-06,120.9
2023-09-05,121.5
2023-09-01,120.54
2023-08-31,119.98
2023-08-30,120.55
2023-08-29,120.96
2023-08-28,120.52
2023-08-25,119.69
2023-08-24,119.91
2023-08-23,121.32
2023-08-22,119.53
2023-08-21,118.6
2023-08-18,118.36
2023-08-17,118.76
2023-08-16,120.68
2023-08-15,121.42
2023-08-14,122.77
2023-08-11,122.2
2023-08-10,122.27
2023-08-09,121.92
2023-08-08,122.61
2023-08-07,124.05
2023-08-04,122.59
2023-08-03,123.83
2023-08-02,126.31
2023-08-01,136.12
2023-07-31,136.35
2023-07-28,137.85
2023-07-27,137.51
2023-07-26,138.83
2023-07-25,139.57
2023-07-24,137.76
2023-07-21,137.06
2023-07-20,137.13
2023-07-19,136.84
2023-07-18,138.87
2023-07-17,138.25
2023-07-14,137.34
2023-07-13,136.71
2023-07-12,135.47
2023-07-11,137.33
2023-07-10,130.54
2023-07-07,129.2
2023-07-06,130.7
2023-07-05,129.89
2023-07-03,130.87
2023-06-30,129.7
2023-06-29,130.45
2023-06-28,130.66
2023-06-27,131.38
2023-06-26,126.67
2023-06-23,125.25
2023-06-22,125.45
2023-06-21,124.57
2023-06-20,126.41
2023-06-16,128.66
2023-06-15,128.99
2023-06-14,127.9
2023-06-13,127.32
2023-06-12,125.76
2023-06-09,125.94
2023-06-08,127.11
2023-06-07,126.24
2023-06-06,127.14
2023-06-05,127.02
2023-06-02,127.67
2023-06-01,127.69
2023-05-31,128.0
2023-05-30,126.48
2023-05-26,126.8
2023-05-25,125.4
2023-05-24,125.4
2023-05-23,125.29
2023-05-22,125.12
2023-05-19,125.66
2023-05-18,126.21
2023-05-17,124.92
2023-05-16,125.12
2023-05-15,124.84
2023-05-12,125.47
2023-05-11,125.32
2023-05-10,124.74
2023-05-09,125.41
2023-05-08,125.76
2023-05-05,125.42
2023-05-04,124.01
2023-05-03,125.07
2023-05-02,126.16
2023-05-01,127.42
2023-04-28,127.28
2023-04-27,126.51
2023-04-26,125.12
2023-04-25,129.5
2023-04-24,129.48
2023-04-21,129.11
2023-04-20,128.8
2023-04-19,128.18
2023-04-18,129.04
2023-04-17,128.08
2023-04-14,127.87
2023-04-13,128.28
2023-04-12,126.13
2023-04-11,125.68
2023-04-10,125.62
2023-04-06,125.16
2023-04-05,126.15
2023-04-04,125.24
2023-04-03,121.35
2023-03-31,120.45
2023-03-30,119.1
2023-03-29,119.19
2023-03-28,118.02
2023-03-27,118.64
2023-03-24,119.03
2023-03-23,116.04
2023-03-22,113.16
2023-03-21,114.94
2023-03-20,113.52
2023-03-17,113.35
2023-03-16,113.53
2023-03-15,111.38
2023-03-14,111.48
2023-03-13,110.07
2023-03-10,109.19
2023-03-09,110.46
2023-03-08,112.28
2023-03-07,112.14
2023-03-06,113.19
2023-03-03,113.15
2023-03-02,112.29
2023-03-01,110.41
2023-02-28,110.94
2023-02-27,111.09
2023-02-24,109.77
2023-02-23,110.72
2023-02-22,111.74
2023-02-21,112.02
2023-02-17,112.0
2023-02-16,111.72
2023-02-15,113.34
2023-02-14,112.25
2023-02-13,113.2
2023-02-10,111.8
2023-02-09,111.79
2023-02-08,112.7
2023-02-07,114.18
2023-02-06,112.19
2023-02-03,113.92
2023-02-02,115.99
2023-02-01,116.76
2023-01-31,128.68
2023-01-30,128.99
2023-01-27,128.87
2023-01-26,129.14
2023-01-25,127.56
2023-01-24,127.49
2023-01-23,127.41
2023-01-20,125.99
2023-01-19,123.72
2023-01-18,123.71
2023-01-17,123.7
2023-01-13,125.46
2023-01-12,126.42
2023-01-11,126.11
2023-01-10,124.02
2023-01-09,124.17
2023-01-06,123.89
2023-01-05,124.68
2023-01-04,125.01
2023-01-03,122.8
2022-12-30,122.18
2022-12-29,122.19
2022-12-28,119.54
2022-12-27,120.82
2022-12-23,121.51
2022-12-22,121.42
2022-12-21,122.5
2022-12-20,120.42
2022-12-19,120.79
2022-12-16,121.74
2022-12-15,121.73
2022-12-14,124.66
2022-12-13,125.68
2022-12-12,125.6
2022-12-09,124.71
2022-12-08,126.11
2022-12-07,126.01
2022-12-06,127.41
2022-12-05,130.42
2022-12-02,132.28
2022-12-01,131.62
2022-11-30,130.78
2022-11-29,127.59
2022-11-28,128.16
2022-11-25,129.308
2022-11-23,130.766
2022-11-22,129.328
2022-11-21,127.671
2022-11-18,129.887
2022-11-17,128.46
2022-11-16,129.149
2022-11-15,128.589
2022-11-14,129.368
2022-11-11,131.036
2022-11-10,130.107
2022-11-09,126.103
2022-11-08,128.909
2022-11-07,132.224
2022-11-04,129.568
2022-11-03,126.433
2022-11-02,128.47
2022-11-01,126.083
2022-10-31,125.774
2022-10-28,128.05
2022-10-27,127.511
2022-10-26,127.062
2022-10-25,127.551
2022-10-24,125.484
2022-10-21,124.805
2022-10-20,123.367
2022-10-19,123.657
2022-10-18,123.187
2022-10-17,120.851
2022-10-14,120.192
2022-10-13,121.041
2022-10-12,118.704
2022-10-11,119.073
2022-10-10,120.501
2022-10-07,122.129
2022-10-06,123.477
2022-10-05,122.488
2022-10-04,123.018
2022-10-03,119.683
2022-09-30,115.539
2022-09-29,117.296
2022-09-28,118.175
2022-09-27,114.97
2022-09-26,114.65
2022-09-23,115.469
2022-09-22,117.246
2022-09-21,117.316
2022-09-20,120.362
2022-09-19,122.748
2022-09-16,121.56
2022-09-15,124.226
2022-09-14,126.732
2022-09-13,127.401
2022-09-12,130.656
2022-09-09,128.739
2022-09-08,126.952
2022-09-07,125.364
2022-09-06,124.545
2022-09-02,125.144
2022-09-01,127.491
2022-08-31,126.682
2022-08-30,126.283
2022-08-29,129.218
2022-08-26,131.781
2022-08-25,127.234
2022-08-24,125.24
2022-08-23,126.357
2022-08-22,127.743
2022-08-19,130.096
2022-08-18,132.08
2022-08-17,132.778
2022-08-16,134.712
2022-08-15,131.212
2022-08-12,130.983
2022-08-11,129.298
2022-08-10,130.774
2022-08-09,128.899
2022-08-08,130.664
2022-08-05,132.17
2022-08-04,132.848
2022-08-03,132.888
2022-08-02,128.51
2022-08-01,130.485
2022-07-29,130.844
2022-07-28,132.788
2022-07-27,131.791
2022-07-26,130.365
2022-07-25,129.538
2022-07-22,129.777
2022-07-21,129.827
2022-07-20,127.214
2022-07-19,126.377
2022-07-18,123.256
2022-07-15,122.797
2022-07-14,121.93
2022-07-13,121.322
2022-07-12,121.621
2022-07-11,123.475
2022-07-08,125.26
2022-07-07,125.23
2022-07-06,123.984
2022-07-05,124.383
2022-07-01,122.369
2022-06-30,121.292
2022-06-29,122.468
2022-06-28,122.518
2022-06-27,125.23
2022-06-24,129.817
2022-06-23,128.58
2022-06-22,128.65
2022-06-21,130.006
2022-06-17,128.162
2022-06-16,127.603
2022-06-15,128.879
2022-06-14,126.995
2022-06-13,128.381
2022-06-10,133.047
2022-06-09,135.41
2022-06-08,138.81
2022-06-07,140.555
2022-06-06,139.748
2022-06-03,140.395
2022-06-02,140.892
2022-06-01,138.931
2022-05-31,138.054
2022-05-27,137.935
2022-05-26,138.084
2022-05-25,136.76
2022-05-24,136.093
2022-05-23,133.196
2022-05-20,130.199
2022-05-19,129.462
2022-05-18,128.416
2022-05-17,127.918
2022-05-16,126.843
2022-05-13,124.404
2022-05-12,120.43
2022-05-11,119.973
2022-05-10,111.121
2022-05-09,111.559
2022-05-06,114.795
2022-05-05,119.096
2022-05-04,123.189
2022-05-03,121.984
2022-05-02,119.485
2022-04-29,117.543
2022-04-28,122.88
2022-04-27,120.7
2022-04-26,124.095
2022-04-25,127.6
2022-04-22,127.54
2022-04-21,123.208
2022-04-20,122.78
2022-04-19,123.507
2022-04-18,121.636
2022-04-14,122.074
2022-04-13,123.09
2022-04-12,123.04
2022-04-11,122.054
2022-04-08,122.95
2022-04-07,122.87
2022-04-06,124.314
2022-04-05,125.32
2022-04-04,127.471
2022-04-01,124.692
2022-03-31,125.967
2022-03-30,127.132
2022-03-29,128.277
2022-03-28,127.491
2022-03-25,126.774
2022-03-24,125.031
2022-03-23,124.105
2022-03-22,127.381
2022-03-21,125.021
2022-03-18,125.738
2022-03-17,124.643
2022-03-16,123.268
