,Close
2024-05-13,200.77
2024-05-10,202.19
2024-05-09,203.72
2024-05-08,203.22
2024-05-07,203.68
2024-05-06,204.19
2024-05-03,201.5
2024-05-02,197.63
2024-05-01,196.01
2024-04-30,201.13
2024-04-29,205.86
2024-04-26,207.76
2024-04-25,207.1
2024-04-24,205.24
2024-04-23,204.37
2024-04-22,202.58
2024-04-19,200.74
2024-04-18,199.6
2024-04-17,201.15
2024-04-16,203.95
2024-04-15,205.35
2024-04-12,206.34
2024-04-11,208.26
2024-04-10,206.23
2024-04-09,205.53
2024-04-08,206.57
2024-04-05,204.32
2024-04-04,201.05
2024-04-03,203.22
2024-04-02,200.37
2024-04-01,199.45
2024-03-28,198.17
2024-03-27,196.53
2024-03-26,194.25
2024-03-25,196.59
2024-03-22,194.7
2024-03-21,194.4
2024-03-20,192.9
2024-03-19,192.62
2024-03-18,190.06
2024-03-15,189.94
2024-03-14,189.5
2024-03-13,187.56
2024-03-12,184.52
2024-03-11,184.5
2024-03-08,183.29
2024-03-07,182.81
2024-03-06,181.18
2024-03-05,180.06
2024-03-04,178.89
2024-03-01,185.17
2024-02-29,182.52
2024-02-28,179.76
2024-02-27,177.95
2024-02-26,177.11
2024-02-23,176.36
2024-02-22,176.73
2024-02-21,179.75
2024-02-20,178.06
2024-02-16,179.42
2024-02-15,178.52
2024-02-14,169.86
2024-02-13,165.6
2024-02-12,165.98
2024-02-09,151.74
2024-02-08,153.48
2024-02-07,151.45
2024-02-06,151.99
2024-02-05,149.62
2024-02-02,150.22
2024-02-01,152.72
2024-01-31,153.74
2024-01-30,156.93
2024-01-29,154.86
2024-01-26,156.24
2024-01-25,156.32
2024-01-24,153.2
2024-01-23,151.47
2024-01-22,151.94
2024-01-19,151.06
2024-01-18,149.74
2024-01-17,149.78
2024-01-16,151.16
2024-01-12,153.84
2024-01-11,151.39
2024-01-10,151.36
2024-01-09,152.76
2024-01-08,155.76
2024-01-05,155.95
2024-01-04,155.82
2024-01-03,160.17
2024-01-02,157.01
2023-12-29,155.08
2023-12-28,155.33
2023-12-27,158.09
2023-12-26,159.0
2023-12-22,156.39
