,Close
2024-05-13,59.63
2024-05-10,58.16
2024-05-09,58.11
2024-05-08,59.63
2024-05-07,59.43
2024-05-06,58.81
2024-05-03,58.88
2024-05-02,65.2
2024-05-01,63.53
2024-04-30,63.18
2024-04-29,64.3
2024-04-26,64.18
2024-04-25,64.03
2024-04-24,65.45
2024-04-23,64.8
2024-04-22,63.69
2024-04-19,63.41
2024-04-18,64.03
2024-04-17,64.66
2024-04-16,64.48
2024-04-15,64.73
2024-04-12,66.45
2024-04-11,68.22
2024-04-10,68.13
2024-04-09,68.22
2024-04-08,68.39
2024-04-05,70.91
2024-04-04,69.23
2024-04-03,71.32
2024-04-02,68.85
2024-04-01,67.82
2024-03-28,68.31
2024-03-27,67.27
2024-03-26,67.45
2024-03-25,67.89
2024-03-22,68.3
2024-03-21,68.57
2024-03-20,67.87
2024-03-19,67.79
2024-03-18,67.55
2024-03-15,66.72
2024-03-14,68.04
2024-03-13,70.18
2024-03-12,71.34
2024-03-11,71.46
2024-03-08,71.35
2024-03-07,73.07
2024-03-06,71.32
2024-03-05,69.04
2024-03-04,71.39
2024-03-01,70.44
2024-02-29,69.11
2024-02-28,69.51
2024-02-27,69.95
2024-02-26,68.4
2024-02-23,67.64
2024-02-22,66.96
2024-02-21,65.34
2024-02-20,67.91
2024-02-16,68.48
2024-02-15,70.26
2024-02-14,70.88
2024-02-13,69.4
2024-02-12,70.26
2024-02-09,70.44
2024-02-08,67.85
2024-02-07,70.03
2024-02-06,67.48
2024-02-05,66.09
2024-02-02,66.44
2024-02-01,66.45
2024-01-31,64.49
2024-01-30,66.71
2024-01-29,66.45
2024-01-26,66.12
2024-01-25,65.55
2024-01-24,66.11
2024-01-23,64.41
2024-01-22,62.66
2024-01-19,60.9
2024-01-18,61.41
2024-01-17,60.62
2024-01-16,62.0
2024-01-12,62.44
2024-01-11,62.25
2024-01-10,61.37
2024-01-09,59.4
2024-01-08,61.26
2024-01-05,58.34
2024-01-04,58.39
2024-01-03,57.85
2024-01-02,57.78
2023-12-29,58.53
2023-12-28,59.4
2023-12-27,59.34
2023-12-26,59.8
2023-12-22,59.27
2023-12-21,58.51
2023-12-20,57.45
2023-12-19,57.76
2023-12-18,56.11
2023-12-15,57.83
2023-12-14,57.05
2023-12-13,55.35
2023-12-12,55.04
2023-12-11,53.64
2023-12-08,52.16
2023-12-07,51.32
2023-12-06,51.83
2023-12-05,52.52
2023-12-04,52.25
2023-12-01,52.49
2023-11-30,52.56
2023-11-29,53.6
2023-11-28,52.79
2023-11-27,53.74
2023-11-24,53.43
2023-11-22,52.97
2023-11-21,52.58
2023-11-20,51.91
2023-11-17,51.26
2023-11-16,50.42
2023-11-15,51.06
2023-11-14,51.32
2023-11-13,50.3
2023-11-10,50.82
