,Close
2024-05-13,81.03
2024-05-10,83.4
2024-05-09,82.73
2024-05-08,81.11
2024-05-07,81.43
2024-05-06,79.8
2024-05-03,79.47
2024-05-02,77.83
2024-05-01,78.26
2024-04-30,76.24
2024-04-29,88.94
2024-04-26,86.24
2024-04-25,85.95
2024-04-24,86.72
2024-04-23,86.24
2024-04-22,84.31
2024-04-19,84.47
2024-04-18,84.97
2024-04-17,85.19
2024-04-16,85.88
2024-04-15,86.13
2024-04-12,86.28
2024-04-11,88.21
2024-04-10,85.39
2024-04-09,86.94
2024-04-08,87.71
2024-04-05,88.47
2024-04-04,87.96
2024-04-03,89.03
2024-04-02,88.11
2024-04-01,89.53
2024-03-28,90.91
2024-03-27,90.31
2024-03-26,89.07
2024-03-25,88.28
2024-03-22,89.73
2024-03-21,91.2
2024-03-20,90.89
2024-03-19,90.78
2024-03-18,90.61
2024-03-15,89.41
2024-03-14,88.33
2024-03-13,88.48
2024-03-12,91.82
2024-03-11,93.0
2024-03-08,93.87
2024-03-07,92.66
2024-03-06,93.1
2024-03-05,91.81
2024-03-04,92.73
2024-03-01,92.72
2024-02-29,91.28
2024-02-28,93.02
2024-02-27,92.52
2024-02-26,90.62
2024-02-23,89.07
2024-02-22,87.64
2024-02-21,84.98
2024-02-20,86.39
2024-02-16,86.02
2024-02-15,85.63
2024-02-14,83.17
2024-02-13,82.31
2024-02-12,83.17
2024-02-09,81.34
2024-02-08,82.06
2024-02-07,81.83
2024-02-06,81.96
2024-02-05,73.41
2024-02-02,73.91
2024-02-01,74.35
2024-01-31,73.36
2024-01-30,74.0
2024-01-29,74.38
2024-01-26,73.15
2024-01-25,72.87
2024-01-24,71.55
2024-01-23,73.67
2024-01-22,74.64
2024-01-19,74.11
2024-01-18,73.52
2024-01-17,72.75
2024-01-16,74.97
2024-01-12,76.17
2024-01-11,76.25
2024-01-10,76.17
2024-01-09,76.66
2024-01-08,77.36
2024-01-05,76.62
2024-01-04,76.57
2024-01-03,76.11
2024-01-02,76.37
2023-12-29,77.32
2023-12-28,77.54
2023-12-27,77.67
2023-12-26,78.14
2023-12-22,77.58
2023-12-21,77.19
2023-12-20,75.44
2023-12-19,75.69
2023-12-18,75.06
2023-12-15,75.01
2023-12-14,75.92
2023-12-13,74.18
2023-12-12,72.05
2023-12-11,71.13
2023-12-08,68.52
2023-12-07,67.39
2023-12-06,68.05
2023-12-05,67.93
2023-12-04,69.37
2023-12-01,69.41
2023-11-30,68.46
2023-11-29,67.71
2023-11-28,68.13
2023-11-27,71.14
2023-11-24,73.71
2023-11-22,73.6
2023-11-21,73.38
2023-11-20,73.33
2023-11-17,73.0
2023-11-16,71.92
2023-11-15,71.52
2023-11-14,72.21
2023-11-13,70.01
2023-11-10,69.52
2023-11-09,68.31
2023-11-08,69.99
2023-11-07,70.7
2023-11-06,71.09
2023-11-03,71.57
2023-11-02,69.25
2023-11-01,68.28
2023-10-31,66.57
2023-10-30,63.17
2023-10-27,63.1
2023-10-26,63.91
2023-10-25,64.51
2023-10-24,64.67
2023-10-23,63.99
2023-10-20,64.05
2023-10-19,65.45
2023-10-18,65.23
2023-10-17,66.8
2023-10-16,66.88
2023-10-13,67.12
2023-10-12,66.51
2023-10-11,67.78
2023-10-10,68.19
2023-10-09,67.8
2023-10-06,68.46
2023-10-05,67.6
2023-10-04,67.88
2023-10-03,66.98
2023-10-02,67.84
2023-09-29,68.04
2023-09-28,69.78
2023-09-27,68.28
2023-09-26,66.21
2023-09-25,66.48
2023-09-22,64.33
2023-09-21,63.89
2023-09-20,65.01
2023-09-19,66.12
2023-09-18,66.28
2023-09-15,66.43
2023-09-14,66.0
2023-09-13,64.53
2023-09-12,65.4
2023-09-11,66.62
2023-09-08,64.9
2023-09-07,65.9
2023-09-06,66.98
2023-09-05,67.66
2023-09-01,69.25
2023-08-31,70.45
2023-08-30,70.39
2023-08-29,70.48
2023-08-28,69.31
2023-08-25,68.59
2023-08-24,68.43
2023-08-23,68.99
2023-08-22,68.93
2023-08-21,68.97
2023-08-18,68.36
2023-08-17,68.39
2023-08-16,70.67
2023-08-15,70.54
2023-08-14,71.8
2023-08-11,71.59
2023-08-10,72.3
2023-08-09,73.92
2023-08-08,73.93
2023-08-07,75.59
2023-08-04,75.9
2023-08-03,76.02
2023-08-02,76.59
2023-08-01,77.69
2023-07-31,78.0
2023-07-28,77.87
2023-07-27,76.86
2023-07-26,77.43
2023-07-25,80.21
