,Close
2024-05-13,67.54
2024-05-10,65.96
2024-05-09,64.58
2024-05-08,64.92
2024-05-07,65.46
2024-05-06,65.54
2024-05-03,64.78
2024-05-02,65.33
2024-05-01,65.51
2024-04-30,65.2
2024-04-29,65.94
2024-04-26,65.42
2024-04-25,65.27
2024-04-24,67.08
2024-04-23,67.03
2024-04-22,66.95
2024-04-19,66.78
2024-04-18,66.16
2024-04-17,66.93
2024-04-16,67.31
2024-04-15,67.75
2024-04-12,68.07
2024-04-11,68.65
2024-04-10,68.12
2024-04-09,69.94
2024-04-08,69.42
2024-04-05,69.58
2024-04-04,69.55
2024-04-03,70.89
2024-04-02,72.09
2024-04-01,72.88
2024-03-28,73.25
2024-03-27,73.01
2024-03-26,72.41
2024-03-25,72.58
2024-03-22,72.61
2024-03-21,73.09
2024-03-20,73.98
2024-03-19,73.41
2024-03-18,73.26
2024-03-15,73.69
2024-03-14,74.21
2024-03-13,75.94
2024-03-12,75.08
2024-03-11,75.32
2024-03-08,75.12
2024-03-07,73.66
2024-03-06,72.63
2024-03-05,72.99
2024-03-04,72.25
2024-03-01,72.31
2024-02-29,72.1
2024-02-28,72.7
2024-02-27,73.02
2024-02-26,72.95
2024-02-23,73.55
2024-02-22,72.78
2024-02-21,73.2
2024-02-20,72.04
2024-02-16,71.58
2024-02-15,73.37
2024-02-14,73.04
2024-02-13,73.53
2024-02-12,74.45
2024-02-09,73.67
2024-02-08,73.8
2024-02-07,74.42
2024-02-06,77.72
2024-02-05,76.71
2024-02-02,76.96
2024-02-01,78.16
2024-01-31,78.26
2024-01-30,78.62
2024-01-29,79.07
2024-01-26,79.52
2024-01-25,80.23
2024-01-24,79.53
2024-01-23,79.48
2024-01-22,78.43
2024-01-19,87.29
2024-01-18,86.4
2024-01-17,86.48
2024-01-16,85.99
2024-01-12,86.38
2024-01-11,85.39
2024-01-10,84.5
2024-01-09,86.06
2024-01-08,83.99
2024-01-05,83.31
2024-01-04,84.48
2024-01-03,83.48
2024-01-02,83.24
2023-12-29,81.01
2023-12-28,81.14
2023-12-27,80.37
2023-12-26,79.95
2023-12-22,79.66
2023-12-21,78.93
2023-12-20,78.59
2023-12-19,79.49
2023-12-18,79.5
2023-12-15,80.33
2023-12-14,81.78
2023-12-13,83.09
2023-12-12,80.82
2023-12-11,80.09
2023-12-08,79.02
2023-12-07,78.05
2023-12-06,79.36
2023-12-05,79.02
2023-12-04,78.34
2023-12-01,77.65
2023-11-30,76.6
2023-11-29,75.23
2023-11-28,74.51
2023-11-27,74.92
2023-11-24,75.38
2023-11-22,75.7
2023-11-21,74.69
2023-11-20,76.0
2023-11-17,75.45
2023-11-16,74.52
2023-11-15,75.04
2023-11-14,74.72
2023-11-13,74.93
2023-11-10,75.92
2023-11-09,74.98
2023-11-08,77.9
2023-11-07,80.61
2023-11-06,81.14
2023-11-03,81.59
2023-11-02,81.23
2023-11-01,80.19
2023-10-31,78.54
2023-10-30,77.77
2023-10-27,76.62
2023-10-26,78.5
2023-10-25,78.39
2023-10-24,78.15
2023-10-23,77.56
2023-10-20,77.8
2023-10-19,78.44
2023-10-18,79.67
2023-10-17,80.48
2023-10-16,79.2
2023-10-13,77.65
2023-10-12,76.76
2023-10-11,76.96
2023-10-10,75.97
2023-10-09,75.06
2023-10-06,74.74
2023-10-05,74.7
2023-10-04,74.74
2023-10-03,73.27
2023-10-02,74.1
2023-09-29,74.94
2023-09-28,75.42
2023-09-27,75.55
2023-09-26,75.53
2023-09-25,74.83
2023-09-22,75.01
2023-09-21,75.27
2023-09-20,75.82
2023-09-19,75.77
2023-09-18,75.62
2023-09-15,75.67
2023-09-14,77.36
2023-09-13,77.31
2023-09-12,76.8
2023-09-11,77.04
2023-09-08,76.0
2023-09-07,73.94
2023-09-06,74.24
2023-09-05,75.16
2023-09-01,76.65
2023-08-31,76.48
2023-08-30,77.66
2023-08-29,78.21
2023-08-28,77.04
2023-08-25,76.86
2023-08-24,76.33
2023-08-23,77.04
2023-08-22,76.35
2023-08-21,75.94
2023-08-18,75.88
2023-08-17,76.5
2023-08-16,78.0
2023-08-15,79.64
2023-08-14,79.85
2023-08-11,80.0
2023-08-10,80.0
2023-08-09,80.17
2023-08-08,80.08
2023-08-07,80.67
2023-08-04,78.68
2023-08-03,75.53
2023-08-02,75.68
2023-08-01,75.68
2023-07-31,76.14
2023-07-28,76.86
2023-07-27,76.51
2023-07-26,77.19
2023-07-25,77.23
2023-07-24,77.66
2023-07-21,80.64
2023-07-20,79.94
2023-07-19,78.96
2023-07-18,78.22
2023-07-17,77.48
2023-07-14,77.19
2023-07-13,76.71
2023-07-12,76.38
2023-07-11,76.12
2023-07-10,75.69
2023-07-07,74.42
2023-07-06,76.24
2023-07-05,77.24
2023-07-03,76.715
2023-06-30,77.07
2023-06-29,76.01
2023-06-28,76.18
2023-06-27,76.01
2023-06-26,76.56
2023-06-23,77.47
2023-06-22,78.11
2023-06-21,77.61
2023-06-20,77.71
2023-06-16,78.86
2023-06-15,79.0
2023-06-14,77.95
2023-06-13,78.45
2023-06-12,77.86
2023-06-09,78.12
2023-06-08,78.4
2023-06-07,76.08
2023-06-06,76.2
2023-06-05,77.72
2023-06-02,77.89
2023-06-01,76.21
2023-05-31,76.94
2023-05-30,76.33
2023-05-26,77.09
2023-05-25,77.65
2023-05-24,79.05
2023-05-23,78.58
2023-05-22,78.62
2023-05-19,78.845
2023-05-18,78.21
2023-05-17,78.81
2023-05-16,78.32
2023-05-15,78.38
2023-05-12,78.17
2023-05-11,78.7
2023-05-10,78.11
2023-05-09,78.8
2023-05-08,78.59
2023-05-05,79.75
2023-05-04,78.52
2023-05-03,79.45
2023-05-02,80.44
2023-05-01,81.42
2023-04-28,82.21
2023-04-27,83.55
2023-04-26,83.74
2023-04-25,85.59
2023-04-24,86.7
2023-04-21,86.57
2023-04-20,84.69
2023-04-19,84.11
2023-04-18,83.78
2023-04-17,83.63
2023-04-14,83.0
2023-04-13,83.27
2023-04-12,82.16
2023-04-11,82.54
2023-04-10,82.6
2023-04-06,83.37
2023-04-05,83.65
2023-04-04,82.12
2023-04-03,83.24
2023-03-31,82.97
2023-03-30,81.45
2023-03-29,81.29
2023-03-28,80.97
2023-03-27,79.58
2023-03-24,80.0
2023-03-23,78.76
2023-03-22,77.81
2023-03-21,79.14
2023-03-20,79.46
2023-03-17,77.31
2023-03-16,79.85
2023-03-15,79.65
2023-03-14,79.77
2023-03-13,79.51
2023-03-10,79.5
2023-03-09,78.95
2023-03-08,80.2
2023-03-07,80.28
2023-03-06,81.11
2023-03-03,81.07
2023-03-02,79.62
2023-03-01,79.59
2023-02-28,80.53
2023-02-27,80.89
2023-02-24,80.66
2023-02-23,82.54
2023-02-22,83.5
2023-02-21,84.64
2023-02-17,84.76
2023-02-16,83.39
2023-02-15,85.05
2023-02-14,85.68
2023-02-13,87.49
2023-02-10,86.7
2023-02-09,85.53
2023-02-08,85.67
2023-02-07,86.05
2023-02-06,86.36
2023-02-03,84.5
2023-02-02,81.39
2023-02-01,84.0
2023-01-31,83.94
2023-01-30,83.35
2023-01-27,83.73
2023-01-26,83.62
2023-01-25,84.07
2023-01-24,84.02
2023-01-23,83.23
2023-01-20,83.01
2023-01-19,83.62
2023-01-18,83.74
2023-01-17,85.41
2023-01-13,86.27
2023-01-12,85.72
2023-01-11,87.19
2023-01-10,87.14
2023-01-09,85.1
2023-01-06,88.08
2023-01-05,85.85
2023-01-04,85.5
2023-01-03,85.39
2022-12-30,85.85
2022-12-29,85.26
2022-12-28,84.57
2022-12-27,85.01
2022-12-23,84.75
2022-12-22,85.28
2022-12-21,85.27
2022-12-20,84.77
2022-12-19,86.42
2022-12-16,86.76
2022-12-15,86.58
2022-12-14,88.4
2022-12-13,88.02
2022-12-12,87.8117
2022-12-09,87.2464
2022-12-08,88.7341
2022-12-07,87.0679
2022-12-06,87.2365
2022-12-05,87.2563
2022-12-02,88.2977
2022-12-01,87.177
2022-11-30,87.1076
2022-11-29,85.0546
2022-11-28,84.5091
2022-11-25,85.5505
2022-11-23,84.7174
2022-11-22,84.529
2022-11-21,83.6562
2022-11-18,82.9322
2022-11-17,82.9322
2022-11-16,82.1983
2022-11-15,82.3173
2022-11-14,82.1685
2022-11-11,81.147
2022-11-10,81.9206
2022-11-09,81.6429
2022-11-08,81.5536
2022-11-07,80.79
2022-11-04,79.6792
2022-11-03,78.8064
2022-11-02,77.2394
2022-11-01,78.6874
2022-10-31,77.8146
2022-10-28,78.618
2022-10-27,69.6226
2022-10-26,70.2375
2022-10-25,69.0275
2022-10-24,68.4325
2022-10-21,67.2324
2022-10-20,65.6158
2022-10-19,65.6456
2022-10-18,66.32
2022-10-17,65.834
2022-10-14,65.6257
2022-10-13,65.9133
2022-10-12,64.8521
2022-10-11,65.1298
2022-10-10,63.9298
2022-10-07,63.7612
2022-10-06,64.4158
2022-10-05,64.9117
2022-10-04,64.7728
2022-10-03,61.8074
2022-09-30,61.1826
2022-09-29,62.5512
2022-09-28,63.4042
2022-09-27,62.1148
2022-09-26,61.8272
2022-09-23,62.343
2022-09-22,63.2455
2022-09-21,62.9777
2022-09-20,64.0488
2022-09-19,65.2786
2022-09-16,65.0604
2022-09-15,64.4654
2022-09-14,64.6439
2022-09-13,63.8405
2022-09-12,66.6943
2022-09-09,64.0171
2022-09-08,63.8405
2022-09-07,63.5366
2022-09-06,62.1636
2022-09-02,62.5853
2022-09-01,63.6935
2022-08-31,62.2421
2022-08-30,61.2909
2022-08-29,61.2418
2022-08-26,61.1633
2022-08-25,62.3597
2022-08-24,62.3892
2022-08-23,62.448
2022-08-22,63.1149
2022-08-19,64.0759
2022-08-18,63.919
2022-08-17,64.7428
2022-08-16,65.0467
2022-08-15,64.9291
2022-08-12,61.7419
2022-08-11,61.2418
2022-08-10,61.9185
2022-08-09,60.8005
2022-08-08,60.4082
2022-08-05,59.9081
2022-08-04,60.7123
2022-08-03,61.0653
2022-08-02,58.3881
2022-08-01,58.447
2022-07-29,58.594
2022-07-28,59.2315
2022-07-27,59.7218
2022-07-26,59.4472
2022-07-25,59.5747
2022-07-22,59.6237
2022-07-21,59.8297
2022-07-20,60.3592
2022-07-19,60.9182
2022-07-18,59.7218
2022-07-15,61.3889
2022-07-14,60.6142
2022-07-13,61.2516
2022-07-12,61.1339
2022-07-11,61.4478
2022-07-08,61.6242
2022-07-07,61.5066
2022-07-06,61.5164
2022-07-05,61.1339
2022-07-01,61.1535
2022-06-30,60.6142
2022-06-29,61.2712
2022-06-28,61.0064
2022-06-27,61.6145
2022-06-24,61.8597
2022-06-23,61.3693
2022-06-22,60.32
2022-06-21,59.3394
2022-06-17,57.3977
2022-06-16,56.6034
2022-06-15,57.2603
2022-06-14,56.672
2022-06-13,57.2898
2022-06-10,58.8298
2022-06-09,59.2559
2022-06-08,60.4181
2022-06-07,60.5732
2022-06-06,60.0792
2022-06-03,61.4545
2022-06-02,61.4642
2022-06-01,62.733
2022-05-31,62.8106
2022-05-27,62.7621
2022-05-26,62.4424
2022-05-25,62.9655
2022-05-24,62.3262
2022-05-23,61.6579
2022-05-20,61.8323
2022-05-19,61.2803
2022-05-18,61.2318
2022-05-17,61.1931
2022-05-16,60.2826
2022-05-13,60.4085
2022-05-12,60.515
2022-05-11,58.6554
2022-05-10,59.837
2022-05-09,59.7402
2022-05-06,59.2559
2022-05-05,59.4205
2022-05-04,60.1276
2022-05-03,58.4326
2022-05-02,58.4133
2022-04-29,57.4738
2022-04-28,59.624
2022-04-27,59.6531
2022-04-26,59.8274
2022-04-25,60.6796
2022-04-22,60.2923
2022-04-21,61.7451
2022-04-20,61.5998
2022-04-19,60.8056
2022-04-18,59.6433
2022-04-14,59.8757
2022-04-13,60.1083
2022-04-12,59.6917
2022-04-11,59.9437
2022-04-08,60.3407
2022-04-07,59.0719
2022-04-06,58.9072
2022-04-05,57.8709
2022-04-04,58.762
2022-04-01,57.7934
2022-03-31,57.5804
2022-03-30,57.7838
2022-03-29,58.6264
2022-03-28,57.3188
2022-03-25,57.0574
2022-03-24,57.28
2022-03-23,56.9992
2022-03-22,58.0937
2022-03-21,57.7838
2022-03-18,57.5513
2022-03-17,57.3383
2022-03-16,56.1469
2022-03-15,56.4858
2022-03-14,56.3212
2022-03-11,55.4689
2022-03-10,55.3924
2022-03-09,56.4248
2022-03-08,56.942
2022-03-07,57.6307
2022-03-04,59.1601
2022-03-03,59.0167
2022-03-02,58.5673
2022-03-01,57.6307
2022-02-28,57.7644
2022-02-25,58.453
2022-02-24,57.9649
2022-02-23,58.6729
2022-02-22,58.3183
2022-02-18,58.3862
2022-02-17,58.6157
2022-02-16,59.1988
2022-02-15,58.6535
2022-02-14,58.4433
2022-02-11,59.3615
2022-02-10,59.0932
2022-02-09,60.6138
2022-02-08,60.9199
2022-02-07,60.978
2022-02-04,61.1117
2022-02-03,62.5364
2022-02-02,62.948
2022-02-01,65.4817
2022-01-31,65.6832
2022-01-28,65.8547
2022-01-27,64.334
2022-01-26,64.4009
2022-01-25,65.8363
2022-01-24,65.5776
2022-01-21,65.5205
2022-01-20,64.8512
2022-01-19,66.0562
2022-01-18,67.3569
2022-01-14,68.6382
2022-01-13,68.7429
2022-01-12,69.0973
2022-01-11,69.2117
2022-01-10,68.9443
2022-01-07,68.1501
2022-01-06,68.4659
2022-01-05,69.0306
2022-01-04,69.0586
2022-01-03,69.4121
2021-12-31,69.4413
2021-12-30,70.1589
2021-12-29,70.4262
2021-12-28,69.786
2021-12-27,69.6901
2021-12-23,69.3172
2021-12-22,69.2688
2021-12-21,68.7051
2021-12-20,69.3076
2021-12-17,69.0586
2021-12-16,69.1545
2021-12-15,68.1027
2021-12-14,67.4421
2021-12-13,66.8494
2021-12-10,66.5094
2021-12-09,66.5559
2021-12-08,65.9969
2021-12-07,65.9409
2021-12-06,65.7985
2021-12-03,65.8557
2021-12-02,65.9593
2021-12-01,65.2591
2021-11-30,65.2591
2021-11-29,66.8882
2021-11-26,66.5269
2021-11-24,66.3379
2021-11-23,66.8687
2021-11-22,66.243
2021-11-19,65.0315
2021-11-18,64.179
2021-11-17,63.8672
2021-11-16,63.3278
2021-11-15,63.6212
2021-11-12,63.8857
2021-11-11,63.839
2021-11-10,63.7345
2021-11-09,62.6275
2021-11-08,62.457
2021-11-05,62.7882
2021-11-04,62.9306
2021-11-03,63.8197
2021-11-02,62.3902
2021-11-01,62.1441
2021-10-29,61.4255
2021-10-28,63.7539
2021-10-27,63.2144
2021-10-26,64.1229
2021-10-25,64.0667
2021-10-22,63.6589
2021-10-21,63.4217
2021-10-20,63.2996
2021-10-19,63.3365
2021-10-18,62.3902
2021-10-15,64.028
2021-10-14,64.521
2021-10-13,64.028
2021-10-12,63.783
2021-10-11,64.4541
2021-10-08,64.4261
2021-10-07,64.5113
2021-10-06,63.8857
2021-10-05,63.81
2021-10-04,63.9621
2021-10-01,64.9094
2021-09-30,66.1306
2021-09-29,67.1622
2021-09-28,66.243
2021-09-27,66.6605
2021-09-24,67.3985
2021-09-23,67.8722
2021-09-22,67.5787
2021-09-21,67.91
2021-09-20,67.1806
2021-09-17,67.7966
2021-09-16,67.5312
2021-09-15,67.938
2021-09-14,66.6982
2021-09-13,66.6885
2021-09-10,66.5385
2021-09-09,66.182
2021-09-08,67.3723
2021-09-07,66.7264
2021-09-03,67.4479
2021-09-02,67.8044
2021-09-01,67.3636
2021-08-31,68.216
2021-08-30,67.4944
2021-08-27,66.8106
2021-08-26,66.951
2021-08-25,66.9317
2021-08-24,67.7201
2021-08-23,68.0009
2021-08-20,67.8973
2021-08-19,67.1768
2021-08-18,67.4479
2021-08-17,68.4504
2021-08-16,67.2126
2021-08-13,66.6982
2021-08-12,66.4358
2021-08-11,65.4605
2021-08-10,64.8987
2021-08-09,64.1675
2021-08-06,64.4676
2021-08-05,64.9539
2021-08-04,64.8987
2021-08-03,65.4518
2021-08-02,64.0648
2021-07-30,64.0086
2021-07-29,65.4518
2021-07-28,65.6677
2021-07-27,64.6081
2021-07-26,64.4396
2021-07-23,64.6925
2021-07-22,64.3456
2021-07-21,64.12
2021-07-20,64.8242
2021-07-19,63.9514
2021-07-16,64.3262
2021-07-15,64.0174
2021-07-14,63.6705
2021-07-13,63.7451
2021-07-12,63.8013
2021-07-09,63.9417
2021-07-08,63.4459
2021-07-07,64.0735
2021-07-06,64.12
2021-07-02,64.9539
2021-07-01,64.7951
2021-06-30,64.5433
2021-06-29,63.6705
2021-06-28,63.4545
2021-06-25,63.6241
2021-06-24,62.9675
2021-06-23,62.4716
2021-06-22,62.8464
2021-06-21,63.1272
2021-06-18,62.4328
2021-06-17,63.0053
2021-06-16,63.1079
2021-06-15,63.8207
2021-06-14,63.8769
2021-06-11,63.7917
2021-06-10,64.2749
2021-06-09,63.6813
2021-06-08,62.6235
2021-06-07,62.5403
2021-06-04,62.55
2021-06-03,61.6676
2021-06-02,61.2501
2021-06-01,60.5925
2021-05-28,61.3248
2021-05-27,61.1301
2021-05-26,61.5475
2021-05-25,61.4352
2021-05-24,62.55
2021-05-21,63.7743
2021-05-20,64.3302
2021-05-19,63.5417
2021-05-18,63.8662
2021-05-17,64.0716
2021-05-14,63.5689
2021-05-13,63.9225
2021-05-12,62.5683
2021-05-11,62.3544
2021-05-10,62.5955
2021-05-07,61.7238
2021-05-06,61.7238
2021-05-05,61.6957
2021-05-04,60.8889
2021-05-03,61.038
2021-04-30,58.8763
2021-04-29,59.2201
2021-04-28,59.776
2021-04-27,59.9891
2021-04-26,61.0003
2021-04-23,60.7406
2021-04-22,60.8889
2021-04-21,61.9554
2021-04-20,61.5756
2021-04-19,61.1766
2021-04-16,62.0308
2021-04-15,61.009
2021-04-14,60.5741
2021-04-13,60.1935
2021-04-12,59.9795
2021-04-09,60.3979
2021-04-08,60.3136
2021-04-07,60.8521
2021-04-06,61.4352
2021-04-05,61.5378
2021-04-01,61.6309
2021-03-31,59.9524
2021-03-30,60.7591
2021-03-29,61.3993
2021-03-26,60.518
2021-03-25,59.3586
2021-03-24,59.6917
2021-03-23,59.8322
2021-03-22,60.7862
2021-03-19,59.7935
2021-03-18,59.4419
2021-03-17,59.7577
2021-03-16,59.377
2021-03-15,58.5053
2021-03-12,57.1038
2021-03-11,57.8641
2021-03-10,58.6177
2021-03-09,59.0022
2021-03-08,59.3867
2021-03-05,59.2686
2021-03-04,57.9939
2021-03-03,57.5532
2021-03-02,57.7915
2021-03-01,57.2868
2021-02-26,56.3145
2021-02-25,57.5891
2021-02-24,58.4336
2021-02-23,58.4055
2021-02-22,58.8006
2021-02-19,59.039
2021-02-18,59.8284
2021-02-17,59.7073
2021-02-16,59.4342
2021-02-12,61.35
2021-02-11,61.3781
2021-02-10,61.718
2021-02-09,61.7268
2021-02-08,62.3407
2021-02-05,62.7911
2021-02-04,60.3776
2021-02-03,59.1755
2021-02-02,59.7363
2021-02-01,59.7073
2021-01-29,60.1663
2021-01-28,59.3228
2021-01-27,60.0579
2021-01-26,61.1756
2021-01-25,62.5141
2021-01-22,61.3964
2021-01-21,61.4332
2021-01-20,62.3591
2021-01-19,61.5146
2021-01-15,58.086
2021-01-14,57.2326
2021-01-13,56.4433
2021-01-12,56.9382
2021-01-11,57.3333
2021-01-08,57.8187
2021-01-07,57.342
2021-01-06,56.8201
2021-01-05,55.0321
2021-01-04,55.1309
2020-12-31,53.4339
2020-12-30,51.9579
2020-12-29,52.1225
2020-12-28,52.1778
2020-12-24,52.3434
2020-12-23,52.6271
2020-12-22,52.2794
2020-12-21,53.6907
