,Close
2024-05-13,170.9
2024-05-10,170.29
2024-05-09,171.58
2024-05-08,171.16
2024-05-07,172.98
2024-05-06,169.83
2024-05-03,168.99
2024-05-02,168.46
2024-05-01,165.57
2024-04-30,164.64
2024-04-29,167.9
2024-04-26,173.69
2024-04-25,157.95
2024-04-24,161.1
2024-04-23,159.92
2024-04-22,157.95
2024-04-19,155.709
2024-04-18,157.46
2024-04-17,156.88
2024-04-16,156.0
2024-04-15,156.33
2024-04-12,159.19
2024-04-11,160.79
2024-04-10,157.66
2024-04-09,158.14
2024-04-08,156.19
2024-04-05,153.94
2024-04-04,151.94
2024-04-03,156.37
2024-04-02,155.87
2024-04-01,156.5
2024-03-28,152.26
2024-03-27,151.94
2024-03-26,151.7
2024-03-25,151.15
2024-03-22,151.77
2024-03-21,148.74
2024-03-20,149.68
2024-03-19,147.92
2024-03-18,148.48
2024-03-15,142.17
2024-03-14,144.34
2024-03-13,140.77
2024-03-12,139.62
2024-03-11,138.94
2024-03-08,136.29
2024-03-07,135.24
2024-03-06,132.56
2024-03-05,133.78
2024-03-04,134.2
2024-03-01,138.08
2024-02-29,139.78
2024-02-28,137.43
2024-02-27,140.1
2024-02-26,138.75
2024-02-23,145.29
2024-02-22,145.32
2024-02-21,143.84
2024-02-20,142.2
2024-02-16,141.76
2024-02-15,143.94
2024-02-14,147.14
2024-02-13,146.37
2024-02-12,148.73
2024-02-09,150.22
2024-02-08,147.22
2024-02-07,146.68
2024-02-06,145.41
2024-02-05,144.93
2024-02-02,143.54
2024-02-01,142.71
2024-01-31,141.8
2024-01-30,153.05
2024-01-29,154.84
2024-01-26,153.79
2024-01-25,153.64
2024-01-24,150.35
2024-01-23,148.68
2024-01-22,147.71
2024-01-19,147.97
2024-01-18,144.99
2024-01-17,142.89
2024-01-16,144.08
2024-01-12,144.24
2024-01-11,143.67
2024-01-10,143.8
2024-01-09,142.56
2024-01-08,140.53
2024-01-05,137.39
2024-01-04,138.04
2024-01-03,140.36
2024-01-02,139.56
2023-12-29,140.93
2023-12-28,141.28
2023-12-27,141.44
2023-12-26,142.82
2023-12-22,142.72
2023-12-21,141.8
2023-12-20,139.66
2023-12-19,138.1
2023-12-18,137.19
2023-12-15,133.84
2023-12-14,133.2
2023-12-13,133.97
2023-12-12,133.64
2023-12-11,134.7
2023-12-08,136.64
2023-12-07,138.45
2023-12-06,131.43
2023-12-05,132.39
2023-12-04,130.63
2023-12-01,133.32
2023-11-30,133.92
2023-11-29,136.4
2023-11-28,138.62
2023-11-27,138.05
2023-11-24,138.22
2023-11-22,140.02
2023-11-21,138.62
2023-11-20,137.92
2023-11-17,136.94
2023-11-16,138.7
2023-11-15,136.38
2023-11-14,135.43
2023-11-13,133.64
2023-11-10,134.06
2023-11-09,131.69
2023-11-08,133.26
2023-11-07,132.4
2023-11-06,131.45
2023-11-03,130.37
2023-11-02,128.58
2023-11-01,127.57
2023-10-31,125.3
2023-10-30,125.75
2023-10-27,123.4
2023-10-26,123.44
2023-10-25,126.67
2023-10-24,140.12
2023-10-23,137.9
2023-10-20,136.74
2023-10-19,138.98
2023-10-18,139.28
2023-10-17,140.99
2023-10-16,140.49
2023-10-13,138.58
2023-10-12,140.29
2023-10-11,141.7
2023-10-10,139.2
2023-10-09,139.5
2023-10-06,138.73
2023-10-05,135.99
2023-10-04,136.27
2023-10-03,133.3
2023-10-02,135.17
2023-09-29,131.85
2023-09-28,133.13
2023-09-27,131.46
2023-09-26,129.45
2023-09-25,132.17
2023-09-22,131.25
2023-09-21,131.36
2023-09-20,134.59
2023-09-19,138.83
2023-09-18,138.96
2023-09-15,138.3
2023-09-14,138.99
2023-09-13,137.5
2023-09-12,136.07
2023-09-11,137.74
2023-09-08,137.2
2023-09-07,136.2
2023-09-06,135.37
2023-09-05,136.71
2023-09-01,136.8
2023-08-31,137.35
2023-08-30,136.93
2023-08-29,135.49
2023-08-28,131.79
2023-08-25,130.69
2023-08-24,130.42
2023-08-23,133.21
2023-08-22,129.69
2023-08-21,128.93
2023-08-18,128.11
2023-08-17,130.46
2023-08-16,129.11
2023-08-15,130.27
2023-08-14,131.83
2023-08-11,130.17
2023-08-10,130.21
2023-08-09,130.15
2023-08-08,131.84
2023-08-07,131.94
2023-08-04,128.54
2023-08-03,128.77
2023-08-02,128.64
2023-08-01,131.89
2023-07-31,133.11
2023-07-28,133.01
2023-07-27,129.87
2023-07-26,129.66
2023-07-25,122.79
2023-07-24,121.88
2023-07-21,120.31
2023-07-20,119.53
2023-07-19,122.78
2023-07-18,124.08
2023-07-17,125.06
2023-07-14,125.7
2023-07-13,124.83
2023-07-12,119.62
2023-07-11,117.71
2023-07-10,116.87
2023-07-07,120.14
2023-07-06,120.93
2023-07-05,122.63
2023-07-03,120.56
2023-06-30,120.97
2023-06-29,120.01
2023-06-28,121.08
2023-06-27,119.01
2023-06-26,119.09
2023-06-23,123.02
2023-06-22,123.87
2023-06-21,121.26
2023-06-20,123.85
2023-06-16,124.06
2023-06-15,125.79
2023-06-14,124.38
2023-06-13,124.43
2023-06-12,124.35
2023-06-09,122.87
2023-06-08,122.67
2023-06-07,122.94
2023-06-06,127.91
2023-06-05,126.63
2023-06-02,125.23
2023-06-01,124.37
2023-05-31,123.37
2023-05-30,124.64
2023-05-26,125.43
2023-05-25,124.35
2023-05-24,121.64
2023-05-23,123.29
2023-05-22,125.87
2023-05-19,123.25
2023-05-18,123.52
2023-05-17,121.48
2023-05-16,120.09
2023-05-15,116.96
2023-05-12,117.92
2023-05-11,116.9
2023-05-10,112.28
2023-05-09,107.94
2023-05-08,108.24
2023-05-05,106.215
2023-05-04,105.21
2023-05-03,106.12
2023-05-02,105.98
2023-05-01,107.71
2023-04-28,108.22
2023-04-27,108.37
2023-04-26,104.45
2023-04-25,104.61
2023-04-24,106.78
2023-04-21,105.91
2023-04-20,105.9
2023-04-19,105.02
2023-04-18,105.12
2023-04-17,106.42
2023-04-14,109.46
2023-04-13,108.19
2023-04-12,105.22
2023-04-11,106.12
2023-04-10,106.95
2023-04-06,108.9
2023-04-05,104.95
2023-04-04,105.12
2023-04-03,104.91
2023-03-31,104.0
2023-03-30,101.32
2023-03-29,101.9
2023-03-28,101.36
2023-03-27,103.06
2023-03-24,106.06
2023-03-23,106.26
2023-03-22,104.22
2023-03-21,105.84
2023-03-20,101.93
2023-03-17,102.46
2023-03-16,101.07
2023-03-15,96.55
2023-03-14,94.25
2023-03-13,91.66
2023-03-10,91.01
2023-03-09,92.66
2023-03-08,94.65
2023-03-07,94.17
2023-03-06,95.58
2023-03-03,94.02
2023-03-02,92.31
2023-03-01,90.51
2023-02-28,90.3
2023-02-27,90.1
2023-02-24,89.35
2023-02-23,91.07
2023-02-22,91.8
2023-02-21,92.05
2023-02-17,94.59
2023-02-16,95.78
2023-02-15,97.1
2023-02-14,94.95
2023-02-13,95.0
2023-02-10,94.86
2023-02-09,95.46
2023-02-08,100.0
2023-02-07,108.04
2023-02-06,103.47
2023-02-03,105.22
2023-02-02,108.8
2023-02-01,101.43
2023-01-31,99.87
2023-01-30,97.95
2023-01-27,100.71
2023-01-26,99.16
2023-01-25,96.73
2023-01-24,99.21
2023-01-23,101.21
2023-01-20,99.28
2023-01-19,93.91
2023-01-18,91.78
2023-01-17,92.16
2023-01-13,92.8
2023-01-12,91.91
2023-01-11,92.26
2023-01-10,89.24
2023-01-09,88.8
2023-01-06,88.16
2023-01-05,86.77
2023-01-04,88.71
2023-01-03,89.7
2022-12-30,88.73
2022-12-29,88.95
2022-12-28,86.46
2022-12-27,87.93
2022-12-23,89.81
2022-12-22,88.26
2022-12-21,90.25
2022-12-20,89.63
2022-12-19,89.15
2022-12-16,90.86
2022-12-15,91.2
2022-12-14,95.31
2022-12-13,95.85
2022-12-12,93.56
2022-12-09,93.07
2022-12-08,93.95
2022-12-07,95.15
2022-12-06,97.31
2022-12-05,99.87
2022-12-02,100.83
2022-12-01,101.28
2022-11-30,101.45
2022-11-29,95.44
2022-11-28,96.25
2022-11-25,97.6
2022-11-23,98.82
2022-11-22,97.33
2022-11-21,95.83
2022-11-18,97.8
2022-11-17,98.5
2022-11-16,98.99
2022-11-15,98.72
2022-11-14,96.03
2022-11-11,96.73
2022-11-10,94.17
2022-11-09,87.4
2022-11-08,88.91
2022-11-07,88.65
2022-11-04,86.7
2022-11-03,83.49
2022-11-02,87.07
2022-11-01,90.5
2022-10-31,94.66
2022-10-28,96.58
2022-10-27,92.6
2022-10-26,94.82
2022-10-25,104.93
2022-10-24,102.97
2022-10-21,101.48
2022-10-20,100.53
2022-10-19,100.29
2022-10-18,101.39
2022-10-17,100.78
2022-10-14,97.18
2022-10-13,99.71
2022-10-12,98.3
2022-10-11,98.05
2022-10-10,98.71
2022-10-07,99.57
2022-10-06,102.24
2022-10-05,102.22
2022-10-04,102.41
2022-10-03,99.3
2022-09-30,96.15
2022-09-29,98.09
2022-09-28,100.74
2022-09-27,98.09
2022-09-26,98.81
2022-09-23,99.17
2022-09-22,100.57
2022-09-21,100.01
2022-09-20,101.83
2022-09-19,103.85
2022-09-16,103.63
2022-09-15,103.9
2022-09-14,105.87
2022-09-13,105.31
2022-09-12,111.87
2022-09-09,111.78
2022-09-08,109.42
2022-09-07,110.48
2022-09-06,107.48
2022-09-02,108.68
2022-09-01,110.55
2022-08-31,109.15
2022-08-30,109.91
2022-08-29,110.34
2022-08-26,111.3
2022-08-25,117.7
2022-08-24,114.7
2022-08-23,114.77
2022-08-22,115.07
2022-08-19,118.12
2022-08-18,120.86
2022-08-17,120.32
2022-08-16,122.51
2022-08-15,122.88
2022-08-12,122.65
2022-08-11,119.82
2022-08-10,120.65
2022-08-09,117.5
2022-08-08,118.14
2022-08-05,118.22
2022-08-04,118.87
2022-08-03,118.78
2022-08-02,115.9
2022-08-01,115.48
2022-07-29,116.64
2022-07-28,114.59
2022-07-27,113.6
2022-07-26,105.44
2022-07-25,108.21
2022-07-22,108.36
2022-07-21,115.04
2022-07-20,114.7
2022-07-19,114.62
2022-07-18,109.91
2022-07-15,112.767
2022-07-14,111.44
2022-07-13,112.187
2022-07-12,114.849
2022-07-11,116.522
2022-07-08,120.168
2022-07-07,119.306
2022-07-06,115.214
2022-07-05,113.887
2022-07-01,109.081
2022-06-30,109.372
2022-06-29,112.256
2022-06-28,112.571
2022-06-27,116.622
2022-06-24,118.538
2022-06-23,112.684
2022-06-22,112.034
2022-06-21,112.015
2022-06-17,107.866
2022-06-16,106.636
2022-06-15,110.39
2022-06-14,107.194
2022-06-13,106.876
2022-06-10,111.428
2022-06-09,114.918
2022-06-08,117.238
2022-06-07,117.23
2022-06-06,117.011
2022-06-03,114.564
2022-06-02,117.746
2022-06-01,114.137
2022-05-31,114.039
2022-05-27,112.799
2022-05-26,108.296
2022-05-25,105.84
2022-05-24,105.926
2022-05-23,111.666
2022-05-20,109.313
2022-05-19,110.746
2022-05-18,112.401
2022-05-17,116.702
2022-05-16,114.792
2022-05-13,116.516
2022-05-12,113.161
2022-05-11,113.961
2022-05-10,114.584
2022-05-09,113.084
2022-05-06,115.66
2022-05-05,116.746
2022-05-04,122.575
2022-05-03,118.13
2022-05-02,117.157
2022-04-29,114.966
2022-04-28,119.412
2022-04-27,115.02
2022-04-26,119.506
2022-04-25,123.25
2022-04-22,119.614
2022-04-21,124.938
2022-04-20,128.246
2022-04-19,130.531
2022-04-18,127.961
2022-04-14,127.253
2022-04-13,130.286
2022-04-12,128.374
2022-04-11,129.796
2022-04-08,134.01
2022-04-07,136.465
2022-04-06,137.176
2022-04-05,141.063
2022-04-04,143.642
2022-04-01,140.7
2022-03-31,139.65
2022-03-30,142.644
2022-03-29,143.25
2022-03-28,141.95
2022-03-25,141.522
2022-03-24,141.312
2022-03-23,138.504
2022-03-22,140.278
2022-03-21,136.478
2022-03-18,136.802
2022-03-17,134.6
2022-03-16,133.69
2022-03-15,129.661
2022-03-14,126.741
2022-03-11,130.476
2022-03-10,132.682
2022-03-09,133.866
2022-03-08,127.279
2022-03-07,126.464
2022-03-04,132.122
2022-03-03,134.308
2022-03-02,134.752
2022-03-01,134.168
2022-02-28,134.891
2022-02-25,134.52
2022-02-24,132.674
2022-02-23,127.585
2022-02-22,129.402
2022-02-18,130.468
2022-02-17,132.308
2022-02-16,137.488
2022-02-15,136.426
2022-02-14,135.3
2022-02-11,134.13
2022-02-10,138.603
2022-02-09,141.453
2022-02-08,139.213
2022-02-07,138.938
2022-02-04,143.016
2022-02-03,142.651
2022-02-02,148.036
2022-02-01,137.878
2022-01-31,135.698
2022-01-28,133.29
2022-01-27,129.121
2022-01-26,129.24
2022-01-25,126.736
2022-01-24,130.372
2022-01-21,130.092
2022-01-20,133.507
2022-01-19,135.652
2022-01-18,136.29
2022-01-14,139.786
2022-01-13,139.131
