,Close
2024-05-13,169.14
2024-05-10,168.65
2024-05-09,169.96
2024-05-08,169.38
2024-05-07,171.25
2024-05-06,168.1
2024-05-03,167.24
2024-05-02,166.62
2024-05-01,163.86
2024-04-30,162.78
2024-04-29,166.15
2024-04-26,171.95
2024-04-25,156.0
2024-04-24,159.13
2024-04-23,158.26
2024-04-22,156.28
2024-04-19,154.11
2024-04-18,156.01
2024-04-17,155.47
2024-04-16,154.4
2024-04-15,154.86
2024-04-12,157.73
2024-04-11,159.41
2024-04-10,156.14
2024-04-09,156.6
2024-04-08,154.85
2024-04-05,152.5
2024-04-04,150.53
2024-04-03,154.92
2024-04-02,154.56
2024-04-01,155.49
2024-03-28,150.93
2024-03-27,150.87
2024-03-26,150.67
2024-03-25,150.07
2024-03-22,150.77
2024-03-21,147.6
2024-03-20,148.74
2024-03-19,147.03
2024-03-18,147.68
2024-03-15,141.18
2024-03-14,143.1
2024-03-13,139.79
2024-03-12,138.5
2024-03-11,137.67
2024-03-08,135.41
2024-03-07,134.38
2024-03-06,131.4
2024-03-05,132.67
2024-03-04,133.35
2024-03-01,137.14
2024-02-29,138.46
2024-02-28,136.38
2024-02-27,138.88
2024-02-26,137.57
2024-02-23,143.96
2024-02-22,144.09
2024-02-21,142.55
2024-02-20,141.12
2024-02-16,140.52
2024-02-15,142.77
2024-02-14,145.94
2024-02-13,145.14
2024-02-12,147.53
2024-02-09,149.0
2024-02-08,145.91
2024-02-07,145.54
2024-02-06,144.1
2024-02-05,143.68
2024-02-02,142.38
2024-02-01,141.16
2024-01-31,140.1
2024-01-30,151.46
2024-01-29,153.51
2024-01-26,152.185
2024-01-25,151.87
2024-01-24,148.7
2024-01-23,147.04
2024-01-22,145.99
2024-01-19,146.38
2024-01-18,143.48
2024-01-17,141.47
2024-01-16,142.49
2024-01-12,142.65
2024-01-11,142.08
2024-01-10,142.28
2024-01-09,140.95
2024-01-08,138.84
2024-01-05,135.73
2024-01-04,136.39
2024-01-03,138.92
2024-01-02,138.17
2023-12-29,139.69
2023-12-28,140.23
2023-12-27,140.37
2023-12-26,141.52
2023-12-22,141.49
2023-12-21,140.42
2023-12-20,138.34
2023-12-19,136.65
2023-12-18,135.8
2023-12-15,132.6
2023-12-14,131.94
2023-12-13,132.57
2023-12-12,132.52
2023-12-11,133.29
2023-12-08,134.99
2023-12-07,136.93
2023-12-06,130.02
2023-12-05,130.99
2023-12-04,129.27
2023-12-01,131.86
2023-11-30,132.53
2023-11-29,134.99
2023-11-28,137.2
2023-11-27,136.41
2023-11-24,136.69
2023-11-22,138.49
2023-11-21,136.97
2023-11-20,136.25
2023-11-17,135.31
2023-11-16,136.93
2023-11-15,134.62
2023-11-14,133.62
2023-11-13,132.09
2023-11-10,132.59
2023-11-09,130.24
2023-11-08,131.84
2023-11-07,130.97
2023-11-06,130.25
2023-11-03,129.1
2023-11-02,127.49
2023-11-01,126.45
2023-10-31,124.08
2023-10-30,124.46
2023-10-27,122.17
2023-10-26,122.28
2023-10-25,125.61
2023-10-24,138.81
2023-10-23,136.5
2023-10-20,135.6
2023-10-19,137.75
2023-10-18,137.96
2023-10-17,139.72
2023-10-16,139.095
2023-10-13,137.36
2023-10-12,138.97
2023-10-11,140.55
2023-10-10,138.06
2023-10-09,138.42
2023-10-06,137.58
2023-10-05,135.07
2023-10-04,135.24
2023-10-03,132.43
2023-10-02,134.17
2023-09-29,130.86
2023-09-28,132.31
2023-09-27,130.54
2023-09-26,128.565
2023-09-25,131.11
2023-09-22,130.25
2023-09-21,130.44
2023-09-20,133.74
2023-09-19,138.04
2023-09-18,138.21
2023-09-15,137.4
2023-09-14,138.1
2023-09-13,136.71
2023-09-12,135.34
2023-09-11,136.92
2023-09-08,136.38
2023-09-07,135.26
2023-09-06,134.46
2023-09-05,135.77
2023-09-01,135.66
2023-08-31,136.17
2023-08-30,135.88
2023-08-29,134.57
2023-08-28,131.01
2023-08-25,129.88
2023-08-24,129.78
2023-08-23,132.37
2023-08-22,129.08
2023-08-21,128.37
2023-08-18,127.46
2023-08-17,129.92
2023-08-16,128.7
2023-08-15,129.78
2023-08-14,131.33
2023-08-11,129.56
2023-08-10,129.69
2023-08-09,129.66
2023-08-08,131.4
2023-08-07,131.53
2023-08-04,128.11
2023-08-03,128.45
2023-08-02,128.38
2023-08-01,131.55
2023-07-31,132.72
2023-07-28,132.58
2023-07-27,129.4
2023-07-26,129.27
2023-07-25,122.21
2023-07-24,121.53
2023-07-21,120.02
2023-07-20,119.2
2023-07-19,122.03
2023-07-18,123.76
2023-07-17,124.65
2023-07-14,125.42
2023-07-13,124.54
2023-07-12,118.93
2023-07-11,117.14
2023-07-10,116.45
2023-07-07,119.48
2023-07-06,120.11
2023-07-05,121.75
2023-07-03,119.9
2023-06-30,119.7
2023-06-29,119.1
2023-06-28,120.18
2023-06-27,118.33
2023-06-26,118.34
2023-06-23,122.34
2023-06-22,123.15
2023-06-21,120.55
2023-06-20,123.1
2023-06-16,123.53
2023-06-15,125.09
2023-06-14,123.67
2023-06-13,123.83
2023-06-12,123.64
2023-06-09,122.23
2023-06-08,122.14
2023-06-07,122.5
2023-06-06,127.31
2023-06-05,126.01
2023-06-02,124.67
2023-06-01,123.72
2023-05-31,122.87
2023-05-30,123.67
2023-05-26,124.61
2023-05-25,123.48
2023-05-24,120.9
2023-05-23,122.56
2023-05-22,125.05
2023-05-19,122.76
2023-05-18,122.83
2023-05-17,120.84
2023-05-16,119.51
2023-05-15,116.51
2023-05-12,117.51
2023-05-11,116.57
2023-05-10,111.75
2023-05-09,107.35
2023-05-08,107.77
2023-05-05,105.57
2023-05-04,104.69
2023-05-03,105.41
2023-05-02,105.32
2023-05-01,107.2
2023-04-28,107.34
2023-04-27,107.59
2023-04-26,103.71
2023-04-25,103.85
2023-04-24,105.97
2023-04-21,105.41
2023-04-20,105.29
2023-04-19,104.18
2023-04-18,104.5
2023-04-17,105.97
2023-04-14,108.87
2023-04-13,107.43
2023-04-12,104.64
2023-04-11,105.35
2023-04-10,106.44
2023-04-06,108.42
2023-04-05,104.47
2023-04-04,104.72
2023-04-03,104.36
2023-03-31,103.73
2023-03-30,100.89
2023-03-29,101.39
2023-03-28,101.03
2023-03-27,102.46
2023-03-24,105.44
2023-03-23,105.6
2023-03-22,103.37
2023-03-21,104.92
2023-03-20,101.22
2023-03-17,101.62
2023-03-16,100.32
2023-03-15,96.11
2023-03-14,93.97
2023-03-13,91.11
2023-03-10,90.63
2023-03-09,92.32
2023-03-08,94.25
2023-03-07,93.86
2023-03-06,95.13
2023-03-03,93.65
2023-03-02,92.0
2023-03-01,90.36
2023-02-28,90.06
2023-02-27,89.87
2023-02-24,89.13
2023-02-23,90.89
2023-02-22,91.65
2023-02-21,91.79
2023-02-17,94.35
2023-02-16,95.51
2023-02-15,96.94
2023-02-14,94.68
2023-02-13,94.61
2023-02-10,94.57
2023-02-09,95.01
2023-02-08,99.37
2023-02-07,107.64
2023-02-06,102.9
2023-02-03,104.78
2023-02-02,107.74
2023-02-01,100.43
2023-01-31,98.84
2023-01-30,96.94
2023-01-27,99.37
2023-01-26,97.52
2023-01-25,95.22
2023-01-24,97.7
2023-01-23,99.79
2023-01-20,98.02
2023-01-19,93.05
2023-01-18,91.12
2023-01-17,91.29
2023-01-13,92.12
2023-01-12,91.13
2023-01-11,91.52
2023-01-10,88.42
2023-01-09,88.02
2023-01-06,87.34
2023-01-05,86.2
2023-01-04,88.08
2023-01-03,89.12
2022-12-30,88.23
2022-12-29,88.45
2022-12-28,86.02
2022-12-27,87.39
2022-12-23,89.23
2022-12-22,87.76
2022-12-21,89.58
2022-12-20,89.02
2022-12-19,88.44
2022-12-16,90.26
2022-12-15,90.86
2022-12-14,95.07
2022-12-13,95.63
2022-12-12,93.31
2022-12-09,92.83
2022-12-08,93.71
2022-12-07,94.94
2022-12-06,96.98
2022-12-05,99.48
2022-12-02,100.44
2022-12-01,100.99
2022-11-30,100.99
2022-11-29,95.19
2022-11-28,96.05
2022-11-25,97.46
2022-11-23,98.46
2022-11-22,97.05
2022-11-21,95.6
2022-11-18,97.43
2022-11-17,98.36
2022-11-16,98.85
2022-11-15,98.44
2022-11-14,95.7
2022-11-11,96.41
2022-11-10,93.94
2022-11-09,87.32
2022-11-08,88.9
2022-11-07,88.49
2022-11-04,86.58
2022-11-03,83.43
2022-11-02,86.97
2022-11-01,90.47
2022-10-31,94.51
2022-10-28,96.29
2022-10-27,92.22
2022-10-26,94.93
2022-10-25,104.48
2022-10-24,102.52
2022-10-21,101.13
2022-10-20,99.97
2022-10-19,99.63
2022-10-18,100.77
2022-10-17,99.97
2022-10-14,96.56
2022-10-13,99.06
2022-10-12,97.56
2022-10-11,97.18
2022-10-10,97.86
2022-10-07,98.68
2022-10-06,101.42
2022-10-05,101.43
2022-10-04,101.64
2022-10-03,98.64
2022-09-30,95.65
2022-09-29,97.42
2022-09-28,100.05
2022-09-27,97.5
2022-09-26,98.17
2022-09-23,98.74
2022-09-22,100.14
2022-09-21,99.28
2022-09-20,101.14
2022-09-19,103.07
2022-09-16,102.8
2022-09-15,102.91
2022-09-14,105.0
2022-09-13,104.32
2022-09-12,110.86
2022-09-09,110.65
2022-09-08,108.38
2022-09-07,109.45
2022-09-06,106.81
2022-09-02,107.85
2022-09-01,109.74
2022-08-31,108.22
2022-08-30,108.94
2022-08-29,109.42
2022-08-26,110.34
2022-08-25,116.65
2022-08-24,113.69
2022-08-23,113.86
2022-08-22,114.24
2022-08-19,117.21
2022-08-18,120.17
2022-08-17,119.55
2022-08-16,121.7
2022-08-15,122.08
2022-08-12,121.68
2022-08-11,118.84
2022-08-10,119.7
2022-08-09,116.63
2022-08-08,117.3
2022-08-05,117.47
2022-08-04,118.19
2022-08-03,118.08
2022-08-02,115.13
2022-08-01,114.86
2022-07-29,116.32
2022-07-28,114.22
2022-07-27,113.06
2022-07-26,105.02
2022-07-25,107.51
2022-07-22,107.9
2022-07-21,114.34
2022-07-20,113.9
2022-07-19,113.81
2022-07-18,109.03
2022-07-15,111.778
2022-07-14,110.367
2022-07-13,111.354
2022-07-12,114.02
2022-07-11,115.676
2022-07-08,119.354
2022-07-07,118.783
2022-07-06,114.572
2022-07-05,113.263
2022-07-01,108.738
2022-06-30,108.963
2022-06-29,111.702
2022-06-28,112.008
2022-06-27,115.834
2022-06-24,117.975
2022-06-23,112.242
2022-06-22,111.488
2022-06-21,111.544
2022-06-17,107.143
2022-06-16,106.034
2022-06-15,109.764
2022-06-14,106.715
2022-06-13,106.392
2022-06-10,111.162
2022-06-09,114.836
2022-06-08,117.194
2022-06-07,117.149
2022-06-06,116.82
2022-06-03,114.541
2022-06-02,117.622
2022-06-01,113.892
2022-05-31,113.762
2022-05-27,112.316
2022-05-26,107.792
2022-05-25,105.805
2022-05-24,105.97
2022-05-23,111.488
2022-05-20,108.908
2022-05-19,110.384
2022-05-18,111.899
2022-05-17,116.473
2022-05-16,114.445
2022-05-13,116.051
2022-05-12,112.844
2022-05-11,113.602
2022-05-10,114.395
2022-05-09,112.511
2022-05-06,115.746
2022-05-05,116.506
2022-05-04,122.261
2022-05-03,117.334
2022-05-02,116.583
2022-04-29,114.11
2022-04-28,118.522
2022-04-27,114.294
2022-04-26,118.65
2022-04-25,123.074
2022-04-22,119.636
2022-04-21,124.814
2022-04-20,128.04
2022-04-19,130.009
2022-04-18,127.676
2022-04-14,126.73
2022-04-13,129.894
2022-04-12,127.714
2022-04-11,128.824
2022-04-08,133.288
2022-04-07,135.888
2022-04-06,136.548
2022-04-05,140.591
2022-04-04,142.972
2022-04-01,140.151
2022-03-31,139.068
2022-03-30,141.938
2022-03-29,142.506
2022-03-28,141.456
2022-03-25,141.673
2022-03-24,141.572
2022-03-23,138.276
2022-03-22,139.868
2022-03-21,136.102
2022-03-18,136.126
2022-03-17,133.839
2022-03-16,133.281
2022-03-15,129.198
2022-03-14,125.951
2022-03-11,129.87
2022-03-10,132.43
2022-03-09,133.42
2022-03-08,127.104
2022-03-07,126.378
2022-03-04,131.906
2022-03-03,133.9
2022-03-02,134.572
2022-03-01,134.062
2022-02-28,135.057
2022-02-25,134.46
2022-02-24,132.691
2022-02-23,127.588
2022-02-22,129.814
2022-02-18,130.403
2022-02-17,132.539
2022-02-16,137.738
2022-02-15,136.608
2022-02-14,135.526
2022-02-11,134.282
2022-02-10,138.62
2022-02-09,141.592
2022-02-08,139.399
2022-02-07,139.201
2022-02-04,143.293
2022-02-03,143.09
2022-02-02,148.0
2022-02-01,137.644
2022-01-31,135.304
2022-01-28,133.351
2022-01-27,129.005
2022-01-26,129.233
2022-01-25,126.935
2022-01-24,130.804
2022-01-21,130.352
2022-01-20,133.308
2022-01-19,135.116
2022-01-18,135.998
2022-01-14,139.48
2022-01-13,138.587
2022-01-12,141.43
2022-01-11,139.736
2022-01-10,138.67
2022-01-07,137.017
2022-01-06,137.748
2022-01-05,137.775
2022-01-04,144.4
2022-01-03,144.992
2021-12-31,144.852
2021-12-30,146.2
2021-12-29,146.655
2021-12-28,146.687
2021-12-27,147.906
2021-12-23,146.916
2021-12-22,146.415
2021-12-21,143.472
2021-12-20,141.607
2021-12-17,141.725
2021-12-16,144.445
2021-12-15,146.441
2021-12-14,143.907
2021-12-13,145.826
2021-12-10,148.002
2021-12-09,147.638
2021-12-08,148.186
2021-12-07,147.27
2021-12-06,143.155
2021-12-03,142.002
2021-12-02,142.966
2021-12-01,141.052
2021-11-30,141.897
2021-11-29,145.531
2021-11-26,142.183
2021-11-24,146.12
2021-11-23,145.782
2021-11-22,146.302
2021-11-19,148.926
2021-11-18,149.838
2021-11-17,148.047
2021-11-16,147.876
2021-11-15,148.452
2021-11-12,148.678
2021-11-11,145.766
2021-11-10,145.894
2021-11-09,148.918
2021-11-08,149.031
2021-11-05,148.852
2021-11-04,148.267
2021-11-03,146.598
2021-11-02,145.432
2021-11-01,143.497
2021-10-29,148.046
2021-10-28,145.849
2021-10-27,146.218
2021-10-26,139.308
2021-10-25,137.447
2021-10-22,137.566
2021-10-21,141.886
2021-10-20,141.769
2021-10-19,143.237
2021-10-18,142.778
2021-10-15,141.368
2021-10-14,141.151
2021-10-13,137.582
2021-10-12,136.449
2021-10-11,138.914
2021-10-08,139.786
2021-10-07,139.225
2021-10-06,137.565
2021-10-05,136.023
2021-10-04,133.66
2021-10-01,136.543
2021-09-30,133.676
2021-09-29,134.354
2021-09-28,135.83
2021-09-27,141.072
2021-09-24,142.215
2021-09-23,141.216
2021-09-22,140.284
2021-09-21,139.033
2021-09-20,138.719
2021-09-17,140.8
2021-09-16,143.61
2021-09-15,144.43
2021-09-14,142.544
2021-09-13,142.332
2021-09-10,140.876
2021-09-09,143.541
2021-09-08,143.691
2021-09-07,144.281
2021-09-03,143.74
2021-09-02,143.287
2021-09-01,145.216
2021-08-31,144.698
2021-08-30,144.59
2021-08-27,144.004
2021-08-26,141.44
2021-08-25,142.079
2021-08-24,141.262
2021-08-23,140.041
2021-08-20,137.43
2021-08-19,135.68
2021-08-18,135.449
2021-08-17,136.662
2021-08-16,138.31
2021-08-13,137.728
2021-08-12,137.194
2021-08-11,136.279
2021-08-10,136.807
2021-08-09,136.913
2021-08-06,135.738
2021-08-05,136.252
2021-08-04,135.126
2021-08-03,135.63
2021-08-02,134.854
2021-07-30,134.727
2021-07-29,135.778
2021-07-28,136.094
2021-07-27,131.9
2021-07-26,134.035
2021-07-23,133.015
2021-07-22,128.421
2021-07-21,127.549
2021-07-20,126.21
2021-07-19,124.578
2021-07-16,126.97
2021-07-15,127.005
2021-07-14,128.237
2021-07-13,127.342
2021-07-12,126.976
2021-07-09,125.518
2021-07-08,125.044
2021-07-07,126.474
2021-07-06,126.19
2021-07-02,125.258
2021-07-01,122.444
2021-06-30,122.09
2021-06-29,122.272
2021-06-28,122.536
2021-06-25,122.508
2021-06-24,122.5
2021-06-23,122.127
2021-06-22,122.33
2021-06-21,121.812
2021-06-18,120.111
2021-06-17,121.744
2021-06-16,120.772
2021-06-15,121.42
2021-06-14,122.446
2021-06-11,121.51
2021-06-10,121.756
2021-06-09,120.397
2021-06-08,119.922
2021-06-07,120.115
2021-06-04,119.679
2021-06-03,117.379
2021-06-02,118.53
2021-06-01,119.059
2021-05-28,117.842
2021-05-27,118.134
2021-05-26,119.016
2021-05-25,118.143
2021-05-24,118.052
2021-05-21,114.706
2021-05-20,115.348
2021-05-19,113.575
2021-05-18,113.124
2021-05-17,114.446
2021-05-14,113.919
2021-05-13,111.452
2021-05-12,110.012
2021-05-11,113.503
2021-05-10,114.588
2021-05-07,117.596
2021-05-06,116.867
2021-05-05,115.738
2021-05-04,115.342
2021-05-03,117.154
2021-04-30,117.675
2021-04-29,119.638
2021-04-28,117.952
2021-04-27,114.549
2021-04-26,115.496
2021-04-23,114.996
2021-04-22,112.626
2021-04-21,113.917
2021-04-20,113.95
2021-04-19,114.488
2021-04-16,114.138
2021-04-15,114.262
2021-04-14,112.095
2021-04-13,112.721
2021-04-12,112.231
2021-04-09,113.534
2021-04-08,112.521
2021-04-07,111.952
2021-04-06,110.463
2021-04-05,110.948
2021-04-01,106.489
2021-03-31,103.126
2021-03-30,102.324
2021-03-29,102.29
2021-03-26,101.236
2021-03-25,101.623
2021-03-24,101.626
2021-03-23,102.066
2021-03-22,101.535
2021-03-19,101.348
2021-03-18,101.067
2021-03-17,104.111
2021-03-16,104.194
2021-03-15,102.722
2021-03-12,102.5
2021-03-11,105.027
2021-03-10,101.81
2021-03-09,102.018
2021-03-08,100.375
2021-03-05,104.854
2021-03-04,101.696
2021-03-03,100.571
2021-03-02,103.224
2021-03-01,103.483
2021-02-26,101.096
2021-02-25,100.798
2021-02-24,104.19
2021-02-23,103.006
2021-02-22,102.713
2021-02-19,104.44
2021-02-18,105.29
2021-02-17,105.931
2021-02-16,105.535
2021-02-12,104.752
2021-02-11,104.438
2021-02-10,104.324
2021-02-09,103.77
2021-02-08,104.226
2021-02-05,104.441
2021-02-04,102.682
2021-02-03,102.944
2021-02-02,95.956
2021-02-01,94.6535
2021-01-29,91.368
2021-01-28,92.66
2021-01-27,90.947
2021-01-26,95.3975
2021-01-25,94.714
2021-01-22,94.628
2021-01-21,94.2075
2021-01-20,94.0035
2021-01-19,89.2235
2021-01-15,86.381
2021-01-14,86.546
2021-01-13,87.3625
2021-01-12,86.8715
2021-01-11,87.8145
2021-01-08,89.8915
2021-01-07,88.717
2021-01-06,86.144
2021-01-05,87.0025
2021-01-04,86.3065
2020-12-31,87.632
2020-12-30,86.8125
2020-12-29,87.888
2020-12-28,88.698
2020-12-24,86.708
2020-12-23,86.4115
2020-12-22,86.011
2020-12-21,86.728
2020-12-18,86.311
2020-12-17,87.0255
2020-12-16,87.8595
2020-12-15,88.054
2020-12-14,87.613
2020-12-11,88.74
2020-12-10,88.3825
2020-12-09,88.893
2020-12-08,90.5665
2020-12-07,90.8515
2020-12-04,91.188
2020-12-03,91.092
2020-12-02,91.2485
2020-12-01,89.768
2020-11-30,87.72
2020-11-27,89.351
2020-11-25,88.2065
2020-11-24,88.195
2020-11-23,86.378
2020-11-20,86.819
2020-11-19,87.9285
2020-11-18,87.032
2020-11-17,88.083
2020-11-16,88.7015
2020-11-13,88.613
2020-11-12,87.141
2020-11-11,87.3615
2020-11-10,86.886
2020-11-09,88.071
2020-11-06,87.9865
2020-11-05,88.125
2020-11-04,87.2925
2020-11-03,82.283
2020-11-02,81.216
2020-10-30,80.8055
2020-10-29,77.844
2020-10-28,75.54
2020-10-27,79.944
2020-10-26,79.2145
2020-10-23,81.649
2020-10-22,80.333
2020-10-21,79.2995
2020-10-20,77.554
2020-10-19,76.4975
2020-10-16,78.385
2020-10-15,77.7735
2020-10-14,78.172
2020-10-13,78.3535
2020-10-12,78.2295
2020-10-09,75.5225
2020-10-08,74.1715
2020-10-07,72.957
2020-10-06,72.551
2020-10-05,74.1415
2020-10-02,72.78
2020-10-01,74.395
2020-09-30,73.28
2020-09-29,73.301
2020-09-28,72.933
2020-09-25,71.953
2020-09-24,71.143
2020-09-23,70.4695
2020-09-22,72.991
2020-09-21,71.507
2020-09-18,72.5545
2020-09-17,74.352
2020-09-16,75.6045
2020-09-15,76.756
2020-09-14,75.4415
2020-09-11,75.788
2020-09-10,76.3025
2020-09-09,77.3615
2020-09-08,76.18
2020-09-04,79.0605
2020-09-03,81.4755
2020-09-02,85.8695
2020-09-01,82.754
2020-08-31,81.4765
2020-08-28,81.9715
2020-08-27,81.426
2020-08-26,82.2065
2020-08-25,80.2925
2020-08-24,79.2575
2020-08-21,78.7785
2020-08-20,78.8125
2020-08-19,77.2305
2020-08-18,77.789
2020-08-17,75.812
2020-08-14,75.2315
2020-08-13,75.8325
2020-08-12,75.362
2020-08-11,74.027
2020-08-10,74.841
2020-08-07,74.9185
2020-08-06,75.2475
2020-08-05,73.9545
2020-08-04,73.665
2020-08-03,74.138
2020-07-31,74.3975
2020-07-30,76.9185
2020-07-29,76.1755
2020-07-28,75.1825
2020-07-27,76.4715
2020-07-24,75.4105
2020-07-23,75.8375
2020-07-22,78.2425
2020-07-21,77.796
2020-07-20,78.192
2020-07-17,75.8425
2020-07-16,75.746
2020-07-15,75.844
2020-07-14,76.043
2020-07-13,75.6115
2020-07-10,76.9505
2020-07-09,75.933
2020-07-08,75.18
2020-07-07,74.496
2020-07-06,74.9825
2020-07-02,73.4965
2020-07-01,72.1
2020-06-30,70.9025
2020-06-29,69.8585
2020-06-26,68.127
2020-06-25,72.055
2020-06-24,71.635
2020-06-23,73.199
2020-06-22,72.533
2020-06-19,71.232
2020-06-18,71.706
2020-06-17,72.627
2020-06-16,72.3235
2020-06-15,71.037
2020-06-12,70.646
2020-06-11,70.095
2020-06-10,73.235
2020-06-09,72.604
2020-06-08,72.402
2020-06-05,72.001
2020-06-04,70.715
2020-06-03,71.9625
2020-06-02,72.1155
2020-06-01,71.7435
2020-05-29,71.676
2020-05-28,70.912
2020-05-27,71.014
2020-05-26,71.0685
2020-05-22,70.662
2020-05-21,70.3375
2020-05-20,70.458
2020-05-19,68.72
2020-05-18,69.259
2020-05-15,68.653
2020-05-14,67.843
2020-05-13,67.4165
2020-05-12,68.759
2020-05-11,70.1795
2020-05-08,69.217
2020-05-07,68.464
2020-05-06,67.2715
2020-05-05,67.451
2020-05-04,66.145
2020-05-01,65.866
2020-04-30,67.335
2020-04-29,67.109
2020-04-28,61.6295
2020-04-27,63.543
2020-04-24,63.83
2020-04-23,63.5585
2020-04-22,62.9205
2020-04-21,60.608
2020-04-20,63.0575
2020-04-17,63.95
2020-04-16,62.8715
2020-04-15,62.865
2020-04-14,63.2615
2020-04-13,60.5205
2020-04-09,60.3285
2020-04-08,60.35
2020-04-07,59.128
2020-04-06,59.1595
2020-04-03,54.635
2020-04-02,55.8515
2020-04-01,55.105
2020-03-31,58.0975
2020-03-30,57.3155
2020-03-27,55.513
2020-03-26,58.146
2020-03-25,55.081
2020-03-24,56.5005
2020-03-23,52.7065
2020-03-20,53.4105
2020-03-19,55.5835
2020-03-18,54.5595
2020-03-17,55.903
2020-03-16,53.65
2020-03-13,60.7135
2020-03-12,55.5775
2020-03-11,60.545
2020-03-10,63.7585
2020-03-09,60.7895
2020-03-06,64.787
2020-03-05,65.738
2020-03-04,69.08
2020-03-03,66.886
2020-03-02,69.316
2020-02-28,66.9625
2020-02-27,65.7475
2020-02-26,69.5235
2020-02-25,69.316
2020-02-24,70.993
2020-02-21,74.173
2020-02-20,75.8495
2020-02-19,76.2435
2020-02-18,75.972
2020-02-14,75.9365
