,Close
2024-05-13,112.77
2024-05-10,110.53
2024-05-09,111.35
2024-05-08,110.62
2024-05-07,112.82
2024-05-06,118.98
2024-05-03,117.93
2024-05-02,123.99
2024-05-01,124.68
2024-04-30,123.05
2024-04-29,124.73
2024-04-26,122.28
2024-04-25,121.05
2024-04-24,122.87
2024-04-23,124.46
2024-04-22,120.25
2024-04-19,117.43
2024-04-18,116.69
2024-04-17,118.29
2024-04-16,117.69
2024-04-15,121.16
2024-04-12,127.07
2024-04-11,130.7
2024-04-10,131.17
2024-04-09,133.57
2024-04-08,130.12
2024-04-05,127.75
2024-04-04,126.0
2024-04-03,127.74
2024-04-02,128.52
2024-04-01,132.72
2024-03-28,137.32
2024-03-27,138.68
2024-03-26,133.8
2024-03-25,134.06
2024-03-22,137.24
2024-03-21,137.45
2024-03-20,133.19
2024-03-19,133.16
2024-03-18,130.14
2024-03-15,127.73
2024-03-14,128.1
2024-03-13,132.78
2024-03-12,132.71
2024-03-11,139.06
2024-03-08,135.43
2024-03-07,136.0
2024-03-06,135.13
2024-03-05,134.68
2024-03-04,137.7
2024-03-01,140.5
2024-02-29,139.83
2024-02-28,140.98
2024-02-27,139.76
2024-02-26,136.97
2024-02-23,133.0
2024-02-22,135.55
2024-02-21,136.41
2024-02-20,140.05
2024-02-16,143.41
2024-02-15,146.07
2024-02-14,140.74
2024-02-13,133.74
2024-02-12,139.96
2024-02-09,137.84
2024-02-08,143.33
2024-02-07,142.94
2024-02-06,144.89
2024-02-05,142.23
2024-02-02,144.21
2024-02-01,145.74
2024-01-31,143.01
2024-01-30,147.2
2024-01-29,146.72
2024-01-26,140.63
2024-01-25,142.76
2024-01-24,141.01
2024-01-23,140.75
2024-01-22,138.88
2024-01-19,135.88
2024-01-18,134.24
2024-01-17,133.56
2024-01-16,135.14
2024-01-12,138.04
2024-01-11,141.01
2024-01-10,140.63
2024-01-09,139.74
2024-01-08,133.66
2024-01-05,130.48
2024-01-04,131.43
2024-01-03,130.34
2024-01-02,137.61
2023-12-29,139.24
2023-12-28,142.13
2023-12-27,142.53
2023-12-26,140.64
2023-12-22,140.0
2023-12-21,140.23
2023-12-20,136.9
2023-12-19,139.53
2023-12-18,129.1
2023-12-15,127.1
2023-12-14,131.49
2023-12-13,126.67
2023-12-12,117.64
2023-12-11,117.64
2023-12-08,112.94
2023-12-07,117.13
2023-12-06,113.99
2023-12-05,111.76
2023-12-04,114.34
2023-12-01,109.79
2023-11-30,101.95
2023-11-29,101.57
2023-11-28,96.54
2023-11-27,94.65
2023-11-24,98.34
2023-11-22,97.76
2023-11-21,95.97
2023-11-20,97.61
2023-11-17,94.32
2023-11-16,95.2
2023-11-15,100.17
2023-11-14,97.49
2023-11-13,92.79
2023-11-10,98.37
2023-11-09,106.98
2023-11-08,110.7
