,Close
2024-05-13,30.51
2024-05-10,29.85
2024-05-09,30.09
2024-05-08,30.0
2024-05-07,30.68
2024-05-06,30.97
2024-05-03,30.9
2024-05-02,30.51
2024-05-01,30.37
2024-04-30,30.47
2024-04-29,31.36
2024-04-26,31.88
2024-04-25,35.11
2024-04-24,34.5
2024-04-23,34.28
2024-04-22,34.41
2024-04-19,34.19
2024-04-18,35.04
2024-04-17,35.68
2024-04-16,36.26
2024-04-15,36.31
2024-04-12,35.69
2024-04-11,37.63
2024-04-10,37.2
2024-04-09,38.33
2024-04-08,37.98
2024-04-05,38.71
2024-04-04,39.73
2024-04-03,40.33
2024-04-02,43.94
2024-04-01,44.52
2024-03-28,44.17
2024-03-27,43.77
2024-03-26,41.99
2024-03-25,41.83
2024-03-22,42.57
2024-03-21,42.42
2024-03-20,42.2
2024-03-19,42.05
2024-03-18,42.71
2024-03-15,42.64
2024-03-14,42.75
2024-03-13,43.23
2024-03-12,45.24
2024-03-11,44.86
2024-03-08,44.0
2024-03-07,46.15
2024-03-06,44.51
2024-03-05,43.16
2024-03-04,45.61
2024-03-01,43.82
2024-02-29,43.05
2024-02-28,41.99
2024-02-27,42.73
2024-02-26,42.99
2024-02-23,42.99
2024-02-22,42.98
2024-02-21,43.47
2024-02-20,44.52
2024-02-16,43.51
2024-02-15,44.05
2024-02-14,44.19
2024-02-13,43.16
2024-02-12,44.03
2024-02-09,43.31
2024-02-08,42.5
2024-02-07,42.78
2024-02-06,42.74
2024-02-05,42.77
2024-02-02,42.6
2024-02-01,43.36
2024-01-31,43.08
2024-01-30,42.92
2024-01-29,43.84
2024-01-26,43.65
2024-01-25,49.55
2024-01-24,49.09
2024-01-23,48.89
2024-01-22,48.22
2024-01-19,48.15
2024-01-18,46.74
2024-01-17,46.06
2024-01-16,47.06
2024-01-12,47.12
2024-01-11,47.64
2024-01-10,47.47
2024-01-09,48.05
2024-01-08,48.45
2024-01-05,46.89
2024-01-04,46.87
2024-01-03,47.05
2024-01-02,47.8
2023-12-29,50.25
2023-12-28,50.39
2023-12-27,50.76
2023-12-26,50.5
2023-12-22,48.0
2023-12-21,47.08
2023-12-20,45.76
2023-12-19,46.66
2023-12-18,45.69
2023-12-15,46.16
2023-12-14,45.18
2023-12-13,44.57
2023-12-12,44.04
2023-12-11,44.54
2023-12-08,42.7
2023-12-07,42.15
2023-12-06,41.27
2023-12-05,41.92
2023-12-04,42.35
2023-12-01,43.74
2023-11-30,44.7
2023-11-29,44.94
2023-11-28,44.23
2023-11-27,44.08
