,Close
2024-05-13,627.19
2024-05-10,632.31
2024-05-09,626.86
2024-05-08,632.43
2024-05-07,641.15
2024-05-06,634.64
2024-05-03,629.27
2024-05-02,614.04
2024-05-01,615.2
2024-04-30,625.62
2024-04-29,638.39
2024-04-26,636.55
2024-04-25,626.39
2024-04-24,635.49
2024-04-23,630.88
2024-04-22,609.77
2024-04-19,605.41
2024-04-18,608.38
2024-04-17,613.21
2024-04-16,611.49
2024-04-15,612.12
2024-04-12,621.11
2024-04-11,627.71
2024-04-10,628.36
2024-04-09,644.09
2024-04-08,645.28
2024-04-05,635.74
2024-04-04,621.28
2024-04-03,623.0
2024-04-02,626.59
2024-04-01,639.84
2024-03-28,650.0
2024-03-27,648.74
2024-03-26,640.05
2024-03-25,639.09
2024-03-22,643.74
2024-03-21,651.29
2024-03-20,639.65
2024-03-19,634.55
2024-03-18,630.39
2024-03-15,625.52
2024-03-14,650.04
2024-03-13,655.07
2024-03-12,662.64
2024-03-11,650.87
2024-03-08,651.73
2024-03-07,649.34
2024-03-06,650.28
2024-03-05,639.73
2024-03-04,668.41
2024-03-01,666.52
2024-02-29,662.89
2024-02-28,659.16
2024-02-27,669.36
2024-02-26,663.84
2024-02-23,659.81
2024-02-22,657.92
2024-02-21,638.27
2024-02-20,645.91
2024-02-16,655.74
2024-02-15,664.28
2024-02-14,657.13
2024-02-13,638.29
2024-02-12,656.99
2024-02-09,658.16
2024-02-08,653.07
2024-02-07,643.17
2024-02-06,635.3
2024-02-05,640.6
2024-02-02,639.58
2024-02-01,632.86
2024-01-31,631.33
2024-01-30,647.72
2024-01-29,652.88
2024-01-26,641.36
2024-01-25,641.49
2024-01-24,636.18
2024-01-23,635.82
2024-01-22,630.61
2024-01-19,622.18
2024-01-18,611.36
2024-01-17,599.84
2024-01-16,603.83
2024-01-12,611.8
2024-01-11,608.71
2024-01-10,608.7
2024-01-09,605.18
2024-01-08,598.38
2024-01-05,589.02
2024-01-04,586.82
2024-01-03,591.14
2024-01-02,603.76
2023-12-29,625.03
2023-12-28,628.02
2023-12-27,629.12
2023-12-26,624.85
2023-12-22,624.07
2023-12-21,620.99
2023-12-20,615.71
2023-12-19,621.46
2023-12-18,618.43
2023-12-15,608.51
2023-12-14,601.18
2023-12-13,610.22
2023-12-12,594.18
2023-12-11,586.66
2023-12-08,573.9
2023-12-07,571.49
2023-12-06,566.23
2023-12-05,571.78
2023-12-04,570.47
2023-12-01,574.32
2023-11-30,571.46
2023-11-29,577.23
2023-11-28,565.07
2023-11-27,561.23
