,Close
2024-05-13,380.88
2024-05-10,386.7
2024-05-09,385.45
2024-05-08,380.37
2024-05-07,388.65
2024-05-06,383.05
2024-05-03,381.36
2024-05-02,377.65
2024-05-01,371.7
2024-04-30,370.62
2024-04-29,374.14
2024-04-26,375.33
2024-04-25,373.12
2024-04-24,375.01
2024-04-23,377.08
2024-04-22,368.93
2024-04-19,366.34
2024-04-18,372.63
2024-04-17,374.17
2024-04-16,378.55
2024-04-15,377.36
2024-04-12,384.8
2024-04-11,392.26
2024-04-10,388.46
2024-04-09,390.96
2024-04-08,386.93
2024-04-05,388.39
2024-04-04,378.92
2024-04-03,383.42
2024-04-02,382.36
2024-04-01,394.87
2024-03-28,399.09
2024-03-27,400.1
2024-03-26,397.63
2024-03-25,391.71
2024-03-22,394.07
2024-03-21,391.96
2024-03-20,390.37
2024-03-19,390.53
2024-03-18,392.62
2024-03-15,396.28
2024-03-14,384.31
2024-03-13,382.99
2024-03-12,389.4
2024-03-11,378.9
2024-03-08,391.85
2024-03-07,392.68
2024-03-06,388.16
2024-03-05,387.32
2024-03-04,400.59
2024-03-01,397.9
2024-02-29,385.6
2024-02-28,386.59
2024-02-27,386.46
2024-02-26,388.27
2024-02-23,389.77
2024-02-22,389.08
2024-02-21,380.23
2024-02-20,377.64
2024-02-16,378.63
2024-02-15,380.17
2024-02-14,381.76
2024-02-13,378.89
2024-02-12,382.13
2024-02-09,388.22
2024-02-08,386.94
2024-02-07,391.375
2024-02-06,389.69
2024-02-05,383.94
2024-02-02,383.77
2024-02-01,383.83
2024-01-31,378.22
2024-01-30,377.29
2024-01-29,379.16
2024-01-26,374.76
2024-01-25,374.97
2024-01-24,370.07
2024-01-23,371.41
2024-01-22,375.81
2024-01-19,374.82
2024-01-18,371.93
2024-01-17,358.88
2024-01-16,362.33
2024-01-12,363.71
2024-01-11,362.31
2024-01-10,364.45
2024-01-09,330.56
2024-01-08,328.86
2024-01-05,322.5
2024-01-04,323.27
2024-01-03,322.13
2024-01-02,330.98
2023-12-29,337.36
2023-12-28,338.39
2023-12-27,337.47
2023-12-26,337.39
2023-12-22,336.26
2023-12-21,333.45
2023-12-20,325.43
2023-12-19,335.72
2023-12-18,328.42
2023-12-15,324.35
2023-12-14,326.18
2023-12-13,328.96
2023-12-12,320.71
2023-12-11,315.43
2023-12-08,310.42
2023-12-07,311.56
2023-12-06,310.26
2023-12-05,309.52
2023-12-04,311.84
2023-12-01,315.2
2023-11-30,310.84
2023-11-29,310.76
2023-11-28,310.95
2023-11-27,314.98
2023-11-24,318.01
2023-11-22,315.8
2023-11-21,311.82
2023-11-20,311.34
2023-11-17,305.28
2023-11-16,303.95
2023-11-15,293.22
2023-11-14,291.62
2023-11-13,282.48
2023-11-10,277.49
2023-11-09,272.4
2023-11-08,277.93
2023-11-07,278.69
2023-11-06,277.26
2023-11-03,278.52
2023-11-02,277.89
2023-11-01,270.46
2023-10-31,262.22
2023-10-30,258.49
2023-10-27,258.98
2023-10-26,259.51
2023-10-25,266.61
2023-10-24,277.39
2023-10-23,272.59
2023-10-20,266.91
2023-10-19,273.45
2023-10-18,275.52
2023-10-17,275.37
2023-10-16,274.16
2023-10-13,273.15
2023-10-12,266.12
2023-10-11,281.79
2023-10-10,297.83
2023-10-09,294.49
2023-10-06,295.68
2023-10-05,290.09
2023-10-04,290.28
2023-10-03,288.04
2023-10-02,294.98
2023-09-29,292.29
2023-09-28,296.15
2023-09-27,291.43
2023-09-26,290.74
2023-09-25,293.25
2023-09-22,288.2
2023-09-21,284.35
2023-09-20,291.96
2023-09-19,299.65
2023-09-18,298.17
2023-09-15,295.54
2023-09-14,303.74
2023-09-13,302.7
2023-09-12,301.55
2023-09-11,302.35
2023-09-08,298.22
2023-09-07,297.22
2023-09-06,307.84
2023-09-05,307.68
2023-09-01,310.41
2023-08-31,312.68
2023-08-30,318.58
2023-08-29,310.39
2023-08-28,301.48
2023-08-25,297.55
2023-08-24,285.64
2023-08-23,290.39
2023-08-22,287.16
2023-08-21,286.67
2023-08-18,285.95
2023-08-17,290.08
2023-08-16,299.32
2023-08-15,306.62
2023-08-14,305.08
2023-08-11,304.49
2023-08-10,304.67
2023-08-09,304.1
2023-08-08,302.87
2023-08-07,309.24
2023-08-04,309.31
2023-08-03,311.28
2023-08-02,313.87
2023-08-01,323.95
2023-07-31,324.4
2023-07-28,326.53
2023-07-27,323.56
2023-07-26,329.37
2023-07-25,330.9
2023-07-24,323.56
2023-07-21,336.66
2023-07-20,347.66
2023-07-19,349.7
2023-07-18,354.93
2023-07-17,353.84
2023-07-14,354.0
2023-07-13,346.97
2023-07-12,347.59
2023-07-11,339.11
2023-07-10,340.27
2023-07-07,331.29
2023-07-06,330.14
2023-07-05,333.89
2023-07-03,336.03
2023-06-30,341.94
2023-06-29,338.49
2023-06-28,332.98
2023-06-27,330.02
2023-06-26,325.16
2023-06-23,327.26
2023-06-22,327.615
2023-06-21,323.74
2023-06-20,327.83
2023-06-16,329.36
2023-06-15,328.27
2023-06-14,323.07
2023-06-13,315.45
2023-06-12,313.64
2023-06-09,312.76
2023-06-08,310.82
2023-06-07,307.24
2023-06-06,315.72
2023-06-05,317.49
2023-06-02,312.18
2023-06-01,310.54
2023-05-31,307.84
2023-05-30,307.07
2023-05-26,306.9
2023-05-25,303.77
2023-05-24,302.48
2023-05-23,301.44
2023-05-22,313.62
2023-05-19,313.61
2023-05-18,312.23
2023-05-17,308.22
2023-05-16,306.61
2023-05-15,308.05
2023-05-12,305.27
2023-05-11,303.47
2023-05-10,302.59
2023-05-09,301.55
2023-05-08,303.09
2023-05-05,304.88
2023-05-04,303.21
2023-05-03,305.06
2023-05-02,301.22
2023-05-01,303.02
2023-04-28,301.22
2023-04-27,295.92
2023-04-26,294.96
2023-04-25,294.97
2023-04-24,300.46
2023-04-21,300.22
2023-04-20,297.41
2023-04-19,298.57
2023-04-18,269.28
2023-04-17,268.89
2023-04-14,267.02
2023-04-13,266.56
2023-04-12,261.77
2023-04-11,262.77
2023-04-10,258.94
2023-04-06,256.9
2023-04-05,257.99
2023-04-04,254.71
2023-04-03,253.53
2023-03-31,255.47
2023-03-30,251.3
2023-03-29,250.76
2023-03-28,249.49
2023-03-27,252.57
2023-03-24,256.42
2023-03-23,244.47
2023-03-22,240.81
2023-03-21,246.68
2023-03-20,240.5
2023-03-17,237.8
2023-03-16,240.5
2023-03-15,234.18
2023-03-14,235.28
2023-03-13,227.78
2023-03-10,224.75
2023-03-09,228.57
2023-03-08,231.09
2023-03-07,230.71
2023-03-06,234.85
2023-03-03,234.87
2023-03-02,228.9
2023-03-01,227.33
2023-02-28,229.39
2023-02-27,231.74
2023-02-24,231.05
