,Close
2024-05-13,34.12
2024-05-10,34.03
2024-05-09,33.99
2024-05-08,33.7
2024-05-07,33.81
2024-05-06,33.56
2024-05-03,33.83
2024-05-02,33.56
2024-05-01,33.34
2024-04-30,33.7
2024-04-29,33.7
2024-04-26,33.72
2024-04-25,33.84
2024-04-24,32.34
2024-04-23,31.76
2024-04-22,31.76
2024-04-19,31.52
2024-04-18,31.13
2024-04-17,30.88
2024-04-16,30.44
2024-04-15,30.43
2024-04-12,30.22
2024-04-11,30.82
2024-04-10,30.65
2024-04-09,31.01
2024-04-08,30.82
2024-04-05,30.77
2024-04-04,30.68
2024-04-03,31.01
2024-04-02,30.92
2024-04-01,31.23
2024-03-28,30.67
2024-03-27,30.59
2024-03-26,30.73
2024-03-25,30.48
2024-03-22,29.8
2024-03-21,29.58
2024-03-20,29.71
2024-03-19,29.31
2024-03-18,29.51
2024-03-15,28.88
2024-03-14,29.0
2024-03-13,28.9
2024-03-12,29.29
2024-03-11,29.3
2024-03-08,29.14
2024-03-07,28.96
2024-03-06,29.2
2024-03-05,29.09
2024-03-04,29.1
2024-03-01,29.28
2024-02-29,29.91
2024-02-28,30.03
2024-02-27,29.5
2024-02-26,29.5
2024-02-23,30.19
2024-02-22,30.37
2024-02-21,31.6
2024-02-20,31.23
2024-02-16,30.97
2024-02-15,31.09
2024-02-14,31.1
2024-02-13,30.92
2024-02-12,31.32
2024-02-09,31.15
2024-02-08,31.49
2024-02-07,31.26
2024-02-06,31.11
2024-02-05,31.04
2024-02-02,31.65
2024-02-01,31.98
2024-01-31,31.44
2024-01-30,31.8
2024-01-29,32.01
2024-01-26,31.98
2024-01-25,31.59
2024-01-24,31.14
2024-01-23,31.74
2024-01-22,31.5
2024-01-19,31.89
2024-01-18,31.8
2024-01-17,31.74
2024-01-16,31.83
2024-01-12,31.91
2024-01-11,31.95
2024-01-10,31.77
2024-01-09,31.98
2024-01-08,31.81
2024-01-05,31.97
2024-01-04,32.37
2024-01-03,32.59
2024-01-02,33.37
2023-12-29,33.32
2023-12-28,33.35
2023-12-27,33.11
2023-12-26,33.05
2023-12-22,32.83
2023-12-21,32.52
2023-12-20,32.28
2023-12-19,32.54
2023-12-18,32.4
2023-12-15,31.97
2023-12-14,32.21
2023-12-13,33.24
2023-12-12,32.67
2023-12-11,32.76
2023-12-08,32.11
2023-12-07,32.36
2023-12-06,32.19
2023-12-05,32.03
2023-12-04,32.23
2023-12-01,32.17
2023-11-30,31.57
2023-11-29,31.73
2023-11-28,32.24
2023-11-27,32.55
2023-11-24,32.62
2023-11-22,32.41
2023-11-21,31.91
2023-11-20,31.78
2023-11-17,31.73
2023-11-16,31.78
2023-11-15,31.89
2023-11-14,31.88
2023-11-13,31.28
2023-11-10,30.97
2023-11-09,30.9
2023-11-08,31.05
2023-11-07,31.0
2023-11-06,30.97
2023-11-03,31.12
2023-11-02,30.86
2023-11-01,30.46
2023-10-31,30.33
2023-10-30,30.02
2023-10-27,29.87
2023-10-26,29.51
2023-10-25,29.1
2023-10-24,29.11
2023-10-23,28.33
2023-10-20,28.65
2023-10-19,28.45
2023-10-18,28.79
2023-10-17,28.78
2023-10-16,28.51
2023-10-13,28.11
2023-10-12,27.9
2023-10-11,29.29
2023-10-10,30.29
