,Close
2024-05-13,36.49
2024-05-10,36.24
2024-05-09,35.71
2024-05-08,35.89
2024-05-07,35.81
2024-05-06,35.74
2024-05-03,36.35
2024-05-02,36.72
2024-05-01,36.28
2024-04-30,38.61
2024-04-29,38.65
2024-04-26,38.16
2024-04-25,38.37
2024-04-24,38.57
2024-04-23,38.07
2024-04-22,38.15
2024-04-19,37.79
2024-04-18,37.11
2024-04-17,36.9
2024-04-16,36.59
2024-04-15,36.31
2024-04-12,35.94
2024-04-11,36.58
2024-04-10,36.82
2024-04-09,37.16
2024-04-08,37.04
2024-04-05,37.06
2024-04-04,37.25
2024-04-03,37.37
2024-04-02,37.39
2024-04-01,37.06
2024-03-28,36.9
2024-03-27,36.53
2024-03-26,36.37
2024-03-25,36.18
2024-03-22,35.85
2024-03-21,35.6
2024-03-20,35.35
2024-03-19,35.27
2024-03-18,34.92
2024-03-15,34.37
2024-03-14,34.32
2024-03-13,34.53
2024-03-12,34.6
2024-03-11,34.98
2024-03-08,34.84
2024-03-07,34.5
2024-03-06,35.35
2024-03-05,35.13
2024-03-04,35.04
2024-03-01,35.13
2024-02-29,35.28
2024-02-28,35.54
2024-02-27,35.8
2024-02-26,35.96
2024-02-23,36.05
2024-02-22,36.41
2024-02-21,36.39
2024-02-20,35.62
2024-02-16,34.81
2024-02-15,34.97
2024-02-14,34.16
2024-02-13,36.13
2024-02-12,36.36
2024-02-09,35.97
2024-02-08,36.47
2024-02-07,36.4
2024-02-06,37.21
2024-02-05,37.22
2024-02-02,37.65
2024-02-01,37.76
2024-01-31,37.13
2024-01-30,37.35
2024-01-29,37.31
2024-01-26,37.21
2024-01-25,37.26
2024-01-24,36.82
2024-01-23,37.15
2024-01-22,36.76
2024-01-19,37.08
2024-01-18,37.01
2024-01-17,37.79
2024-01-16,37.61
2024-01-12,37.68
2024-01-11,37.58
2024-01-10,37.89
2024-01-09,38.55
2024-01-08,38.25
2024-01-05,37.94
2024-01-04,37.78
2024-01-03,38.08
2024-01-02,38.12
2023-12-29,36.98
2023-12-28,36.74
2023-12-27,36.52
2023-12-26,36.5
2023-12-22,36.36
2023-12-21,35.96
2023-12-20,35.75
2023-12-19,36.49
2023-12-18,36.71
2023-12-15,36.59
2023-12-14,37.0
2023-12-13,37.66
2023-12-12,37.26
2023-12-11,36.78
2023-12-08,36.23
2023-12-07,36.5
2023-12-06,36.2
2023-12-05,35.84
2023-12-04,35.82
2023-12-01,35.52
2023-11-30,35.11
2023-11-29,35.08
2023-11-28,35.12
2023-11-27,34.89
2023-11-24,34.94
2023-11-22,34.68
2023-11-21,34.15
2023-11-20,33.79
2023-11-17,33.66
2023-11-16,33.81
2023-11-15,33.56
2023-11-14,33.58
2023-11-13,33.24
2023-11-10,32.89
2023-11-09,32.95
2023-11-08,33.17
2023-11-07,33.09
2023-11-06,33.29
2023-11-03,33.27
2023-11-02,33.51
2023-11-01,32.2
2023-10-31,31.46
2023-10-30,31.62
2023-10-27,31.44
2023-10-26,31.86
2023-10-25,32.08
2023-10-24,31.71
2023-10-23,31.12
2023-10-20,31.31
2023-10-19,31.45
2023-10-18,31.73
2023-10-17,31.51
2023-10-16,31.58
2023-10-13,31.43
2023-10-12,30.81
2023-10-11,32.44
2023-10-10,32.47
2023-10-09,32.49
2023-10-06,32.03
2023-10-05,32.32
2023-10-04,33.28
2023-10-03,33.11
2023-10-02,33.09
2023-09-29,33.64
2023-09-28,33.75
2023-09-27,34.03
2023-09-26,34.5
2023-09-25,34.32
2023-09-22,34.16
2023-09-21,34.49
2023-09-20,34.02
2023-09-19,33.94
2023-09-18,33.42
2023-09-15,33.45
2023-09-14,33.77
2023-09-13,33.19
2023-09-12,33.56
2023-09-11,33.63
2023-09-08,32.96
2023-09-07,32.68
2023-09-06,32.57
2023-09-05,32.55
2023-09-01,32.58
2023-08-31,33.09
2023-08-30,33.67
2023-08-29,33.76
2023-08-28,33.84
2023-08-25,33.85
2023-08-24,33.52
2023-08-23,33.49
2023-08-22,33.3
2023-08-21,33.48
2023-08-18,33.66
2023-08-17,33.49
2023-08-16,33.56
2023-08-15,33.76
2023-08-14,34.24
2023-08-11,34.55
2023-08-10,34.39
2023-08-09,34.52
2023-08-08,34.46
2023-08-07,35.0
2023-08-04,35.28
2023-08-03,35.57
2023-08-02,36.32
2023-08-01,35.88
2023-07-31,36.18
2023-07-28,36.16
2023-07-27,36.2
2023-07-26,36.36
2023-07-25,36.55
2023-07-24,36.35
2023-07-21,36.32
2023-07-20,36.4
2023-07-19,36.14
2023-07-18,35.51
2023-07-17,35.51
2023-07-14,35.85
2023-07-13,35.64
2023-07-12,35.76
2023-07-11,35.63
2023-07-10,35.4
2023-07-07,35.46
2023-07-06,35.66
2023-07-05,35.85
2023-07-03,35.81
2023-06-30,35.5
2023-06-29,35.02
2023-06-28,35.02
2023-06-27,35.58
2023-06-26,35.55
2023-06-23,35.91
