,Close
2024-05-13,714.15
2024-05-10,718.27
2024-05-09,710.67
2024-05-08,717.15
2024-05-07,714.38
2024-05-06,718.38
2024-05-03,696.59
2024-05-02,682.05
2024-05-01,666.04
2024-04-30,689.29
2024-04-29,713.93
2024-04-26,706.26
2024-04-25,672.95
2024-04-24,656.54
2024-04-23,648.21
2024-04-22,633.64
2024-04-19,627.71
2024-04-18,644.22
2024-04-17,658.98
2024-04-16,693.31
2024-04-15,678.49
2024-04-12,680.78
2024-04-11,700.61
2024-04-10,687.12
2024-04-09,696.83
2024-04-08,691.12
2024-04-05,682.84
2024-04-04,672.75
2024-04-03,697.53
2024-04-02,693.93
2024-04-01,710.88
2024-03-28,698.57
2024-03-27,696.87
2024-03-26,688.42
2024-03-25,699.73
2024-03-22,710.56
2024-03-21,713.13
2024-03-20,695.95
2024-03-19,681.06
2024-03-18,690.7
2024-03-15,683.9
2024-03-14,692.33
2024-03-13,688.71
2024-03-12,698.4
2024-03-11,685.38
2024-03-08,699.21
2024-03-07,723.26
2024-03-06,715.46
2024-03-05,705.87
2024-03-04,717.81
2024-03-01,717.57
2024-02-29,682.3
2024-02-28,673.0
2024-02-27,677.58
2024-02-26,683.82
2024-02-23,668.82
2024-02-22,683.77
2024-02-21,651.92
2024-02-20,651.77
2024-02-16,661.35
2024-02-15,652.38
2024-02-14,653.84
2024-02-13,641.07
2024-02-12,648.05
2024-02-09,649.8
2024-02-08,618.49
2024-02-07,608.9
2024-02-06,601.62
2024-02-05,614.88
2024-02-02,604.32
2024-02-01,599.1
2024-01-31,594.04
2024-01-30,595.35
2024-01-29,600.08
2024-01-26,599.37
2024-01-25,641.69
2024-01-24,638.45
2024-01-23,619.33
2024-01-22,623.1
2024-01-19,612.99
2024-01-18,590.0
2024-01-17,562.5
2024-01-16,566.81
2024-01-12,560.61
2024-01-11,562.14
2024-01-10,556.09
2024-01-09,556.34
2024-01-08,562.36
2024-01-05,544.31
2024-01-04,546.44
2024-01-03,552.59
2024-01-02,560.39
2023-12-29,581.3
2023-12-28,586.27
2023-12-27,591.47
2023-12-26,591.37
2023-12-22,582.65
2023-12-21,580.45
2023-12-20,563.3
2023-12-19,578.11
2023-12-18,576.73
2023-12-15,585.13
2023-12-14,582.42
2023-12-13,570.7
2023-12-12,561.05
2023-12-11,559.21
2023-12-08,534.43
2023-12-07,541.23
2023-12-06,528.61
2023-12-05,537.23
