,Close
2024-05-13,434.78
2024-05-10,434.39
2024-05-09,429.86
2024-05-08,427.71
2024-05-07,430.0
2024-05-06,426.62
2024-05-03,423.6
2024-05-02,419.62
2024-05-01,442.62
2024-04-30,440.96
2024-04-29,445.07
2024-04-26,443.18
2024-04-25,443.83
2024-04-24,444.32
2024-04-23,445.06
2024-04-22,446.97
2024-04-19,446.31
2024-04-18,446.43
2024-04-17,446.79
2024-04-16,445.78
2024-04-15,444.75
2024-04-12,447.41
2024-04-11,453.0
2024-04-10,450.49
2024-04-09,457.94
2024-04-08,461.67
2024-04-05,464.7
2024-04-04,457.26
2024-04-03,462.47
2024-04-02,461.34
2024-04-01,463.4
2024-03-28,464.32
2024-03-27,466.23
2024-03-26,467.55
2024-03-25,466.9
2024-03-22,468.24
2024-03-21,466.3
2024-03-20,466.79
2024-03-19,466.73
2024-03-18,466.11
2024-03-15,468.23
2024-03-14,473.94
2024-03-13,474.89
2024-03-12,471.47
2024-03-11,469.48
2024-03-08,462.55
2024-03-07,465.29
2024-03-06,463.61
2024-03-05,460.96
2024-03-04,455.6
2024-03-01,449.21
2024-02-29,448.82
2024-02-28,451.2
2024-02-27,444.8
2024-02-26,444.94
2024-02-23,447.56
2024-02-22,447.03
2024-02-21,439.46
2024-02-20,435.96
2024-02-16,431.63
2024-02-15,428.69
2024-02-14,418.4
2024-02-13,416.25
2024-02-12,419.61
2024-02-09,419.42
2024-02-08,414.0
2024-02-07,416.83
2024-02-06,415.56
2024-02-05,400.63
2024-02-02,407.09
2024-02-01,408.65
2024-01-31,404.83
2024-01-30,407.85
2024-01-29,405.61
2024-01-26,404.04
2024-01-25,403.47
2024-01-24,401.28
2024-01-23,407.89
2024-01-22,406.47
2024-01-19,407.38
2024-01-18,407.85
2024-01-17,406.75
2024-01-16,406.65
2024-01-12,408.92
2024-01-11,405.96
2024-01-10,405.88
2024-01-09,406.69
2024-01-08,408.29
2024-01-05,409.12
2024-01-04,408.59
2024-01-03,408.71
2024-01-02,409.58
2023-12-29,410.71
2023-12-28,409.77
2023-12-27,411.21
2023-12-26,409.93
2023-12-22,410.74
2023-12-21,409.13
2023-12-20,406.36
2023-12-19,412.09
2023-12-18,409.1
2023-12-15,407.38
