,Close
2024-05-13,903.79
2024-05-10,915.42
2024-05-09,907.54
2024-05-08,913.28
2024-05-07,914.91
2024-05-06,924.54
2024-05-03,908.53
2024-05-02,883.68
2024-05-01,868.1
2024-04-30,894.41
2024-04-29,928.81
2024-04-26,925.37
2024-04-25,901.47
2024-04-24,884.89
2024-04-23,887.42
2024-04-22,868.07
2024-04-19,869.71
2024-04-18,888.92
2024-04-17,912.26
2024-04-16,963.23
2024-04-15,946.17
2024-04-12,957.04
2024-04-11,983.48
2024-04-10,961.64
2024-04-09,973.34
2024-04-08,967.69
2024-04-05,968.58
2024-04-04,951.63
2024-04-03,978.37
2024-04-02,967.33
2024-04-01,981.79
2024-03-28,971.57
2024-03-27,965.67
2024-03-26,967.23
2024-03-25,971.46
2024-03-22,977.9
2024-03-21,982.57
2024-03-20,949.08
2024-03-19,931.05
2024-03-18,925.28
2024-03-15,910.09
2024-03-14,925.68
2024-03-13,926.71
2024-03-12,950.83
2024-03-11,931.2
2024-03-08,956.65
2024-03-07,994.57
2024-03-06,981.86
2024-03-05,963.1
2024-03-04,977.52
2024-03-01,981.53
2024-02-29,938.25
2024-02-28,922.67
2024-02-27,930.73
2024-02-26,938.76
2024-02-23,928.5
2024-02-22,944.36
2024-02-21,901.93
2024-02-20,900.44
2024-02-16,926.03
2024-02-15,913.78
2024-02-14,915.7
2024-02-13,892.59
2024-02-12,908.0
2024-02-09,911.58
2024-02-08,864.36
2024-02-07,848.54
2024-02-06,834.62
2024-02-05,851.32
2024-02-02,838.7
2024-02-01,832.21
2024-01-31,825.17
2024-01-30,835.79
2024-01-29,845.8
2024-01-26,839.04
2024-01-25,865.6
2024-01-24,848.16
2024-01-23,830.39
2024-01-22,833.54
2024-01-19,826.32
2024-01-18,785.65
2024-01-17,752.9
2024-01-16,761.14
2024-01-12,759.67
2024-01-11,760.2
2024-01-10,749.69
2024-01-09,752.02
2024-01-08,757.16
2024-01-05,732.4
2024-01-04,731.08
2024-01-03,736.93
2024-01-02,749.3
2023-12-29,783.26
2023-12-28,789.67
2023-12-27,794.93
2023-12-26,795.71
2023-12-22,779.99
2023-12-21,776.92
2023-12-20,754.93
2023-12-19,781.01
2023-12-18,769.92
2023-12-15,773.5
2023-12-14,767.21
2023-12-13,734.65
2023-12-12,731.24
2023-12-11,735.59
2023-12-08,703.17
2023-12-07,708.03
2023-12-06,694.87
2023-12-05,697.14
2023-12-04,710.06
2023-12-01,722.08
2023-11-30,715.92
2023-11-29,713.99
2023-11-28,710.39
2023-11-27,722.45
2023-11-24,717.5
2023-11-22,717.46
2023-11-21,707.37
2023-11-20,719.15
2023-11-17,700.34
2023-11-16,700.44
2023-11-15,697.9
2023-11-14,694.92
2023-11-13,673.43
2023-11-10,685.43
2023-11-09,650.26
2023-11-08,647.58
2023-11-07,641.26
2023-11-06,639.05
2023-11-03,634.08
2023-11-02,623.28
2023-11-01,606.66
2023-10-31,588.22
2023-10-30,583.5
2023-10-27,584.02
2023-10-26,585.13
2023-10-25,583.34
2023-10-24,604.02
2023-10-23,599.58
2023-10-20,600.35
2023-10-19,601.95
2023-10-18,642.24
2023-10-17,649.95
2023-10-16,650.7
2023-10-13,645.12
2023-10-12,654.96
2023-10-11,641.73
2023-10-10,634.38
2023-10-09,627.69
2023-10-06,628.11
2023-10-05,625.83
2023-10-04,632.38
2023-10-03,618.11
2023-10-02,630.88
2023-09-29,626.77
2023-09-28,627.52
2023-09-27,613.92
2023-09-26,606.0
2023-09-25,620.585
2023-09-22,619.11
2023-09-21,610.39
2023-09-20,618.86
2023-09-19,625.15
2023-09-18,635.65
2023-09-15,623.11
2023-09-14,656.43
2023-09-13,658.66
2023-09-12,652.7
2023-09-11,663.68
2023-09-08,668.88
2023-09-07,676.7
2023-09-06,696.24
2023-09-05,700.77
2023-09-01,701.96
2023-08-31,702.4
2023-08-30,686.53
2023-08-29,684.65
2023-08-28,666.32
2023-08-25,660.27
2023-08-24,655.93
2023-08-23,678.09
2023-08-22,666.82
2023-08-21,669.24
2023-08-18,652.94
2023-08-17,648.56
2023-08-16,646.29
2023-08-15,655.83
2023-08-14,667.2
2023-08-11,651.97
2023-08-10,686.39
2023-08-09,686.05
2023-08-08,696.0
2023-08-07,705.36
2023-08-04,690.46
2023-08-03,693.36
2023-08-02,685.88
2023-08-01,715.9
2023-07-31,718.49
2023-07-28,721.26
2023-07-27,701.95
2023-07-26,642.37
2023-07-25,650.24
2023-07-24,639.03
2023-07-21,623.63
2023-07-20,615.52
2023-07-19,640.11
2023-07-18,655.94
2023-07-17,660.07
2023-07-14,638.56
2023-07-13,638.3
2023-07-12,622.6
2023-07-11,619.42
2023-07-10,627.64
2023-07-07,617.87
2023-07-06,621.0
2023-07-05,628.58
2023-07-03,650.99
2023-06-30,642.86
2023-06-29,640.36
2023-06-28,642.18
2023-06-27,649.16
2023-06-26,620.33
2023-06-23,608.76
2023-06-22,619.87
2023-06-21,605.8
2023-06-20,614.28
2023-06-16,612.65
2023-06-15,621.0
2023-06-14,630.03
2023-06-13,625.54
2023-06-12,627.53
2023-06-09,606.59
2023-06-08,614.54
2023-06-07,610.78
2023-06-06,612.2
2023-06-05,605.61
2023-06-02,613.67
2023-06-01,619.86
2023-05-31,616.7
2023-05-30,629.96
2023-05-26,628.25
2023-05-25,602.1
2023-05-24,565.87
2023-05-23,573.49
2023-05-22,585.07
2023-05-19,588.86
