,Close
2024-05-13,237.5
2024-05-10,240.46
2024-05-09,237.54
2024-05-08,235.35
2024-05-07,235.99
2024-05-06,236.82
2024-05-03,234.59
2024-05-02,235.56
2024-05-01,233.86
2024-04-30,236.13
2024-04-29,240.49
2024-04-26,240.84
2024-04-25,241.94
2024-04-24,244.06
2024-04-23,239.69
2024-04-22,237.41
2024-04-19,235.96
2024-04-18,236.3
2024-04-17,238.46
2024-04-16,245.62
2024-04-15,248.41
2024-04-12,251.06
2024-04-11,258.55
2024-04-10,254.35
2024-04-09,254.94
2024-04-08,254.71
2024-04-05,253.93
2024-04-04,248.89
2024-04-03,250.59
2024-04-02,247.74
2024-04-01,251.33
2024-03-28,252.31
2024-03-27,253.56
2024-03-26,252.18
2024-03-25,252.11
2024-03-22,255.16
2024-03-21,255.27
2024-03-20,254.05
2024-03-19,249.82
2024-03-18,248.52
2024-03-15,244.07
2024-03-14,248.0
2024-03-13,251.41
2024-03-12,250.69
2024-03-11,248.47
2024-03-08,250.28
2024-03-07,246.91
2024-03-06,247.1
2024-03-05,247.88
2024-03-04,247.42
2024-03-01,250.0
2024-02-29,249.87
2024-02-28,248.99
2024-02-27,249.03
2024-02-26,249.22
2024-02-23,251.48
2024-02-22,249.31
2024-02-21,243.35
2024-02-20,242.94
2024-02-16,241.63
2024-02-15,240.49
2024-02-14,235.39
2024-02-13,234.94
2024-02-12,248.84
2024-02-09,247.02
2024-02-08,249.58
2024-02-07,247.94
2024-02-06,244.76
2024-02-05,244.23
2024-02-02,245.12
2024-02-01,243.67
2024-01-31,239.73
2024-01-30,243.19
2024-01-29,242.13
2024-01-26,241.6
2024-01-25,242.52
2024-01-24,237.87
2024-01-23,237.1
2024-01-22,237.38
2024-01-19,233.67
2024-01-18,232.68
2024-01-17,227.7
2024-01-16,226.34
2024-01-12,225.5
2024-01-11,226.98
2024-01-10,226.77
2024-01-09,226.48
2024-01-08,228.23
2024-01-05,222.42
2024-01-04,220.02
2024-01-03,219.04
2024-01-02,221.84
2023-12-29,225.51
2023-12-28,224.08
2023-12-27,224.44
2023-12-26,223.45
2023-12-22,222.62
2023-12-21,221.84
2023-12-20,216.72
2023-12-19,221.39
2023-12-18,222.12
2023-12-15,221.14
2023-12-14,220.09
2023-12-13,218.07
2023-12-12,216.87
2023-12-11,216.48
2023-12-08,209.4
2023-12-07,208.03
2023-12-06,204.78
2023-12-05,202.71
2023-12-04,209.61
2023-12-01,209.28
2023-11-30,202.7
2023-11-29,202.48
2023-11-28,204.66
2023-11-27,207.51
2023-11-24,208.93
2023-11-22,209.95
2023-11-21,207.19
2023-11-20,206.96
2023-11-17,205.77
2023-11-16,203.68
2023-11-15,201.17
2023-11-14,202.36
2023-11-13,197.71
2023-11-10,197.6
