,Close
2024-05-13,92.54
2024-05-10,91.5
2024-05-09,91.48
2024-05-08,91.99
2024-05-07,92.06
2024-05-06,93.76
2024-05-03,91.36
2024-05-02,89.46
2024-05-01,88.79
2024-04-30,91.98
2024-04-29,93.18
2024-04-26,93.6
2024-04-25,92.21
2024-04-24,90.68
2024-04-23,86.19
2024-04-22,83.53
2024-04-19,81.68
2024-04-18,84.21
2024-04-17,85.07
2024-04-16,85.93
2024-04-15,85.7
2024-04-12,85.64
2024-04-11,89.28
2024-04-10,88.09
2024-04-09,91.67
2024-04-08,89.15
2024-04-05,87.57
2024-04-04,86.26
2024-04-03,88.14
2024-04-02,87.98
2024-04-01,89.74
2024-03-28,89.71
2024-03-27,89.19
2024-03-26,86.24
2024-03-25,87.65
2024-03-22,88.04
2024-03-21,88.87
2024-03-20,88.34
2024-03-19,87.28
2024-03-18,88.08
2024-03-15,88.64
2024-03-14,88.98
2024-03-13,90.54
2024-03-12,91.97
2024-03-11,90.57
2024-03-08,88.84
2024-03-07,93.34
2024-03-06,87.81
2024-03-05,85.64
2024-03-04,86.92
2024-03-01,87.0
2024-02-29,84.14
2024-02-28,82.18
2024-02-27,82.94
2024-02-26,82.9
2024-02-23,82.84
2024-02-22,83.9
2024-02-21,83.48
2024-02-20,82.4
2024-02-16,81.61
2024-02-15,82.51
2024-02-14,80.58
2024-02-13,80.67
2024-02-12,83.95
2024-02-09,85.44
2024-02-08,84.35
2024-02-07,83.31
2024-02-06,83.25
2024-02-05,85.46
2024-02-02,84.29
2024-02-01,85.65
2024-01-31,85.18
2024-01-30,85.96
2024-01-29,87.23
2024-01-26,86.92
2024-01-25,89.65
2024-01-24,90.56
2024-01-23,91.99
2024-01-22,90.74
2024-01-19,89.44
2024-01-18,86.16
2024-01-17,83.34
2024-01-16,85.16
2024-01-12,85.41
2024-01-11,85.7
2024-01-10,85.44
2024-01-09,85.34
2024-01-08,85.64
2024-01-05,83.99
2024-01-04,83.4
2024-01-03,84.57
2024-01-02,86.56
2023-12-29,90.18
2023-12-28,90.84
2023-12-27,91.12
2023-12-26,91.31
2023-12-22,90.19
2023-12-21,89.88
2023-12-20,88.55
2023-12-19,91.39
2023-12-18,91.31
2023-12-15,92.2
2023-12-14,92.96
2023-12-13,89.86
2023-12-12,89.23
2023-12-11,88.91
2023-12-08,86.08
2023-12-07,85.81
2023-12-06,83.62
2023-12-05,83.55
2023-12-04,84.49
2023-12-01,84.66
2023-11-30,83.44
2023-11-29,82.98
2023-11-28,81.82
2023-11-27,81.76
2023-11-24,83.26
2023-11-22,82.46
2023-11-21,82.51
2023-11-20,84.71
2023-11-17,83.53
2023-11-16,82.16
2023-11-15,82.5
2023-11-14,81.28
2023-11-13,76.62
2023-11-10,77.56
2023-11-09,73.7
2023-11-08,75.36
2023-11-07,75.31
2023-11-06,75.12
2023-11-03,76.43
2023-11-02,73.6
2023-11-01,71.04
2023-10-31,71.29
2023-10-30,70.66
2023-10-27,72.26
2023-10-26,72.76
2023-10-25,71.38
2023-10-24,76.03
2023-10-23,74.39
2023-10-20,75.36
2023-10-19,76.79
2023-10-18,77.99
2023-10-17,78.91
2023-10-16,78.95
2023-10-13,77.46
2023-10-12,80.51
2023-10-11,81.23
2023-10-10,80.78
2023-10-09,79.43
2023-10-06,79.54
2023-10-05,77.35
2023-10-04,77.77
2023-10-03,76.75
2023-10-02,78.37
2023-09-29,78.05
2023-09-28,78.61
2023-09-27,76.5
2023-09-26,76.05
2023-09-25,77.43
2023-09-22,77.08
2023-09-21,76.09
2023-09-20,76.72
2023-09-19,77.78
2023-09-18,77.95
2023-09-15,77.63
2023-09-14,80.03
2023-09-13,78.67
2023-09-12,78.37
2023-09-11,79.46
2023-09-08,78.78
2023-09-07,79.1
2023-09-06,81.06
2023-09-05,81.56
2023-09-01,82.29
2023-08-31,81.84
2023-08-30,81.99
2023-08-29,81.97
2023-08-28,80.29
2023-08-25,79.37
2023-08-24,77.76
2023-08-23,80.59
2023-08-22,80.23
2023-08-21,80.52
2023-08-18,79.41
2023-08-17,79.1
2023-08-16,79.77
2023-08-15,80.89
2023-08-14,83.04
2023-08-11,81.77
2023-08-10,83.31
2023-08-09,84.06
2023-08-08,84.53
2023-08-07,84.81
2023-08-04,83.46
2023-08-03,89.52
2023-08-02,90.27
2023-08-01,93.35
2023-07-31,93.94
2023-07-28,93.1
2023-07-27,90.43
2023-07-26,88.33
2023-07-25,90.84
2023-07-24,88.87
2023-07-21,89.72
2023-07-20,88.24
2023-07-19,91.73
2023-07-18,93.34
2023-07-17,92.18
2023-07-14,89.72
2023-07-13,92.36
2023-07-12,90.71
2023-07-11,88.39
2023-07-10,88.89
2023-07-07,86.62
2023-07-06,86.89
2023-07-05,88.43
2023-07-03,90.69
2023-06-30,89.59
2023-06-29,86.98
2023-06-28,85.88
2023-06-27,86.78
2023-06-26,82.84
2023-06-23,81.97
2023-06-22,83.12
2023-06-21,82.96
2023-06-20,84.39
2023-06-16,85.49
2023-06-15,85.37
2023-06-14,86.64
2023-06-13,85.71
2023-06-12,82.92
2023-06-09,80.07
2023-06-08,80.75
2023-06-07,80.99
2023-06-06,77.5
2023-06-05,75.27
2023-06-02,77.2
2023-06-01,76.66
2023-05-31,75.26
2023-05-30,76.85
2023-05-26,78.32
2023-05-25,74.14
2023-05-24,73.62
2023-05-23,77.62
2023-05-22,79.19
2023-05-19,77.87
2023-05-18,78.3
2023-05-17,76.6
2023-05-16,74.05
2023-05-15,75.38
2023-05-12,73.81
2023-05-11,73.15
2023-05-10,74.17
2023-05-09,72.71
2023-05-08,74.27
2023-05-05,75.18
2023-05-04,76.03
2023-05-03,76.25
2023-05-02,76.12
2023-05-01,75.38
2023-04-28,72.99
2023-04-27,71.8
2023-04-26,74.11
2023-04-25,74.37
2023-04-24,77.27
2023-04-21,76.8
2023-04-20,77.5
2023-04-19,79.38
2023-04-18,80.77
2023-04-17,80.54
2023-04-14,79.53
2023-04-13,80.13
2023-04-12,79.23
2023-04-11,80.55
2023-04-10,80.55
2023-04-06,78.7
2023-04-05,79.52
2023-04-04,81.64
2023-04-03,82.71
