,Close
2024-05-13,359.24
2024-05-10,353.47
2024-05-09,354.69
2024-05-08,353.2
2024-05-07,355.31
2024-05-06,365.67
2024-05-03,362.85
2024-05-02,363.17
2024-05-01,373.33
2024-04-30,365.18
2024-04-29,371.94
2024-04-26,383.8
2024-04-25,366.13
2024-04-24,369.29
2024-04-23,366.31
2024-04-22,340.16
2024-04-19,327.47
2024-04-18,335.55
2024-04-17,342.75
2024-04-16,349.8
2024-04-15,347.17
2024-04-12,352.06
2024-04-11,356.04
2024-04-10,351.28
2024-04-09,360.94
2024-04-08,363.32
2024-04-05,362.82
2024-04-04,343.74
2024-04-03,339.82
2024-04-02,347.82
2024-04-01,356.09
2024-03-28,358.64
2024-03-27,358.8
2024-03-26,354.12
2024-03-25,353.55
2024-03-22,355.5
2024-03-21,360.15
2024-03-20,359.07
2024-03-19,353.8
2024-03-18,356.37
2024-03-15,355.44
2024-03-14,368.94
2024-03-13,372.81
2024-03-12,368.64
2024-03-11,366.99
2024-03-08,383.42
2024-03-07,412.01
2024-03-06,409.5
2024-03-05,405.0
2024-03-04,439.0
2024-03-01,436.84
2024-02-29,447.58
2024-02-28,443.45
2024-02-27,449.95
2024-02-26,450.8
2024-02-23,451.52
2024-02-22,449.98
2024-02-21,427.49
2024-02-20,444.81
2024-02-16,465.06
2024-02-15,474.21
2024-02-14,486.51
2024-02-13,472.13
2024-02-12,487.99
2024-02-09,500.9
2024-02-08,475.12
2024-02-07,457.39
2024-02-06,443.31
2024-02-05,436.89
2024-02-02,436.01
2024-02-01,409.07
2024-01-31,400.52
2024-01-30,415.53
2024-01-29,420.17
2024-01-26,395.29
2024-01-25,400.3
2024-01-24,410.11
2024-01-23,411.06
2024-01-22,413.42
2024-01-19,401.05
2024-01-18,392.18
2024-01-17,400.38
2024-01-16,405.44
2024-01-12,391.59
2024-01-11,392.6
2024-01-10,393.15
2024-01-09,378.73
2024-01-08,378.45
2024-01-05,365.39
2024-01-04,362.41
2024-01-03,372.98
2024-01-02,383.69
2023-12-29,408.85
2023-12-28,417.08
2023-12-27,418.28
2023-12-26,416.9
2023-12-22,407.48
2023-12-21,409.82
2023-12-20,401.67
2023-12-19,409.78
2023-12-18,412.74
2023-12-15,420.17
2023-12-14,419.24
2023-12-13,411.18
2023-12-12,393.09
2023-12-11,395.39
2023-12-08,381.79
2023-12-07,384.24
2023-12-06,387.42
2023-12-05,433.67
2023-12-04,423.02
2023-12-01,435.23
2023-11-30,415.74
2023-11-29,420.51
2023-11-28,406.25
2023-11-27,401.91
2023-11-24,407.7
2023-11-22,405.07
2023-11-21,405.51
2023-11-20,407.61
2023-11-17,392.57
2023-11-16,389.07
2023-11-15,392.58
2023-11-14,397.77
2023-11-13,377.97
2023-11-10,376.89
2023-11-09,365.31
2023-11-08,370.04
2023-11-07,369.04
2023-11-06,332.35
2023-11-03,343.11
2023-11-02,329.0
2023-11-01,339.02
2023-10-31,344.59
2023-10-30,336.3
2023-10-27,335.31
2023-10-26,327.33
2023-10-25,329.33
2023-10-24,352.04
2023-10-23,342.28
2023-10-20,346.28
2023-10-19,358.0
2023-10-18,358.68
2023-10-17,365.7
2023-10-16,368.16
2023-10-13,350.68
2023-10-12,364.35
2023-10-11,365.22
2023-10-10,358.47
2023-10-09,358.31
2023-10-06,353.62
2023-10-05,336.78
2023-10-04,335.95
2023-10-03,331.61
2023-10-02,349.075
2023-09-29,345.86
2023-09-28,343.11
2023-09-27,328.16
2023-09-26,325.3
2023-09-25,333.31
2023-09-22,335.76
2023-09-21,333.62
2023-09-20,351.66
2023-09-19,355.61
2023-09-18,356.54
2023-09-15,362.13
2023-09-14,365.92
2023-09-13,371.34
2023-09-12,374.57
2023-09-11,394.28
2023-09-08,377.29
2023-09-07,377.54
2023-09-06,382.26
2023-09-05,394.13
2023-09-01,392.88
2023-08-31,381.3
2023-08-30,375.52
2023-08-29,367.38
2023-08-28,354.32
2023-08-25,363.46
2023-08-24,360.75
2023-08-23,370.74
2023-08-22,362.04
2023-08-21,358.6
2023-08-18,350.83
2023-08-17,351.17
2023-08-16,358.83
2023-08-15,367.34
2023-08-14,364.41
2023-08-11,356.22
2023-08-10,359.66
2023-08-09,360.0
2023-08-08,370.19
2023-08-07,397.55
2023-08-04,401.57
2023-08-03,402.8
2023-08-02,398.74
2023-08-01,424.57
2023-07-31,423.4
2023-07-28,411.62
