,Close
2024-05-13,71.76
2024-05-10,71.2
2024-05-09,70.2
2024-05-08,70.43
2024-05-07,70.89
2024-05-06,69.93
2024-05-03,69.89
2024-05-02,70.5
2024-05-01,70.69
2024-04-30,71.94
2024-04-29,71.83
2024-04-26,70.61
2024-04-25,70.8
2024-04-24,71.31
2024-04-23,70.75
2024-04-22,69.41
2024-04-19,68.12
2024-04-18,67.17
2024-04-17,66.51
2024-04-16,65.98
2024-04-15,65.87
2024-04-12,66.69
2024-04-11,66.78
2024-04-10,66.68
2024-04-09,67.86
2024-04-08,67.6
2024-04-05,67.99
2024-04-04,68.21
2024-04-03,67.97
2024-04-02,69.26
2024-04-01,69.76
2024-03-28,70.0
2024-03-27,70.1
2024-03-26,70.04
2024-03-25,70.85
2024-03-22,72.4
2024-03-21,72.21
2024-03-20,71.87
2024-03-19,72.25
2024-03-18,71.31
2024-03-15,70.75
2024-03-14,70.96
2024-03-13,71.49
2024-03-12,71.74
2024-03-11,72.4
2024-03-08,71.85
2024-03-07,71.0
2024-03-06,71.62
2024-03-05,70.84
2024-03-04,71.51
2024-03-01,72.37
2024-02-29,73.07
2024-02-28,73.19
2024-02-27,73.13
2024-02-26,73.29
2024-02-23,73.98
2024-02-22,74.13
2024-02-21,73.8
2024-02-20,73.19
2024-02-16,71.98
2024-02-15,71.61
2024-02-14,71.41
2024-02-13,71.98
2024-02-12,73.5
2024-02-09,73.17
2024-02-08,74.76
2024-02-07,74.62
2024-02-06,75.25
2024-02-05,75.33
2024-02-02,76.87
2024-02-01,76.54
2024-01-31,75.27
2024-01-30,76.34
2024-01-29,75.72
2024-01-26,75.14
2024-01-25,74.5
2024-01-24,73.95
2024-01-23,74.41
2024-01-22,73.12
2024-01-19,72.85
2024-01-18,72.91
2024-01-17,73.3
2024-01-16,72.85
2024-01-12,73.12
2024-01-11,72.78
2024-01-10,73.08
2024-01-09,73.74
2024-01-08,73.71
2024-01-05,73.09
2024-01-04,73.28
2024-01-03,73.28
2024-01-02,73.84
2023-12-29,72.43
2023-12-28,72.26
2023-12-27,72.21
2023-12-26,71.71
2023-12-22,71.21
2023-12-21,70.46
2023-12-20,69.33
2023-12-19,71.05
2023-12-18,71.06
2023-12-15,70.7
2023-12-14,70.7
2023-12-13,73.11
2023-12-12,72.27
2023-12-11,71.75
2023-12-08,71.09
2023-12-07,71.61
2023-12-06,71.29
2023-12-05,70.68
2023-12-04,71.22
2023-12-01,70.82
2023-11-30,71.06
2023-11-29,70.44
2023-11-28,71.43
2023-11-27,71.48
2023-11-24,71.62
2023-11-22,71.49
2023-11-21,70.97
2023-11-20,70.91
2023-11-17,70.63
2023-11-16,70.62
2023-11-15,69.99
2023-11-14,70.1
2023-11-13,69.3
2023-11-10,69.12
2023-11-09,68.94
2023-11-08,69.02
2023-11-07,68.49
2023-11-06,68.24
2023-11-03,68.82
2023-11-02,67.97
2023-11-01,66.82
2023-10-31,66.21
2023-10-30,65.98
2023-10-27,65.01
2023-10-26,65.65
2023-10-25,65.685
2023-10-24,65.55
2023-10-23,63.99
2023-10-20,64.1
2023-10-19,64.21
2023-10-18,64.15
2023-10-17,63.54
2023-10-16,62.62
2023-10-13,61.53
2023-10-12,61.04
2023-10-11,62.9
2023-10-10,63.63
2023-10-09,63.77
2023-10-06,63.36
2023-10-05,65.07
2023-10-04,68.68
2023-10-03,67.6
2023-10-02,68.49
2023-09-29,69.4
2023-09-28,69.39
2023-09-27,69.99
2023-09-26,70.57
2023-09-25,69.71
2023-09-22,70.43
2023-09-21,70.71
2023-09-20,71.64
2023-09-19,71.51
2023-09-18,71.86
2023-09-15,71.94
2023-09-14,72.38
2023-09-13,71.29
2023-09-12,71.06
2023-09-11,71.37
2023-09-08,69.82
2023-09-07,70.0
2023-09-06,69.69
2023-09-05,69.56
2023-09-01,69.69
2023-08-31,71.26
2023-08-30,71.57
2023-08-29,71.48
2023-08-28,71.55
2023-08-25,71.5
2023-08-24,70.85
2023-08-23,71.48
2023-08-22,70.21
2023-08-21,70.73
2023-08-18,71.13
2023-08-17,71.2
2023-08-16,71.96
2023-08-15,72.28
2023-08-14,73.21
2023-08-11,73.97
2023-08-10,73.72
2023-08-09,73.8
2023-08-08,73.4
2023-08-07,74.26
2023-08-04,73.92
2023-08-03,75.29
2023-08-02,75.35
2023-08-01,74.35
2023-07-31,74.13
2023-07-28,75.04
2023-07-27,72.36
2023-07-26,73.67
2023-07-25,74.4
2023-07-24,74.32
2023-07-21,73.98
2023-07-20,73.88
2023-07-19,73.21
2023-07-18,72.1
2023-07-17,71.94
2023-07-14,72.28
2023-07-13,71.83
2023-07-12,71.4
2023-07-11,70.89
2023-07-10,72.1
2023-07-07,72.0
2023-07-06,72.88
2023-07-05,73.22
2023-07-03,73.51
2023-06-30,72.94
2023-06-29,72.28
2023-06-28,73.22
2023-06-27,73.93
2023-06-26,73.23
2023-06-23,73.1
2023-06-22,73.74
2023-06-21,73.14
2023-06-20,73.26
2023-06-16,73.57
2023-06-15,73.46
2023-06-14,73.13
2023-06-13,72.72
2023-06-12,72.81
2023-06-09,72.97
2023-06-08,73.09
2023-06-07,72.19
2023-06-06,73.28
2023-06-05,74.29
2023-06-02,74.27
2023-06-01,73.61
2023-05-31,73.41
2023-05-30,72.37
2023-05-26,75.13
2023-05-25,75.18
2023-05-24,75.47
2023-05-23,75.65
2023-05-22,75.87
2023-05-19,77.06
2023-05-18,77.27
2023-05-17,77.23
2023-05-16,77.8
2023-05-15,77.73
2023-05-12,77.88
2023-05-11,78.36
2023-05-10,77.89
2023-05-09,77.89
2023-05-08,78.11
2023-05-05,77.56
2023-05-04,77.29
2023-05-03,77.02
2023-05-02,77.6
2023-05-01,77.22
2023-04-28,76.72
2023-04-27,73.82
2023-04-26,72.33
2023-04-25,72.5
2023-04-24,71.81
2023-04-21,71.32
2023-04-20,71.03
2023-04-19,70.36
2023-04-18,70.5
2023-04-17,70.26
2023-04-14,69.81
2023-04-13,70.44
2023-04-12,70.21
2023-04-11,70.31
2023-04-10,70.53
2023-04-06,71.05
2023-04-05,71.4
2023-04-04,70.52
2023-04-03,70.22
2023-03-31,69.72
2023-03-30,69.58
2023-03-29,70.37
2023-03-28,69.59
2023-03-27,69.16
2023-03-24,69.04
2023-03-23,67.2
2023-03-22,67.36
2023-03-21,67.83
2023-03-20,67.73
2023-03-17,66.4
2023-03-16,66.94
2023-03-15,66.4
2023-03-14,66.29
2023-03-13,65.54
2023-03-10,64.9
2023-03-09,64.76
2023-03-08,65.09
2023-03-07,64.81
2023-03-06,65.68
2023-03-03,65.71
2023-03-02,65.36
2023-03-01,64.19
2023-02-28,65.18
2023-02-27,65.64
2023-02-24,65.55
2023-02-23,66.07
2023-02-22,66.23
2023-02-21,66.6
2023-02-17,66.85
2023-02-16,65.68
2023-02-15,65.69
2023-02-14,65.66
2023-02-13,66.27
2023-02-10,65.5
2023-02-09,64.29
