,Close
2024-05-13,1677.34
2024-05-10,1693.97
2024-05-09,1695.4
2024-05-08,1716.78
2024-05-07,1688.69
2024-05-06,1653.85
2024-05-03,1630.56
2024-05-02,1505.99
2024-05-01,1456.51
2024-04-30,1458.7
2024-04-29,1438.36
2024-04-26,1406.0
2024-04-25,1363.83
2024-04-24,1370.0
2024-04-23,1395.0
2024-04-22,1368.23
2024-04-19,1356.43
2024-04-18,1370.25
2024-04-17,1397.86
2024-04-16,1397.88
2024-04-15,1415.88
2024-04-12,1444.14
2024-04-11,1507.56
2024-04-10,1478.0
2024-04-09,1495.01
2024-04-08,1488.58
2024-04-05,1501.72
2024-04-04,1487.81
2024-04-03,1504.98
2024-04-02,1512.51
2024-04-01,1528.95
2024-03-28,1511.96
2024-03-27,1522.65
2024-03-26,1537.46
2024-03-25,1550.07
2024-03-22,1571.99
2024-03-21,1555.69
2024-03-20,1528.84
2024-03-19,1519.44
2024-03-18,1509.05
2024-03-15,1499.51
2024-03-14,1561.27
2024-03-13,1550.62
2024-03-12,1545.56
2024-03-11,1547.32
2024-03-08,1512.5
2024-03-07,1529.94
2024-03-06,1525.59
2024-03-05,1527.29
2024-03-04,1560.08
2024-03-01,1612.75
2024-02-29,1595.3
2024-02-28,1579.49
2024-02-27,1607.44
2024-02-26,1610.13
2024-02-23,1629.32
2024-02-22,1817.98
2024-02-21,1737.77
2024-02-20,1740.01
2024-02-16,1768.78
2024-02-15,1771.83
2024-02-14,1746.37
2024-02-13,1706.24
2024-02-12,1733.23
2024-02-09,1742.26
2024-02-08,1732.83
2024-02-07,1713.87
2024-02-06,1710.39
2024-02-05,1774.75
2024-02-02,1772.9
2024-02-01,1748.28
2024-01-31,1711.81
2024-01-30,1735.3
2024-01-29,1777.43
2024-01-26,1795.8
2024-01-25,1738.8
2024-01-24,1762.7
2024-01-23,1759.91
2024-01-22,1756.3
2024-01-19,1726.19
2024-01-18,1661.98
2024-01-17,1635.28
2024-01-16,1672.67
2024-01-12,1658.58
2024-01-11,1591.68
2024-01-10,1598.16
2024-01-09,1573.34
2024-01-08,1575.6
2024-01-05,1538.83
2024-01-04,1519.38
2024-01-03,1500.0
2024-01-02,1529.16
2023-12-29,1571.54
2023-12-28,1581.6
2023-12-27,1590.88
2023-12-26,1576.64
2023-12-22,1589.08
2023-12-21,1598.33
2023-12-20,1597.44
2023-12-19,1629.99
2023-12-18,1619.57
2023-12-15,1606.19
2023-12-14,1603.51
2023-12-13,1612.16
2023-12-12,1616.92
2023-12-11,1614.7
2023-12-08,1577.98
2023-12-07,1590.94
2023-12-06,1569.25
2023-12-05,1584.6
2023-12-04,1599.63
2023-12-01,1652.01
2023-11-30,1620.46
2023-11-29,1610.58
2023-11-28,1589.09
2023-11-27,1599.21
2023-11-24,1535.5
2023-11-22,1525.0
2023-11-21,1495.48
2023-11-20,1481.99
2023-11-17,1448.0
2023-11-16,1469.55
2023-11-15,1442.55
2023-11-14,1430.51
2023-11-13,1378.29
2023-11-10,1374.39
2023-11-09,1341.38
2023-11-08,1367.34
2023-11-07,1382.72
2023-11-06,1374.77
2023-11-03,1387.79
2023-11-02,1319.5
2023-11-01,1300.01
2023-10-31,1240.74
2023-10-30,1226.24
2023-10-27,1200.45
2023-10-26,1175.0
2023-10-25,1190.98
2023-10-24,1221.99
2023-10-23,1180.13
2023-10-20,1169.67
2023-10-19,1179.96
2023-10-18,1211.7
2023-10-17,1240.65
2023-10-16,1226.2
2023-10-13,1223.5
2023-10-12,1229.96
2023-10-11,1243.95
2023-10-10,1258.31
2023-10-09,1238.38
2023-10-06,1237.53
2023-10-05,1214.38
2023-10-04,1231.56
2023-10-03,1228.28
2023-10-02,1259.41
2023-09-29,1267.88
2023-09-28,1274.14
2023-09-27,1256.52
2023-09-26,1268.62
2023-09-25,1290.53
2023-09-22,1276.96
2023-09-21,1293.28
2023-09-20,1326.34
2023-09-19,1342.64
2023-09-18,1383.73
2023-09-15,1396.66
2023-09-14,1383.43
2023-09-13,1397.46
2023-09-12,1399.14
2023-09-11,1422.93
2023-09-08,1428.19
2023-09-07,1436.35
2023-09-06,1425.97
2023-09-05,1435.05
