,Close
2024-05-13,468.01
2024-05-10,476.2
2024-05-09,475.42
2024-05-08,472.6
2024-05-07,468.24
2024-05-06,465.68
2024-05-03,451.96
2024-05-02,441.68
2024-05-01,439.19
2024-04-30,430.17
2024-04-29,432.62
2024-04-26,443.29
2024-04-25,441.38
2024-04-24,493.5
2024-04-23,496.1
2024-04-22,481.73
2024-04-19,481.06
2024-04-18,501.8
2024-04-17,494.17
2024-04-16,499.76
2024-04-15,500.23
2024-04-12,511.9
2024-04-11,523.16
2024-04-10,519.83
2024-04-09,516.9
2024-04-08,519.25
2024-04-05,527.34
2024-04-04,510.92
2024-04-03,506.74
2024-04-02,497.37
2024-04-01,491.35
2024-03-28,485.58
2024-03-27,493.86
2024-03-26,495.89
2024-03-25,503.02
2024-03-22,509.58
2024-03-21,507.76
2024-03-20,505.52
2024-03-19,496.24
2024-03-18,496.98
2024-03-15,484.1
2024-03-14,491.83
2024-03-13,495.57
2024-03-12,499.75
2024-03-11,483.59
2024-03-08,505.95
2024-03-07,512.19
2024-03-06,496.09
2024-03-05,490.22
2024-03-04,498.19
2024-03-01,502.3
2024-02-29,490.13
2024-02-28,484.02
2024-02-27,487.05
2024-02-26,481.74
2024-02-23,484.03
2024-02-22,486.13
2024-02-21,468.03
2024-02-20,471.75
2024-02-16,473.32
2024-02-15,484.03
2024-02-14,473.28
2024-02-13,460.12
2024-02-12,468.9
2024-02-09,468.11
2024-02-08,470.0
2024-02-07,469.59
2024-02-06,454.72
2024-02-05,459.41
2024-02-02,474.99
2024-02-01,394.78
2024-01-31,390.14
2024-01-30,400.06
2024-01-29,401.02
2024-01-26,394.14
2024-01-25,393.18
2024-01-24,390.7
2024-01-23,385.2
2024-01-22,381.78
2024-01-19,383.45
2024-01-18,376.13
2024-01-17,368.37
2024-01-16,367.46
2024-01-12,374.49
2024-01-11,369.67
2024-01-10,370.47
2024-01-09,357.43
2024-01-08,358.66
2024-01-05,351.95
2024-01-04,347.12
2024-01-03,344.47
2024-01-02,346.29
2023-12-29,353.96
2023-12-28,358.32
2023-12-27,357.83
2023-12-26,354.83
2023-12-22,353.39
2023-12-21,354.09
2023-12-20,349.28
2023-12-19,350.36
2023-12-18,344.62
2023-12-15,334.92
2023-12-14,333.17
2023-12-13,334.74
2023-12-12,334.22
2023-12-11,325.28
2023-12-08,332.75
2023-12-07,326.59
2023-12-06,317.45
2023-12-05,318.29
2023-12-04,320.02
2023-12-01,324.82
2023-11-30,327.15
2023-11-29,332.2
2023-11-28,338.99
2023-11-27,334.7
2023-11-24,338.23
2023-11-22,341.49
2023-11-21,336.98
2023-11-20,339.97
2023-11-17,335.04
2023-11-16,334.19
2023-11-15,332.71
2023-11-14,336.31
2023-11-13,329.19
2023-11-10,328.77
2023-11-09,320.55
2023-11-08,319.78
2023-11-07,318.82
2023-11-06,315.8
2023-11-03,314.6
2023-11-02,310.87
2023-11-01,311.85
2023-10-31,301.27
2023-10-30,302.66
2023-10-27,296.73
2023-10-26,288.35
2023-10-25,299.53
2023-10-24,312.55
2023-10-23,314.01
2023-10-20,308.65
2023-10-19,312.81
2023-10-18,316.97
2023-10-17,324.0
2023-10-16,321.15
2023-10-13,314.69
2023-10-12,324.16
2023-10-11,327.82
2023-10-10,321.84
2023-10-09,318.36
2023-10-06,315.43
2023-10-05,304.79
2023-10-04,305.58
2023-10-03,300.94
2023-10-02,306.82
2023-09-29,300.21
2023-09-28,303.96
2023-09-27,297.74
2023-09-26,298.96
2023-09-25,300.83
2023-09-22,299.08
2023-09-21,295.73
2023-09-20,299.67
2023-09-19,305.07
2023-09-18,302.55
2023-09-15,300.31
2023-09-14,311.72
2023-09-13,305.06
2023-09-12,301.66
2023-09-11,307.56
2023-09-08,297.89
2023-09-07,298.67
2023-09-06,299.17
2023-09-05,300.15
2023-09-01,296.38
2023-08-31,295.89
2023-08-30,295.1
2023-08-29,297.99
2023-08-28,290.26
2023-08-25,285.5
2023-08-24,286.75
2023-08-23,294.24
2023-08-22,287.6
2023-08-21,289.9
2023-08-18,283.25
2023-08-17,285.09
2023-08-16,294.29
2023-08-15,301.95
2023-08-14,306.19
2023-08-11,301.64
