,Close
2024-05-13,54.72
2024-05-10,55.46
2024-05-09,55.2
2024-05-08,54.3
2024-05-07,54.67
2024-05-06,54.22
2024-05-03,55.0
2024-05-02,53.39
2024-05-01,53.54
2024-04-30,53.45
2024-04-29,54.13
2024-04-26,53.37
2024-04-25,53.15
2024-04-24,54.33
2024-04-23,53.73
2024-04-22,53.6
2024-04-19,53.14
2024-04-18,53.46
2024-04-17,54.25
2024-04-16,54.69
2024-04-15,54.11
2024-04-12,55.01
2024-04-11,54.73
2024-04-10,54.81
2024-04-09,55.75
2024-04-08,55.65
2024-04-05,55.9
2024-04-04,55.75
2024-04-03,55.95
2024-04-02,56.9
2024-04-01,57.74
2024-03-28,59.28
2024-03-27,59.2
2024-03-26,59.32
2024-03-25,59.09
2024-03-22,59.5
2024-03-21,59.88
2024-03-20,60.14
2024-03-19,60.54
2024-03-18,60.79
2024-03-15,60.45
2024-03-14,60.3
2024-03-13,60.85
2024-03-12,59.82
2024-03-11,59.16
2024-03-08,59.18
2024-03-07,59.38
2024-03-06,58.31
2024-03-05,57.89
2024-03-04,58.5
2024-03-01,58.79
2024-02-29,59.1
2024-02-28,55.85
2024-02-27,56.11
2024-02-26,55.72
2024-02-23,55.29
2024-02-22,55.11
2024-02-21,55.14
2024-02-20,55.4
2024-02-16,55.02
2024-02-15,56.17
2024-02-14,55.87
2024-02-13,56.16
2024-02-12,55.93
2024-02-09,55.66
2024-02-08,56.49
2024-02-07,56.46
2024-02-06,56.34
2024-02-05,55.12
2024-02-02,55.35
2024-02-01,55.94
2024-01-31,55.02
2024-01-30,55.31
2024-01-29,55.59
2024-01-26,55.44
2024-01-25,55.14
2024-01-24,55.07
2024-01-23,55.57
2024-01-22,56.32
2024-01-19,57.18
2024-01-18,57.25
2024-01-17,57.11
2024-01-16,58.17
2024-01-12,59.05
2024-01-11,58.63
2024-01-10,58.91
2024-01-09,58.74
2024-01-08,57.96
2024-01-05,57.54
2024-01-04,57.71
2024-01-03,57.48
2024-01-02,58.59
2023-12-29,57.61
2023-12-28,57.42
2023-12-27,57.34
2023-12-26,56.79
2023-12-22,56.01
2023-12-21,55.38
2023-12-20,54.36
2023-12-19,55.58
2023-12-18,55.3
2023-12-15,55.09
2023-12-14,55.56
2023-12-13,56.55
2023-12-12,55.8
2023-12-11,55.26
2023-12-08,53.92
2023-12-07,54.3
2023-12-06,54.3
2023-12-05,54.26
2023-12-04,55.17
2023-12-01,55.22
2023-11-30,55.15
2023-11-29,54.71
2023-11-28,55.28
2023-11-27,54.72
2023-11-24,55.17
2023-11-22,55.22
2023-11-21,54.8
2023-11-20,54.82
2023-11-17,54.79
2023-11-16,55.1
2023-11-15,55.42
2023-11-14,55.68
2023-11-13,55.54
2023-11-10,55.28
2023-11-09,55.08
2023-11-08,55.66
2023-11-07,55.98
2023-11-06,56.14
2023-11-03,55.56
2023-11-02,52.66
2023-11-01,51.65
2023-10-31,51.1
2023-10-30,50.68
2023-10-27,49.9
2023-10-26,50.06
2023-10-25,50.08
2023-10-24,50.05
2023-10-23,50.3
2023-10-20,49.98
2023-10-19,50.4
2023-10-18,49.84
2023-10-17,49.79
2023-10-16,48.67
2023-10-13,47.72
2023-10-12,47.54
2023-10-11,49.6
2023-10-10,50.4
2023-10-09,49.64
2023-10-06,49.97
2023-10-05,50.09
2023-10-04,52.33
2023-10-03,50.67
2023-10-02,52.54
2023-09-29,52.95
2023-09-28,53.16
2023-09-27,53.12
2023-09-26,54.29
2023-09-25,54.65
2023-09-22,54.52
2023-09-21,54.75
2023-09-20,55.76
2023-09-19,56.01
2023-09-18,56.27
2023-09-15,56.14
2023-09-14,56.87
2023-09-13,56.52
2023-09-12,56.15
2023-09-11,56.78
2023-09-08,56.37
2023-09-07,56.64
2023-09-06,56.28
2023-09-05,55.96
2023-09-01,56.55
2023-08-31,57.41
2023-08-30,58.15
2023-08-29,58.49
2023-08-28,57.71
2023-08-25,57.34
2023-08-24,57.03
2023-08-23,57.91
2023-08-22,57.35
2023-08-21,57.42
2023-08-18,57.36
2023-08-17,57.25
2023-08-16,58.3
2023-08-15,58.21
2023-08-14,59.01
2023-08-11,58.18
2023-08-10,58.1
2023-08-09,57.51
2023-08-08,57.41
2023-08-07,58.49
2023-08-04,55.11
2023-08-03,57.98
2023-08-02,57.63
2023-08-01,57.71
2023-07-31,57.49
2023-07-28,58.15
2023-07-27,57.56
2023-07-26,58.17
2023-07-25,58.08
2023-07-24,58.38
2023-07-21,58.1
2023-07-20,57.58
2023-07-19,57.25
2023-07-18,56.55
2023-07-17,57.29
2023-07-14,57.31
2023-07-13,56.74
2023-07-12,56.21
2023-07-11,55.53
2023-07-10,56.38
2023-07-07,55.87
2023-07-06,56.61
2023-07-05,56.97
2023-07-03,56.95
2023-06-30,57.44
2023-06-29,57.42
2023-06-28,57.15
2023-06-27,58.13
2023-06-26,57.71
2023-06-23,59.11
2023-06-22,59.69
2023-06-21,58.41
2023-06-20,58.36
2023-06-16,58.45
2023-06-15,58.8
2023-06-14,58.48
2023-06-13,58.18
2023-06-12,57.91
2023-06-09,57.25
2023-06-08,57.53
2023-06-07,56.9
2023-06-06,58.33
2023-06-05,59.26
2023-06-02,59.48
2023-06-01,59.36
2023-05-31,58.62
2023-05-30,57.75
2023-05-26,57.61
2023-05-25,57.33
2023-05-24,57.57
2023-05-23,57.94
2023-05-22,59.12
2023-05-19,59.68
2023-05-18,59.85
2023-05-17,59.65
2023-05-16,59.94
2023-05-15,59.72
2023-05-12,59.54
2023-05-11,59.28
2023-05-10,59.11
2023-05-09,58.69
