,Close
2024-05-13,125.67
2024-05-10,117.31
2024-05-09,122.69
2024-05-08,121.89
2024-05-07,121.07
2024-05-06,122.13
2024-05-03,125.0
2024-05-02,125.59
2024-05-01,111.46
2024-04-30,110.31
2024-04-29,111.62
2024-04-26,107.97
2024-04-25,106.18
2024-04-24,108.85
2024-04-23,107.89
2024-04-22,104.46
2024-04-19,101.41
2024-04-18,102.0
2024-04-17,103.44
2024-04-16,103.79
2024-04-15,103.86
2024-04-12,105.14
2024-04-11,107.01
2024-04-10,107.14
2024-04-09,111.6
2024-04-08,105.14
2024-04-05,102.88
2024-04-04,102.27
2024-04-03,101.21
2024-04-02,103.61
2024-04-01,105.6
2024-03-28,106.56
2024-03-27,110.59
2024-03-26,107.41
2024-03-25,110.38
2024-03-22,105.43
2024-03-21,104.09
2024-03-20,103.08
2024-03-19,105.11
2024-03-18,104.26
2024-03-15,103.85
2024-03-14,103.46
2024-03-13,106.51
2024-03-12,110.43
2024-03-11,111.98
2024-03-08,103.03
2024-03-07,99.48
2024-03-06,98.1
2024-03-05,95.56
2024-03-04,96.0
2024-03-01,95.06
2024-02-29,92.24
2024-02-28,97.48
2024-02-27,96.2
2024-02-26,94.02
2024-02-23,96.46
2024-02-22,99.44
2024-02-21,87.59
2024-02-20,86.99
2024-02-16,88.37
2024-02-15,91.14
2024-02-14,85.95
2024-02-13,85.37
2024-02-12,89.0
2024-02-09,87.41
2024-02-08,93.66
2024-02-07,99.3
2024-02-06,100.03
2024-02-05,95.49
2024-02-02,97.5
2024-02-01,99.02
2024-01-31,101.05
2024-01-30,102.47
2024-01-29,104.84
2024-01-26,101.81
2024-01-25,102.81
2024-01-24,101.11
2024-01-23,101.92
2024-01-22,99.7
2024-01-19,99.7
2024-01-18,99.07
2024-01-17,100.35
2024-01-16,102.16
2024-01-12,105.95
2024-01-11,106.795
2024-01-10,109.46
2024-01-09,110.18
2024-01-08,115.44
2024-01-05,111.12
2024-01-04,108.66
2024-01-03,108.58
2024-01-02,112.5
2023-12-29,99.45
2023-12-28,98.79
2023-12-27,100.73
2023-12-26,97.33
2023-12-22,94.89
2023-12-21,91.16
2023-12-20,86.19
2023-12-19,89.09
2023-12-18,85.42
2023-12-15,86.01
2023-12-14,85.87
2023-12-13,78.6
2023-12-12,78.04
2023-12-11,82.0
2023-12-08,80.32
2023-12-07,79.95
2023-12-06,80.6
2023-12-05,78.28
2023-12-04,79.87
2023-12-01,79.83
2023-11-30,77.66
2023-11-29,79.01
2023-11-28,78.18
2023-11-27,77.72
2023-11-24,78.52
2023-11-22,78.17
2023-11-21,77.14
2023-11-20,78.96
2023-11-17,76.44
2023-11-16,76.55
2023-11-15,76.35
2023-11-14,74.1
