,Close
2024-05-13,69.02
2024-05-10,68.47
2024-05-09,67.68
2024-05-08,68.11
2024-05-07,68.68
2024-05-06,69.82
2024-05-03,68.51
2024-05-02,66.67
2024-05-01,63.82
2024-04-30,65.91
2024-04-29,68.75
2024-04-26,69.62
2024-04-25,67.48
2024-04-24,64.85
2024-04-23,63.86
2024-04-22,62.88
2024-04-19,62.13
2024-04-18,65.24
2024-04-17,66.48
2024-04-16,68.28
2024-04-15,67.88
2024-04-12,70.16
2024-04-11,71.53
2024-04-10,71.43
2024-04-09,73.34
2024-04-08,71.92
2024-04-05,72.65
2024-04-04,70.88
2024-04-03,73.03
2024-04-02,73.59
2024-04-01,73.2
2024-03-28,70.88
2024-03-27,72.31
2024-03-26,68.26
2024-03-25,66.12
2024-03-22,66.54
2024-03-21,66.59
2024-03-20,65.54
2024-03-19,65.06
2024-03-18,67.2
2024-03-15,66.87
2024-03-14,66.08
2024-03-13,67.63
2024-03-12,71.77
2024-03-11,72.36
2024-03-08,75.42
2024-03-07,85.09
2024-03-06,81.37
2024-03-05,78.73
2024-03-04,79.35
2024-03-01,77.61
2024-02-29,71.66
2024-02-28,67.54
2024-02-27,69.13
2024-02-26,68.62
2024-02-23,67.58
2024-02-22,69.87
2024-02-21,65.52
2024-02-20,65.04
2024-02-16,66.29
2024-02-15,67.44
2024-02-14,68.96
2024-02-13,68.13
2024-02-12,70.42
2024-02-09,68.83
2024-02-08,71.02
2024-02-07,69.37
2024-02-06,67.08
2024-02-05,67.02
2024-02-02,67.53
2024-02-01,66.87
2024-01-31,67.7
2024-01-30,68.83
2024-01-29,70.14
2024-01-26,68.04
2024-01-25,70.0
2024-01-24,72.28
2024-01-23,70.6
2024-01-22,70.11
2024-01-19,71.08
2024-01-18,68.21
2024-01-17,65.36
2024-01-16,65.52
2024-01-12,65.68
2024-01-11,65.87
2024-01-10,63.43
2024-01-09,63.47
2024-01-08,64.11
2024-01-05,59.92
2024-01-04,58.07
2024-01-03,56.76
2024-01-02,58.17
2023-12-29,60.31
2023-12-28,61.3
2023-12-27,61.26
2023-12-26,61.15
2023-12-22,60.25
2023-12-21,60.25
2023-12-20,57.54
2023-12-19,59.66
2023-12-18,59.72
2023-12-15,59.59
2023-12-14,59.29
2023-12-13,57.21
2023-12-12,54.26
2023-12-11,54.48
2023-12-08,52.88
2023-12-07,52.19
2023-12-06,50.43
2023-12-05,50.7
