,Close
2024-05-13,413.72
2024-05-10,414.74
2024-05-09,412.32
2024-05-08,410.54
2024-05-07,409.34
2024-05-06,413.54
2024-05-03,406.66
2024-05-02,397.84
2024-05-01,394.94
2024-04-30,389.33
2024-04-29,402.25
2024-04-26,406.32
2024-04-25,399.04
2024-04-24,409.06
2024-04-23,407.57
2024-04-22,400.96
2024-04-19,399.12
2024-04-18,404.27
2024-04-17,411.84
2024-04-16,414.58
2024-04-15,413.64
2024-04-12,421.9
2024-04-11,427.93
2024-04-10,423.26
2024-04-09,426.28
2024-04-08,424.66
2024-04-05,425.52
2024-04-04,417.88
2024-04-03,420.45
2024-04-02,421.44
2024-04-01,424.57
2024-03-28,420.72
2024-03-27,421.43
2024-03-26,421.65
2024-03-25,422.86
2024-03-22,428.74
2024-03-21,429.37
2024-03-20,425.23
2024-03-19,421.41
2024-03-18,417.32
2024-03-15,416.42
2024-03-14,425.22
2024-03-13,415.1
2024-03-12,415.28
2024-03-11,404.52
2024-03-08,406.22
2024-03-07,409.14
2024-03-06,402.09
2024-03-05,402.65
2024-03-04,414.92
2024-03-01,415.5
2024-02-29,413.64
2024-02-28,407.72
2024-02-27,407.48
2024-02-26,407.54
2024-02-23,410.34
2024-02-22,411.65
2024-02-21,402.18
2024-02-20,402.79
2024-02-16,404.06
2024-02-15,406.56
2024-02-14,409.49
2024-02-13,406.32
2024-02-12,415.26
2024-02-09,420.55
2024-02-08,414.11
2024-02-07,414.05
2024-02-06,405.49
2024-02-05,405.65
2024-02-02,411.22
2024-02-01,403.78
2024-01-31,397.58
2024-01-30,408.59
2024-01-29,409.72
2024-01-26,403.93
2024-01-25,404.87
2024-01-24,402.56
2024-01-23,398.9
2024-01-22,396.51
2024-01-19,398.67
2024-01-18,393.87
2024-01-17,389.47
2024-01-16,390.27
2024-01-12,388.47
2024-01-11,384.63
2024-01-10,382.77
2024-01-09,375.79
2024-01-08,374.69
2024-01-05,367.75
2024-01-04,367.94
2024-01-03,370.6
2024-01-02,370.87
2023-12-29,376.04
2023-12-28,375.28
2023-12-27,374.07
2023-12-26,374.66
2023-12-22,374.58
2023-12-21,373.54
2023-12-20,370.62
2023-12-19,373.26
2023-12-18,372.65
2023-12-15,370.73
2023-12-14,365.93
2023-12-13,374.37
2023-12-12,374.38
2023-12-11,371.3
2023-12-08,374.23
2023-12-07,370.95
2023-12-06,368.8
2023-12-05,372.52
2023-12-04,369.14
2023-12-01,374.51
2023-11-30,378.91
2023-11-29,378.85
2023-11-28,382.7
2023-11-27,378.61
2023-11-24,377.43
2023-11-22,377.85
2023-11-21,373.07
2023-11-20,377.44
2023-11-17,369.85
2023-11-16,376.17
2023-11-15,369.67
2023-11-14,370.27
2023-11-13,366.68
2023-11-10,369.67
2023-11-09,360.69
2023-11-08,363.2
2023-11-07,360.53
2023-11-06,356.53
2023-11-03,352.8
2023-11-02,348.32
2023-11-01,346.07
2023-10-31,338.11
2023-10-30,337.31
2023-10-27,329.81
2023-10-26,327.89
2023-10-25,340.67
2023-10-24,330.53
2023-10-23,329.32
2023-10-20,326.67
2023-10-19,331.32
2023-10-18,330.11
2023-10-17,332.06
2023-10-16,332.64
2023-10-13,327.73
2023-10-12,331.16
2023-10-11,332.42
2023-10-10,328.39
2023-10-09,329.82
2023-10-06,327.26
2023-10-05,319.36
2023-10-04,318.955
2023-10-03,313.39
2023-10-02,321.8
2023-09-29,315.75
2023-09-28,313.64
2023-09-27,312.79
2023-09-26,312.14
2023-09-25,317.54
2023-09-22,317.01
2023-09-21,319.53
2023-09-20,320.77
2023-09-19,328.65
2023-09-18,329.06
2023-09-15,330.22
2023-09-14,338.7
2023-09-13,336.06
2023-09-12,331.77
2023-09-11,337.94
2023-09-08,334.27
2023-09-07,329.91
2023-09-06,332.88
2023-09-05,333.55
2023-09-01,328.66
2023-08-31,327.76
2023-08-30,328.79
2023-08-29,328.41
2023-08-28,323.7
2023-08-25,322.98
2023-08-24,319.97
2023-08-23,327.0
2023-08-22,322.46
2023-08-21,321.88
