,Close
2024-05-13,123.0
2024-05-10,121.24
2024-05-09,117.81
2024-05-08,119.32
2024-05-07,119.21
2024-05-06,120.13
2024-05-03,114.7
2024-05-02,112.33
2024-05-01,109.7
2024-04-30,112.96
2024-04-29,114.36
2024-04-26,114.84
2024-04-25,111.58
2024-04-24,111.78
2024-04-23,112.46
2024-04-22,109.12
2024-04-19,106.71
2024-04-18,111.93
2024-04-17,116.33
2024-04-16,121.77
2024-04-15,121.37
2024-04-12,122.52
2024-04-11,127.51
2024-04-10,122.2
2024-04-09,122.63
2024-04-08,122.95
2024-04-05,123.58
2024-04-04,124.09
2024-04-03,128.01
2024-04-02,122.75
2024-04-01,124.3
2024-03-28,117.89
2024-03-27,119.25
2024-03-26,118.8
2024-03-25,117.13
2024-03-22,110.21
2024-03-21,109.85
2024-03-20,96.25
2024-03-19,94.0
2024-03-18,93.78
2024-03-15,93.25
2024-03-14,91.43
2024-03-13,94.16
2024-03-12,97.42
2024-03-11,94.51
2024-03-08,97.62
2024-03-07,98.98
2024-03-06,95.56
2024-03-05,94.47
2024-03-04,95.77
2024-03-01,95.15
2024-02-29,90.61
2024-02-28,89.71
2024-02-27,91.85
2024-02-26,89.46
2024-02-23,86.0
2024-02-22,85.91
2024-02-21,81.49
2024-02-20,80.71
2024-02-16,79.5
2024-02-15,81.63
2024-02-14,81.83
2024-02-13,81.53
2024-02-12,85.7
2024-02-09,85.56
2024-02-08,84.88
2024-02-07,85.17
2024-02-06,84.6
2024-02-05,86.98
2024-02-02,86.48
2024-02-01,85.61
2024-01-31,85.75
2024-01-30,86.16
2024-01-29,89.07
2024-01-26,88.05
2024-01-25,89.2
2024-01-24,88.08
2024-01-23,87.53
2024-01-22,89.24
2024-01-19,87.51
2024-01-18,84.82
2024-01-17,83.28
2024-01-16,84.61
2024-01-12,82.39
2024-01-11,83.39
2024-01-10,82.38
2024-01-09,83.33
2024-01-08,84.95
2024-01-05,83.45
2024-01-04,82.71
2024-01-03,82.26
2024-01-02,82.34
2023-12-29,85.34
2023-12-28,86.0
2023-12-27,86.66
2023-12-26,87.06
2023-12-22,86.49
2023-12-21,85.48
2023-12-20,78.69
2023-12-19,82.17
2023-12-18,81.56
2023-12-15,81.41
2023-12-14,82.19
2023-12-13,79.79
2023-12-12,78.16
2023-12-11,77.79
2023-12-08,74.96
2023-12-07,73.65
2023-12-06,73.13
2023-12-05,73.69
2023-12-04,74.29
2023-12-01,75.93
2023-11-30,76.12
2023-11-29,76.69
2023-11-28,76.12
2023-11-27,77.51
2023-11-24,76.87
2023-11-22,77.1
2023-11-21,76.71
2023-11-20,78.62
2023-11-17,77.56
2023-11-16,76.67
2023-11-15,77.14
2023-11-14,77.17
2023-11-13,74.78
2023-11-10,75.36
2023-11-09,73.57
2023-11-08,72.28
2023-11-07,72.8
2023-11-06,72.92
2023-11-03,72.58
2023-11-02,70.44
2023-11-01,69.4
2023-10-31,66.87
2023-10-30,66.07
2023-10-27,65.65
2023-10-26,64.53
2023-10-25,66.5
2023-10-24,68.07
2023-10-23,66.88
2023-10-20,67.22
2023-10-19,67.53
2023-10-18,69.14
2023-10-17,69.0
2023-10-16,69.08
2023-10-13,69.21
2023-10-12,69.75
2023-10-11,70.21
2023-10-10,69.07
2023-10-09,69.48
2023-10-06,69.96
2023-10-05,69.05
2023-10-04,68.11
2023-10-03,67.83
2023-10-02,67.96
2023-09-29,68.03
2023-09-28,65.2
2023-09-27,68.21
2023-09-26,67.94
2023-09-25,68.58
2023-09-22,68.88
2023-09-21,67.9
2023-09-20,69.68
2023-09-19,70.71
2023-09-18,70.5
2023-09-15,69.88
2023-09-14,71.79
2023-09-13,70.85
2023-09-12,70.31
2023-09-11,70.03
2023-09-08,70.18
2023-09-07,69.87
2023-09-06,70.41
2023-09-05,70.29
2023-09-01,70.39
2023-08-31,69.94
2023-08-30,68.09
2023-08-29,66.68
2023-08-28,65.31
2023-08-25,63.72
2023-08-24,63.69
2023-08-23,65.19
2023-08-22,63.41
2023-08-21,63.96
2023-08-18,63.59
2023-08-17,63.56
2023-08-16,64.22
2023-08-15,65.33
2023-08-14,68.28
2023-08-11,64.37
2023-08-10,65.44
2023-08-09,66.7
2023-08-08,67.65
