,Close
2024-05-13,616.59
2024-05-10,610.87
2024-05-09,612.09
2024-05-08,609.47
2024-05-07,606.0
2024-05-06,596.97
2024-05-03,579.34
2024-05-02,565.15
2024-05-01,551.71
2024-04-30,550.64
2024-04-29,559.49
2024-04-26,561.23
2024-04-25,564.8
2024-04-24,555.12
2024-04-23,577.75
2024-04-22,554.6
2024-04-19,555.32
2024-04-18,610.56
2024-04-17,613.69
2024-04-16,617.52
2024-04-15,607.15
2024-04-12,622.83
2024-04-11,628.78
2024-04-10,618.58
2024-04-09,618.2
2024-04-08,628.44
2024-04-05,636.18
2024-04-04,617.14
2024-04-03,630.08
2024-04-02,614.21
2024-04-01,614.31
2024-03-28,607.33
2024-03-27,613.53
2024-03-26,629.24
2024-03-25,627.46
2024-03-22,628.01
2024-03-21,622.71
2024-03-20,627.69
2024-03-19,620.74
2024-03-18,618.39
2024-03-15,605.88
2024-03-14,613.01
2024-03-13,609.45
2024-03-12,611.08
2024-03-11,600.93
2024-03-08,604.82
2024-03-07,608.51
2024-03-06,597.69
2024-03-05,598.5
2024-03-04,615.83
2024-03-01,619.34
2024-02-29,602.92
2024-02-28,596.48
2024-02-27,601.67
2024-02-26,587.65
2024-02-23,583.56
2024-02-22,588.47
2024-02-21,573.35
2024-02-20,575.13
2024-02-16,583.95
2024-02-15,593.46
2024-02-14,579.33
2024-02-13,554.52
2024-02-12,557.85
2024-02-09,561.32
2024-02-08,558.53
2024-02-07,559.3
2024-02-06,555.88
2024-02-05,562.06
2024-02-02,564.64
2024-02-01,567.51
2024-01-31,564.11
2024-01-30,562.85
2024-01-29,575.79
2024-01-26,570.42
2024-01-25,562.0
2024-01-24,544.87
2024-01-23,492.19
2024-01-22,485.71
2024-01-19,482.95
2024-01-18,485.31
2024-01-17,480.33
2024-01-16,481.24
2024-01-12,492.16
2024-01-11,492.23
2024-01-10,478.33
2024-01-09,482.09
2024-01-08,485.03
2024-01-05,474.06
2024-01-04,474.67
2024-01-03,470.26
2024-01-02,468.5
2023-12-29,486.88
2023-12-28,490.51
2023-12-27,491.79
2023-12-26,491.19
2023-12-22,486.76
2023-12-21,491.61
2023-12-20,489.27
2023-12-19,495.02
2023-12-18,486.12
2023-12-15,472.06
2023-12-14,469.83
2023-12-13,479.98
2023-12-12,463.0
2023-12-11,459.89
2023-12-08,453.76
2023-12-07,452.0
2023-12-06,446.73
2023-12-05,455.15
2023-12-04,453.9
2023-12-01,465.74
2023-11-30,473.97
2023-11-29,477.19
2023-11-28,479.0
2023-11-27,479.17
2023-11-24,479.56
2023-11-22,478.0
2023-11-21,474.95
2023-11-20,474.47
2023-11-17,465.91
2023-11-16,466.95
2023-11-15,461.94
2023-11-14,448.65
2023-11-13,444.62
2023-11-10,447.24
2023-11-09,435.15
2023-11-08,436.65
2023-11-07,434.61
2023-11-06,434.74
2023-11-03,432.36
2023-11-02,424.71
2023-11-01,420.19
2023-10-31,411.69
2023-10-30,410.08
2023-10-27,397.87
2023-10-26,403.54
2023-10-25,411.25
2023-10-24,413.73
2023-10-23,406.84
2023-10-20,400.96
2023-10-19,401.77
2023-10-18,346.19
2023-10-17,355.72
2023-10-16,360.82
2023-10-13,355.68
2023-10-12,361.2
2023-10-11,365.93
2023-10-10,373.32
2023-10-09,385.95
2023-10-06,381.51
2023-10-05,372.59
2023-10-04,376.9
2023-10-03,376.75
2023-10-02,380.33
2023-09-29,377.6
2023-09-28,376.36
2023-09-27,377.59
2023-09-26,379.25
2023-09-25,384.8
2023-09-22,379.81
2023-09-21,384.15
2023-09-20,386.3
2023-09-19,396.2
2023-09-18,394.4
2023-09-15,396.94
2023-09-14,400.49
2023-09-13,412.24
2023-09-12,434.69
2023-09-11,445.36
2023-09-08,442.8
2023-09-07,443.14
2023-09-06,445.76
2023-09-05,448.68
2023-09-01,439.88
2023-08-31,433.68
2023-08-30,434.67
2023-08-29,429.99
2023-08-28,418.06
2023-08-25,416.03
2023-08-24,406.93
2023-08-23,427.55
2023-08-22,413.17
2023-08-21,408.29
2023-08-18,404.53
2023-08-17,403.0
2023-08-16,415.45
2023-08-15,423.7
2023-08-14,427.78
2023-08-11,421.66
2023-08-10,429.98
2023-08-09,428.9
2023-08-08,438.3
2023-08-07,440.76
2023-08-04,431.6
2023-08-03,431.0
2023-08-02,429.7
2023-08-01,438.62
2023-07-31,438.97
2023-07-28,425.78
2023-07-27,413.17
2023-07-26,422.67
2023-07-25,427.7
2023-07-24,428.37
2023-07-21,427.5
2023-07-20,437.42
2023-07-19,477.59
2023-07-18,474.8
2023-07-17,450.05
2023-07-14,441.91
2023-07-13,450.38
2023-07-12,444.05
2023-07-11,440.21
2023-07-10,441.71
2023-07-07,438.1
2023-07-06,438.84
2023-07-05,445.9
2023-07-03,441.44
2023-06-30,440.49
2023-06-29,428.24
2023-06-28,429.84
2023-06-27,417.08
2023-06-26,415.94
2023-06-23,424.02
2023-06-22,422.48
2023-06-21,424.45
2023-06-20,434.7
2023-06-16,431.96
2023-06-15,445.27
2023-06-14,440.86
2023-06-13,435.73
2023-06-12,423.97
