,Close
2024-05-13,903.99
2024-05-10,898.78
2024-05-09,887.47
2024-05-08,904.12
2024-05-07,905.54
2024-05-06,921.4
2024-05-03,887.89
2024-05-02,858.17
2024-05-01,830.41
2024-04-30,864.02
2024-04-29,877.57
2024-04-26,877.35
2024-04-25,826.32
2024-04-24,796.77
2024-04-23,824.23
2024-04-22,795.18
2024-04-19,762.0
2024-04-18,846.71
2024-04-17,840.35
2024-04-16,874.15
2024-04-15,860.01
2024-04-12,881.86
2024-04-11,906.16
2024-04-10,870.39
2024-04-09,853.54
2024-04-08,871.33
2024-04-05,880.08
2024-04-04,859.05
2024-04-03,889.64
2024-04-02,894.52
2024-04-01,903.63
2024-03-28,903.56
2024-03-27,902.5
2024-03-26,925.61
2024-03-25,950.02
2024-03-22,942.89
2024-03-21,914.35
2024-03-20,903.72
2024-03-19,893.98
2024-03-18,884.55
2024-03-15,878.365
2024-03-14,879.44
2024-03-13,908.88
2024-03-12,919.13
2024-03-11,857.74
2024-03-08,875.28
2024-03-07,926.69
2024-03-06,887.0
2024-03-05,859.64
2024-03-04,852.33
2024-03-01,822.751
2024-02-29,791.083
2024-02-28,776.594
2024-02-27,786.973
2024-02-26,790.883
2024-02-23,788.133
2024-02-22,785.343
2024-02-21,674.688
2024-02-20,694.487
2024-02-16,726.096
2024-02-15,726.546
2024-02-14,738.965
2024-02-13,721.246
2024-02-12,722.446
2024-02-09,721.296
2024-02-08,696.377
2024-02-07,700.957
2024-02-06,682.198
2024-02-05,693.287
2024-02-02,661.569
2024-02-01,630.24
2024-01-31,615.241
2024-01-30,627.711
2024-01-29,624.621
2024-01-26,610.281
2024-01-25,616.141
2024-01-24,613.591
2024-01-23,598.702
2024-01-22,596.512
2024-01-19,594.882
2024-01-18,571.043
2024-01-17,560.504
2024-01-16,563.794
2024-01-12,547.074
2024-01-11,548.194
2024-01-10,543.474
2024-01-09,531.375
2024-01-08,522.505
2024-01-05,490.947
2024-01-04,479.957
2024-01-03,475.668
2024-01-02,481.657
2023-12-29,495.197
2023-12-28,495.197
2023-12-27,494.147
2023-12-26,492.767
2023-12-22,488.277
2023-12-21,489.877
2023-12-20,481.087
2023-12-19,496.017
2023-12-18,500.746
2023-12-15,488.877
2023-12-14,483.477
2023-12-13,480.857
2023-12-12,476.548
2023-12-11,466.248
2023-12-08,475.038
2023-12-07,465.938
2023-12-06,455.009
2023-12-05,465.638
2023-12-04,455.039
2023-12-01,467.587
2023-11-30,467.637
2023-11-29,481.335
2023-11-28,478.146
2023-11-27,482.355
2023-11-24,477.696
2023-11-22,487.094
2023-11-21,499.373
2023-11-20,504.022
