,Close
2024-05-13,263.93
2024-05-10,261.73
2024-05-09,260.8
2024-05-08,260.21
2024-05-07,258.65
2024-05-06,259.63
2024-05-03,257.85
2024-05-02,254.26
2024-05-01,249.43
2024-04-30,256.19
2024-04-29,247.13
2024-04-26,242.7
2024-04-25,238.08
2024-04-24,235.04
2024-04-23,225.61
2024-04-22,218.66
2024-04-19,215.12
2024-04-18,219.35
2024-04-17,226.92
2024-04-16,230.68
2024-04-15,230.11
2024-04-12,233.61
2024-04-11,244.33
2024-04-10,241.08
2024-04-09,251.83
2024-04-08,244.92
2024-04-05,241.01
2024-04-04,239.17
2024-04-03,243.88
2024-04-02,240.77
2024-04-01,246.28
2024-03-28,247.77
2024-03-27,245.44
2024-03-26,239.06
2024-03-25,240.34
2024-03-22,244.33
2024-03-21,246.11
2024-03-20,241.27
2024-03-19,236.38
2024-03-18,236.62
2024-03-15,237.54
2024-03-14,243.73
2024-03-13,250.98
2024-03-12,257.46
2024-03-11,253.29
2024-03-08,252.03
2024-03-07,259.04
2024-03-06,251.25
2024-03-05,248.46
2024-03-04,254.3
2024-03-01,257.51
2024-02-29,249.73
2024-02-28,243.98
2024-02-27,245.73
2024-02-26,243.79
2024-02-23,238.85
2024-02-22,239.5
2024-02-21,235.32
2024-02-20,231.35
2024-02-16,232.16
2024-02-15,234.49
2024-02-14,233.96
2024-02-13,232.07
2024-02-12,236.68
2024-02-09,233.55
2024-02-08,227.83
2024-02-07,221.37
2024-02-06,223.0
2024-02-05,221.02
2024-02-02,214.99
2024-02-01,213.01
2024-01-31,210.57
2024-01-30,215.17
2024-01-29,217.47
2024-01-26,215.12
2024-01-25,219.41
2024-01-24,221.69
2024-01-23,223.93
2024-01-22,218.84
2024-01-19,218.36
2024-01-18,211.61
2024-01-17,205.48
2024-01-16,208.99
2024-01-12,209.11
2024-01-11,211.49
2024-01-10,211.29
2024-01-09,211.71
2024-01-08,212.17
2024-01-05,205.72
2024-01-04,207.76
2024-01-03,216.08
2024-01-02,221.18
2023-12-29,229.68
2023-12-28,231.07
2023-12-27,232.1
2023-12-26,231.95
