,Close
2024-05-13,182.02
2024-05-10,185.04
2024-05-09,183.16
2024-05-08,181.7
2024-05-07,184.79
2024-05-06,180.18
2024-05-03,185.06
2024-05-02,183.4
2024-05-01,182.49
2024-04-30,181.71
2024-04-29,184.24
2024-04-26,182.42
2024-04-25,196.66
2024-04-24,195.06
2024-04-23,219.28
2024-04-22,211.59
2024-04-19,211.82
2024-04-18,207.82
2024-04-17,210.81
2024-04-16,220.48
2024-04-15,219.95
2024-04-12,221.13
2024-04-11,219.79
2024-04-10,215.04
2024-04-09,222.52
2024-04-08,224.69
2024-04-05,224.57
2024-04-04,218.06
2024-04-03,219.84
2024-04-02,216.57
2024-04-01,218.12
2024-03-28,219.31
2024-03-27,213.975
2024-03-26,216.66
2024-03-25,217.515
2024-03-22,220.535
2024-03-21,222.41
2024-03-20,217.13
2024-03-19,212.035
2024-03-18,209.37
2024-03-15,210.555
2024-03-14,213.285
2024-03-13,216.91
2024-03-12,220.515
2024-03-11,216.44
2024-03-08,214.145
2024-03-07,221.535
2024-03-06,217.73
2024-03-05,215.04
2024-03-04,222.855
2024-03-01,221.881
2024-02-29,220.982
2024-02-28,216.198
2024-02-27,220.273
2024-02-26,222.685
2024-02-23,219.854
2024-02-22,218.21
2024-02-21,211.962
2024-02-20,209.46
2024-02-16,211.478
2024-02-15,215.913
2024-02-14,215.314
2024-02-13,211.723
2024-02-12,214.3
2024-02-09,217.412
2024-02-08,217.326
2024-02-07,215.973
2024-02-06,212.527
2024-02-05,206.978
2024-02-02,204.107
2024-02-01,195.866
2024-01-31,195.282
2024-01-30,197.704
2024-01-29,198.384
2024-01-26,196.106
2024-01-25,197.49
2024-01-24,195.612
2024-01-23,196.89
2024-01-22,200.621
2024-01-19,193.39
2024-01-18,190.977
2024-01-17,188.71
2024-01-16,191.177
2024-01-12,194.208
2024-01-11,194.194
2024-01-10,195.282
2024-01-09,195.152
2024-01-08,196.126
2024-01-05,191.662
2024-01-04,194.403
2024-01-03,192.336
2024-01-02,198.638
2023-12-29,202.429
2023-12-28,205.29
2023-12-27,206.559
2023-12-26,207.758
2023-12-22,206.244
2023-12-21,204.366
2023-12-20,200.781
2023-12-19,200.302
2023-12-18,196.311
2023-12-15,196.296
2023-12-14,191.037
2023-12-13,191.806
2023-12-12,190.898
2023-12-11,189.219
2023-12-08,184.51
2023-12-07,187.276
2023-12-06,186.228
2023-12-05,197.165
2023-12-04,201.515
2023-12-01,202.433
2023-11-30,194.111
2023-11-29,191.542
2023-11-28,193.272
2023-11-27,198.896
2023-11-24,201.724
2023-11-22,201.44
2023-11-21,202.004
2023-11-20,200.702
2023-11-17,199.519
2023-11-16,198.466
2023-11-15,200.936
2023-11-14,201.979
2023-11-13,195.084
2023-11-10,195.892
2023-11-09,192.384
2023-11-08,194.655
2023-11-07,197.753
2023-11-06,196.596
2023-11-03,195.747
2023-11-02,193.996
2023-11-01,194.904
2023-10-31,187.924
2023-10-30,189.162
2023-10-27,183.833
2023-10-26,184.497
2023-10-25,185.106
2023-10-24,192.534
2023-10-23,193.412
2023-10-20,196.092
2023-10-19,197.798
2023-10-18,200.497
2023-10-17,208.12
2023-10-16,205.766
2023-10-13,202.104
2023-10-12,211.578
2023-10-11,212.421
2023-10-10,212.097
2023-10-09,210.63
2023-10-06,206.265
2023-10-05,201.206
2023-10-04,201.146
2023-10-03,199.504
2023-10-02,201.161
2023-09-29,204.13
2023-09-28,202.588
2023-09-27,199.514
2023-09-26,199.075
2023-09-25,203.814
2023-09-22,199.898
2023-09-21,199.634
2023-09-20,203.5
2023-09-19,202.702
2023-09-18,204.478
2023-09-15,204.358
2023-09-14,203.052
2023-09-13,207.422
2023-09-12,210.47
2023-09-11,212.561
2023-09-08,210.172
2023-09-07,215.908
2023-09-06,211.474
2023-09-05,211.264
2023-09-01,217.266
2023-08-31,213.029
2023-08-30,214.494
2023-08-29,213.243
2023-08-28,207.556
2023-08-25,203.892
2023-08-24,203.723
2023-08-23,205.692
2023-08-22,201.878
2023-08-21,200.936
2023-08-18,196.141
2023-08-17,196.48
2023-08-16,202.925
2023-08-15,204.192
2023-08-14,207.356
2023-08-11,204.76
2023-08-10,202.352
2023-08-09,200.104
2023-08-08,203.922
2023-08-07,204.052
2023-08-04,202.93
2023-08-03,205.886
2023-08-02,203.663
2023-08-01,205.682
2023-07-31,209.101
2023-07-28,213.136
2023-07-27,205.432
2023-07-26,209.73
2023-07-25,197.078
2023-07-24,194.132
2023-07-21,196.64
2023-07-20,198.568
2023-07-19,196.993
2023-07-18,196.495
2023-07-17,191.052
2023-07-14,188.305
2023-07-13,188.091
2023-07-12,187.303
2023-07-11,188.374
2023-07-10,186.8
2023-07-07,184.402
2023-07-06,182.468
2023-07-05,183.3
2023-07-03,183.37
2023-06-30,184.308
2023-06-29,187.298
2023-06-28,184.576
2023-06-27,179.084
2023-06-26,166.756
2023-06-23,162.814
2023-06-22,164.947
2023-06-21,162.824
2023-06-20,159.813
2023-06-16,162.23
2023-06-15,163.681
2023-06-14,159.868
2023-06-13,155.571
2023-06-12,152.6
2023-06-09,152.625
2023-06-08,157.953
2023-06-07,157.564
2023-06-06,153.293
2023-06-05,156.12
2023-06-02,159.141
2023-06-01,158.136
2023-05-31,154.546
2023-05-30,158.1
2023-05-26,157.23
2023-05-25,154.422
2023-05-24,149.588
2023-05-23,149.996
2023-05-22,150.419
2023-05-19,150.051
2023-05-18,152.55
2023-05-17,151.221
2023-05-16,148.566
2023-05-15,152.574
2023-05-12,153.366
2023-05-11,154.536
2023-05-10,156.522
2023-05-09,155.398
2023-05-08,155.144
2023-05-05,157.797
2023-05-04,155.442
2023-05-03,159.639
2023-05-02,157.1
2023-05-01,158.18
2023-04-28,159.499
2023-04-27,155.924
2023-04-26,152.096
2023-04-25,168.948
2023-04-24,176.45
2023-04-21,173.668
2023-04-20,172.692
2023-04-19,172.254
2023-04-18,170.954
2023-04-17,169.67
2023-04-14,168.6
2023-04-13,165.662
2023-04-12,169.292
2023-04-11,169.256
2023-04-10,166.668
2023-04-06,162.178
2023-04-05,161.78
2023-04-04,163.646
2023-04-03,166.38
2023-03-31,169.68
2023-03-30,166.08
2023-03-29,164.97
2023-03-28,165.294
2023-03-27,166.518
2023-03-24,164.034
2023-03-23,164.034
2023-03-22,164.692
2023-03-21,167.346
2023-03-20,165.992
2023-03-17,165.06
2023-03-16,168.022
2023-03-15,165.513
2023-03-14,166.07
2023-03-13,163.896
2023-03-10,167.452
2023-03-09,170.741
2023-03-08,174.46
2023-03-07,174.14
2023-03-06,175.709
2023-03-03,176.76
2023-03-02,176.614
2023-03-01,168.57
2023-02-28,168.894
2023-02-27,170.253
2023-02-24,168.835
2023-02-23,171.69
2023-02-22,170.063
2023-02-21,170.406
2023-02-17,176.443
2023-02-16,174.997
2023-02-15,177.622
2023-02-14,178.358
2023-02-13,177.0
2023-02-10,173.54
2023-02-09,176.523
2023-02-08,181.943
2023-02-07,181.844
2023-02-06,183.768
2023-02-03,184.484
2023-02-02,184.682
2023-02-01,182.798
2023-01-31,165.702
2023-01-30,160.054
2023-01-27,165.976
2023-01-26,158.746
2023-01-25,159.398
2023-01-24,159.566
2023-01-23,160.541
2023-01-20,157.638
2023-01-19,154.514
2023-01-18,156.961
2023-01-17,156.424
2023-01-13,156.807
2023-01-12,155.763
2023-01-11,155.678
2023-01-10,152.456
2023-01-09,152.342
2023-01-06,149.522
2023-01-05,139.964
2023-01-04,143.6
2023-01-03,140.482
2022-12-30,141.108
2022-12-29,142.501
2022-12-28,140.348
2022-12-27,142.596
2022-12-23,142.263
2022-12-22,140.21
2022-12-21,142.864
2022-12-20,141.322
2022-12-19,144.296
2022-12-16,146.628
2022-12-15,148.747
2022-12-14,153.849
2022-12-13,151.486
2022-12-12,150.07
2022-12-09,145.311
2022-12-08,142.844
2022-12-07,142.536
2022-12-06,142.77
2022-12-05,143.933
2022-12-02,150.436
2022-12-01,149.462
2022-11-30,150.316
2022-11-29,145.08
2022-11-28,143.218
2022-11-25,146.034
2022-11-23,147.544
2022-11-22,146.983
2022-11-21,148.325
2022-11-18,148.195
2022-11-17,148.409
2022-11-16,152.582
2022-11-15,158.006
2022-11-14,156.108
2022-11-11,156.028
2022-11-10,151.816
2022-11-09,140.008
2022-11-08,144.082
2022-11-07,140.068
2022-11-04,135.066
2022-11-03,130.655
2022-11-02,129.344
2022-11-01,135.544
2022-10-31,136.404
2022-10-28,134.416
2022-10-27,131.34
2022-10-26,136.354
2022-10-25,136.119
2022-10-24,133.73
2022-10-21,129.364
2022-10-20,127.982
2022-10-19,129.529
2022-10-18,133.437
2022-10-17,132.682
2022-10-14,128.922
2022-10-13,133.398
2022-10-12,136.428
2022-10-11,133.006
2022-10-10,133.05
2022-10-07,129.171
2022-10-06,137.685
2022-10-05,135.354
2022-10-04,135.687
2022-10-03,130.08
2022-09-30,123.572
2022-09-29,126.26
2022-09-28,127.253
2022-09-27,124.06
2022-09-26,123.13
2022-09-23,123.204
2022-09-22,121.392
2022-09-21,124.978
2022-09-20,125.961
2022-09-19,128.297
2022-09-16,126.186
2022-09-15,127.343
2022-09-14,129.016
2022-09-13,129.448
2022-09-12,137.098
2022-09-09,133.516
2022-09-08,129.041
2022-09-07,131.128
2022-09-06,135.112
2022-09-02,135.076
2022-09-01,137.795
2022-08-31,134.67
2022-08-30,137.096
2022-08-29,138.828
2022-08-26,141.736
2022-08-25,149.307
2022-08-24,144.574
2022-08-23,144.861
2022-08-22,144.841
2022-08-19,147.387
2022-08-18,150.498
2022-08-17,150.454
2022-08-16,153.852
2022-08-15,154.954
2022-08-12,155.956
2022-08-11,156.492
2022-08-10,156.486
2022-08-09,149.808
2022-08-08,152.285
