,Close
2024-05-13,72.33
2024-05-10,70.46
2024-05-09,71.26
2024-05-08,70.67
2024-05-07,70.79
2024-05-06,69.67
2024-05-03,70.37
2024-05-02,70.01
2024-05-01,69.01
2024-04-30,70.16
2024-04-29,70.82
2024-04-26,68.06
2024-04-25,66.38
2024-04-24,65.53
2024-04-23,61.68
2024-04-22,60.65
2024-04-19,60.69
2024-04-18,62.93
2024-04-17,64.47
2024-04-16,64.72
2024-04-15,65.64
2024-04-12,66.64
2024-04-11,70.6
2024-04-10,69.23
2024-04-09,70.94
2024-04-08,68.75
2024-04-05,69.32
2024-04-04,69.1
2024-04-03,70.73
2024-04-02,70.48
2024-04-01,73.85
2024-03-28,73.55
2024-03-27,75.61
2024-03-26,72.89
2024-03-25,73.54
2024-03-22,74.68
2024-03-21,75.78
2024-03-20,75.57
2024-03-19,74.04
2024-03-18,73.82
2024-03-15,74.87
2024-03-14,77.17
2024-03-13,79.89
2024-03-12,82.59
2024-03-11,81.6
2024-03-08,78.95
2024-03-07,82.96
2024-03-06,77.62
2024-03-05,76.99
2024-03-04,79.88
2024-03-01,81.14
2024-02-29,78.92
2024-02-28,76.47
2024-02-27,76.97
2024-02-26,77.57
2024-02-23,76.19
2024-02-22,78.36
2024-02-21,77.62
2024-02-20,77.47
2024-02-16,78.64
2024-02-15,80.62
2024-02-14,81.67
2024-02-13,78.59
2024-02-12,80.92
2024-02-09,80.8
2024-02-08,80.71
2024-02-07,76.96
2024-02-06,76.32
2024-02-05,77.59
2024-02-02,70.83
2024-02-01,70.19
2024-01-31,71.13
2024-01-30,72.57
2024-01-29,73.02
2024-01-26,71.71
2024-01-25,72.69
2024-01-24,75.15
2024-01-23,76.75
2024-01-22,75.19
2024-01-19,73.87
2024-01-18,73.22
2024-01-17,72.27
2024-01-16,73.8
2024-01-12,73.47
2024-01-11,74.43
2024-01-10,75.61
2024-01-09,77.03
2024-01-08,77.94
2024-01-05,75.7
2024-01-04,76.2
2024-01-03,79.31
2024-01-02,81.45
2023-12-29,83.53
2023-12-28,84.98
2023-12-27,85.05
2023-12-26,85.47
2023-12-22,84.01
2023-12-21,83.65
2023-12-20,81.17
2023-12-19,84.74
2023-12-18,83.76
2023-12-15,85.65
2023-12-14,86.21
2023-12-13,81.06
2023-12-12,78.39
2023-12-11,79.4
2023-12-08,76.14
2023-12-07,75.84
2023-12-06,73.44
2023-12-05,72.28
2023-12-04,73.1
2023-12-01,74.18
2023-11-30,71.33
2023-11-29,71.62
2023-11-28,69.1
2023-11-27,68.68
2023-11-24,69.28
2023-11-22,68.56
2023-11-21,68.39
2023-11-20,70.68
2023-11-17,70.03
2023-11-16,69.46
2023-11-15,71.13
2023-11-14,69.96
2023-11-13,66.65
2023-11-10,67.38
2023-11-09,64.35
2023-11-08,66.25
2023-11-07,66.8
2023-11-06,66.23
2023-11-03,68.25
2023-11-02,66.63
2023-11-01,64.84
2023-10-31,62.64
2023-10-30,65.34
2023-10-27,83.52
2023-10-26,82.79
2023-10-25,81.16
2023-10-24,85.09
2023-10-23,83.61
2023-10-20,84.83
2023-10-19,87.01
2023-10-18,89.59
2023-10-17,91.69
2023-10-16,91.69
2023-10-13,89.14
2023-10-12,93.05
