,Close
2024-05-13,1012.75
2024-05-10,1019.33
2024-05-09,1030.72
2024-05-08,1020.34
2024-05-07,1020.71
2024-05-06,1016.09
2024-05-03,1012.95
2024-05-02,1006.23
2024-05-01,1005.11
2024-04-30,1013.26
2024-04-29,1037.04
2024-04-26,1043.93
2024-04-25,1054.13
2024-04-24,1092.7
2024-04-23,1092.35
2024-04-22,1091.46
2024-04-19,1090.94
2024-04-18,1101.06
2024-04-17,1094.8
2024-04-16,1089.51
2024-04-15,1069.27
2024-04-12,1076.49
2024-04-11,1083.0
2024-04-10,1093.1
2024-04-09,1095.74
2024-04-08,1107.24
2024-04-05,1117.56
2024-04-04,1099.63
2024-04-03,1132.95
2024-04-02,1140.21
2024-04-01,1130.28
2024-03-28,1128.88
2024-03-27,1135.52
2024-03-26,1134.78
2024-03-25,1137.07
2024-03-22,1167.53
2024-03-21,1162.94
2024-03-20,1145.29
2024-03-19,1134.63
2024-03-18,1113.83
2024-03-15,1113.18
2024-03-14,1116.9
2024-03-13,1101.4
2024-03-12,1094.6
2024-03-11,1086.13
2024-03-08,1084.2
2024-03-07,1089.43
2024-03-06,1081.65
2024-03-05,1079.67
2024-03-04,1077.98
2024-03-01,1085.45
2024-02-29,1087.42
2024-02-28,1092.96
2024-02-27,1081.75
2024-02-26,1062.07
2024-02-23,1058.02
2024-02-22,1054.81
2024-02-21,1039.77
2024-02-20,1035.63
2024-02-16,1051.05
2024-02-15,1047.9
2024-02-14,1049.3
2024-02-13,1039.26
2024-02-12,1026.39
2024-02-09,1025.82
2024-02-08,1020.83
2024-02-07,1067.02
2024-02-06,1051.86
2024-02-05,1055.62
2024-02-02,1047.31
2024-02-01,1041.75
2024-01-31,1023.05
2024-01-30,1041.12
2024-01-29,1030.01
2024-01-26,1022.51
2024-01-25,1024.04
2024-01-24,1018.45
2024-01-23,1025.32
2024-01-22,1035.94
2024-01-19,1028.1
2024-01-18,1015.53
2024-01-17,992.16
2024-01-16,990.25
2024-01-12,953.06
2024-01-11,944.61
2024-01-10,936.55
2024-01-09,927.9
2024-01-08,927.94
2024-01-05,925.4
2024-01-04,935.8
2024-01-03,943.71
2024-01-02,944.98
2023-12-29,950.08
2023-12-28,941.21
2023-12-27,942.55
2023-12-26,942.06
2023-12-22,952.06
2023-12-21,957.55
2023-12-20,950.25
2023-12-19,964.26
2023-12-18,960.13
2023-12-15,951.57
2023-12-14,951.12
2023-12-13,983.41
2023-12-12,972.79
2023-12-11,965.52
2023-12-08,945.88
2023-12-07,953.71
2023-12-06,985.2
2023-12-05,977.97
2023-12-04,983.22
2023-12-01,980.52
2023-11-30,982.38
2023-11-29,973.94
2023-11-28,977.43
2023-11-27,983.13
2023-11-24,987.16
2023-11-22,991.46
2023-11-21,983.59
2023-11-20,978.61
2023-11-17,968.55
2023-11-16,971.99
2023-11-15,973.335
2023-11-14,982.96
2023-11-13,995.92
2023-11-10,986.22
2023-11-09,978.14
2023-11-08,973.7
2023-11-07,974.61
2023-11-06,956.1
2023-11-03,952.84
2023-11-02,948.09
2023-11-01,945.66
2023-10-31,930.44
2023-10-30,930.14
2023-10-27,924.56
2023-10-26,921.64
2023-10-25,874.92
2023-10-24,872.0
2023-10-23,878.67
2023-10-20,907.06
2023-10-19,898.39
2023-10-18,930.5
2023-10-17,946.06
2023-10-16,945.3
2023-10-13,926.46
2023-10-12,919.44
2023-10-11,916.41
2023-10-10,918.13
2023-10-09,914.67
2023-10-06,902.15
2023-10-05,900.8
2023-10-04,897.2
2023-10-03,889.6
2023-10-02,898.62
2023-09-29,908.86
2023-09-28,917.41
2023-09-27,914.17
2023-09-26,914.56
2023-09-25,933.64
2023-09-22,936.02
2023-09-21,926.47
2023-09-20,945.83
2023-09-19,929.18
2023-09-18,929.35
2023-09-15,930.21
2023-09-14,940.68
2023-09-13,926.85
2023-09-12,924.27
2023-09-11,942.5
2023-09-08,958.36
2023-09-07,945.81
2023-09-06,944.79
2023-09-05,945.53
2023-09-01,947.45
2023-08-31,939.7
2023-08-30,952.15
2023-08-29,946.62
2023-08-28,934.43
2023-08-25,931.04
2023-08-24,935.14
2023-08-23,947.17
2023-08-22,934.03
2023-08-21,945.49
2023-08-18,938.0
2023-08-17,931.67
2023-08-16,951.06
2023-08-15,951.36
2023-08-14,945.15
2023-08-11,943.56
2023-08-10,936.64
2023-08-09,929.74
2023-08-08,929.2
2023-08-07,931.76
2023-08-04,925.93
2023-08-03,930.78
2023-08-02,918.46
2023-08-01,931.05
2023-07-31,925.79
2023-07-28,928.79
2023-07-27,919.61
2023-07-26,965.62
2023-07-25,964.31
2023-07-24,957.98
2023-07-21,956.23
2023-07-20,952.23
2023-07-19,963.45
2023-07-18,962.41
2023-07-17,968.96
2023-07-14,961.41
2023-07-13,956.06
2023-07-12,969.23
2023-07-11,967.56
2023-07-10,961.09
2023-07-07,934.47
2023-07-06,944.33
2023-07-05,947.84
2023-07-03,947.08
2023-06-30,955.3
2023-06-29,937.42
2023-06-28,937.03
2023-06-27,935.39
2023-06-26,931.65
2023-06-23,924.76
2023-06-22,932.55
2023-06-21,937.93
2023-06-20,917.49
2023-06-16,919.02
2023-06-15,927.49
2023-06-14,909.64
2023-06-13,916.27
2023-06-12,911.78
2023-06-09,906.99
2023-06-08,906.68
2023-06-07,883.11
2023-06-06,885.93
2023-06-05,902.11
2023-06-02,895.34
2023-06-01,895.28
2023-05-31,903.31
2023-05-30,928.08
2023-05-26,923.0
2023-05-25,935.02
2023-05-24,928.94
2023-05-23,911.99
2023-05-22,928.14
2023-05-19,954.3
2023-05-18,941.8
2023-05-17,939.43
2023-05-16,937.55
