,Close
2024-05-13,302.25
2024-05-10,297.47
2024-05-09,295.67
2024-05-08,303.01
2024-05-07,305.52
2024-05-06,300.57
2024-05-03,296.21
2024-05-02,295.32
2024-05-01,287.34
2024-04-30,290.89
2024-04-29,293.41
2024-04-26,291.42
2024-04-25,288.79
2024-04-24,293.82
2024-04-23,293.49
2024-04-22,281.68
2024-04-19,277.71
2024-04-18,281.14
2024-04-17,277.33
2024-04-16,275.02
2024-04-15,272.15
2024-04-12,279.07
2024-04-11,283.86
2024-04-10,281.0
2024-04-09,279.13
2024-04-08,268.58
2024-04-05,269.01
2024-04-04,265.2
2024-04-03,269.54
2024-04-02,273.4
2024-04-01,279.42
2024-03-28,284.13
2024-03-27,282.26
2024-03-26,286.69
2024-03-25,285.07
2024-03-22,286.78
2024-03-21,287.63
2024-03-20,282.05
2024-03-19,280.58
2024-03-18,285.24
2024-03-15,282.16
2024-03-14,287.58
2024-03-13,290.12
2024-03-12,284.73
2024-03-11,283.33
2024-03-08,280.2
2024-03-07,286.485
2024-03-06,278.86
2024-03-05,291.13
2024-03-04,299.44
2024-03-01,302.4
2024-02-29,310.55
2024-02-28,316.15
2024-02-27,314.75
2024-02-26,302.78
2024-02-23,282.09
2024-02-22,267.82
2024-02-21,261.97
2024-02-20,366.09
2024-02-16,366.41
2024-02-15,366.88
2024-02-14,368.33
2024-02-13,368.26
2024-02-12,371.97
2024-02-09,376.9
2024-02-08,367.02
2024-02-07,364.5
2024-02-06,341.49
2024-02-05,344.48
2024-02-02,345.06
2024-02-01,339.97
2024-01-31,338.51
2024-01-30,345.89
2024-01-29,345.25
2024-01-26,342.44
2024-01-25,340.19
2024-01-24,340.24
2024-01-23,344.18
2024-01-22,345.65
2024-01-19,337.74
2024-01-18,335.77
2024-01-17,330.06
2024-01-16,332.05
2024-01-12,325.24
2024-01-11,323.49
2024-01-10,316.09
2024-01-09,300.42
2024-01-08,289.5
2024-01-05,282.93
2024-01-04,283.3
2024-01-03,286.47
2024-01-02,288.92
2023-12-29,294.88
2023-12-28,295.58
2023-12-27,297.5
2023-12-26,300.82
2023-12-22,298.21
2023-12-21,299.4
2023-12-20,300.98
