,Close
2024-05-13,124.77
2024-05-10,122.55
2024-05-09,121.3
2024-05-08,121.19
2024-05-07,121.79
2024-05-06,120.63
2024-05-03,120.1
2024-05-02,118.45
2024-05-01,119.41
2024-04-30,118.81
2024-04-29,120.81
2024-04-26,119.97
2024-04-25,121.97
2024-04-24,122.52
2024-04-23,121.62
2024-04-22,121.23
2024-04-19,119.5
2024-04-18,117.79
2024-04-17,119.14
2024-04-16,121.14
2024-04-15,122.45
2024-04-12,123.0
2024-04-11,124.24
2024-04-10,124.52
2024-04-09,126.59
2024-04-08,123.85
2024-04-05,122.38
2024-04-04,119.99
2024-04-03,120.26
2024-04-02,122.08
2024-04-01,121.62
2024-03-28,122.8
2024-03-27,121.53
2024-03-26,119.58
2024-03-25,118.96
2024-03-22,120.84
2024-03-21,122.33
2024-03-20,123.0
2024-03-19,121.04
2024-03-18,120.54
2024-03-15,120.28
2024-03-14,121.57
2024-03-13,122.13
2024-03-12,122.65
2024-03-11,121.64
2024-03-08,120.82
2024-03-07,121.13
2024-03-06,120.73
2024-03-05,120.23
2024-03-04,122.34
2024-03-01,122.23
2024-02-29,122.62
2024-02-28,122.41
2024-02-27,122.9
2024-02-26,123.37
2024-02-23,124.64
2024-02-22,124.71
2024-02-21,123.43
2024-02-20,124.49
2024-02-16,123.38
2024-02-15,122.79
2024-02-14,122.22
2024-02-13,121.39
2024-02-12,122.1
2024-02-09,123.03
2024-02-08,122.75
2024-02-07,122.1
2024-02-06,122.19
2024-02-05,119.89
2024-02-02,121.77
2024-02-01,121.1
2024-01-31,121.73
2024-01-30,122.42
2024-01-29,121.36
2024-01-26,120.94
2024-01-25,121.01
2024-01-24,121.89
2024-01-23,122.82
2024-01-22,122.79
2024-01-19,122.09
2024-01-18,120.37
2024-01-17,120.11
2024-01-16,119.81
2024-01-12,119.72
2024-01-11,119.14
2024-01-10,118.89
2024-01-09,118.67
2024-01-08,119.47
2024-01-05,117.98
2024-01-04,117.85
2024-01-03,116.84
2024-01-02,117.87
2023-12-29,119.11
2023-12-28,119.5
2023-12-27,119.07
2023-12-26,120.18
2023-12-22,119.86
2023-12-21,118.9
2023-12-20,127.86
2023-12-19,128.79
2023-12-18,127.74
2023-12-15,126.84
2023-12-14,126.83
2023-12-13,128.12
2023-12-12,126.56
2023-12-11,125.2
2023-12-08,124.02
2023-12-07,124.83
2023-12-06,124.42
2023-12-05,123.04
2023-12-04,124.18
2023-12-01,123.92
2023-11-30,121.97
2023-11-29,121.15
2023-11-28,119.58
2023-11-27,118.95
2023-11-24,118.5
2023-11-22,118.95
2023-11-21,118.36
2023-11-20,118.77
2023-11-17,117.52
2023-11-16,116.49
2023-11-15,117.14
2023-11-14,116.26
2023-11-13,114.48
2023-11-10,115.43
2023-11-09,114.02
2023-11-08,114.05
2023-11-07,112.53
2023-11-06,111.49
2023-11-03,110.46
2023-11-02,112.47
2023-11-01,108.86
2023-10-31,111.05
2023-10-30,110.57
2023-10-27,109.57
2023-10-26,111.75
2023-10-25,112.19
2023-10-24,117.12
2023-10-23,116.63
2023-10-20,116.0
2023-10-19,118.19
2023-10-18,118.27
2023-10-17,119.14
2023-10-16,118.73
2023-10-13,117.98
2023-10-12,118.56
2023-10-11,118.66
2023-10-10,118.43
2023-10-09,119.16
2023-10-06,117.4
2023-10-05,114.87
2023-10-04,115.28
2023-10-03,114.24
2023-10-02,113.78
2023-09-29,115.33
2023-09-28,117.12
2023-09-27,116.51
2023-09-26,112.72
2023-09-25,114.35
2023-09-22,112.95
2023-09-21,113.31
2023-09-20,115.65
2023-09-19,116.15
2023-09-18,116.31
2023-09-15,115.97
2023-09-14,118.94
2023-09-13,119.3
2023-09-12,119.76
2023-09-11,119.89
2023-09-08,120.54
2023-09-07,120.19
2023-09-06,120.37
2023-09-05,121.37
2023-09-01,122.4
2023-08-31,122.23
2023-08-30,122.53
2023-08-29,121.98
2023-08-28,122.2
2023-08-25,121.87
2023-08-24,120.76
2023-08-23,121.62
2023-08-22,119.45
2023-08-21,120.57
2023-08-18,120.48
2023-08-17,121.0
2023-08-16,122.5
2023-08-15,123.59
2023-08-14,124.99
2023-08-11,125.48
2023-08-10,124.305
2023-08-09,124.03
2023-08-08,123.9
2023-08-07,125.07
2023-08-04,122.99
2023-08-03,124.67
2023-08-02,124.39
2023-08-01,125.81
2023-07-31,125.47
2023-07-28,126.52
2023-07-27,127.05
2023-07-26,127.75
2023-07-25,125.02
2023-07-24,125.25
2023-07-21,123.41
2023-07-20,123.85
2023-07-19,123.31
2023-07-18,122.19
2023-07-17,121.03
2023-07-14,120.86
2023-07-13,120.53
2023-07-12,118.56
2023-07-11,118.14
2023-07-10,116.48
2023-07-07,113.44
2023-07-06,113.72
2023-07-05,112.88
2023-07-03,111.47
2023-06-30,111.87
2023-06-29,109.33
2023-06-28,110.71
2023-06-27,111.07
2023-06-26,110.65
2023-06-23,108.38
2023-06-22,111.27
2023-06-21,112.86
2023-06-20,112.24
2023-06-16,113.59
2023-06-15,113.31
2023-06-14,111.54
2023-06-13,113.51
2023-06-12,113.09
2023-06-09,111.69
2023-06-08,110.96
2023-06-07,111.91
2023-06-06,111.41
2023-06-05,111.65
2023-06-02,110.25
2023-06-01,107.2
2023-05-31,104.93
2023-05-30,107.34
2023-05-26,108.17
2023-05-25,107.88
2023-05-24,108.33
2023-05-23,108.85
2023-05-22,109.99
2023-05-19,108.11
2023-05-18,108.76
2023-05-17,107.31
2023-05-16,106.06
2023-05-15,108.17
2023-05-12,106.89
2023-05-11,106.61
2023-05-10,108.62
2023-05-09,107.25
2023-05-08,106.33
2023-05-05,107.83
2023-05-04,107.2
2023-05-03,107.67
2023-05-02,107.6
2023-05-01,110.07
2023-04-28,109.86
2023-04-27,107.84
2023-04-26,105.37
2023-04-25,107.95
2023-04-24,110.89
2023-04-21,109.52
2023-04-20,109.07
2023-04-19,109.77
2023-04-18,109.3
2023-04-17,109.57
2023-04-14,107.92
2023-04-13,109.25
2023-04-12,108.41
2023-04-11,109.38
2023-04-10,109.3
2023-04-06,109.04
2023-04-05,108.83
2023-04-04,109.9
2023-04-03,111.33
2023-03-31,114.59
2023-03-30,113.54
2023-03-29,116.03
2023-03-28,108.98
2023-03-27,109.08
2023-03-24,108.84
2023-03-23,107.88
2023-03-22,107.07
2023-03-21,110.29
2023-03-20,109.7
2023-03-17,107.53
2023-03-16,108.67
2023-03-15,107.0
2023-03-14,108.24
2023-03-13,108.33
2023-03-10,107.83
2023-03-09,111.05
2023-03-08,112.69
2023-03-07,112.09
2023-03-06,113.13
2023-03-03,112.73
2023-03-02,112.1
2023-03-01,110.7
2023-02-28,110.4
2023-02-27,110.99
2023-02-24,110.98
2023-02-23,111.32
2023-02-22,110.68
2023-02-21,111.52
2023-02-17,114.75
2023-02-16,114.66
2023-02-15,115.23
2023-02-14,113.94
2023-02-13,115.51
2023-02-10,114.22
2023-02-09,113.75
2023-02-08,114.93
2023-02-07,117.87
2023-02-06,116.66
2023-02-03,118.58
2023-02-02,120.6
2023-02-01,117.71
2023-01-31,115.86
2023-01-30,114.69
2023-01-27,113.03
2023-01-26,115.1
2023-01-25,115.62
2023-01-24,118.62
2023-01-23,119.99
2023-01-20,117.93
2023-01-19,115.52
2023-01-18,117.23
2023-01-17,118.42
2023-01-13,120.31
2023-01-12,119.85
2023-01-11,119.68
2023-01-10,117.31
2023-01-09,117.41
2023-01-06,117.45
2023-01-05,114.36
2023-01-04,117.07
2023-01-03,115.81
2022-12-30,115.56
2022-12-29,116.46
2022-12-28,114.43
2022-12-27,115.13
2022-12-23,116.01
2022-12-22,112.18
2022-12-21,114.77
2022-12-20,114.26
2022-12-19,115.52
2022-12-16,115.96
2022-12-15,117.08
2022-12-14,122.67
2022-12-13,123.32
2022-12-12,122.97
2022-12-09,119.51
2022-12-08,120.16
2022-12-07,120.44
2022-12-06,120.63
2022-12-05,123.19
2022-12-02,125.98
2022-12-01,125.9
2022-11-30,124.03
2022-11-29,120.15
2022-11-28,120.47
2022-11-25,123.21
2022-11-23,123.16
2022-11-22,122.78
2022-11-21,121.55
2022-11-18,120.83
2022-11-17,120.22
2022-11-16,120.49
2022-11-15,121.67
2022-11-14,121.19
2022-11-11,121.01
2022-11-10,121.38
2022-11-09,115.24
2022-11-08,117.05
2022-11-07,114.59
2022-11-04,112.981
2022-11-03,112.266
2022-11-02,113.716
2022-11-01,117.252
2022-10-31,117.5
2022-10-28,118.97
2022-10-27,114.967
2022-10-26,114.6
2022-10-25,115.682
2022-10-24,113.368
2022-10-21,111.392
2022-10-20,110.3
2022-10-19,110.687
2022-10-18,112.604
2022-10-17,111.183
2022-10-14,108.442
2022-10-13,109.515
2022-10-12,107.261
2022-10-11,107.598
2022-10-10,109.128
2022-10-07,108.84
2022-10-06,110.925
2022-10-05,113.805
2022-10-04,114.6
2022-10-03,114.074
2022-09-30,111.442
2022-09-29,112.614
2022-09-28,116.576
2022-09-27,112.544
2022-09-26,113.259
2022-09-23,114.232
2022-09-22,116.805
2022-09-21,117.103
2022-09-20,119.218
2022-09-19,120.658
2022-09-16,119.307
2022-09-15,118.145
2022-09-14,120.32
2022-09-13,121.244
2022-09-12,126.458
2022-09-09,125.962
2022-09-08,124.373
2022-09-07,123.052
2022-09-06,120.777
2022-09-02,120.072
2022-09-01,123.399
2022-08-31,122.495
2022-08-30,123.379
2022-08-29,126.24
2022-08-26,127.918
2022-08-25,133.142
2022-08-24,134.155
2022-08-23,134.076
2022-08-22,135.009
2022-08-19,137.542
2022-08-18,138.207
2022-08-17,137.671
2022-08-16,137.363
2022-08-15,137.204
2022-08-12,134.681
2022-08-11,131.166
2022-08-10,131.93
2022-08-09,129.219
2022-08-08,129.219
2022-08-05,127.886
2022-08-04,126.919
2022-08-03,127.314
2022-08-02,124.737
2022-08-01,124.955
2022-07-29,126.633
2022-07-28,126.623
2022-07-27,123.8
2022-07-26,119.673
2022-07-25,119.96
2022-07-22,120.868
2022-07-21,120.482
2022-07-20,118.755
2022-07-19,117.64
2022-07-18,113.118
2022-07-15,113.523
2022-07-14,111.687
2022-07-13,111.885
2022-07-12,113.375
2022-07-11,114.728
2022-07-08,115.3
2022-07-07,115.024
2022-07-06,115.468
2022-07-05,114.086
2022-07-01,114.866
2022-06-30,112.408
2022-06-29,113.375
2022-06-28,118.341
2022-06-27,121.085
2022-06-24,120.858
2022-06-23,115.804
2022-06-22,114.145
2022-06-21,114.787
2022-06-17,111.549
2022-06-16,112.348
2022-06-15,116.435
2022-06-14,115.962
2022-06-13,115.705
2022-06-10,119.081
2022-06-09,121.026
2022-06-08,123.987
2022-06-07,125.122
2022-06-06,124.313
2022-06-03,124.195
2022-06-02,124.333
