,Close
2024-05-13,106.85
2024-05-10,109.18
2024-05-09,108.92
2024-05-08,107.05
2024-05-07,106.6
2024-05-06,105.15
2024-05-03,104.79
2024-05-02,106.46
2024-05-01,106.34
2024-04-30,106.11
2024-04-29,113.64
2024-04-26,111.96
2024-04-25,112.62
2024-04-24,113.74
2024-04-23,113.32
2024-04-22,112.58
2024-04-19,111.2
2024-04-18,113.76
2024-04-17,115.93
2024-04-16,117.54
2024-04-15,118.02
2024-04-12,118.16
2024-04-11,118.88
2024-04-10,118.69
2024-04-09,119.18
2024-04-08,122.51
2024-04-05,122.21
2024-04-04,120.53
2024-04-03,120.42
2024-04-02,121.6
2024-04-01,123.1
2024-03-28,123.89
2024-03-27,124.46
2024-03-26,123.01
2024-03-25,123.395
2024-03-22,123.75
2024-03-21,124.42
2024-03-20,121.45
2024-03-19,121.0
2024-03-18,120.34
2024-03-15,118.33
2024-03-14,115.21
2024-03-13,115.97
2024-03-12,114.78
2024-03-11,114.03
2024-03-08,114.65
2024-03-07,114.33
2024-03-06,115.47
2024-03-05,114.08
2024-03-04,112.29
2024-03-01,113.19
2024-02-29,110.89
2024-02-28,111.37
2024-02-27,111.33
2024-02-26,112.25
2024-02-23,110.78
2024-02-22,110.52
2024-02-21,108.67
2024-02-20,107.41
2024-02-16,107.77
2024-02-15,108.06
2024-02-14,106.67
2024-02-13,105.19
2024-02-12,106.02
2024-02-09,106.01
2024-02-08,105.61
2024-02-07,105.06
2024-02-06,104.23
2024-02-05,104.16
2024-02-02,103.12
2024-02-01,102.02
2024-01-31,100.39
2024-01-30,101.97
2024-01-29,101.39
2024-01-26,101.76
2024-01-25,102.01
2024-01-24,100.83
2024-01-23,101.01
2024-01-22,97.09
2024-01-19,96.26
2024-01-18,95.38
2024-01-17,94.08
2024-01-16,94.05
2024-01-12,94.05
2024-01-11,94.6
2024-01-10,94.6
2024-01-09,94.82
2024-01-08,95.75
2024-01-05,93.59
2024-01-04,93.78
2024-01-03,94.93
2024-01-02,96.78
2023-12-29,97.65
2023-12-28,97.83
2023-12-27,97.79
2023-12-26,97.72
2023-12-22,97.47
2023-12-21,96.9
2023-12-20,95.9
2023-12-19,96.76
2023-12-18,95.75
2023-12-15,96.25
2023-12-14,95.81
2023-12-13,98.06
2023-12-12,97.63
2023-12-11,97.93
2023-12-08,95.38
2023-12-07,95.52
2023-12-06,94.72
2023-12-05,93.87
2023-12-04,93.72
2023-12-01,93.18
2023-11-30,91.82
2023-11-29,91.31
2023-11-28,90.94
2023-11-27,91.74
2023-11-24,92.0
2023-11-22,91.24
2023-11-21,91.43
2023-11-20,91.84
2023-11-17,91.36
2023-11-16,90.91
2023-11-15,90.45
2023-11-14,90.67
2023-11-13,87.96
2023-11-10,88.26
2023-11-09,85.98
2023-11-08,86.59
2023-11-07,86.46
2023-11-06,86.37
2023-11-03,86.8
2023-11-02,84.39
2023-11-01,83.15
2023-10-31,82.53
2023-10-30,83.62
2023-10-27,83.29
2023-10-26,83.91
2023-10-25,84.53
2023-10-24,84.83
2023-10-23,81.36
2023-10-20,81.58
2023-10-19,82.55
2023-10-18,83.65
2023-10-17,84.99
2023-10-16,85.09
2023-10-13,83.77
2023-10-12,85.3
2023-10-11,86.68
2023-10-10,86.77
2023-10-09,87.44
2023-10-06,87.48
2023-10-05,86.23
2023-10-04,86.67
2023-10-03,84.04
2023-10-02,84.76
2023-09-29,85.02
2023-09-28,85.71
2023-09-27,84.81
2023-09-26,83.86
2023-09-25,85.46
2023-09-22,84.93
2023-09-21,83.81
2023-09-20,85.25
2023-09-19,85.17
2023-09-18,86.29
2023-09-15,85.22
2023-09-14,85.87
2023-09-13,83.28
2023-09-12,85.22
2023-09-11,85.22
2023-09-08,84.51
2023-09-07,83.05
2023-09-06,82.75
2023-09-05,81.66
2023-09-01,83.52
2023-08-31,82.29
2023-08-30,82.72
2023-08-29,82.86
2023-08-28,85.18
2023-08-25,84.78
2023-08-24,84.23
2023-08-23,85.65
2023-08-22,84.93
2023-08-21,84.58
2023-08-18,84.66
2023-08-17,83.75
2023-08-16,84.56
2023-08-15,85.07
2023-08-14,86.0
2023-08-11,85.82
2023-08-10,85.48
2023-08-09,85.42
2023-08-08,85.42
2023-08-07,84.64
2023-08-04,83.9
2023-08-03,84.89
2023-08-02,86.07
2023-08-01,86.43
2023-07-31,86.13
2023-07-28,85.34
2023-07-27,85.35
2023-07-26,84.61
2023-07-25,86.31
2023-07-24,88.7
2023-07-21,87.91
2023-07-20,88.83
2023-07-19,89.01
2023-07-18,89.42
2023-07-17,87.56
2023-07-14,85.66
2023-07-13,85.77
2023-07-12,86.23
2023-07-11,86.13
2023-07-10,84.61
2023-07-07,82.31
2023-07-06,81.82
2023-07-05,82.28
2023-07-03,83.64
2023-06-30,83.65
2023-06-29,82.61
2023-06-28,80.68
2023-06-27,80.36
2023-06-26,79.21
2023-06-23,78.44
2023-06-22,78.11
2023-06-21,78.52
2023-06-20,77.77
2023-06-16,78.63
2023-06-15,79.08
2023-06-14,78.06
2023-06-13,79.48
2023-06-12,77.76
2023-06-09,76.83
2023-06-08,76.71
2023-06-07,76.19
2023-06-06,74.59
2023-06-05,73.33
2023-06-02,73.3
2023-06-01,70.015
2023-05-31,68.78
2023-05-30,71.16
2023-05-26,71.35
2023-05-25,71.02
2023-05-24,70.44
2023-05-23,71.39
2023-05-22,71.39
2023-05-19,71.75
2023-05-18,71.61
2023-05-17,71.53
2023-05-16,70.52
2023-05-15,72.8
2023-05-12,72.73
2023-05-11,72.44
2023-05-10,72.33
2023-05-09,73.33
2023-05-08,72.78
2023-05-05,72.76
2023-05-04,71.02
2023-05-03,71.63
2023-05-02,72.43
2023-05-01,74.79
2023-04-28,74.69
2023-04-27,73.67
2023-04-26,73.1
2023-04-25,74.8
2023-04-24,73.77
2023-04-21,73.15
2023-04-20,72.58
2023-04-19,72.91
2023-04-18,73.08
2023-04-17,73.26
2023-04-14,72.72
2023-04-13,71.59
2023-04-12,72.11
2023-04-11,71.035
2023-04-10,69.68
2023-04-06,68.49
2023-04-05,68.48
2023-04-04,70.8
2023-04-03,73.04
2023-03-31,73.2
2023-03-30,72.21
2023-03-29,72.35
2023-03-28,71.84
2023-03-27,70.94
2023-03-24,69.9
2023-03-23,69.81
2023-03-22,70.34
2023-03-21,71.44
2023-03-20,70.35
2023-03-17,68.69
2023-03-16,70.85
2023-03-15,70.69
2023-03-14,72.55
2023-03-13,71.42
2023-03-10,72.32
2023-03-09,74.31
2023-03-08,75.96
2023-03-07,75.79
2023-03-06,76.28
2023-03-03,76.19
2023-03-02,74.79
2023-03-01,73.05
2023-02-28,72.2
2023-02-27,72.11
2023-02-24,72.3
2023-02-23,73.44
2023-02-22,73.1
2023-02-21,73.86
2023-02-17,75.69
2023-02-16,74.87
2023-02-15,74.91
2023-02-14,73.2
2023-02-13,73.0
2023-02-10,72.74
2023-02-09,72.7599
2023-02-08,71.7036
2023-02-07,73.2749
2023-02-06,73.3745
2023-02-03,73.2017
2023-02-02,74.1518
2023-02-01,73.9857
2023-01-31,72.6237
2023-01-30,72.2716
2023-01-27,73.5007
2023-01-26,74.5637
2023-01-25,73.6203
2023-01-24,73.7997
2023-01-23,67.9332
2023-01-20,65.9002
2023-01-19,65.1162
2023-01-18,66.2656
2023-01-17,67.508
2023-01-13,68.2123
2023-01-12,67.3618
2023-01-11,67.1425
2023-01-10,66.7638
2023-01-09,66.2988
2023-01-06,66.6509
2023-01-05,64.9634
2023-01-04,65.249
2023-01-03,65.3952
2022-12-30,65.754
2022-12-29,65.5016
2022-12-28,65.9401
2022-12-27,66.6509
2022-12-23,66.8037
2022-12-22,66.3188
2022-12-21,67.1293
2022-12-20,66.0463
2022-12-19,65.847
2022-12-16,65.2624
2022-12-15,65.0631
2022-12-14,64.5514
2022-12-13,64.2122
2022-12-12,64.6771
2022-12-09,63.6092
2022-12-08,65.0854
2022-12-07,65.6382
2022-12-06,65.1231
2022-12-05,64.9283
2022-12-02,66.4549
2022-12-01,66.5553
2022-11-30,66.53
2022-11-29,65.4938
2022-11-28,65.0854
2022-11-25,65.9774
2022-11-23,66.5174
2022-11-22,66.5991
2022-11-21,65.5566
2022-11-18,65.2487
2022-11-17,65.0226
2022-11-16,64.9535
2022-11-15,64.564
2022-11-14,64.2876
2022-11-11,64.2311
2022-11-10,63.787
2022-11-09,62.441
2022-11-08,62.9352
2022-11-07,62.0529
2022-11-04,62.0404
2022-11-03,60.7009
2022-11-02,59.8998
2022-11-01,60.6821
2022-10-31,60.6071
2022-10-28,60.2753
2022-10-27,58.9171
2022-10-26,58.0847
2022-10-25,57.4211
2022-10-24,57.5964
2022-10-21,56.4385
2022-10-20,54.8111
2022-10-19,56.7953
2022-10-18,56.7702
2022-10-17,55.6123
2022-10-14,55.2492
2022-10-13,56.4823
2022-10-12,55.4245
2022-10-11,55.75
2022-10-10,55.0052
2022-10-07,54.88
2022-10-06,56.1443
2022-10-05,56.9016
2022-10-04,56.2757
2022-10-03,54.1289
2022-09-30,52.3827
2022-09-29,53.1211
2022-09-28,53.409
2022-09-27,51.9256
2022-09-26,51.9507
2022-09-23,52.4577
2022-09-22,53.14
2022-09-21,53.4905
2022-09-20,54.1664
