,Close
2024-05-13,140.52
2024-05-10,136.27
2024-05-09,136.38
2024-05-08,139.16
2024-05-07,137.65
2024-05-06,138.64
2024-05-03,140.18
2024-05-02,137.54
2024-05-01,124.49
2024-04-30,125.18
2024-04-29,126.82
2024-04-26,129.31
2024-04-25,125.79
2024-04-24,127.55
2024-04-23,128.02
2024-04-22,124.14
2024-04-19,113.49
2024-04-18,113.7
2024-04-17,113.43
2024-04-16,113.52
2024-04-15,114.29
2024-04-12,115.5
2024-04-11,121.13
2024-04-10,119.7
2024-04-09,121.1
2024-04-08,117.62
2024-04-05,117.87
2024-04-04,117.47
2024-04-03,119.52
2024-04-02,118.24
2024-04-01,119.16
2024-03-28,116.25
2024-03-27,116.66
2024-03-26,120.1
2024-03-25,119.87
2024-03-22,122.99
2024-03-21,122.3
2024-03-20,132.17
2024-03-19,127.68
2024-03-18,128.71
2024-03-15,123.74
2024-03-14,123.2
2024-03-13,122.36
2024-03-12,118.16
2024-03-11,111.89
2024-03-08,110.34
2024-03-07,117.14
2024-03-06,116.64
2024-03-05,121.33
2024-03-04,122.12
2024-03-01,126.85
2024-02-29,124.54
2024-02-28,125.01
2024-02-27,128.33
2024-02-26,126.48
2024-02-23,127.69
2024-02-22,131.63
2024-02-21,129.76
2024-02-20,131.3
2024-02-16,135.26
2024-02-15,135.32
2024-02-14,132.01
2024-02-13,129.04
2024-02-12,131.57
2024-02-09,127.48
2024-02-08,126.655
2024-02-07,128.78
2024-02-06,125.78
2024-02-05,121.14
2024-02-02,124.59
2024-02-01,126.59
2024-01-31,126.87
2024-01-30,125.28
2024-01-29,130.15
2024-01-26,141.77
2024-01-25,144.43
2024-01-24,144.5
2024-01-23,140.9
2024-01-22,141.37
2024-01-19,143.64
2024-01-18,142.06
2024-01-17,142.15
2024-01-16,143.16
2024-01-12,148.63
2024-01-11,151.33
2024-01-10,149.19
2024-01-09,150.48
2024-01-08,147.55
2024-01-05,146.53
2024-01-04,147.74
2024-01-03,148.95
2024-01-02,145.64
2023-12-29,146.31
2023-12-28,145.35
2023-12-27,144.45
2023-12-26,145.22
2023-12-22,144.48
2023-12-21,146.72
2023-12-20,146.43
2023-12-19,150.09
2023-12-18,148.41
2023-12-15,148.35
2023-12-14,146.41
2023-12-13,146.41
2023-12-12,147.18
2023-12-11,143.01
2023-12-08,138.96
2023-12-07,140.29
2023-12-06,141.99
2023-12-05,143.46
2023-12-04,142.83
2023-12-01,145.27
2023-11-30,147.44
2023-11-29,141.73
2023-11-28,139.0
2023-11-27,117.72
2023-11-24,118.7
2023-11-22,117.44
2023-11-21,117.34
2023-11-20,118.78
2023-11-17,115.15
2023-11-16,113.05
2023-11-15,114.42
2023-11-14,111.0
2023-11-13,109.23
2023-11-10,109.04
2023-11-09,108.33
2023-11-08,109.65
2023-11-07,109.37
2023-11-06,107.13
2023-11-03,106.42
2023-11-02,101.31
2023-11-01,102.93
2023-10-31,101.42
2023-10-30,104.26
2023-10-27,108.28
2023-10-26,107.58
2023-10-25,107.49
2023-10-24,108.34
2023-10-23,104.19
2023-10-20,102.78
2023-10-19,104.07
2023-10-18,105.33
2023-10-17,104.85
2023-10-16,105.32
2023-10-13,106.1
2023-10-12,106.9
2023-10-11,110.07
2023-10-10,109.55
2023-10-09,106.96
2023-10-06,105.64
2023-10-05,98.36
2023-10-04,98.16
2023-10-03,97.9
2023-10-02,99.67
2023-09-29,98.07
2023-09-28,95.61
2023-09-27,95.0
2023-09-26,93.93
2023-09-25,96.69
2023-09-22,95.93
2023-09-21,92.17
2023-09-20,94.48
2023-09-19,98.35
2023-09-18,99.81
2023-09-15,99.46
2023-09-14,99.07
2023-09-13,98.26
2023-09-12,98.88
2023-09-11,97.4
2023-09-08,95.34
2023-09-07,96.61
2023-09-06,101.59
2023-09-05,101.06
2023-09-01,103.29
2023-08-31,98.97
2023-08-30,98.14
2023-08-29,93.22
2023-08-28,80.76
2023-08-25,79.91
2023-08-24,78.27
2023-08-23,77.92
2023-08-22,77.49
2023-08-21,78.06
2023-08-18,76.98
2023-08-17,79.66
2023-08-16,79.02
2023-08-15,78.84
2023-08-14,81.45
2023-08-11,81.55
2023-08-10,84.72
2023-08-09,83.48
2023-08-08,83.72
2023-08-07,85.6
2023-08-04,87.52
2023-08-03,88.81
2023-08-02,84.01
2023-08-01,90.09
2023-07-31,89.82
2023-07-28,89.35
2023-07-27,84.53
2023-07-26,84.11
2023-07-25,82.99
2023-07-24,78.85
2023-07-21,75.97
2023-07-20,74.88
2023-07-19,75.23
2023-07-18,75.67
2023-07-17,79.1
2023-07-14,79.49
2023-07-13,80.93
2023-07-12,75.34
2023-07-11,71.04
2023-07-10,70.14
2023-07-07,70.0
2023-07-06,67.69
2023-07-05,71.84
2023-07-03,71.29
2023-06-30,69.14
2023-06-29,68.9
2023-06-28,70.21
2023-06-27,71.68
2023-06-26,69.58
2023-06-23,69.8
2023-06-22,72.89
2023-06-21,73.03
2023-06-20,74.32
2023-06-16,79.87
2023-06-15,80.82
2023-06-14,78.67
2023-06-13,77.46
2023-06-12,76.09
2023-06-09,76.1
2023-06-08,74.93
2023-06-07,72.5
2023-06-06,72.81
2023-06-05,68.06
2023-06-02,69.54
2023-06-01,69.09
2023-05-31,65.32
2023-05-30,67.63
2023-05-26,71.42
2023-05-25,60.02
2023-05-24,60.94
2023-05-23,61.93
2023-05-22,63.04
2023-05-19,60.53
2023-05-18,61.6
2023-05-17,66.45
2023-05-16,66.01
2023-05-15,66.07
2023-05-12,63.32
2023-05-11,65.17
2023-05-10,60.88
2023-05-09,61.41
2023-05-08,61.96
2023-05-05,63.06
2023-05-04,64.14
2023-05-03,63.52
2023-05-02,64.19
2023-05-01,68.59
2023-04-28,68.15
2023-04-27,66.12
2023-04-26,65.15
2023-04-25,64.58
2023-04-24,66.75
2023-04-21,69.23
2023-04-20,69.69
2023-04-19,70.09
2023-04-18,70.26
2023-04-17,68.95
2023-04-14,67.68
2023-04-13,68.53
2023-04-12,67.02
2023-04-11,70.71
2023-04-10,71.31
2023-04-06,72.03
2023-04-05,72.32
2023-04-04,73.2
2023-04-03,74.84
2023-03-31,75.9
2023-03-30,76.44
2023-03-29,72.86
2023-03-28,72.84
2023-03-27,71.68
2023-03-24,73.96
2023-03-23,77.45
2023-03-22,75.58
2023-03-21,78.93
2023-03-20,78.91
2023-03-17,91.94
2023-03-16,94.52
2023-03-15,91.21
2023-03-14,92.73
2023-03-13,91.17
2023-03-10,85.73
2023-03-09,85.65
2023-03-08,93.03
2023-03-07,93.67
2023-03-06,93.78
2023-03-03,95.69
2023-03-02,95.76
2023-03-01,91.04
2023-02-28,87.73
2023-02-27,86.0
2023-02-24,83.72
2023-02-23,86.11
2023-02-22,83.42
2023-02-21,84.51
2023-02-17,93.42
2023-02-16,96.79
2023-02-15,94.46
2023-02-14,95.89
2023-02-13,96.1
2023-02-10,92.45
2023-02-09,93.88
2023-02-08,92.43
2023-02-07,94.45
2023-02-06,93.81
2023-02-03,95.65
2023-02-02,99.61
2023-02-01,102.98
2023-01-31,97.98
2023-01-30,97.15
2023-01-27,104.68
2023-01-26,104.66
2023-01-25,96.49
2023-01-24,96.31
2023-01-23,95.3
2023-01-20,92.84
2023-01-19,90.22
2023-01-18,89.55
2023-01-17,94.85
2023-01-13,97.0
2023-01-12,93.46
2023-01-11,93.02
2023-01-10,94.09
2023-01-09,95.52
2023-01-06,95.96
2023-01-05,95.43
2023-01-04,91.06
2023-01-03,84.53
2022-12-30,81.55
2022-12-29,82.41
2022-12-28,81.42
2022-12-27,85.2
2022-12-23,84.03
2022-12-22,85.49
2022-12-21,85.93
2022-12-20,85.65
2022-12-19,86.95
2022-12-16,87.03
2022-12-15,87.15
2022-12-14,90.01
2022-12-13,88.74
2022-12-12,86.07
2022-12-09,89.71
2022-12-08,91.11
2022-12-07,85.82
2022-12-06,86.91
2022-12-05,87.8
2022-12-02,86.34
